frequency,raw
20.00,1.85
20.20,1.90
20.40,1.93
20.61,1.98
20.81,2.02
21.02,2.07
21.23,2.14
21.44,2.22
21.66,2.30
21.87,2.37
22.09,2.44
22.31,2.47
22.54,2.52
22.76,2.56
22.99,2.60
23.22,2.67
23.45,2.72
23.69,2.79
23.92,2.85
24.16,2.91
24.40,2.96
24.65,3.01
24.89,3.08
25.14,3.14
25.39,3.21
25.65,3.29
25.91,3.35
26.16,3.42
26.43,3.47
26.69,3.53
26.96,3.59
27.23,3.63
27.50,3.66
27.77,3.69
28.05,3.72
28.33,3.79
28.62,3.86
28.90,3.94
29.19,3.96
29.48,3.95
29.78,3.96
30.08,3.98
30.38,4.06
30.68,4.14
30.99,4.22
31.30,4.25
31.61,4.27
31.93,4.29
32.24,4.37
32.57,4.44
32.89,4.53
33.22,4.54
33.55,4.54
33.89,4.52
34.23,4.59
34.57,4.67
34.92,4.75
35.27,4.77
35.62,4.77
35.97,4.76
36.33,4.75
36.70,4.75
37.06,4.75
37.43,4.83
37.81,4.91
38.19,4.94
38.57,4.94
38.95,4.94
39.34,4.98
39.74,5.02
40.14,5.05
40.54,5.05
40.94,5.05
41.35,5.06
41.76,5.06
42.18,5.06
42.60,5.07
43.03,5.07
43.46,5.10
43.90,5.12
44.33,5.17
44.78,5.23
45.23,5.26
45.68,5.27
46.13,5.28
46.60,5.28
47.06,5.26
47.53,5.22
48.01,5.16
48.49,5.15
48.97,5.14
49.46,5.08
49.96,5.01
50.46,5.00
50.96,4.99
51.47,4.98
51.99,4.98
52.51,4.91
53.03,4.85
53.56,4.78
54.10,4.72
54.64,4.68
55.18,4.62
55.74,4.53
56.29,4.44
56.86,4.32
57.42,4.24
58.00,4.17
58.58,4.04
59.16,3.93
59.76,3.88
60.35,3.76
60.96,3.59
61.57,3.41
62.18,3.24
62.80,3.08
63.43,2.86
64.07,2.61
64.71,2.38
65.35,2.14
66.01,1.89
66.67,1.72
67.33,1.55
68.01,1.38
68.69,1.18
69.37,0.95
70.07,0.67
70.77,0.28
71.48,-0.01
72.19,-0.30
72.91,-0.71
73.64,-1.04
74.38,-1.26
75.12,-1.38
75.87,-1.39
76.63,-1.43
77.40,-1.21
78.17,-0.80
78.95,-0.59
79.74,-0.31
80.54,-0.17
81.35,-0.04
82.16,0.14
82.98,0.27
83.81,0.75
84.65,1.12
85.50,1.50
86.35,1.87
87.22,2.19
88.09,2.46
88.97,2.81
89.86,3.06
90.76,3.32
91.66,3.64
92.58,3.89
93.51,4.10
94.44,4.29
95.39,4.49
96.34,4.62
97.30,4.70
98.28,4.79
99.26,4.90
100.25,4.98
101.25,5.05
102.27,5.08
103.29,5.13
104.32,5.15
105.37,5.14
106.42,5.11
107.48,5.05
108.56,5.00
109.64,4.99
110.74,4.97
111.85,4.93
112.97,4.85
114.10,4.83
115.24,4.82
116.39,4.74
117.55,4.65
118.73,4.58
119.92,4.50
121.12,4.43
122.33,4.31
123.55,4.20
124.79,4.10
126.03,4.04
127.29,3.96
128.57,3.85
129.85,3.69
131.15,3.56
132.46,3.42
133.79,3.28
135.12,3.14
136.48,3.04
137.84,2.94
139.22,2.80
140.61,2.71
142.02,2.59
143.44,2.40
144.87,2.24
146.32,2.06
147.78,1.85
149.26,1.66
150.75,1.45
152.26,1.15
153.78,0.92
155.32,0.63
156.88,0.37
158.44,0.21
160.03,0.05
161.63,0.04
163.24,0.14
164.88,0.34
166.53,0.44
168.19,0.50
169.87,0.50
171.57,0.38
173.29,0.25
175.02,0.10
176.77,-0.12
178.54,-0.30
180.32,-0.48
182.13,-0.65
183.95,-0.82
185.79,-0.94
187.65,-1.09
189.52,-1.22
191.42,-1.33
193.33,-1.42
195.27,-1.50
197.22,-1.54
199.19,-1.60
201.18,-1.63
203.19,-1.71
205.23,-1.79
207.28,-1.81
209.35,-1.80
211.44,-1.79
213.56,-1.83
215.69,-1.88
217.85,-1.96
220.03,-1.98
222.23,-1.98
224.45,-1.92
226.70,-1.88
228.96,-1.86
231.25,-1.79
233.57,-1.72
235.90,-1.66
238.26,-1.59
240.64,-1.55
243.05,-1.41
245.48,-1.34
247.93,-1.32
250.41,-1.31
252.92,-1.28
255.45,-1.13
258.00,-1.08
260.58,-1.06
263.19,-0.99
265.82,-0.93
268.48,-0.88
271.16,-0.77
273.87,-0.75
276.61,-0.77
279.38,-0.72
282.17,-0.66
284.99,-0.60
287.84,-0.57
290.72,-0.58
293.63,-0.58
296.57,-0.48
299.53,-0.45
302.53,-0.44
305.55,-0.33
308.61,-0.31
311.69,-0.32
314.81,-0.24
317.96,-0.19
321.14,-0.17
324.35,-0.18
327.59,-0.17
330.87,-0.16
334.18,-0.15
337.52,-0.14
340.90,-0.13
344.30,-0.13
347.75,-0.09
351.23,-0.01
354.74,0.02
358.28,0.04
361.87,0.06
365.49,0.08
369.14,0.09
372.83,0.12
376.56,0.14
380.33,0.16
384.13,0.17
387.97,0.19
391.85,0.21
395.77,0.22
399.73,0.18
403.72,0.15
407.76,0.16
411.84,0.16
415.96,0.17
420.12,0.18
424.32,0.20
428.56,0.21
432.85,0.20
437.18,0.15
441.55,0.14
445.96,0.17
450.42,0.19
454.93,0.22
459.48,0.24
464.07,0.27
468.71,0.26
473.40,0.22
478.13,0.23
482.91,0.25
487.74,0.26
492.62,0.27
497.55,0.27
502.52,0.23
507.55,0.18
512.62,0.16
517.75,0.17
522.93,0.20
528.16,0.23
533.44,0.21
538.77,0.18
544.16,0.20
549.60,0.23
555.10,0.24
560.65,0.18
566.25,0.15
571.92,0.11
577.64,0.13
583.41,0.16
589.25,0.14
595.14,0.12
601.09,0.06
607.10,0.08
613.17,0.10
619.30,0.11
625.50,0.09
631.75,0.05
638.07,0.04
644.45,0.04
650.89,0.04
657.40,0.06
663.98,0.06
670.62,0.01
677.32,0.01
684.10,0.03
690.94,0.04
697.85,0.04
704.83,-0.01
711.87,-0.01
718.99,-0.01
726.18,0.00
733.44,0.00
740.78,0.02
748.19,0.10
755.67,0.06
763.23,0.05
770.86,0.06
778.57,0.07
786.35,0.08
794.22,0.09
802.16,0.10
810.18,0.10
818.28,0.12
826.46,0.19
834.73,0.20
843.08,0.19
851.51,0.16
860.02,0.15
868.62,0.13
877.31,0.10
886.08,0.08
894.94,0.07
903.89,0.14
912.93,0.14
922.06,0.13
931.28,0.12
940.59,0.11
950.00,0.10
959.50,0.11
969.09,0.05
978.78,0.03
988.57,0.06
998.46,0.08
1008.44,0.10
1018.53,0.11
1028.71,0.09
1039.00,0.05
1049.39,0.07
1059.88,0.12
1070.48,0.16
1081.19,0.17
1092.00,0.15
1102.92,0.19
1113.95,0.23
1125.09,0.23
1136.34,0.23
1147.70,0.20
1159.18,0.20
1170.77,0.21
1182.48,0.28
1194.30,0.30
1206.25,0.33
1218.31,0.37
1230.49,0.47
1242.80,0.53
1255.22,0.54
1267.78,0.64
1280.45,0.71
1293.26,0.73
1306.19,0.74
1319.25,0.84
1332.45,1.00
1345.77,1.08
1359.23,1.12
1372.82,1.22
1386.55,1.25
1400.41,1.31
1414.42,1.38
1428.56,1.39
1442.85,1.43
1457.28,1.50
1471.85,1.54
1486.57,1.61
1501.43,1.65
1516.45,1.72
1531.61,1.81
1546.93,1.89
1562.40,1.95
1578.02,2.02
1593.80,2.08
1609.74,2.22
1625.84,2.30
1642.10,2.35
1658.52,2.43
1675.10,2.57
1691.85,2.72
1708.77,2.92
1725.86,3.04
1743.12,3.13
1760.55,3.23
1778.15,3.35
1795.94,3.48
1813.90,3.59
1832.03,3.68
1850.36,3.82
1868.86,3.91
1887.55,3.94
1906.42,4.03
1925.49,4.10
1944.74,4.12
1964.19,4.18
1983.83,4.24
2003.67,4.30
