frequency,raw
20.00,-12.19
20.20,-12.09
20.40,-12.01
20.61,-11.91
20.81,-11.83
21.02,-11.73
21.23,-11.62
21.44,-11.50
21.66,-11.39
21.87,-11.27
22.09,-11.18
22.31,-11.15
22.54,-11.10
22.76,-11.06
22.99,-11.02
23.22,-10.90
23.45,-10.79
23.69,-10.66
23.92,-10.55
24.16,-10.40
24.40,-10.23
24.65,-10.06
24.89,-9.88
25.14,-9.82
25.39,-9.85
25.65,-9.87
25.91,-9.89
26.16,-9.80
26.43,-9.65
26.69,-9.50
26.96,-9.34
27.23,-9.24
27.50,-9.14
27.77,-9.04
28.05,-8.95
28.33,-8.91
28.62,-8.87
28.90,-8.83
29.19,-8.76
29.48,-8.67
29.78,-8.57
30.08,-8.48
30.38,-8.41
30.68,-8.34
30.99,-8.27
31.30,-8.09
31.61,-7.92
31.93,-7.74
32.24,-7.67
32.57,-7.65
32.89,-7.62
33.22,-7.52
33.55,-7.38
33.89,-7.24
34.23,-7.14
34.57,-7.07
34.92,-7.00
35.27,-6.89
35.62,-6.79
35.97,-6.69
36.33,-6.67
36.70,-6.65
37.06,-6.61
37.43,-6.44
37.81,-6.27
38.19,-6.20
38.57,-6.20
38.95,-6.20
39.34,-6.08
39.74,-5.95
40.14,-5.84
40.54,-5.80
40.94,-5.76
41.35,-5.61
41.76,-5.46
42.18,-5.36
42.60,-5.29
43.03,-5.23
43.46,-5.12
43.90,-5.01
44.33,-4.99
44.78,-5.00
45.23,-4.93
45.68,-4.80
46.13,-4.67
46.60,-4.57
47.06,-4.50
47.53,-4.51
48.01,-4.53
48.49,-4.45
48.97,-4.37
49.46,-4.26
49.96,-4.15
50.46,-4.10
50.96,-4.06
51.47,-4.04
51.99,-4.02
52.51,-3.95
53.03,-3.88
53.56,-3.78
54.10,-3.70
54.64,-3.74
55.18,-3.74
55.74,-3.65
56.29,-3.56
56.86,-3.48
57.42,-3.41
58.00,-3.35
58.58,-3.30
59.16,-3.23
59.76,-3.09
60.35,-3.03
60.96,-3.04
61.57,-2.96
62.18,-2.87
62.80,-2.79
63.43,-2.70
64.07,-2.61
64.71,-2.59
65.35,-2.49
66.01,-2.34
66.67,-2.32
67.33,-2.28
68.01,-2.20
68.69,-2.18
69.37,-2.09
70.07,-1.95
70.77,-1.95
71.48,-1.90
72.19,-1.85
72.91,-1.82
73.64,-1.81
74.38,-1.78
75.12,-1.74
75.87,-1.68
76.63,-1.65
77.40,-1.65
78.17,-1.67
78.95,-1.70
79.74,-1.68
80.54,-1.60
81.35,-1.51
82.16,-1.45
82.98,-1.38
83.81,-1.38
84.65,-1.41
85.50,-1.46
86.35,-1.49
87.22,-1.48
88.09,-1.47
88.97,-1.46
89.86,-1.43
90.76,-1.36
91.66,-1.33
92.58,-1.31
93.51,-1.24
94.44,-1.21
95.39,-1.22
96.34,-1.23
97.30,-1.30
98.28,-1.38
99.26,-1.43
100.25,-1.57
101.25,-1.63
102.27,-1.69
103.29,-1.78
104.32,-1.90
105.37,-2.11
106.42,-2.34
107.48,-2.55
108.56,-2.62
109.64,-2.65
110.74,-2.57
111.85,-2.56
112.97,-2.49
114.10,-2.44
115.24,-2.48
116.39,-2.55
117.55,-2.60
118.73,-2.66
119.92,-2.81
121.12,-2.91
122.33,-2.99
123.55,-3.07
124.79,-3.16
126.03,-3.31
127.29,-3.32
128.57,-3.38
129.85,-3.52
131.15,-3.56
132.46,-3.59
133.79,-3.54
135.12,-3.48
136.48,-3.44
137.84,-3.46
139.22,-3.49
140.61,-3.47
142.02,-3.27
143.44,-3.54
144.87,-3.66
146.32,-3.60
147.78,-3.72
149.26,-3.84
150.75,-4.00
152.26,-4.21
153.78,-4.20
155.32,-3.91
156.88,-3.95
158.44,-4.35
160.03,-4.36
161.63,-4.13
163.24,-4.14
164.88,-4.21
166.53,-3.97
168.19,-4.32
169.87,-4.39
171.57,-3.94
173.29,-3.82
175.02,-3.71
176.77,-3.70
178.54,-3.62
180.32,-3.53
182.13,-3.33
183.95,-2.98
185.79,-2.69
187.65,-2.55
189.52,-2.48
191.42,-2.38
193.33,-2.21
195.27,-2.00
197.22,-1.78
199.19,-1.57
201.18,-1.33
203.19,-1.07
205.23,-0.91
207.28,-0.83
209.35,-0.67
211.44,-0.59
213.56,-0.55
215.69,-0.37
217.85,-0.28
220.03,-0.23
222.23,-0.15
224.45,-0.08
226.70,-0.03
228.96,0.04
231.25,0.06
233.57,0.12
235.90,0.15
238.26,0.15
240.64,0.16
243.05,0.23
245.48,0.27
247.93,0.27
250.41,0.21
252.92,0.21
255.45,0.22
258.00,0.23
260.58,0.24
263.19,0.23
265.82,0.16
268.48,0.13
271.16,0.14
273.87,0.14
276.61,0.14
279.38,0.18
282.17,0.22
284.99,0.23
287.84,0.24
290.72,0.24
293.63,0.25
296.57,0.25
299.53,0.28
302.53,0.44
305.55,0.48
308.61,0.49
311.69,0.50
314.81,0.51
317.96,0.52
321.14,0.52
324.35,0.45
327.59,0.43
330.87,0.44
334.18,0.45
337.52,0.54
340.90,0.58
344.30,0.58
347.75,0.59
351.23,0.61
354.74,0.62
358.28,0.65
361.87,0.66
365.49,0.68
369.14,0.70
372.83,0.72
376.56,0.74
380.33,0.76
384.13,0.78
387.97,0.79
391.85,0.81
395.77,0.83
399.73,0.85
403.72,0.82
407.76,0.78
411.84,0.77
415.96,0.77
420.12,0.79
424.32,0.80
428.56,0.74
432.85,0.70
437.18,0.75
441.55,0.83
445.96,0.88
450.42,0.99
454.93,0.97
459.48,0.91
464.07,0.96
468.71,0.99
473.40,1.01
478.13,1.01
482.91,0.92
487.74,0.97
492.62,1.03
497.55,0.92
502.52,0.79
507.55,0.78
512.62,0.84
517.75,0.87
522.93,0.79
528.16,0.77
533.44,0.89
538.77,0.94
544.16,0.83
549.60,0.83
555.10,0.77
560.65,0.70
566.25,0.76
571.92,0.81
577.64,0.85
583.41,0.93
589.25,0.84
595.14,0.68
601.09,0.70
607.10,0.77
613.17,0.80
619.30,0.82
625.50,0.83
631.75,0.83
638.07,0.84
644.45,0.84
650.89,0.85
657.40,0.75
663.98,0.69
670.62,0.78
677.32,0.82
684.10,0.83
690.94,0.85
697.85,0.91
704.83,0.97
711.87,0.86
718.99,0.71
726.18,0.50
733.44,0.21
740.78,-0.03
748.19,-0.30
755.67,-0.44
763.23,-0.41
770.86,-0.21
778.57,-0.09
786.35,-0.00
794.22,-0.04
802.16,-0.18
810.18,-0.32
818.28,-0.51
826.46,-0.49
834.73,-0.33
843.08,-0.32
851.51,-0.19
860.02,-0.16
868.62,-0.11
877.31,-0.10
886.08,-0.12
894.94,-0.12
903.89,-0.06
912.93,-0.01
922.06,0.02
931.28,0.02
940.59,0.01
950.00,0.00
959.50,0.01
969.09,0.01
978.78,0.03
988.57,0.06
998.46,0.08
1008.44,0.02
1018.53,0.03
1028.71,0.14
1039.00,0.07
1049.39,0.00
1059.88,-0.05
1070.48,0.02
1081.19,0.07
1092.00,0.05
1102.92,0.03
1113.95,0.02
1125.09,-0.08
1136.34,-0.03
1147.70,0.14
1159.18,0.01
1170.77,-0.11
1182.48,-0.10
1194.30,-0.12
1206.25,-0.21
1218.31,-0.25
1230.49,-0.14
1242.80,-0.10
1255.22,-0.12
1267.78,-0.21
1280.45,-0.23
1293.26,-0.19
1306.19,-0.16
1319.25,-0.24
1332.45,-0.26
1345.77,-0.25
1359.23,-0.14
1372.82,-0.18
1386.55,-0.09
1400.41,0.08
1414.42,0.13
1428.56,0.09
1442.85,0.19
1457.28,0.34
1471.85,0.20
1486.57,0.12
1501.43,0.39
1516.45,0.41
1531.61,0.21
1546.93,0.43
1562.40,0.61
1578.02,0.48
1593.80,0.52
1609.74,0.67
1625.84,0.59
1642.10,0.56
1658.52,0.61
1675.10,0.78
1691.85,0.90
1708.77,0.86
1725.86,0.92
1743.12,0.86
1760.55,0.84
1778.15,0.94
