frequency,raw
20.00,1.86
20.20,1.85
20.40,1.82
20.61,1.81
20.81,1.78
21.02,1.77
21.23,1.74
21.44,1.72
21.66,1.71
21.87,1.69
22.09,1.68
22.31,1.68
22.54,1.69
22.76,1.70
22.99,1.70
23.22,1.71
23.45,1.71
23.69,1.72
23.92,1.72
24.16,1.69
24.40,1.64
24.65,1.59
24.89,1.55
25.14,1.53
25.39,1.53
25.65,1.54
25.91,1.54
26.16,1.52
26.43,1.50
26.69,1.47
26.96,1.45
27.23,1.43
27.50,1.40
27.77,1.37
28.05,1.35
28.33,1.32
28.62,1.30
28.90,1.28
29.19,1.25
29.48,1.20
29.78,1.17
30.08,1.13
30.38,1.08
30.68,1.02
30.99,0.97
31.30,0.98
31.61,0.97
31.93,0.97
32.24,0.93
32.57,0.86
32.89,0.80
33.22,0.73
33.55,0.66
33.89,0.59
34.23,0.55
34.57,0.52
34.92,0.50
35.27,0.47
35.62,0.43
35.97,0.38
36.33,0.41
36.70,0.44
37.06,0.47
37.43,0.53
37.81,0.58
38.19,0.58
38.57,0.54
38.95,0.49
39.34,0.43
39.74,0.36
40.14,0.27
40.54,0.11
40.94,-0.04
41.35,-0.12
41.76,-0.20
42.18,-0.28
42.60,-0.35
43.03,-0.42
43.46,-0.34
43.90,-0.27
44.33,-0.28
44.78,-0.31
45.23,-0.32
45.68,-0.31
46.13,-0.30
46.60,-0.29
47.06,-0.30
47.53,-0.29
48.01,-0.30
48.49,-0.33
48.97,-0.37
49.46,-0.47
49.96,-0.58
50.46,-0.63
50.96,-0.67
51.47,-0.73
51.99,-0.80
52.51,-0.81
53.03,-0.82
53.56,-0.89
54.10,-0.95
54.64,-1.02
55.18,-1.09
55.74,-1.17
56.29,-1.23
56.86,-1.30
57.42,-1.37
58.00,-1.44
58.58,-1.64
59.16,-1.80
59.76,-1.88
60.35,-1.91
60.96,-1.91
61.57,-1.99
62.18,-2.07
62.80,-2.19
63.43,-2.26
64.07,-2.31
64.71,-2.36
65.35,-2.41
66.01,-2.48
66.67,-2.61
67.33,-2.73
68.01,-2.84
68.69,-2.82
69.37,-2.83
70.07,-2.84
70.77,-2.92
71.48,-2.98
72.19,-3.02
72.91,-3.05
73.64,-3.05
74.38,-3.03
75.12,-3.01
75.87,-2.92
76.63,-2.79
77.40,-2.61
78.17,-2.42
78.95,-2.28
79.74,-2.09
80.54,-1.93
81.35,-1.75
82.16,-1.56
82.98,-1.37
83.81,-1.21
84.65,-1.05
85.50,-0.87
86.35,-0.65
87.22,-0.42
88.09,-0.26
88.97,-0.10
89.86,0.08
90.76,0.26
91.66,0.43
92.58,0.59
93.51,0.77
94.44,0.94
95.39,1.09
96.34,1.26
97.30,1.37
98.28,1.35
99.26,1.34
100.25,1.39
101.25,1.45
102.27,1.59
103.29,1.59
104.32,1.59
105.37,1.58
106.42,1.57
107.48,1.55
108.56,1.54
109.64,1.53
110.74,1.51
111.85,1.51
112.97,1.45
114.10,1.37
115.24,1.37
116.39,1.34
117.55,1.29
118.73,1.22
119.92,1.14
121.12,1.07
122.33,0.99
123.55,0.92
124.79,0.80
126.03,0.69
127.29,0.67
128.57,0.59
129.85,0.46
131.15,0.36
132.46,0.28
133.79,0.22
135.12,0.14
136.48,0.04
