frequency,raw
20.00,-1.89
20.20,-1.80
20.40,-1.73
20.61,-1.64
20.81,-1.57
21.02,-1.47
21.23,-1.30
21.44,-1.12
21.66,-0.94
21.87,-0.76
22.09,-0.64
22.31,-0.60
22.54,-0.54
22.76,-0.49
22.99,-0.44
23.22,-0.39
23.45,-0.35
23.69,-0.30
23.92,-0.26
24.16,-0.12
24.40,0.06
24.65,0.25
24.89,0.45
25.14,0.60
25.39,0.71
25.65,0.83
25.91,0.95
26.16,1.01
26.43,1.04
26.69,1.07
26.96,1.11
27.23,1.27
27.50,1.46
27.77,1.64
28.05,1.80
28.33,1.88
28.62,1.95
28.90,2.02
29.19,2.15
29.48,2.28
29.78,2.43
30.08,2.59
30.38,2.77
30.68,2.95
30.99,3.13
31.30,3.11
31.61,3.06
31.93,3.02
32.24,3.12
32.57,3.25
32.89,3.40
33.22,3.51
33.55,3.62
33.89,3.73
34.23,3.80
34.57,3.86
34.92,3.91
35.27,4.08
35.62,4.28
35.97,4.49
36.33,4.56
36.70,4.63
37.06,4.69
37.43,4.77
37.81,4.84
38.19,4.95
38.57,5.10
38.95,5.25
39.34,5.38
39.74,5.50
40.14,5.60
40.54,5.64
40.94,5.68
41.35,5.71
41.76,5.73
42.18,5.79
42.60,5.92
43.03,6.04
43.46,6.20
43.90,6.35
44.33,6.37
44.78,6.34
45.23,6.38
45.68,6.49
46.13,6.59
46.60,6.65
47.06,6.71
47.53,6.79
48.01,6.86
48.49,6.93
48.97,7.00
49.46,7.03
49.96,7.06
50.46,7.13
50.96,7.21
51.47,7.21
51.99,7.20
52.51,7.25
53.03,7.29
53.56,7.34
54.10,7.39
54.64,7.42
55.18,7.44
55.74,7.43
56.29,7.46
56.86,7.51
57.42,7.52
58.00,7.52
58.58,7.52
59.16,7.53
59.76,7.58
60.35,7.62
60.96,7.65
61.57,7.66
62.18,7.68
62.80,7.70
63.43,7.73
64.07,7.76
64.71,7.78
65.35,7.81
66.01,7.83
66.67,7.78
67.33,7.76
68.01,7.78
68.69,7.79
69.37,7.80
70.07,7.82
70.77,7.82
71.48,7.83
72.19,7.84
72.91,7.85
73.64,7.86
74.38,7.85
75.12,7.81
75.87,7.77
76.63,7.74
77.40,7.71
78.17,7.68
78.95,7.63
79.74,7.55
80.54,7.52
81.35,7.49
82.16,7.39
82.98,7.27
83.81,7.18
84.65,7.12
85.50,7.10
86.35,7.04
87.22,6.95
88.09,6.90
88.97,6.86
89.86,6.86
90.76,6.76
91.66,6.71
92.58,6.64
93.51,6.60
94.44,6.60
95.39,6.56
96.34,6.51
97.30,6.48
98.28,6.42
99.26,6.47
100.25,6.48
101.25,6.46
102.27,6.46
103.29,6.45
104.32,6.44
105.37,6.43
106.42,6.44
107.48,6.43
108.56,6.39
109.64,6.38
110.74,6.36
111.85,6.34
112.97,6.34
114.10,6.23
115.24,6.22
116.39,6.15
117.55,6.11
118.73,6.11
119.92,6.10
121.12,6.08
122.33,6.01
123.55,5.92
