frequency,raw
20.00,-11.31
20.20,-11.17
20.40,-11.04
20.61,-10.90
20.81,-10.78
21.02,-10.64
21.23,-10.54
21.44,-10.44
21.66,-10.33
21.87,-10.22
22.09,-10.11
22.31,-9.98
22.54,-9.84
22.76,-9.70
22.99,-9.57
23.22,-9.43
23.45,-9.30
23.69,-9.17
23.92,-9.04
24.16,-8.92
24.40,-8.80
24.65,-8.67
24.89,-8.54
25.14,-8.42
25.39,-8.30
25.65,-8.17
25.91,-8.04
26.16,-7.92
26.43,-7.79
26.69,-7.67
26.96,-7.53
27.23,-7.42
27.50,-7.31
27.77,-7.20
28.05,-7.09
28.33,-6.95
28.62,-6.82
28.90,-6.69
29.19,-6.56
29.48,-6.46
29.78,-6.35
30.08,-6.23
30.38,-6.11
30.68,-5.99
30.99,-5.88
31.30,-5.77
31.61,-5.67
31.93,-5.57
32.24,-5.44
32.57,-5.32
32.89,-5.18
33.22,-5.07
33.55,-4.95
33.89,-4.84
34.23,-4.71
34.57,-4.58
34.92,-4.44
35.27,-4.32
35.62,-4.21
35.97,-4.11
36.33,-3.99
36.70,-3.86
37.06,-3.74
37.43,-3.65
37.81,-3.57
38.19,-3.49
38.57,-3.40
38.95,-3.32
39.34,-3.20
39.74,-3.07
40.14,-2.94
40.54,-2.81
40.94,-2.67
41.35,-2.56
41.76,-2.46
42.18,-2.37
42.60,-2.26
43.03,-2.16
43.46,-2.02
43.90,-1.89
44.33,-1.81
44.78,-1.75
45.23,-1.67
45.68,-1.58
46.13,-1.47
46.60,-1.35
47.06,-1.25
47.53,-1.16
48.01,-1.08
48.49,-1.01
48.97,-0.94
49.46,-0.79
49.96,-0.64
50.46,-0.59
50.96,-0.55
51.47,-0.47
51.99,-0.37
52.51,-0.27
53.03,-0.18
53.56,-0.12
54.10,-0.05
54.64,0.04
55.18,0.12
55.74,0.19
56.29,0.26
56.86,0.34
57.42,0.43
58.00,0.53
58.58,0.65
59.16,0.75
59.76,0.80
60.35,0.88
60.96,0.98
61.57,1.09
62.18,1.21
62.80,1.31
63.43,1.42
64.07,1.51
64.71,1.57
65.35,1.68
66.01,1.83
66.67,1.88
67.33,1.95
68.01,2.06
68.69,2.12
69.37,2.19
70.07,2.28
70.77,2.35
71.48,2.41
72.19,2.49
72.91,2.59
73.64,2.61
74.38,2.64
75.12,2.68
75.87,2.75
76.63,2.84
77.40,2.93
78.17,3.01
78.95,3.02
79.74,3.11
80.54,3.15
81.35,3.17
82.16,3.20
82.98,3.29
83.81,3.30
84.65,3.36
85.50,3.41
86.35,3.43
87.22,3.44
88.09,3.46
88.97,3.47
89.86,3.47
90.76,3.56
91.66,3.59
92.58,3.59
93.51,3.60
94.44,3.60
95.39,3.60
96.34,3.61
97.30,3.60
98.28,3.59
99.26,3.59
100.25,3.57
101.25,3.55
102.27,3.52
103.29,3.48
104.32,3.44
105.37,3.42
106.42,3.41
107.48,3.39
108.56,3.38
109.64,3.37
110.74,3.29
111.85,3.23
112.97,3.13
114.10,3.12
115.24,3.11
116.39,3.08
117.55,3.03
118.73,2.93
119.92,2.88
121.12,2.88
122.33,2.81
123.55,2.71
124.79,2.64
126.03,2.63
127.29,2.55
128.57,2.46
