frequency,raw
20.00,3.84
20.20,3.88
20.40,3.91
20.61,3.95
20.81,3.98
21.02,4.02
21.23,4.06
21.44,4.10
21.66,4.14
21.87,4.19
22.09,4.22
22.31,4.25
22.54,4.30
22.76,4.34
22.99,4.37
23.22,4.39
23.45,4.41
23.69,4.43
23.92,4.45
24.16,4.47
24.40,4.49
24.65,4.52
24.89,4.55
25.14,4.56
25.39,4.57
25.65,4.59
25.91,4.60
26.16,4.63
26.43,4.67
26.69,4.72
26.96,4.77
27.23,4.80
27.50,4.83
27.77,4.86
28.05,4.88
28.33,4.88
28.62,4.88
28.90,4.88
29.19,4.88
29.48,4.87
29.78,4.86
30.08,4.87
30.38,4.92
30.68,4.97
30.99,5.02
31.30,5.04
31.61,5.06
31.93,5.08
32.24,5.09
32.57,5.09
32.89,5.10
33.22,5.10
33.55,5.11
33.89,5.11
34.23,5.12
34.57,5.12
34.92,5.12
35.27,5.13
35.62,5.13
35.97,5.13
36.33,5.13
36.70,5.13
37.06,5.14
37.43,5.20
37.81,5.26
38.19,5.27
38.57,5.25
38.95,5.23
39.34,5.23
39.74,5.23
40.14,5.23
40.54,5.23
40.94,5.23
41.35,5.24
41.76,5.24
42.18,5.24
42.60,5.25
43.03,5.25
43.46,5.26
43.90,5.26
44.33,5.26
44.78,5.26
45.23,5.26
45.68,5.26
46.13,5.26
46.60,5.26
47.06,5.25
47.53,5.25
48.01,5.24
48.49,5.23
48.97,5.22
49.46,5.21
49.96,5.19
50.46,5.18
50.96,5.17
51.47,5.19
51.99,5.22
52.51,5.02
53.03,4.83
53.56,4.87
54.10,4.90
54.64,4.89
55.18,4.88
55.74,4.87
56.29,4.87
56.86,4.86
57.42,4.86
58.00,4.86
58.58,4.86
59.16,4.86
59.76,4.87
60.35,4.88
60.96,4.89
61.57,4.78
62.18,4.73
62.80,4.82
63.43,4.91
64.07,4.98
64.71,4.95
65.35,4.91
66.01,4.87
66.67,4.89
67.33,4.90
68.01,4.92
68.69,4.81
69.37,4.78
70.07,4.85
70.77,4.95
71.48,4.88
72.19,4.78
72.91,4.77
73.64,4.73
74.38,4.68
75.12,4.63
75.87,4.64
76.63,4.62
77.40,4.58
78.17,4.57
78.95,4.67
79.74,4.42
80.54,4.36
81.35,4.43
82.16,4.47
82.98,4.48
83.81,4.41
84.65,4.37
85.50,4.34
86.35,4.24
87.22,4.11
88.09,4.18
88.97,4.25
89.86,4.25
90.76,4.26
91.66,4.27
92.58,4.27
93.51,4.28
94.44,4.22
95.39,4.14
96.34,4.23
97.30,4.38
98.28,4.44
99.26,4.61
100.25,4.56
101.25,4.43
102.27,4.43
103.29,4.43
104.32,4.42
105.37,4.32
106.42,4.16
107.48,4.21
108.56,4.26
109.64,4.20
110.74,4.10
111.85,4.20
112.97,4.32
114.10,4.30
115.24,4.30
116.39,4.29
117.55,4.28
118.73,4.28
119.92,4.09
121.12,4.02
122.33,4.10
123.55,4.14
124.79,4.13
126.03,4.11
127.29,4.10
128.57,4.09
129.85,4.07
131.15,4.07
132.46,4.05
133.79,4.05
135.12,4.03
136.48,4.02
137.84,4.02
139.22,4.06
140.61,4.14
142.02,4.08
143.44,3.76
144.87,3.67
146.32,3.76
147.78,3.81
149.26,3.82
150.75,3.84
152.26,3.69
153.78,3.64
155.32,3.78
156.88,3.84
158.44,3.73
160.03,3.55
161.63,3.49
163.24,3.38
164.88,3.06
166.53,3.05
168.19,3.02
169.87,2.98
171.57,3.29
173.29,3.41
175.02,3.42
176.77,3.39
178.54,3.35
180.32,3.32
182.13,3.30
183.95,3.28
185.79,3.06
187.65,2.98
189.52,3.10
191.42,3.15
193.33,3.16
195.27,3.16
197.22,3.16
199.19,3.10
201.18,3.07
203.19,3.02
205.23,2.99
207.28,2.99
209.35,2.93
211.44,2.74
213.56,2.77
215.69,2.89
217.85,2.92
220.03,2.85
222.23,2.79
224.45,2.73
226.70,2.72
228.96,2.72
231.25,2.50
233.57,2.46
235.90,2.69
238.26,2.52
240.64,2.43
243.05,2.45
245.48,2.46
247.93,2.46
250.41,2.39
252.92,2.34
255.45,2.23
258.00,2.02
260.58,2.06
263.19,2.23
265.82,2.46
268.48,2.05
271.16,1.91
273.87,2.22
276.61,1.94
279.38,1.66
282.17,1.75
284.99,1.71
287.84,1.57
290.72,1.60
293.63,1.67
296.57,1.64
299.53,1.16
302.53,1.26
305.55,1.32
308.61,1.27
311.69,1.22
314.81,1.16
317.96,1.16
321.14,1.21
324.35,1.25
327.59,0.82
330.87,0.68
334.18,0.71
337.52,0.87
340.90,0.70
344.30,0.34
347.75,0.05
351.23,0.05
354.74,0.10
358.28,0.05
361.87,-0.05
365.49,-0.25
369.14,-0.56
372.83,-0.40
376.56,-0.14
380.33,-0.32
384.13,-0.48
387.97,-0.54
391.85,-0.50
395.77,-0.55
399.73,-0.90
403.72,-1.01
407.76,-0.70
411.84,-0.70
415.96,-0.71
420.12,-0.76
424.32,-1.23
428.56,-1.32
432.85,-1.18
437.18,-0.96
441.55,-0.89
445.96,-1.21
450.42,-1.39
454.93,-1.11
459.48,-1.00
464.07,-0.89
468.71,-0.74
473.40,-0.87
478.13,-0.98
482.91,-1.02
487.74,-1.12
492.62,-0.88
497.55,-0.80
502.52,-1.02
507.55,-1.10
512.62,-0.90
517.75,-0.86
522.93,-0.89
528.16,-0.79
533.44,-0.67
538.77,-0.68
544.16,-0.66
549.60,-0.47
555.10,-0.50
560.65,-0.50
566.25,-0.31
571.92,-0.26
577.64,-0.29
583.41,-0.15
589.25,-0.05
595.14,-0.07
601.09,-0.06
607.10,0.27
613.17,0.26
619.30,0.23
625.50,0.34
631.75,0.37
638.07,0.35
644.45,0.43
650.89,0.51
657.40,0.53
663.98,0.52
670.62,0.53
677.32,0.65
684.10,0.70
690.94,0.72
697.85,0.75
704.83,0.75
711.87,0.76
718.99,0.75
726.18,0.82
733.44,0.88
740.78,0.90
748.19,0.91
755.67,0.92
763.23,0.92
770.86,0.94
778.57,0.94
786.35,0.96
794.22,0.97
802.16,0.98
810.18,0.98
818.28,0.92
826.46,0.87
834.73,0.86
843.08,0.86
851.51,0.84
860.02,0.78
868.62,0.69
877.31,0.66
886.08,0.66
894.94,0.64
903.89,0.62
912.93,0.54
922.06,0.46
931.28,0.40
940.59,0.38
950.00,0.26
959.50,0.24
969.09,0.32
978.78,0.26
988.57,0.15
998.46,0.09
1008.44,-0.04
1018.53,-0.06
1028.71,-0.03
1039.00,-0.03
1049.39,-0.10
1059.88,-0.20
1070.48,-0.30
1081.19,-0.35
1092.00,-0.37
1102.92,-0.40
1113.95,-0.41
1125.09,-0.49
1136.34,-0.58
1147.70,-0.64
1159.18,-0.72
1170.77,-0.82
1182.48,-0.91
1194.30,-0.97
1206.25,-1.07
1218.31,-1.12
1230.49,-1.20
1242.80,-1.31
1255.22,-1.35
1267.78,-1.45
1280.45,-1.55
1293.26,-1.60
1306.19,-1.64
1319.25,-1.74
1332.45,-1.80
1345.77,-1.86
1359.23,-1.91
1372.82,-1.89
1386.55,-1.93
1400.41,-2.08
1414.42,-2.19
1428.56,-2.25
1442.85,-2.24
1457.28,-2.33
1471.85,-2.43
1486.57,-2.47
1501.43,-2.55
1516.45,-2.61
1531.61,-2.63
1546.93,-2.65
1562.40,-2.63
1578.02,-2.66
1593.80,-2.73
1609.74,-2.74
1625.84,-2.72
1642.10,-2.68
1658.52,-2.60
1675.10,-2.70
1691.85,-2.69
1708.77,-2.64
1725.86,-2.61
1743.12,-2.61
1760.55,-2.56
1778.15,-2.50
1795.94,-2.45
1813.90,-2.40
1832.03,-2.38
1850.36,-2.34
1868.86,-2.34
1887.55,-2.32
1906.42,-2.23
1925.49,-2.17
1944.74,-2.07
1964.19,-2.01
1983.83,-2.00
2003.67,-2.08
2023.71,-2.05
2043.94,-1.95
2064.38,-1.99
2085.03,-1.93
2105.88,-1.79
2126.94,-1.65
2148.20,-1.58
2169.69,-1.52
2191.38,-1.39
2213.30,-1.30
2235.43,-1.26
2257.78,-0.98
2280.36,-0.74
2303.17,-0.65
2326.20,-0.51
2349.46,-0.33
2372.95,-0.10
2396.68,0.12
2420.65,0.35
2444.86,0.49
2469.31,0.62
2494.00,0.73
2518.94,0.87
2544.13,1.03
2569.57,1.16
2595.27,1.36
2621.22,1.61
2647.43,1.82
2673.90,2.06
2700.64,2.23
2727.65,2.42
2754.93,2.66
2782.48,2.85
2810.30,3.01
2838.40,3.12
2866.79,3.15
2895.46,3.12
2924.41,3.00
2953.65,2.89
2983.19,2.77
3013.02,2.55
3043.15,2.15
3073.58,1.77
3104.32,1.39
3135.36,0.60
3166.72,-0.05
3198.38,-0.67
3230.37,-1.65
3262.67,-2.29
3295.30,-2.93
3328.25,-3.10
3361.53,-2.79
3395.15,-2.54
3429.10,-2.26
3463.39,-1.84
3498.03,-1.40
3533.01,-1.05
3568.34,-0.63
3604.02,-0.22
3640.06,0.11
3676.46,0.42
3713.22,0.73
3750.36,0.88
3787.86,1.13
3825.74,1.13
3864.00,1.08
3902.64,1.36
3941.66,1.55
3981.08,1.72
4020.89,1.86
4061.10,1.96
4101.71,1.97
4142.73,2.04
4184.15,2.12
4226.00,2.14
4268.26,2.18
4310.94,2.15
4354.05,2.04
4397.59,1.99
4441.56,2.04
4485.98,2.05
4530.84,1.89
4576.15,1.76
4621.91,1.70
4668.13,1.53
4714.81,1.51
4761.96,1.53
4809.58,1.46
4857.67,1.35
4906.25,1.26
4955.31,1.23
5004.87,1.10
5054.91,0.97
5105.46,0.94
5156.52,0.74
5208.08,0.24
5260.16,-0.01
5312.77,-0.11
5365.89,-0.38
5419.55,-0.65
5473.75,-1.00
5528.49,-0.75
5583.77,-0.06
5639.61,-0.24
5696.00,-0.61
5752.96,-1.38
5810.49,-1.54
5868.60,-1.35
5927.28,-0.97
5986.56,-0.67
6046.42,-0.55
6106.89,-0.21
6167.96,0.25
6229.64,0.53
6291.93,0.83
6354.85,0.94
6418.40,0.80
6482.58,0.54
6547.41,0.25
6612.88,0.07
6679.01,-0.03
6745.80,-0.11
6813.26,-0.13
6881.39,-0.16
6950.21,-0.06
7019.71,0.04
7089.91,0.09
7160.81,0.18
7232.41,0.29
7304.74,0.33
7377.79,0.38
7451.56,0.41
7526.08,0.36
7601.34,0.31
7677.35,0.32
7754.13,0.44
7831.67,0.50
7909.98,0.61
7989.08,0.76
8068.98,0.95
8149.67,1.03
8231.16,1.35
8313.47,1.78
8396.61,1.85
8480.57,1.88
8565.38,1.89
8651.03,1.69
8737.54,1.28
8824.92,0.70
8913.17,-0.12
9002.30,-0.76
9092.32,-1.37
9183.25,-1.61
9275.08,-1.77
9367.83,-2.05
9461.51,-2.36
9556.12,-2.44
9651.68,-2.49
9748.20,-2.54
9845.68,-2.29
9944.14,-1.99
10043.58,-1.88
10144.02,-2.10
10245.46,-1.95
10347.91,-1.42
10451.39,-1.51
10555.91,-1.80
10661.46,-2.17
10768.08,-3.01
10875.76,-3.74
10984.52,-4.34
11094.36,-4.07
11205.31,-3.65
11317.36,-3.78
11430.53,-4.65
11544.84,-5.76
11660.29,-6.79
11776.89,-8.00
11894.66,-8.91
12013.60,-9.19
12133.74,-9.34
12255.08,-10.12
12377.63,-10.67
12501.41,-10.08
12626.42,-8.73
12752.68,-7.50
12880.21,-6.68
13009.01,-6.36
13139.10,-6.82
13270.49,-7.73
13403.20,-8.35
13537.23,-8.61
13672.60,-9.00
13809.33,-9.08
13947.42,-8.57
14086.90,-8.37
14227.77,-8.11
14370.04,-7.64
14513.74,-7.25
14658.88,-6.88
14805.47,-6.29
14953.52,-5.83
15103.06,-5.64
15254.09,-5.41
15406.63,-5.21
15560.70,-5.34
15716.30,-5.33
15873.47,-5.32
16032.20,-6.03
16192.52,-6.61
16354.45,-7.09
16517.99,-7.36
16683.17,-8.57
16850.01,-9.75
17018.51,-11.43
17188.69,-11.70
17360.58,-11.83
17534.18,-12.05
17709.53,-12.09
17886.62,-12.11
18065.49,-12.00
18246.14,-11.76
18428.60,-11.65
18612.89,-11.60
18799.02,-11.81
18987.01,-12.47
19176.88,-13.31
19368.65,-14.20
19562.33,-14.72
19757.96,-15.38
19955.54,-16.35
