frequency,raw
20.00,-2.78
20.20,-2.75
20.40,-2.73
20.61,-2.70
20.81,-2.68
21.02,-2.63
21.23,-2.47
21.44,-2.30
21.66,-2.13
21.87,-1.96
22.09,-1.86
22.31,-1.85
22.54,-1.83
22.76,-1.81
22.99,-1.80
23.22,-1.74
23.45,-1.68
23.69,-1.61
23.92,-1.56
24.16,-1.50
24.40,-1.44
24.65,-1.38
24.89,-1.31
25.14,-1.28
25.39,-1.27
25.65,-1.25
25.91,-1.24
26.16,-1.20
26.43,-1.15
26.69,-1.09
26.96,-1.02
27.23,-0.98
27.50,-0.94
27.77,-0.91
28.05,-0.87
28.33,-0.82
28.62,-0.77
28.90,-0.72
29.19,-0.64
29.48,-0.55
29.78,-0.45
30.08,-0.38
30.38,-0.36
30.68,-0.35
30.99,-0.33
31.30,-0.29
31.61,-0.26
31.93,-0.23
32.24,-0.19
32.57,-0.17
32.89,-0.14
33.22,-0.10
33.55,-0.05
33.89,-0.00
34.23,0.04
34.57,0.08
34.92,0.11
35.27,0.15
35.62,0.18
35.97,0.21
36.33,0.25
36.70,0.29
37.06,0.33
37.43,0.33
37.81,0.33
38.19,0.32
38.57,0.31
38.95,0.30
39.34,0.34
39.74,0.39
40.14,0.42
40.54,0.42
40.94,0.42
41.35,0.43
41.76,0.43
42.18,0.45
42.60,0.52
43.03,0.57
43.46,0.61
43.90,0.64
44.33,0.65
44.78,0.65
45.23,0.65
45.68,0.65
46.13,0.67
46.60,0.72
47.06,0.76
47.53,0.74
48.01,0.71
48.49,0.76
48.97,0.81
49.46,0.86
49.96,0.89
50.46,0.88
50.96,0.86
51.47,0.85
51.99,0.84
52.51,0.83
53.03,0.82
53.56,0.89
54.10,0.94
54.64,0.88
55.18,0.87
55.74,0.94
56.29,0.98
56.86,0.97
57.42,0.97
58.00,0.97
58.58,0.97
59.16,0.97
59.76,0.96
60.35,1.00
60.96,1.06
61.57,1.04
62.18,1.03
62.80,1.04
63.43,1.07
64.07,1.11
64.71,1.13
65.35,1.13
66.01,1.10
66.67,1.05
67.33,1.02
68.01,1.02
68.69,0.93
69.37,0.96
70.07,1.09
70.77,1.07
71.48,1.13
72.19,1.19
72.91,1.20
73.64,1.21
74.38,1.21
75.12,1.20
75.87,1.30
76.63,1.36
77.40,1.39
78.17,1.41
78.95,1.40
79.74,1.48
80.54,1.53
81.35,1.57
82.16,1.58
82.98,1.59
83.81,1.60
84.65,1.61
85.50,1.62
86.35,1.63
87.22,1.64
88.09,1.65
88.97,1.66
89.86,1.66
90.76,1.68
91.66,1.68
92.58,1.62
93.51,1.59
94.44,1.59
95.39,1.59
96.34,1.60
97.30,1.59
98.28,1.58
99.26,1.58
100.25,1.56
101.25,1.54
102.27,1.54
103.29,1.54
104.32,1.53
105.37,1.52
106.42,1.50
107.48,1.44
108.56,1.37
109.64,1.33
110.74,1.26
111.85,1.22
112.97,1.22
114.10,1.21
115.24,1.21
116.39,1.20
