frequency,raw
20.00,-0.92
20.20,-0.83
20.40,-0.74
20.61,-0.65
20.81,-0.56
21.02,-0.47
21.23,-0.40
21.44,-0.32
21.66,-0.24
21.87,-0.17
22.09,-0.10
22.31,-0.05
22.54,0.01
22.76,0.08
22.99,0.13
23.22,0.24
23.45,0.35
23.69,0.46
23.92,0.57
24.16,0.63
24.40,0.68
24.65,0.72
24.89,0.78
25.14,0.86
25.39,0.96
25.65,1.07
25.91,1.17
26.16,1.25
26.43,1.30
26.69,1.36
26.96,1.42
27.23,1.47
27.50,1.52
27.77,1.57
28.05,1.62
28.33,1.67
28.62,1.72
28.90,1.76
29.19,1.81
29.48,1.85
29.78,1.90
30.08,1.96
30.38,2.03
30.68,2.11
30.99,2.19
31.30,2.26
31.61,2.32
31.93,2.39
32.24,2.44
32.57,2.47
32.89,2.52
33.22,2.60
33.55,2.70
33.89,2.80
34.23,2.86
34.57,2.89
34.92,2.92
35.27,2.97
35.62,3.01
35.97,3.06
36.33,3.12
36.70,3.19
37.06,3.25
37.43,3.28
37.81,3.31
38.19,3.33
38.57,3.38
38.95,3.43
39.34,3.47
39.74,3.51
40.14,3.55
40.54,3.59
40.94,3.63
41.35,3.69
41.76,3.73
42.18,3.75
42.60,3.76
43.03,3.76
43.46,3.82
43.90,3.87
44.33,3.91
44.78,3.95
45.23,3.97
45.68,3.98
46.13,3.99
46.60,4.04
47.06,4.07
47.53,4.07
48.01,4.06
48.49,4.05
48.97,4.04
49.46,4.08
49.96,4.11
50.46,4.10
50.96,4.09
51.47,4.13
51.99,4.17
52.51,4.16
53.03,4.15
53.56,4.14
54.10,4.13
54.64,4.12
55.18,4.11
55.74,4.10
56.29,4.10
56.86,4.09
57.42,4.13
58.00,4.19
58.58,4.19
59.16,4.19
59.76,4.20
60.35,4.21
60.96,4.22
61.57,4.23
62.18,4.25
62.80,4.27
63.43,4.30
64.07,4.33
64.71,4.35
65.35,4.36
66.01,4.34
66.67,4.33
67.33,4.32
68.01,4.35
68.69,4.36
69.37,4.37
70.07,4.39
70.77,4.39
71.48,4.40
72.19,4.41
72.91,4.42
73.64,4.43
74.38,4.41
75.12,4.36
75.87,4.35
76.63,4.38
77.40,4.41
78.17,4.43
78.95,4.44
79.74,4.46
80.54,4.47
81.35,4.47
82.16,4.44
82.98,4.37
83.81,4.41
84.65,4.43
85.50,4.44
86.35,4.39
87.22,4.30
88.09,4.33
88.97,4.39
89.86,4.40
90.76,4.25
91.66,4.14
92.58,4.05
93.51,4.07
94.44,4.09
95.39,4.05
96.34,3.99
97.30,3.91
98.28,3.90
99.26,3.89
100.25,3.76
101.25,3.69
102.27,3.71
103.29,3.62
104.32,3.57
105.37,3.57
106.42,3.48
107.48,3.40
