frequency,raw
20.00,1.27
20.20,1.29
20.40,1.30
20.61,1.32
20.81,1.33
21.02,1.35
21.23,1.34
21.44,1.34
21.66,1.34
21.87,1.34
22.09,1.35
22.31,1.36
22.54,1.38
22.76,1.41
22.99,1.42
23.22,1.44
23.45,1.44
23.69,1.46
23.92,1.47
24.16,1.47
24.40,1.47
24.65,1.47
24.89,1.48
25.14,1.48
25.39,1.48
25.65,1.49
25.91,1.49
26.16,1.49
26.43,1.49
26.69,1.49
26.96,1.50
27.23,1.50
27.50,1.50
27.77,1.50
28.05,1.50
28.33,1.50
28.62,1.50
28.90,1.50
29.19,1.50
29.48,1.49
29.78,1.49
30.08,1.49
30.38,1.49
30.68,1.49
30.99,1.49
31.30,1.50
31.61,1.50
31.93,1.50
32.24,1.51
32.57,1.51
32.89,1.52
33.22,1.52
33.55,1.53
33.89,1.53
34.23,1.54
34.57,1.54
34.92,1.54
35.27,1.55
35.62,1.55
35.97,1.55
36.33,1.55
36.70,1.55
37.06,1.55
37.43,1.55
37.81,1.55
38.19,1.54
38.57,1.54
38.95,1.54
39.34,1.54
39.74,1.54
40.14,1.51
40.54,1.42
40.94,1.32
41.35,1.37
41.76,1.43
42.18,1.48
42.60,1.53
43.03,1.56
43.46,1.49
43.90,1.40
44.33,1.38
44.78,1.38
45.23,1.38
45.68,1.38
46.13,1.38
46.60,1.38
47.06,1.37
47.53,1.37
48.01,1.36
48.49,1.39
48.97,1.43
49.46,1.33
49.96,1.22
50.46,1.20
50.96,1.19
51.47,1.18
51.99,1.17
52.51,1.21
53.03,1.23
53.56,1.08
54.10,0.97
54.64,0.99
55.18,1.00
55.74,1.00
56.29,1.01
56.86,1.00
57.42,0.99
58.00,0.98
58.58,0.92
59.16,0.87
59.76,0.83
60.35,0.78
60.96,0.72
61.57,0.68
62.18,0.64
62.80,0.61
63.43,0.55
64.07,0.48
64.71,0.38
65.35,0.40
66.01,0.48
66.67,0.41
67.33,0.34
68.01,0.28
68.69,0.21
69.37,0.09
70.07,-0.05
70.77,-0.01
71.48,-0.09
72.19,-0.15
72.91,-0.03
73.64,-0.13
74.38,-0.18
75.12,-0.19
75.87,-0.24
76.63,-0.24
77.40,-0.27
78.17,-0.34
78.95,-0.39
79.74,-0.44
80.54,-0.53
81.35,-0.58
82.16,-0.57
82.98,-0.51
83.81,-0.50
84.65,-0.49
85.50,-0.48
86.35,-0.47
87.22,-0.44
88.09,-0.35
88.97,-0.22
89.86,-0.31
90.76,-0.33
91.66,-0.25
92.58,-0.22
93.51,-0.16
94.44,-0.11
95.39,-0.11
96.34,-0.11
97.30,-0.13
98.28,-0.23
99.26,-0.34
100.25,-0.29
101.25,-0.31
102.27,-0.48
103.29,-0.41
104.32,-0.37
105.37,-0.35
106.42,-0.32
107.48,-0.49
108.56,-0.63
109.64,-0.53
110.74,-0.52
111.85,-0.58
112.97,-0.71
114.10,-0.93
115.24,-1.14
116.39,-1.03
117.55,-0.97
118.73,-1.13
119.92,-1.13
121.12,-1.24
122.33,-1.38
123.55,-1.40
124.79,-1.39
126.03,-1.58
127.29,-1.61
128.57,-1.60
129.85,-1.58
131.15,-1.59
