frequency,raw
20.00,-1.77
20.20,-1.77
20.40,-1.78
20.61,-1.78
20.81,-1.79
21.02,-1.79
21.23,-1.78
21.44,-1.76
21.66,-1.73
21.87,-1.71
22.09,-1.70
22.31,-1.70
22.54,-1.69
22.76,-1.68
22.99,-1.68
23.22,-1.64
23.45,-1.61
23.69,-1.56
23.92,-1.53
24.16,-1.53
24.40,-1.54
24.65,-1.55
24.89,-1.55
25.14,-1.55
25.39,-1.55
25.65,-1.54
25.91,-1.54
26.16,-1.54
26.43,-1.54
26.69,-1.54
26.96,-1.53
27.23,-1.56
27.50,-1.59
27.77,-1.62
28.05,-1.64
28.33,-1.64
28.62,-1.63
28.90,-1.63
29.19,-1.63
29.48,-1.64
29.78,-1.64
30.08,-1.64
30.38,-1.64
30.68,-1.64
30.99,-1.64
31.30,-1.63
31.61,-1.64
31.93,-1.64
32.24,-1.67
32.57,-1.73
32.89,-1.78
33.22,-1.84
33.55,-1.89
33.89,-1.95
34.23,-1.96
34.57,-1.96
34.92,-1.96
35.27,-1.97
35.62,-2.00
35.97,-2.03
36.33,-2.03
36.70,-2.02
37.06,-2.04
37.43,-2.13
37.81,-2.22
38.19,-2.30
38.57,-2.33
38.95,-2.36
39.34,-2.45
39.74,-2.55
40.14,-2.66
40.54,-2.76
40.94,-2.87
41.35,-2.91
41.76,-2.95
42.18,-3.02
42.60,-3.11
43.03,-3.20
43.46,-3.24
43.90,-3.28
44.33,-3.32
44.78,-3.37
45.23,-3.39
45.68,-3.38
46.13,-3.38
46.60,-3.41
47.06,-3.44
47.53,-3.42
48.01,-3.41
48.49,-3.42
48.97,-3.43
49.46,-3.49
49.96,-3.56
50.46,-3.53
50.96,-3.50
51.47,-3.45
51.99,-3.39
52.51,-3.31
53.03,-3.22
53.56,-3.09
54.10,-2.95
54.64,-2.76
55.18,-2.61
55.74,-2.52
56.29,-2.45
56.86,-2.43
57.42,-2.46
58.00,-2.52
58.58,-2.52
59.16,-2.51
59.76,-2.46
60.35,-2.42
60.96,-2.39
61.57,-2.38
62.18,-2.40
62.80,-2.52
63.43,-2.62
64.07,-2.72
64.71,-2.80
65.35,-2.90
66.01,-3.03
66.67,-3.18
67.33,-3.25
68.01,-3.24
68.69,-3.19
69.37,-3.13
70.07,-3.05
70.77,-3.06
71.48,-3.09
72.19,-3.14
72.91,-3.19
73.64,-3.29
74.38,-3.32
75.12,-3.31
75.87,-3.30
76.63,-3.28
77.40,-3.26
78.17,-3.23
78.95,-3.18
79.74,-3.09
80.54,-3.02
81.35,-3.01
82.16,-3.10
82.98,-3.22
83.81,-3.19
84.65,-3.15
