frequency,raw
20.00,4.56
20.20,4.57
20.40,4.57
20.61,4.59
20.81,4.59
21.02,4.60
21.23,4.62
21.44,4.65
21.66,4.68
21.87,4.71
22.09,4.73
22.31,4.73
22.54,4.74
22.76,4.75
22.99,4.75
23.22,4.78
23.45,4.81
23.69,4.84
23.92,4.86
24.16,4.87
24.40,4.87
24.65,4.87
24.89,4.88
25.14,4.88
25.39,4.88
25.65,4.89
25.91,4.89
26.16,4.89
26.43,4.89
26.69,4.89
26.96,4.90
27.23,4.90
27.50,4.90
27.77,4.90
28.05,4.91
28.33,4.93
28.62,4.96
28.90,4.99
29.19,5.00
29.48,4.99
29.78,4.99
30.08,4.99
30.38,4.99
30.68,4.99
30.99,4.99
31.30,5.00
31.61,5.00
31.93,5.00
32.24,4.99
32.57,4.95
32.89,4.93
33.22,4.92
33.55,4.93
33.89,4.93
34.23,4.94
34.57,4.94
34.92,4.94
35.27,4.95
35.62,4.95
35.97,4.95
36.33,4.95
36.70,4.95
37.06,4.95
37.43,4.95
37.81,4.95
38.19,4.94
38.57,4.94
38.95,4.94
39.34,4.89
39.74,4.84
40.14,4.80
40.54,4.77
40.94,4.74
41.35,4.75
41.76,4.75
42.18,4.73
42.60,4.70
43.03,4.66
43.46,4.67
43.90,4.67
44.33,4.67
44.78,4.67
45.23,4.67
45.68,4.67
46.13,4.66
46.60,4.61
47.06,4.55
47.53,4.49
48.01,4.42
48.49,4.34
48.97,4.26
49.46,4.23
49.96,4.18
50.46,4.11
50.96,4.03
51.47,3.99
51.99,3.96
52.51,3.87
53.03,3.78
53.56,3.75
54.10,3.71
54.64,3.66
55.18,3.62
55.74,3.60
56.29,3.57
56.86,3.51
57.42,3.45
58.00,3.39
58.58,3.38
59.16,3.38
59.76,3.39
60.35,3.37
60.96,3.33
61.57,3.39
62.18,3.44
62.80,3.46
63.43,3.49
64.07,3.52
64.71,3.54
65.35,3.57
66.01,3.59
66.67,3.74
67.33,3.82
68.01,3.84
68.69,3.88
69.37,3.98
70.07,4.12
70.77,4.17
71.48,4.24
72.19,4.33
72.91,4.39
73.64,4.48
74.38,4.58
75.12,4.66
75.87,4.73
76.63,4.77
77.40,4.80
78.17,4.82
78.95,4.83
79.74,4.85
80.54,4.86
81.35,4.86
82.16,4.82
82.98,4.80
83.81,4.81
84.65,4.82
85.50,4.83
86.35,4.84
87.22,4.85
88.09,4.86
88.97,4.87
89.86,4.87
90.76,4.92
91.66,4.91
92.58,4.90
93.51,4.91
94.44,4.91
95.39,4.90
96.34,4.87
97.30,4.81
98.28,4.80
99.26,4.79
100.25,4.76
101.25,4.69
102.27,4.66
103.29,4.65
104.32,4.64
105.37,4.63
106.42,4.61
107.48,4.60
108.56,4.59
109.64,4.58
110.74,4.51
111.85,4.45
112.97,4.36
114.10,4.32
115.24,4.32
116.39,4.31
117.55,4.30
118.73,4.30
119.92,4.29
121.12,4.27
122.33,4.20
123.55,4.16
124.79,4.11
126.03,4.03
127.29,4.02
128.57,4.01
129.85,3.99
131.15,3.98
132.46,3.90
133.79,3.87
135.12,3.85
136.48,3.83
137.84,3.75
139.22,3.68
140.61,3.63
142.02,3.62
143.44,3.62
144.87,3.62
146.32,3.62
147.78,3.57
149.26,3.48
150.75,3.45
152.26,3.38
153.78,3.34
155.32,3.23
156.88,3.08
158.44,2.80
160.03,2.53
161.63,2.33
163.24,2.15
164.88,2.03
166.53,2.08
