frequency,raw
20.00,2.86
20.20,2.90
20.40,2.93
20.61,2.97
20.81,3.00
21.02,3.04
21.23,3.07
21.44,3.12
21.66,3.16
21.87,3.20
22.09,3.24
22.31,3.28
22.54,3.33
22.76,3.39
22.99,3.43
23.22,3.48
23.45,3.53
23.69,3.58
23.92,3.63
24.16,3.67
24.40,3.72
24.65,3.77
24.89,3.83
25.14,3.86
25.39,3.89
25.65,3.92
25.91,3.94
26.16,3.97
26.43,3.99
26.69,4.02
26.96,4.06
27.23,4.10
27.50,4.16
27.77,4.21
28.05,4.25
28.33,4.25
28.62,4.25
28.90,4.25
29.19,4.28
29.48,4.32
29.78,4.37
30.08,4.41
30.38,4.42
30.68,4.43
30.99,4.44
31.30,4.48
31.61,4.51
31.93,4.53
32.24,4.57
32.57,4.61
32.89,4.65
33.22,4.68
33.55,4.73
33.89,4.76
34.23,4.78
34.57,4.78
34.92,4.78
35.27,4.81
35.62,4.85
35.97,4.88
36.33,4.91
36.70,4.95
37.06,4.99
37.43,5.02
37.81,5.04
38.19,5.05
38.57,5.06
38.95,5.06
39.34,5.09
39.74,5.13
40.14,5.16
40.54,5.16
40.94,5.16
41.35,5.17
41.76,5.18
42.18,5.20
42.60,5.24
43.03,5.28
43.46,5.32
43.90,5.34
44.33,5.36
44.78,5.37
45.23,5.38
45.68,5.38
46.13,5.38
46.60,5.38
47.06,5.37
47.53,5.37
48.01,5.36
48.49,5.36
48.97,5.36
49.46,5.39
49.96,5.41
50.46,5.45
50.96,5.49
51.47,5.48
51.99,5.47
52.51,5.46
53.03,5.45
53.56,5.44
54.10,5.43
54.64,5.42
55.18,5.41
55.74,5.40
56.29,5.40
56.86,5.39
57.42,5.39
58.00,5.39
58.58,5.39
59.16,5.39
59.76,5.40
60.35,5.41
60.96,5.42
61.57,5.43
62.18,5.45
62.80,5.47
63.43,5.50
64.07,5.53
64.71,5.55
65.35,5.58
66.01,5.60
66.67,5.62
67.33,5.63
68.01,5.65
68.69,5.66
69.37,5.67
70.07,5.69
70.77,5.69
71.48,5.70
72.19,5.69
72.91,5.63
73.64,5.63
74.38,5.65
75.12,5.66
75.87,5.67
76.63,5.69
77.40,5.71
78.17,5.73
78.95,5.74
79.74,5.76
80.54,5.77
81.35,5.78
82.16,5.75
82.98,5.71
83.81,5.72
84.65,5.73
85.50,5.74
86.35,5.75
87.22,5.76
88.09,5.77
88.97,5.79
89.86,5.79
90.76,5.77
91.66,5.73
92.58,5.71
93.51,5.72
94.44,5.72
95.39,5.72
96.34,5.73
97.30,5.72
98.28,5.71
99.26,5.69
100.25,5.63
101.25,5.58
102.27,5.58
103.29,5.57
104.32,5.56
105.37,5.55
106.42,5.54
107.48,5.52
108.56,5.51
109.64,5.50
110.74,5.48
111.85,5.42
112.97,5.36
114.10,5.34
115.24,5.35
116.39,5.34
117.55,5.33
118.73,5.33
119.92,5.31
121.12,5.29
122.33,5.22
123.55,5.14
124.79,5.08
126.03,5.07
127.29,5.05
128.57,5.04
129.85,5.03
131.15,4.98
132.46,4.91
133.79,4.82
135.12,4.79
136.48,4.78
137.84,4.78
139.22,4.77
140.61,4.73
142.02,4.66
143.44,4.60
144.87,4.57
146.32,4.57
147.78,4.58
149.26,4.57
150.75,4.53
152.26,4.55
153.78,4.58
155.32,4.55
156.88,4.56
158.44,4.56
160.03,4.53
161.63,4.49
163.24,4.46
164.88,4.41
166.53,4.36
168.19,4.32
169.87,4.29
171.57,4.27
173.29,4.24
175.02,4.17
176.77,4.08
178.54,4.05
180.32,4.02
182.13,4.00
183.95,4.00
185.79,3.87
187.65,3.77
189.52,3.75
191.42,3.76
193.33,3.76
195.27,3.72
197.22,3.68
199.19,3.56
201.18,3.48
203.19,3.51
205.23,3.54
207.28,3.49
209.35,3.43
211.44,3.33
213.56,3.31
215.69,3.24
217.85,3.19
220.03,3.26
222.23,3.29
224.45,3.20
226.70,3.12
228.96,3.00
231.25,3.05
233.57,2.99
235.90,2.89
238.26,2.88
240.64,2.83
243.05,2.78
245.48,2.73
247.93,2.73
