frequency,raw
20.00,2.35
20.20,2.37
20.40,2.39
20.61,2.41
20.81,2.43
21.02,2.46
21.23,2.55
21.44,2.66
21.66,2.76
21.87,2.86
22.09,2.95
22.31,3.02
22.54,3.10
22.76,3.18
22.99,3.25
23.22,3.23
23.45,3.21
23.69,3.19
23.92,3.16
24.16,3.18
24.40,3.23
24.65,3.27
24.89,3.33
25.14,3.40
25.39,3.47
25.65,3.56
25.91,3.64
26.16,3.67
26.43,3.67
26.69,3.67
26.96,3.68
27.23,3.71
27.50,3.74
27.77,3.77
28.05,3.82
28.33,3.92
28.62,4.02
28.90,4.12
29.19,4.15
29.48,4.14
29.78,4.15
30.08,4.15
30.38,4.15
30.68,4.15
30.99,4.15
31.30,4.19
31.61,4.22
31.93,4.25
32.24,4.27
32.57,4.27
32.89,4.28
33.22,4.27
33.55,4.27
33.89,4.25
34.23,4.29
34.57,4.34
34.92,4.39
35.27,4.41
35.62,4.41
35.97,4.41
36.33,4.41
36.70,4.41
37.06,4.41
37.43,4.40
37.81,4.39
38.19,4.40
38.57,4.44
38.95,4.49
39.34,4.49
39.74,4.49
40.14,4.49
40.54,4.49
40.94,4.49
41.35,4.50
41.76,4.50
42.18,4.50
42.60,4.51
43.03,4.51
43.46,4.52
43.90,4.52
44.33,4.52
44.78,4.52
45.23,4.52
45.68,4.52
46.13,4.52
46.60,4.52
47.06,4.51
47.53,4.51
48.01,4.50
48.49,4.50
48.97,4.50
49.46,4.48
49.96,4.45
50.46,4.43
50.96,4.40
51.47,4.36
51.99,4.32
52.51,4.31
53.03,4.30
53.56,4.29
54.10,4.28
54.64,4.27
55.18,4.26
55.74,4.25
56.29,4.22
56.86,4.15
57.42,4.10
58.00,4.04
58.58,4.04
59.16,4.04
59.76,4.05
60.35,4.06
60.96,4.07
61.57,4.01
62.18,3.97
62.80,3.94
63.43,3.93
64.07,3.93
64.71,3.91
65.35,3.90
66.01,3.87
66.67,3.83
67.33,3.78
68.01,3.75
68.69,3.75
69.37,3.75
70.07,3.77
70.77,3.72
71.48,3.69
72.19,3.68
72.91,3.67
73.64,3.62
74.38,3.62
75.12,3.64
75.87,3.65
76.63,3.67
77.40,3.69
78.17,3.71
78.95,3.70
79.74,3.75
80.54,3.81
81.35,3.87
82.16,3.88
82.98,3.89
83.81,3.90
84.65,3.91
85.50,3.92
86.35,3.93
87.22,3.94
88.09,3.95
88.97,3.96
89.86,3.96
90.76,3.87
91.66,3.81
92.58,3.79
93.51,3.81
94.44,3.81
95.39,3.73
96.34,3.62
97.30,3.61
98.28,3.60
99.26,3.60
100.25,3.58
101.25,3.56
102.27,3.54
103.29,3.49
104.32,3.45
105.37,3.44
106.42,3.42
107.48,3.41
108.56,3.39
109.64,3.38
110.74,3.34
111.85,3.26
112.97,3.25
114.10,3.24
115.24,3.22
116.39,3.16
117.55,3.12
118.73,3.12
119.92,3.10
121.12,3.10
122.33,3.08
123.55,3.03
124.79,2.96
126.03,2.88
127.29,2.85
128.57,2.83
129.85,2.82
131.15,2.81
132.46,2.78
133.79,2.71
135.12,2.66
136.48,2.60
137.84,2.57
139.22,2.56
140.61,2.56
142.02,2.55
143.44,2.51
144.87,2.47
146.32,2.40
147.78,2.37
149.26,2.38
150.75,2.40
152.26,2.37
153.78,2.37
155.32,2.40
156.88,2.44
158.44,2.37
160.03,2.30
161.63,2.22
163.24,2.19
164.88,2.19
166.53,2.08
168.19,2.02
169.87,1.98
171.57,1.96
173.29,1.99
175.02,2.01
176.77,1.98
178.54,1.94
180.32,1.88
182.13,1.81
183.95,1.76
185.79,1.75
187.65,1.71
189.52,1.65
191.42,1.58
193.33,1.56
195.27,1.56
197.22,1.56
199.19,1.50
201.18,1.49
203.19,1.47
205.23,1.42
207.28,1.36
209.35,1.32
211.44,1.32
213.56,1.28
215.69,1.21
217.85,1.14
220.03,1.06
222.23,1.00
224.45,0.95
226.70,0.88
228.96,0.85
231.25,0.83
233.57,0.77
235.90,0.70
238.26,0.67
240.64,0.66
243.05,0.58
245.48,0.52
247.93,0.48
250.41,0.44
252.92,0.43
255.45,0.31
258.00,0.25
260.58,0.19
263.19,0.14
265.82,0.09
268.48,0.03
271.16,-0.00
273.87,-0.01
276.61,-0.10
279.38,-0.12
282.17,-0.11
284.99,-0.12
287.84,-0.20
290.72,-0.21
293.63,-0.19
296.57,-0.23
299.53,-0.28
302.53,-0.32
305.55,-0.35
308.61,-0.36
311.69,-0.42
314.81,-0.43
317.96,-0.41
321.14,-0.40
324.35,-0.40
327.59,-0.40
330.87,-0.39
334.18,-0.38
337.52,-0.43
340.90,-0.45
344.30,-0.46
347.75,-0.51
351.23,-0.51
354.74,-0.57
358.28,-0.57
361.87,-0.58
365.49,-0.63
369.14,-0.62
372.83,-0.64
376.56,-0.73
380.33,-0.75
384.13,-0.73
387.97,-0.72
391.85,-0.74
395.77,-0.77
399.73,-0.83
403.72,-0.88
407.76,-0.92
411.84,-0.94
415.96,-1.00
420.12,-1.04
424.32,-1.08
428.56,-1.08
432.85,-1.08
437.18,-1.06
441.55,-1.05
445.96,-1.08
450.42,-1.09
454.93,-1.07
459.48,-1.05
464.07,-1.09
468.71,-1.13
473.40,-1.16
478.13,-1.15
482.91,-1.18
487.74,-1.21
492.62,-1.20
497.55,-1.19
502.52,-1.18
507.55,-1.16
512.62,-1.13
517.75,-1.22
522.93,-1.26
528.16,-1.24
533.44,-1.20
538.77,-1.18
544.16,-1.16
549.60,-1.14
555.10,-1.13
560.65,-1.11
566.25,-1.09
571.92,-1.06
577.64,-1.04
583.41,-1.00
589.25,-0.97
595.14,-0.92
601.09,-0.92
607.10,-0.89
613.17,-0.87
619.30,-0.85
625.50,-0.84
631.75,-0.75
638.07,-0.68
644.45,-0.64
650.89,-0.63
657.40,-0.61
663.98,-0.60
670.62,-0.56
677.32,-0.48
684.10,-0.45
690.94,-0.39
697.85,-0.31
704.83,-0.30
711.87,-0.29
718.99,-0.21
726.18,-0.18
733.44,-0.10
740.78,-0.07
748.19,-0.01
755.67,0.05
763.23,0.06
770.86,0.12
778.57,0.17
786.35,0.19
794.22,0.20
802.16,0.26
810.18,0.30
818.28,0.24
826.46,0.21
834.73,0.17
843.08,0.11
851.51,0.03
860.02,-0.07
868.62,-0.17
877.31,-0.33
886.08,-0.40
894.94,-0.39
903.89,-0.30
912.93,-0.31
922.06,-0.27
931.28,-0.26
940.59,-0.22
950.00,-0.20
959.50,-0.22
969.09,-0.21
978.78,-0.08
988.57,-0.03
998.46,0.06
1008.44,0.11
1018.53,0.22
1028.71,0.18
1039.00,0.20
1049.39,0.27
1059.88,0.33
1070.48,0.39
1081.19,0.38
1092.00,0.22
1102.92,0.20
1113.95,0.26
1125.09,0.23
1136.34,0.18
1147.70,0.13
1159.18,0.09
1170.77,0.10
1182.48,0.09
1194.30,0.12
1206.25,0.12
1218.31,0.09
1230.49,0.04
1242.80,0.02
1255.22,0.06
1267.78,0.07
1280.45,0.08
1293.26,0.06
1306.19,0.07
1319.25,0.06
1332.45,0.07
1345.77,0.09
1359.23,0.11
1372.82,0.11
1386.55,0.13
1400.41,0.22
1414.42,0.32
1428.56,0.31
1442.85,0.32
1457.28,0.36
1471.85,0.35
1486.57,0.40
1501.43,0.49
1516.45,0.57
1531.61,0.52
1546.93,0.56
1562.40,0.54
1578.02,0.51
1593.80,0.55
1609.74,0.61
1625.84,0.59
1642.10,0.62
1658.52,0.64
1675.10,0.64
1691.85,0.65
1708.77,0.61
1725.86,0.54
1743.12,0.61
1760.55,0.73
1778.15,0.85
1795.94,0.99
1813.90,1.05
1832.03,1.09
1850.36,1.10
1868.86,1.17
1887.55,1.35
1906.42,1.43
1925.49,1.43
1944.74,1.42
1964.19,1.40
1983.83,1.45
2003.67,1.52
2023.71,1.61
2043.94,1.68
2064.38,1.71
2085.03,1.74
2105.88,1.80
2126.94,1.89
2148.20,1.98
2169.69,2.04
2191.38,2.11
2213.30,2.21
2235.43,2.37
2257.78,2.45
2280.36,2.54
2303.17,2.66
2326.20,2.83
2349.46,3.01
2372.95,3.19
2396.68,3.33
2420.65,3.36
2444.86,3.41
2469.31,3.53
2494.00,3.62
2518.94,3.59
2544.13,3.71
2569.57,3.97
2595.27,4.06
2621.22,4.02
2647.43,4.08
2673.90,4.35
2700.64,4.47
2727.65,4.38
2754.93,4.49
2782.48,4.59
2810.30,4.69
2838.40,4.62
2866.79,4.61
2895.46,4.67
2924.41,4.65
2953.65,4.54
2983.19,4.39
3013.02,4.35
3043.15,4.25
3073.58,4.07
3104.32,4.17
3135.36,4.12
3166.72,4.12
3198.38,4.19
3230.37,4.33
3262.67,4.40
3295.30,4.45
3328.25,4.48
3361.53,4.56
3395.15,4.67
3429.10,4.99
3463.39,5.16
3498.03,5.23
3533.01,5.22
3568.34,5.25
3604.02,5.36
3640.06,5.30
3676.46,5.05
3713.22,4.88
3750.36,4.89
3787.86,4.83
3825.74,4.86
3864.00,4.85
3902.64,4.93
3941.66,4.88
3981.08,4.60
4020.89,4.39
4061.10,4.29
4101.71,4.27
4142.73,4.10
4184.15,3.78
4226.00,3.65
4268.26,3.57
4310.94,3.47
4354.05,3.38
4397.59,3.44
4441.56,3.51
4485.98,3.69
4530.84,3.93
4576.15,4.19
4621.91,4.46
4668.13,4.65
4714.81,4.73
4761.96,4.72
4809.58,4.94
4857.67,5.39
4906.25,5.77
4955.31,6.05
5004.87,6.44
5054.91,6.72
5105.46,6.94
5156.52,7.14
5208.08,7.25
5260.16,7.30
5312.77,7.34
5365.89,7.39
5419.55,7.43
5473.75,7.48
5528.49,7.57
5583.77,7.49
5639.61,7.40
5696.00,7.37
5752.96,7.27
5810.49,7.15
5868.60,6.99
5927.28,6.71
5986.56,6.38
6046.42,6.05
6106.89,5.73
6167.96,5.44
6229.64,5.16
6291.93,4.83
6354.85,4.48
6418.40,4.18
6482.58,3.82
6547.41,3.40
6612.88,3.00
6679.01,2.66
6745.80,2.34
6813.26,2.01
6881.39,1.68
6950.21,1.44
7019.71,1.27
7089.91,0.87
7160.81,0.45
7232.41,-0.09
7304.74,-0.85
7377.79,-1.79
7451.56,-2.71
7526.08,-3.39
7601.34,-3.37
7677.35,-3.14
7754.13,-2.96
7831.67,-2.10
7909.98,-1.49
7989.08,-2.04
8068.98,-3.00
8149.67,-4.94
8231.16,-7.87
8313.47,-9.84
8396.61,-10.58
8480.57,-9.16
8565.38,-5.64
8651.03,-5.12
8737.54,-5.19
8824.92,-5.54
8913.17,-5.03
9002.30,-4.89
9092.32,-5.08
9183.25,-5.25
9275.08,-5.05
9367.83,-4.58
9461.51,-4.17
9556.12,-3.54
9651.68,-2.84
9748.20,-2.36
9845.68,-1.91
9944.14,-1.71
10043.58,-2.21
10144.02,-2.54
10245.46,-2.53
10347.91,-2.43
10451.39,-2.23
10555.91,-1.81
10661.46,-1.36
10768.08,-0.65
10875.76,-0.49
10984.52,-0.45
11094.36,-0.16
11205.31,0.34
11317.36,1.14
11430.53,1.76
11544.84,2.16
11660.29,2.47
11776.89,2.70
11894.66,2.98
12013.60,2.82
12133.74,2.04
12255.08,1.40
12377.63,0.51
12501.41,-0.04
12626.42,0.12
12752.68,0.22
12880.21,0.43
13009.01,0.88
13139.10,1.26
13270.49,1.22
13403.20,1.16
13537.23,0.69
13672.60,0.36
13809.33,0.04
13947.42,-0.31
14086.90,-0.69
14227.77,-1.28
14370.04,-1.90
14513.74,-2.67
14658.88,-3.56
14805.47,-5.38
14953.52,-7.37
15103.06,-9.22
15254.09,-12.25
15406.63,-14.12
15560.70,-15.38
15716.30,-12.84
15873.47,-14.89
16032.20,-16.08
16192.52,-14.93
16354.45,-12.57
16517.99,-10.81
16683.17,-9.98
16850.01,-9.33
17018.51,-8.64
17188.69,-8.15
17360.58,-7.82
17534.18,-8.58
17709.53,-10.18
17886.62,-11.46
18065.49,-11.91
18246.14,-12.14
18428.60,-12.62
18612.89,-13.10
18799.02,-13.99
18987.01,-14.80
19176.88,-15.39
19368.65,-15.93
19562.33,-16.11
19757.96,-15.90
19955.54,-15.94
