frequency,raw
20.00,1.75
20.20,1.82
20.40,1.88
20.61,1.95
20.81,2.01
21.02,2.08
21.23,2.15
21.44,2.23
21.66,2.32
21.87,2.40
22.09,2.48
22.31,2.55
22.54,2.63
22.76,2.71
22.99,2.78
23.22,2.87
23.45,2.95
23.69,3.05
23.92,3.13
24.16,3.19
24.40,3.24
24.65,3.28
24.89,3.34
25.14,3.39
25.39,3.45
25.65,3.52
25.91,3.58
26.16,3.63
26.43,3.68
26.69,3.73
26.96,3.79
27.23,3.81
27.50,3.83
27.77,3.85
28.05,3.87
28.33,3.89
28.62,3.92
28.90,3.95
29.19,3.98
29.48,4.00
29.78,4.04
30.08,4.06
30.38,4.05
30.68,4.05
30.99,4.04
31.30,4.09
31.61,4.12
31.93,4.16
32.24,4.18
32.57,4.17
32.89,4.17
33.22,4.17
33.55,4.18
33.89,4.18
34.23,4.19
34.57,4.19
34.92,4.19
35.27,4.20
35.62,4.20
35.97,4.20
36.33,4.20
36.70,4.20
37.06,4.20
37.43,4.20
37.81,4.20
38.19,4.19
38.57,4.19
38.95,4.19
39.34,4.19
39.74,4.19
40.14,4.19
40.54,4.19
40.94,4.19
41.35,4.16
41.76,4.12
42.18,4.09
42.60,4.11
43.03,4.11
43.46,4.12
43.90,4.12
44.33,4.12
44.78,4.12
45.23,4.12
45.68,4.12
46.13,4.12
46.60,4.12
47.06,4.11
47.53,4.07
48.01,4.02
48.49,3.96
48.97,3.89
49.46,3.88
49.96,3.86
50.46,3.85
50.96,3.84
51.47,3.88
51.99,3.92
52.51,3.72
53.03,3.53
53.56,3.57
54.10,3.59
54.64,3.56
55.18,3.52
55.74,3.45
56.29,3.37
56.86,3.26
57.42,3.23
58.00,3.23
58.58,3.29
59.16,3.27
59.76,3.05
60.35,3.01
60.96,3.09
61.57,3.09
62.18,3.08
62.80,3.05
63.43,3.03
64.07,3.01
64.71,3.03
65.35,3.06
66.01,3.08
66.67,3.10
67.33,3.07
68.01,3.02
68.69,3.17
69.37,3.25
70.07,3.27
70.77,3.27
71.48,3.28
72.19,3.29
72.91,3.30
73.64,3.31
74.38,3.33
75.12,3.34
75.87,3.35
76.63,3.37
77.40,3.39
78.17,3.41
78.95,3.42
79.74,3.44
80.54,3.45
81.35,3.47
82.16,3.48
82.98,3.49
83.81,3.50
84.65,3.51
85.50,3.52
86.35,3.53
87.22,3.54
88.09,3.56
88.97,3.66
89.86,3.66
90.76,3.53
91.66,3.43
92.58,3.34
93.51,3.35
94.44,3.39
95.39,3.43
96.34,3.50
97.30,3.44
98.28,3.29
99.26,3.22
100.25,3.10
101.25,3.12
102.27,3.16
103.29,3.16
104.32,3.15
105.37,3.15
106.42,3.19
107.48,3.14
108.56,3.02
109.64,2.98
110.74,2.96
111.85,2.94
112.97,2.95
114.10,2.93
115.24,2.94
116.39,2.95
117.55,2.98
118.73,2.92
119.92,2.81
121.12,2.80
122.33,2.77
123.55,2.68
124.79,2.59
126.03,2.66
127.29,2.67
128.57,2.59
129.85,2.51
131.15,2.51
132.46,2.49
133.79,2.49
135.12,2.47
136.48,2.46
137.84,2.46
139.22,2.48
140.61,2.44
142.02,2.23
143.44,2.24
144.87,2.25
146.32,2.25
147.78,2.26
149.26,2.27
150.75,2.29
152.26,2.35
153.78,2.39
155.32,2.25
156.88,2.18
158.44,2.23
160.03,2.21
161.63,2.15
163.24,2.19
164.88,2.23
166.53,2.13
168.19,2.18
169.87,2.21
171.57,2.19
173.29,2.14
175.02,2.01
176.77,1.96
178.54,1.92
180.32,1.89
182.13,1.87
183.95,1.85
185.79,1.75
187.65,1.69
189.52,1.64
191.42,1.63
193.33,1.63
195.27,1.64
197.22,1.65
199.19,1.67
201.18,1.69
203.19,1.62
205.23,1.54
207.28,1.47
209.35,1.46
211.44,1.48
213.56,1.52
215.69,1.53
217.85,1.53
220.03,1.44
222.23,1.37
224.45,1.32
226.70,1.25
228.96,1.22
231.25,1.20
233.57,1.14
235.90,1.10
238.26,1.05
240.64,1.05
243.05,1.05
245.48,1.08
247.93,1.10
250.41,0.92
252.92,0.89
255.45,0.91
258.00,0.93
260.58,0.96
263.19,0.91
265.82,0.84
268.48,0.78
271.16,0.74
273.87,0.73
276.61,0.76
279.38,0.75
282.17,0.59
284.99,0.52
287.84,0.54
290.72,0.42
293.63,0.44
296.57,0.46
299.53,0.40
302.53,0.36
305.55,0.31
308.61,0.31
311.69,0.32
314.81,0.33
317.96,0.34
321.14,0.36
324.35,0.39
327.59,0.23
330.87,0.16
334.18,0.17
337.52,0.19
340.90,0.20
344.30,0.21
347.75,0.17
351.23,0.15
354.74,0.09
358.28,0.08
361.87,0.06
365.49,-0.01
369.14,0.04
372.83,0.05
376.56,-0.10
380.33,-0.14
384.13,-0.09
387.97,-0.06
391.85,-0.08
395.77,-0.11
399.73,-0.17
403.72,-0.24
407.76,-0.32
411.84,-0.28
415.96,-0.33
420.12,-0.44
424.32,-0.43
428.56,-0.42
432.85,-0.42
437.18,-0.48
441.55,-0.55
445.96,-0.48
450.42,-0.51
454.93,-0.61
459.48,-0.58
464.07,-0.72
468.71,-0.72
473.40,-0.62
478.13,-0.61
482.91,-0.65
487.74,-0.67
492.62,-0.71
497.55,-0.80
502.52,-0.90
507.55,-0.82
512.62,-0.66
517.75,-0.71
522.93,-0.95
528.16,-0.97
533.44,-0.86
538.77,-0.77
544.16,-0.68
549.60,-0.65
555.10,-0.81
560.65,-0.80
566.25,-0.77
571.92,-0.96
577.64,-1.01
583.41,-1.03
589.25,-1.01
595.14,-0.89
601.09,-0.76
607.10,-0.71
613.17,-0.59
619.30,-0.48
625.50,-0.53
631.75,-0.55
638.07,-0.55
644.45,-0.55
650.89,-0.47
657.40,-0.43
663.98,-0.38
670.62,-0.31
677.32,-0.29
684.10,-0.19
690.94,-0.04
697.85,-0.13
704.83,-0.01
711.87,0.07
718.99,0.09
726.18,0.10
733.44,0.18
740.78,0.19
748.19,0.26
755.67,0.37
763.23,0.37
770.86,0.39
778.57,0.52
786.35,0.56
794.22,0.59
802.16,0.63
810.18,0.59
818.28,0.49
826.46,0.30
834.73,0.12
843.08,-0.12
851.51,-0.38
860.02,-0.55
868.62,-0.52
877.31,-0.48
886.08,-0.47
894.94,-0.33
903.89,-0.26
912.93,-0.24
922.06,-0.16
931.28,-0.07
940.59,0.09
950.00,0.15
959.50,0.11
969.09,0.10
978.78,0.12
988.57,0.11
998.46,0.09
1008.44,0.17
1018.53,0.39
1028.71,0.47
1039.00,0.53
1049.39,0.50
1059.88,0.47
1070.48,0.46
1081.19,0.51
1092.00,0.57
1102.92,0.53
1113.95,0.53
1125.09,0.48
1136.34,0.53
1147.70,0.57
1159.18,0.57
1170.77,0.50
1182.48,0.50
1194.30,0.58
1206.25,0.59
1218.31,0.56
1230.49,0.54
1242.80,0.55
1255.22,0.61
1267.78,0.63
1280.45,0.68
1293.26,0.78
1306.19,0.83
1319.25,0.82
1332.45,0.82
1345.77,0.85
1359.23,0.91
1372.82,0.95
1386.55,0.94
1400.41,0.96
1414.42,0.99
1428.56,1.02
1442.85,1.03
1457.28,1.10
1471.85,1.15
1486.57,1.23
1501.43,1.27
1516.45,1.30
1531.61,1.34
1546.93,1.41
1562.40,1.41
1578.02,1.43
1593.80,1.41
1609.74,1.47
1625.84,1.53
1642.10,1.52
1658.52,1.55
1675.10,1.58
1691.85,1.61
1708.77,1.64
1725.86,1.66
1743.12,1.76
1760.55,1.87
1778.15,1.97
1795.94,2.03
1813.90,2.12
1832.03,2.21
1850.36,2.30
1868.86,2.35
1887.55,2.40
1906.42,2.44
1925.49,2.45
1944.74,2.52
1964.19,2.56
1983.83,2.61
2003.67,2.58
2023.71,2.59
2043.94,2.70
2064.38,2.81
2085.03,2.77
2105.88,2.76
2126.94,2.88
2148.20,3.08
2169.69,3.12
2191.38,3.18
2213.30,3.26
2235.43,3.38
2257.78,3.48
2280.36,3.64
2303.17,3.88
2326.20,4.02
2349.46,4.12
2372.95,4.20
2396.68,4.29
2420.65,4.35
2444.86,4.28
2469.31,4.21
2494.00,4.25
2518.94,4.38
2544.13,4.46
2569.57,4.51
2595.27,4.49
2621.22,4.59
2647.43,4.71
2673.90,4.93
2700.64,5.07
2727.65,5.31
2754.93,5.41
2782.48,5.38
2810.30,5.38
2838.40,5.31
2866.79,5.21
2895.46,5.14
2924.41,5.18
2953.65,5.42
2983.19,5.63
3013.02,5.55
3043.15,5.48
3073.58,5.53
3104.32,5.60
3135.36,5.73
3166.72,5.83
3198.38,5.79
3230.37,5.85
3262.67,6.01
3295.30,6.14
3328.25,6.19
3361.53,6.16
3395.15,6.10
3429.10,6.04
3463.39,6.01
3498.03,5.99
3533.01,5.99
3568.34,5.96
3604.02,5.95
3640.06,5.92
3676.46,5.80
3713.22,5.67
3750.36,5.56
3787.86,5.40
3825.74,5.28
3864.00,5.21
3902.64,5.14
3941.66,5.00
3981.08,4.86
4020.89,4.74
4061.10,4.57
4101.71,4.50
4142.73,4.50
4184.15,4.46
4226.00,4.48
4268.26,4.50
4310.94,4.51
4354.05,4.54
4397.59,4.61
4441.56,4.58
4485.98,4.47
4530.84,4.17
4576.15,4.37
4621.91,4.92
4668.13,5.35
4714.81,5.52
4761.96,5.34
4809.58,5.39
4857.67,5.65
4906.25,6.01
4955.31,6.83
5004.87,7.23
5054.91,7.48
5105.46,7.70
5156.52,7.83
5208.08,7.88
5260.16,7.89
5312.77,7.91
5365.89,8.02
5419.55,8.12
5473.75,8.15
5528.49,8.07
5583.77,7.95
5639.61,7.85
5696.00,7.72
5752.96,7.64
5810.49,7.56
5868.60,7.47
5927.28,7.31
5986.56,7.18
6046.42,6.88
6106.89,6.60
6167.96,6.16
6229.64,5.71
6291.93,5.27
6354.85,4.97
6418.40,4.68
6482.58,4.30
6547.41,3.94
6612.88,3.55
6679.01,3.01
6745.80,2.47
6813.26,2.18
6881.39,1.93
6950.21,1.66
7019.71,1.38
7089.91,1.17
7160.81,0.79
7232.41,0.16
7304.74,-0.63
7377.79,-1.52
7451.56,-2.36
7526.08,-3.26
7601.34,-3.53
7677.35,-3.53
7754.13,-3.34
7831.67,-2.95
7909.98,-2.95
7989.08,-4.87
8068.98,-6.96
8149.67,-8.67
8231.16,-9.39
8313.47,-9.17
8396.61,-8.38
8480.57,-5.54
8565.38,-3.72
8651.03,-3.37
8737.54,-2.96
8824.92,-2.94
8913.17,-2.83
9002.30,-2.85
9092.32,-2.78
9183.25,-2.47
9275.08,-2.16
9367.83,-1.88
9461.51,-1.53
9556.12,-1.26
9651.68,-1.20
9748.20,-0.96
9845.68,-0.73
9944.14,-0.72
10043.58,-1.26
10144.02,-1.40
10245.46,-1.39
10347.91,-1.37
10451.39,-1.15
10555.91,-0.80
10661.46,-0.68
10768.08,-0.36
10875.76,-0.15
10984.52,-0.02
11094.36,0.06
11205.31,0.49
11317.36,0.82
11430.53,1.06
11544.84,1.33
11660.29,1.61
11776.89,1.88
11894.66,2.33
12013.60,2.64
12133.74,3.27
12255.08,3.62
12377.63,3.54
12501.41,3.33
12626.42,2.89
12752.68,2.39
12880.21,2.10
13009.01,2.00
13139.10,2.07
13270.49,1.94
13403.20,1.67
13537.23,1.34
13672.60,1.19
13809.33,0.85
13947.42,0.60
14086.90,0.53
14227.77,0.40
14370.04,-0.03
14513.74,-0.71
14658.88,-1.58
14805.47,-2.88
14953.52,-3.44
15103.06,-4.32
15254.09,-5.43
15406.63,-6.06
15560.70,-7.19
15716.30,-7.73
15873.47,-8.05
16032.20,-8.34
16192.52,-8.75
16354.45,-9.09
16517.99,-10.06
16683.17,-10.26
16850.01,-9.66
17018.51,-8.59
17188.69,-7.17
17360.58,-6.26
17534.18,-5.86
17709.53,-6.42
17886.62,-8.38
18065.49,-10.71
18246.14,-12.24
18428.60,-13.53
18612.89,-12.01
18799.02,-11.19
18987.01,-11.66
19176.88,-10.67
19368.65,-10.47
19562.33,-12.25
19757.96,-14.13
19955.54,-15.79
