frequency,raw
20.00,-0.26
20.20,-0.17
20.40,-0.08
20.61,0.01
20.81,0.10
21.02,0.19
21.23,0.28
21.44,0.37
21.66,0.47
21.87,0.56
22.09,0.67
22.31,0.79
22.54,0.91
22.76,1.04
22.99,1.15
23.22,1.25
23.45,1.34
23.69,1.44
23.92,1.53
24.16,1.57
24.40,1.59
24.65,1.61
24.89,1.64
25.14,1.72
25.39,1.84
25.65,1.97
25.91,2.09
26.16,2.15
26.43,2.19
26.69,2.22
26.96,2.26
27.23,2.29
27.50,2.32
27.77,2.35
28.05,2.39
28.33,2.49
28.62,2.59
28.90,2.69
29.19,2.74
29.48,2.75
29.78,2.78
30.08,2.80
30.38,2.80
30.68,2.81
30.99,2.81
31.30,2.87
31.61,2.93
31.93,2.99
32.24,3.03
32.57,3.07
32.89,3.11
33.22,3.12
33.55,3.13
33.89,3.13
34.23,3.16
34.57,3.20
34.92,3.23
35.27,3.25
35.62,3.25
35.97,3.25
36.33,3.25
36.70,3.25
37.06,3.26
37.43,3.29
37.81,3.31
38.19,3.30
38.57,3.27
38.95,3.24
39.34,3.24
39.74,3.24
40.14,3.24
40.54,3.24
40.94,3.24
41.35,3.25
41.76,3.25
42.18,3.25
42.60,3.26
43.03,3.26
43.46,3.27
43.90,3.27
44.33,3.27
44.78,3.27
45.23,3.27
45.68,3.27
46.13,3.27
46.60,3.27
47.06,3.26
47.53,3.26
48.01,3.25
48.49,3.24
48.97,3.23
49.46,3.22
49.96,3.20
50.46,3.19
50.96,3.18
51.47,3.12
51.99,3.06
52.51,3.05
53.03,3.04
53.56,2.97
54.10,2.92
54.64,2.91
55.18,2.90
55.74,2.89
56.29,2.88
56.86,2.84
57.42,2.78
58.00,2.72
58.58,2.70
59.16,2.68
59.76,2.63
60.35,2.62
60.96,2.63
61.57,2.57
62.18,2.52
62.80,2.49
63.43,2.48
64.07,2.48
64.71,2.48
65.35,2.50
66.01,2.52
66.67,2.54
67.33,2.55
68.01,2.57
68.69,2.58
69.37,2.59
70.07,2.61
70.77,2.61
71.48,2.62
72.19,2.63
72.91,2.64
73.64,2.68
74.38,2.73
75.12,2.77
75.87,2.78
76.63,2.80
77.40,2.82
78.17,2.84
78.95,2.85
79.74,2.87
80.54,2.88
81.35,2.90
82.16,2.91
82.98,2.92
83.81,2.93
84.65,2.94
85.50,2.95
86.35,2.96
87.22,2.97
88.09,2.97
88.97,2.90
89.86,2.90
90.76,2.91
91.66,2.92
92.58,2.92
93.51,2.88
94.44,2.84
95.39,2.80
96.34,2.75
97.30,2.74
98.28,2.73
99.26,2.73
100.25,2.71
101.25,2.69
102.27,2.69
103.29,2.69
104.32,2.68
105.37,2.66
106.42,2.63
107.48,2.57
108.56,2.52
109.64,2.51
110.74,2.49
111.85,2.47
112.97,2.48
114.10,2.46
115.24,2.46
116.39,2.45
117.55,2.44
