frequency,raw
20.00,-1.19
20.20,-1.15
20.40,-1.12
20.61,-1.08
20.81,-1.06
21.02,-1.02
21.23,-0.99
21.44,-0.95
21.66,-0.91
21.87,-0.87
22.09,-0.85
22.31,-0.84
22.54,-0.83
22.76,-0.81
22.99,-0.81
23.22,-0.76
23.45,-0.71
23.69,-0.66
23.92,-0.61
24.16,-0.58
24.40,-0.56
24.65,-0.53
24.89,-0.50
25.14,-0.48
25.39,-0.45
25.65,-0.42
25.91,-0.40
26.16,-0.39
26.43,-0.39
26.69,-0.39
26.96,-0.38
27.23,-0.36
27.50,-0.33
27.77,-0.30
28.05,-0.28
28.33,-0.28
28.62,-0.28
28.90,-0.28
29.19,-0.26
29.48,-0.24
29.78,-0.21
30.08,-0.19
30.38,-0.19
30.68,-0.19
30.99,-0.19
31.30,-0.18
31.61,-0.18
31.93,-0.18
32.24,-0.17
32.57,-0.17
32.89,-0.16
33.22,-0.16
33.55,-0.15
33.89,-0.15
34.23,-0.14
34.57,-0.14
34.92,-0.14
35.27,-0.13
35.62,-0.13
35.97,-0.13
36.33,-0.13
36.70,-0.13
37.06,-0.14
37.43,-0.17
37.81,-0.21
38.19,-0.24
38.57,-0.24
38.95,-0.24
39.34,-0.27
39.74,-0.31
40.14,-0.34
40.54,-0.34
40.94,-0.34
41.35,-0.33
41.76,-0.33
42.18,-0.34
42.60,-0.36
43.03,-0.39
43.46,-0.44
43.90,-0.49
44.33,-0.50
44.78,-0.50
45.23,-0.52
45.68,-0.57
46.13,-0.61
46.60,-0.64
47.06,-0.69
47.53,-0.74
48.01,-0.81
48.49,-0.82
48.97,-0.83
49.46,-0.93
49.96,-1.04
50.46,-1.08
50.96,-1.11
51.47,-1.18
51.99,-1.25
52.51,-1.32
53.03,-1.40
53.56,-1.50
54.10,-1.58
54.64,-1.61
55.18,-1.66
55.74,-1.74
56.29,-1.79
56.86,-1.83
57.42,-1.91
58.00,-2.01
58.58,-2.07
59.16,-2.13
59.76,-2.21
60.35,-2.28
60.96,-2.33
61.57,-2.44
62.18,-2.53
62.80,-2.59
63.43,-2.65
64.07,-2.71
64.71,-2.73
65.35,-2.77
66.01,-2.84
66.67,-2.98
67.33,-3.08
68.01,-3.11
68.69,-3.14
69.37,-3.20
70.07,-3.27
70.77,-3.41
71.48,-3.50
72.19,-3.58
72.91,-3.67
73.64,-3.77
74.38,-3.84
75.12,-3.90
75.87,-3.96
76.63,-4.06
77.40,-4.17
78.17,-4.28
78.95,-4.38
79.74,-4.49
80.54,-4.54
81.35,-4.58
82.16,-4.67
82.98,-4.75
83.81,-4.83
84.65,-4.89
85.50,-4.98
86.35,-5.13
87.22,-5.25
88.09,-5.26
88.97,-5.22
89.86,-5.34
90.76,-5.47
91.66,-5.46
92.58,-5.51
93.51,-5.58
94.44,-5.63
95.39,-5.71
96.34,-5.83
97.30,-5.91
98.28,-5.88
99.26,-5.86
100.25,-5.88
101.25,-5.90
102.27,-5.91
103.29,-5.95
104.32,-5.95
105.37,-5.80
106.42,-5.69
107.48,-5.74
108.56,-5.69
109.64,-5.69
110.74,-5.71
111.85,-5.56
112.97,-5.42
114.10,-5.51
115.24,-5.49
116.39,-5.30
117.55,-5.10
118.73,-5.04
119.92,-5.01
121.12,-4.83
122.33,-4.74
123.55,-4.67
124.79,-4.55
126.03,-4.38
127.29,-4.21
128.57,-4.03
129.85,-4.01
131.15,-3.92
132.46,-3.77
133.79,-3.69
135.12,-3.75
136.48,-3.66
137.84,-3.61
139.22,-3.53
140.61,-3.38
142.02,-3.37
143.44,-3.49
144.87,-3.43
146.32,-3.24
147.78,-3.14
149.26,-3.25
150.75,-3.14
152.26,-2.95
153.78,-2.87
155.32,-3.01
156.88,-3.08
158.44,-3.06
160.03,-3.16
161.63,-3.18
163.24,-3.07
164.88,-2.87
166.53,-2.87
168.19,-2.83
169.87,-2.72
171.57,-2.59
173.29,-2.44
175.02,-2.22
176.77,-1.98
178.54,-1.84
180.32,-1.72
182.13,-1.64
183.95,-1.57
185.79,-1.42
187.65,-1.33
189.52,-1.21
191.42,-1.17
193.33,-1.11
195.27,-1.06
197.22,-0.97
199.19,-0.95
201.18,-0.94
203.19,-0.72
205.23,-0.75
207.28,-0.88
209.35,-0.71
211.44,-0.62
213.56,-0.53
215.69,-0.54
217.85,-0.64
220.03,-0.49
222.23,-0.42
224.45,-0.42
226.70,-0.42
228.96,-0.41
231.25,-0.41
233.57,-0.40
235.90,-0.21
238.26,-0.21
240.64,-0.28
243.05,-0.38
245.48,-0.41
247.93,-0.21
250.41,-0.17
252.92,-0.14
255.45,-0.14
258.00,-0.13
260.58,-0.12
263.19,-0.11
265.82,-0.12
268.48,-0.12
271.16,-0.11
273.87,-0.12
276.61,-0.12
279.38,-0.13
282.17,-0.07
284.99,-0.01
287.84,-0.10
290.72,-0.21
293.63,-0.20
296.57,-0.20
299.53,-0.20
302.53,-0.19
305.55,-0.18
308.61,-0.17
311.69,-0.10
314.81,-0.06
317.96,-0.16
321.14,-0.22
324.35,-0.22
327.59,-0.21
330.87,-0.20
334.18,-0.20
337.52,-0.12
340.90,-0.25
344.30,-0.41
347.75,-0.38
351.23,-0.33
354.74,-0.28
358.28,-0.21
361.87,-0.33
365.49,-0.52
369.14,-0.50
372.83,-0.43
376.56,-0.39
380.33,-0.45
384.13,-0.55
387.97,-0.54
391.85,-0.45
395.77,-0.49
399.73,-0.60
403.72,-0.54
407.76,-0.48
411.84,-0.46
415.96,-0.45
420.12,-0.44
424.32,-0.43
428.56,-0.57
432.85,-0.63
437.18,-0.44
441.55,-0.36
445.96,-0.57
450.42,-0.65
454.93,-0.45
459.48,-0.38
464.07,-0.35
468.71,-0.34
473.40,-0.31
478.13,-0.29
482.91,-0.27
487.74,-0.26
492.62,-0.25
497.55,-0.24
502.52,-0.22
507.55,-0.20
512.62,-0.18
517.75,-0.15
522.93,-0.12
528.16,-0.09
533.44,-0.05
538.77,-0.03
544.16,0.01
549.60,0.04
555.10,-0.06
560.65,-0.05
566.25,-0.02
571.92,-0.05
577.64,-0.07
583.41,-0.05
589.25,-0.02
595.14,-0.00
601.09,-0.05
607.10,-0.03
613.17,-0.01
619.30,0.01
625.50,0.02
631.75,0.02
638.07,0.03
644.45,-0.04
650.89,-0.06
657.40,-0.04
663.98,-0.03
670.62,-0.01
677.32,0.01
684.10,0.03
690.94,0.04
697.85,0.07
704.83,0.08
711.87,0.04
718.99,0.01
726.18,0.01
733.44,0.01
740.78,0.02
748.19,0.04
755.67,0.00
763.23,-0.04
770.86,-0.03
778.57,-0.09
786.35,-0.11
794.22,-0.18
802.16,-0.18
810.18,-0.23
818.28,-0.34
826.46,-0.37
834.73,-0.41
843.08,-0.53
851.51,-0.60
860.02,-0.62
868.62,-0.60
877.31,-0.59
886.08,-0.57
894.94,-0.51
903.89,-0.46
912.93,-0.43
922.06,-0.38
931.28,-0.35
940.59,-0.23
950.00,-0.20
959.50,-0.18
969.09,-0.11
978.78,0.00
988.57,0.05
998.46,0.08
1008.44,0.10
1018.53,0.22
1028.71,0.28
1039.00,0.32
1049.39,0.36
1059.88,0.41
1070.48,0.46
1081.19,0.50
1092.00,0.54
1102.92,0.52
1113.95,0.54
1125.09,0.56
1136.34,0.55
1147.70,0.51
1159.18,0.54
1170.77,0.51
1182.48,0.47
1194.30,0.49
1206.25,0.52
1218.31,0.48
1230.49,0.48
1242.80,0.49
1255.22,0.53
1267.78,0.54
1280.45,0.59
1293.26,0.69
1306.19,0.74
1319.25,0.72
1332.45,0.74
1345.77,0.83
1359.23,0.92
1372.82,0.96
1386.55,0.99
1400.41,1.05
1414.42,1.07
1428.56,1.10
1442.85,1.15
1457.28,1.16
1471.85,1.27
1486.57,1.43
1501.43,1.58
1516.45,1.67
1531.61,1.54
1546.93,1.55
1562.40,1.61
1578.02,1.77
1593.80,1.88
1609.74,1.95
1625.84,2.02
1642.10,2.07
1658.52,2.16
1675.10,2.22
1691.85,2.21
1708.77,2.26
1725.86,2.35
1743.12,2.44
1760.55,2.55
1778.15,2.68
1795.94,2.81
1813.90,2.87
1832.03,2.99
1850.36,3.04
1868.86,3.04
1887.55,3.08
1906.42,3.17
1925.49,3.28
1944.74,3.35
1964.19,3.40
1983.83,3.50
2003.67,3.57
2023.71,3.59
2043.94,3.60
2064.38,3.68
2085.03,3.68
2105.88,3.71
2126.94,3.76
2148.20,3.81
2169.69,3.80
2191.38,3.86
2213.30,3.90
2235.43,3.91
2257.78,3.96
2280.36,4.02
2303.17,4.08
2326.20,4.11
2349.46,4.19
2372.95,4.25
2396.68,4.30
2420.65,4.32
2444.86,4.34
2469.31,4.29
2494.00,4.27
2518.94,4.27
2544.13,4.26
2569.57,4.23
2595.27,4.27
2621.22,4.28
2647.43,4.31
2673.90,4.40
2700.64,4.42
2727.65,4.34
2754.93,4.22
2782.48,4.07
2810.30,3.82
2838.40,3.64
2866.79,3.47
2895.46,3.24
2924.41,3.01
2953.65,2.79
2983.19,2.58
3013.02,2.34
3043.15,2.13
3073.58,1.93
3104.32,1.83
3135.36,1.76
3166.72,1.59
3198.38,1.44
3230.37,1.25
3262.67,1.07
3295.30,0.98
3328.25,0.90
3361.53,0.87
3395.15,0.88
3429.10,0.93
3463.39,1.00
3498.03,1.12
3533.01,1.18
3568.34,1.24
3604.02,1.32
3640.06,1.37
3676.46,1.21
3713.22,0.99
3750.36,0.79
3787.86,0.53
3825.74,0.28
3864.00,0.29
3902.64,0.50
3941.66,0.72
3981.08,0.97
4020.89,0.86
4061.10,0.63
4101.71,0.58
4142.73,0.56
4184.15,0.59
4226.00,0.95
4268.26,1.41
4310.94,2.01
4354.05,2.49
4397.59,3.08
4441.56,3.81
4485.98,4.46
4530.84,4.88
4576.15,5.08
4621.91,5.12
4668.13,5.04
4714.81,4.95
4761.96,4.83
4809.58,4.60
4857.67,4.36
4906.25,4.19
4955.31,3.87
5004.87,3.55
5054.91,3.34
5105.46,3.24
5156.52,3.02
5208.08,2.74
5260.16,2.65
5312.77,2.69
5365.89,2.82
5419.55,2.88
5473.75,2.74
5528.49,2.44
5583.77,2.00
5639.61,1.68
5696.00,1.41
5752.96,1.26
5810.49,1.05
5868.60,0.62
5927.28,0.19
5986.56,0.03
6046.42,-0.23
6106.89,-0.45
6167.96,-0.67
6229.64,-0.96
6291.93,-1.28
6354.85,-1.45
6418.40,-1.55
6482.58,-1.71
6547.41,-1.94
6612.88,-1.88
6679.01,-1.87
6745.80,-1.78
6813.26,-1.67
6881.39,-1.61
6950.21,-1.52
7019.71,-1.31
7089.91,-1.06
7160.81,-0.88
7232.41,-0.73
7304.74,-0.67
7377.79,-0.68
7451.56,-0.63
7526.08,-0.60
7601.34,-0.70
7677.35,-0.26
7754.13,-0.17
7831.67,-0.09
7909.98,0.01
7989.08,0.10
8068.98,0.11
8149.67,0.10
8231.16,0.43
8313.47,0.96
8396.61,0.86
8480.57,0.34
8565.38,-0.12
8651.03,-0.76
8737.54,-1.40
8824.92,-2.06
8913.17,-3.23
9002.30,-3.75
9092.32,-3.91
9183.25,-4.07
9275.08,-4.20
9367.83,-4.26
9461.51,-4.17
9556.12,-4.44
9651.68,-4.75
9748.20,-4.95
9845.68,-5.05
9944.14,-5.35
10043.58,-5.38
10144.02,-5.35
10245.46,-5.45
10347.91,-5.60
10451.39,-5.40
10555.91,-5.27
10661.46,-5.18
10768.08,-5.44
10875.76,-6.26
10984.52,-6.61
11094.36,-7.32
11205.31,-7.61
11317.36,-7.50
11430.53,-7.32
11544.84,-7.22
11660.29,-7.36
11776.89,-8.54
11894.66,-9.08
12013.60,-10.20
12133.74,-11.33
12255.08,-11.25
12377.63,-10.66
12501.41,-9.95
12626.42,-9.17
12752.68,-8.67
12880.21,-8.45
13009.01,-8.07
13139.10,-7.95
13270.49,-8.32
13403.20,-8.91
13537.23,-10.42
13672.60,-11.36
13809.33,-11.28
13947.42,-9.12
14086.90,-10.56
14227.77,-12.59
14370.04,-13.31
14513.74,-12.46
14658.88,-10.82
14805.47,-9.59
14953.52,-9.23
15103.06,-8.88
15254.09,-8.23
15406.63,-8.20
15560.70,-9.61
15716.30,-10.18
15873.47,-10.27
16032.20,-10.07
16192.52,-9.46
16354.45,-8.86
16517.99,-9.06
16683.17,-9.13
16850.01,-8.92
17018.51,-8.82
17188.69,-8.54
17360.58,-8.53
17534.18,-9.38
17709.53,-10.72
17886.62,-12.27
18065.49,-13.55
18246.14,-14.37
18428.60,-15.35
18612.89,-17.44
18799.02,-18.75
18987.01,-17.96
19176.88,-17.25
19368.65,-18.19
19562.33,-19.24
19757.96,-19.43
19955.54,-19.69
