frequency,raw
20.00,-25.87
20.20,-25.65
20.40,-25.45
20.61,-25.23
20.81,-25.03
21.02,-24.81
21.23,-24.67
21.44,-24.51
21.66,-24.35
21.87,-24.19
22.09,-24.05
22.31,-23.94
22.54,-23.82
22.76,-23.70
22.99,-23.60
23.22,-23.45
23.45,-23.31
23.69,-23.16
23.92,-23.02
24.16,-22.87
24.40,-22.72
24.65,-22.57
24.89,-22.41
25.14,-22.28
25.39,-22.16
25.65,-22.03
25.91,-21.90
26.16,-21.88
26.43,-21.90
26.69,-21.93
26.96,-21.95
27.23,-21.64
27.50,-21.26
27.77,-20.89
28.05,-20.57
28.33,-20.49
28.62,-20.41
28.90,-20.33
29.19,-20.19
29.48,-20.04
29.78,-19.88
30.08,-19.73
30.38,-19.60
30.68,-19.47
30.99,-19.34
31.30,-19.17
31.61,-19.01
31.93,-18.85
32.24,-18.70
32.57,-18.57
32.89,-18.43
33.22,-18.31
33.55,-18.17
33.89,-18.05
34.23,-17.92
34.57,-17.80
34.92,-17.68
35.27,-17.48
35.62,-17.27
35.97,-17.07
36.33,-17.03
36.70,-17.01
37.06,-16.96
37.43,-16.77
37.81,-16.58
38.19,-16.46
38.57,-16.40
38.95,-16.34
39.34,-16.13
39.74,-15.89
40.14,-15.71
40.54,-15.63
40.94,-15.54
41.35,-15.40
41.76,-15.25
42.18,-15.14
42.60,-15.06
43.03,-14.97
43.46,-14.66
43.90,-14.36
44.33,-14.21
44.78,-14.11
45.23,-14.16
45.68,-14.35
46.13,-14.44
46.60,-14.28
47.06,-14.15
47.53,-14.03
48.01,-13.93
48.49,-14.06
48.97,-14.18
49.46,-13.95
49.96,-13.70
50.46,-13.69
50.96,-13.71
51.47,-13.53
51.99,-13.33
52.51,-13.20
53.03,-13.08
53.56,-13.03
54.10,-12.97
54.64,-12.88
55.18,-12.78
55.74,-12.63
56.29,-12.56
56.86,-12.58
57.42,-12.48
58.00,-12.34
58.58,-12.31
59.16,-12.20
59.76,-11.87
60.35,-11.72
60.96,-11.68
61.57,-11.64
62.18,-11.56
62.80,-11.39
63.43,-11.30
64.07,-11.24
64.71,-11.09
65.35,-10.96
66.01,-10.88
66.67,-10.79
67.33,-10.71
68.01,-10.63
68.69,-10.54
69.37,-10.41
70.07,-10.23
70.77,-10.08
71.48,-10.01
72.19,-9.94
72.91,-9.72
73.64,-9.69
74.38,-9.71
75.12,-9.75
75.87,-9.63
76.63,-9.63
77.40,-9.62
78.17,-9.57
78.95,-9.49
79.74,-9.40
80.54,-9.31
81.35,-9.16
82.16,-8.97
82.98,-8.89
83.81,-8.86
84.65,-8.74
85.50,-8.60
86.35,-8.47
87.22,-8.32
88.09,-8.17
88.97,-8.05
89.86,-7.93
90.76,-7.82
91.66,-7.68
92.58,-7.65
93.51,-7.61
94.44,-7.53
95.39,-7.41
96.34,-7.28
97.30,-7.24
98.28,-7.18
99.26,-7.05
100.25,-6.96
101.25,-6.88
102.27,-6.78
103.29,-6.76
104.32,-6.71
105.37,-6.60
106.42,-6.56
107.48,-6.52
108.56,-6.43
109.64,-6.37
110.74,-6.39
111.85,-6.35
112.97,-6.30
114.10,-6.23
115.24,-6.18
116.39,-6.08
117.55,-6.03
118.73,-5.97
119.92,-5.91
121.12,-5.84
122.33,-5.80
123.55,-5.78
124.79,-5.79
126.03,-5.76
127.29,-5.67
128.57,-5.63
129.85,-5.64
131.15,-5.54
132.46,-5.49
133.79,-5.47
135.12,-5.47
136.48,-5.42
137.84,-5.39
139.22,-5.34
140.61,-5.30
142.02,-5.31
143.44,-5.26
144.87,-5.21
146.32,-5.10
147.78,-5.01
149.26,-4.99
150.75,-4.97
152.26,-4.94
153.78,-4.90
155.32,-4.87
156.88,-4.83
158.44,-4.80
160.03,-4.84
161.63,-4.83
163.24,-4.77
164.88,-4.70
166.53,-4.62
168.19,-4.54
169.87,-4.51
171.57,-4.45
173.29,-4.39
175.02,-4.38
176.77,-4.41
178.54,-4.41
180.32,-4.39
182.13,-4.34
183.95,-4.32
185.79,-4.34
187.65,-4.35
189.52,-4.35
191.42,-4.35
193.33,-4.30
195.27,-4.25
197.22,-4.22
199.19,-4.22
201.18,-4.16
203.19,-4.11
205.23,-4.05
207.28,-4.01
209.35,-4.00
211.44,-3.94
213.56,-3.89
215.69,-3.89
217.85,-3.88
220.03,-3.89
222.23,-3.88
224.45,-3.85
226.70,-3.79
228.96,-3.77
231.25,-3.77
233.57,-3.75
235.90,-3.66
238.26,-3.66
240.64,-3.65
243.05,-3.65
245.48,-3.64
247.93,-3.69
250.41,-3.71
252.92,-3.70
255.45,-3.72
258.00,-3.76
260.58,-3.77
263.19,-3.77
265.82,-3.77
268.48,-3.77
271.16,-3.80
273.87,-3.87
276.61,-3.87
279.38,-3.88
282.17,-3.88
284.99,-3.88
287.84,-3.88
290.72,-3.87
293.63,-3.86
296.57,-3.90
299.53,-3.99
302.53,-4.03
305.55,-4.06
308.61,-4.12
311.69,-4.12
314.81,-4.14
317.96,-4.19
321.14,-4.20
324.35,-4.19
327.59,-4.18
330.87,-4.27
334.18,-4.29
337.52,-4.28
340.90,-4.26
344.30,-4.21
347.75,-4.15
351.23,-4.09
354.74,-4.08
358.28,-4.07
361.87,-4.05
365.49,-4.04
369.14,-4.02
372.83,-4.01
376.56,-3.99
380.33,-3.87
384.13,-3.84
387.97,-3.83
391.85,-3.80
395.77,-3.74
399.73,-3.66
403.72,-3.63
407.76,-3.64
411.84,-3.65
415.96,-3.63
420.12,-3.62
424.32,-3.56
428.56,-3.49
432.85,-3.47
437.18,-3.46
441.55,-3.38
445.96,-3.33
450.42,-3.23
454.93,-3.07
459.48,-3.03
464.07,-3.08
468.71,-2.98
473.40,-2.89
478.13,-2.84
482.91,-2.84
487.74,-2.87
492.62,-2.96
497.55,-3.05
502.52,-3.14
507.55,-3.25
512.62,-3.26
517.75,-3.24
522.93,-3.14
528.16,-3.00
533.44,-2.90
538.77,-2.80
544.16,-2.73
549.60,-2.76
555.10,-2.80
560.65,-2.81
566.25,-2.83
571.92,-2.87
577.64,-2.92
583.41,-2.96
589.25,-2.96
595.14,-2.92
601.09,-2.74
607.10,-2.55
613.17,-2.42
619.30,-2.24
625.50,-2.15
631.75,-2.16
638.07,-2.16
644.45,-2.13
650.89,-2.10
657.40,-2.13
663.98,-2.21
670.62,-2.30
677.32,-2.22
684.10,-2.17
690.94,-2.12
697.85,-2.05
704.83,-1.93
711.87,-1.81
718.99,-1.80
726.18,-1.69
733.44,-1.65
740.78,-1.68
748.19,-1.70
755.67,-1.69
763.23,-1.58
770.86,-1.52
778.57,-1.52
786.35,-1.59
794.22,-1.69
802.16,-1.70
810.18,-1.61
818.28,-1.46
826.46,-1.35
834.73,-1.18
843.08,-0.97
851.51,-0.89
860.02,-0.91
868.62,-0.88
877.31,-0.79
886.08,-0.79
894.94,-0.73
903.89,-0.63
912.93,-0.56
922.06,-0.54
931.28,-0.41
940.59,-0.31
950.00,-0.20
959.50,-0.04
969.09,0.09
978.78,0.10
988.57,0.13
998.46,0.09
1008.44,-0.04
1018.53,-0.12
1028.71,-0.17
1039.00,-0.19
1049.39,-0.21
1059.88,-0.23
1070.48,-0.22
1081.19,-0.19
1092.00,-0.13
1102.92,0.03
1113.95,0.07
1125.09,-0.06
1136.34,-0.09
1147.70,-0.08
1159.18,-0.25
1170.77,-0.44
1182.48,-0.32
1194.30,-0.30
1206.25,-0.44
1218.31,-0.44
1230.49,-0.35
1242.80,-0.19
1255.22,-0.11
1267.78,-0.24
1280.45,-0.11
1293.26,0.07
1306.19,0.22
1319.25,0.26
1332.45,0.17
1345.77,0.15
1359.23,0.18
1372.82,0.05
1386.55,0.04
1400.41,0.14
1414.42,0.38
1428.56,0.59
1442.85,0.82
1457.28,1.05
1471.85,1.19
1486.57,1.23
1501.43,1.21
1516.45,1.25
1531.61,1.12
1546.93,0.76
1562.40,0.84
1578.02,1.12
1593.80,1.49
1609.74,1.57
1625.84,1.54
1642.10,1.70
1658.52,1.87
1675.10,1.78
1691.85,1.68
1708.77,1.55
1725.86,1.44
1743.12,1.34
1760.55,1.25
1778.15,1.20
1795.94,1.26
1813.90,1.35
1832.03,1.40
1850.36,1.45
1868.86,1.46
1887.55,1.42
1906.42,1.38
1925.49,1.32
1944.74,1.33
1964.19,1.25
1983.83,1.18
2003.67,1.09
2023.71,0.95
2043.94,0.84
2064.38,0.77
2085.03,0.73
2105.88,0.71
2126.94,0.67
2148.20,0.65
2169.69,0.68
2191.38,0.67
2213.30,0.68
2235.43,0.63
2257.78,0.65
2280.36,0.69
2303.17,0.68
2326.20,0.60
2349.46,0.64
2372.95,0.73
2396.68,0.75
2420.65,0.74
2444.86,0.75
2469.31,0.72
2494.00,0.67
2518.94,0.63
2544.13,0.52
2569.57,0.37
2595.27,0.21
2621.22,0.16
2647.43,0.12
2673.90,0.04
2700.64,-0.05
2727.65,-0.11
2754.93,-0.15
2782.48,-0.20
2810.30,-0.25
2838.40,-0.34
2866.79,-0.42
2895.46,-0.58
2924.41,-0.76
2953.65,-0.89
2983.19,-0.99
3013.02,-1.10
3043.15,-1.14
3073.58,-1.11
3104.32,-1.02
3135.36,-1.02
3166.72,-1.10
3198.38,-1.15
3230.37,-1.20
3262.67,-1.18
3295.30,-1.15
3328.25,-1.30
3361.53,-1.28
3395.15,-1.22
3429.10,-1.16
3463.39,-1.10
3498.03,-1.13
3533.01,-1.11
3568.34,-1.06
3604.02,-0.98
3640.06,-0.89
3676.46,-0.80
3713.22,-0.78
3750.36,-0.83
3787.86,-0.96
3825.74,-1.12
3864.00,-1.19
3902.64,-1.31
3941.66,-1.43
3981.08,-1.37
4020.89,-1.35
4061.10,-1.33
4101.71,-1.30
4142.73,-1.40
4184.15,-1.59
4226.00,-1.79
4268.26,-1.80
4310.94,-1.81
4354.05,-1.90
4397.59,-2.07
4441.56,-2.00
4485.98,-1.73
4530.84,-1.88
4576.15,-1.90
4621.91,-1.83
4668.13,-1.79
4714.81,-1.75
4761.96,-1.93
4809.58,-1.94
4857.67,-1.99
4906.25,-2.06
4955.31,-2.34
5004.87,-2.49
5054.91,-2.51
5105.46,-2.51
5156.52,-2.54
5208.08,-2.54
5260.16,-2.54
5312.77,-2.56
5365.89,-2.58
5419.55,-2.62
5473.75,-2.71
5528.49,-2.88
5583.77,-3.12
5639.61,-3.45
5696.00,-3.84
5752.96,-4.35
5810.49,-4.83
5868.60,-5.39
5927.28,-5.82
5986.56,-6.31
6046.42,-6.92
6106.89,-7.49
6167.96,-7.97
6229.64,-8.54
6291.93,-9.26
6354.85,-9.91
6418.40,-10.40
6482.58,-10.83
6547.41,-11.25
6612.88,-11.65
6679.01,-11.99
6745.80,-12.05
6813.26,-11.99
6881.39,-11.94
6950.21,-11.86
7019.71,-11.63
7089.91,-11.42
7160.81,-11.05
7232.41,-10.65
7304.74,-10.22
7377.79,-9.65
7451.56,-9.22
7526.08,-8.87
7601.34,-8.58
7677.35,-8.12
7754.13,-7.63
7831.67,-7.54
7909.98,-7.53
7989.08,-7.52
8068.98,-7.50
8149.67,-7.63
8231.16,-7.55
8313.47,-7.11
8396.61,-7.01
8480.57,-6.81
8565.38,-6.87
8651.03,-7.24
8737.54,-7.82
8824.92,-8.62
8913.17,-9.32
9002.30,-10.14
9092.32,-10.56
9183.25,-10.79
9275.08,-10.73
9367.83,-10.44
9461.51,-10.25
9556.12,-10.24
9651.68,-10.19
9748.20,-10.45
9845.68,-10.78
9944.14,-10.92
10043.58,-10.22
10144.02,-8.42
10245.46,-7.38
10347.91,-6.37
10451.39,-6.27
10555.91,-6.03
10661.46,-5.72
10768.08,-6.00
10875.76,-6.08
10984.52,-6.45
11094.36,-7.57
11205.31,-8.87
11317.36,-9.89
11430.53,-11.21
11544.84,-12.68
11660.29,-13.44
11776.89,-13.75
11894.66,-13.86
12013.60,-14.06
12133.74,-14.12
12255.08,-14.11
12377.63,-13.45
12501.41,-13.03
12626.42,-12.88
12752.68,-13.04
12880.21,-13.18
13009.01,-13.36
13139.10,-13.34
13270.49,-13.31
13403.20,-13.58
13537.23,-14.03
13672.60,-14.24
13809.33,-14.78
13947.42,-15.60
14086.90,-16.55
14227.77,-17.12
14370.04,-17.05
14513.74,-16.70
14658.88,-16.32
14805.47,-16.00
14953.52,-15.86
15103.06,-15.71
15254.09,-15.01
15406.63,-14.66
15560.70,-15.11
15716.30,-15.58
15873.47,-16.52
16032.20,-17.34
16192.52,-18.03
16354.45,-19.05
16517.99,-19.27
16683.17,-19.99
16850.01,-20.48
17018.51,-20.93
17188.69,-22.94
17360.58,-24.43
17534.18,-25.30
17709.53,-26.09
17886.62,-27.47
18065.49,-28.75
18246.14,-29.36
18428.60,-29.33
18612.89,-29.55
18799.02,-30.40
18987.01,-31.90
19176.88,-32.98
19368.65,-34.05
19562.33,-35.10
19757.96,-36.60
19955.54,-37.61
