frequency,raw
20.00,-1.57
20.20,-1.47
20.40,-1.38
20.61,-1.28
20.81,-1.19
21.02,-1.09
21.23,-1.02
21.44,-0.93
21.66,-0.85
21.87,-0.76
22.09,-0.67
22.31,-0.56
22.54,-0.45
22.76,-0.34
22.99,-0.23
23.22,-0.14
23.45,-0.06
23.69,0.04
23.92,0.12
24.16,0.20
24.40,0.28
24.65,0.35
24.89,0.44
25.14,0.51
25.39,0.59
25.65,0.67
25.91,0.74
26.16,0.80
26.43,0.86
26.69,0.91
26.96,0.97
27.23,1.05
27.50,1.13
27.77,1.21
28.05,1.28
28.33,1.34
28.62,1.40
28.90,1.46
29.19,1.51
29.48,1.55
29.78,1.59
30.08,1.63
30.38,1.64
30.68,1.64
30.99,1.65
31.30,1.71
31.61,1.77
31.93,1.83
32.24,1.86
32.57,1.87
32.89,1.90
33.22,1.94
33.55,2.00
33.89,2.05
34.23,2.11
34.57,2.15
34.92,2.19
35.27,2.20
35.62,2.19
35.97,2.18
36.33,2.18
36.70,2.18
37.06,2.19
37.43,2.23
37.81,2.27
38.19,2.28
38.57,2.27
38.95,2.27
39.34,2.27
39.74,2.27
40.14,2.27
40.54,2.27
40.94,2.27
41.35,2.28
41.76,2.28
42.18,2.28
42.60,2.29
43.03,2.29
43.46,2.30
43.90,2.30
44.33,2.30
44.78,2.30
45.23,2.30
45.68,2.30
46.13,2.30
46.60,2.30
47.06,2.29
47.53,2.29
48.01,2.28
48.49,2.27
48.97,2.26
49.46,2.25
49.96,2.23
50.46,2.22
50.96,2.21
51.47,2.12
51.99,2.02
52.51,2.05
53.03,2.07
53.56,2.11
54.10,2.11
54.64,2.01
55.18,1.94
55.74,1.93
56.29,1.93
56.86,1.92
57.42,1.92
58.00,1.92
58.58,1.92
59.16,1.92
59.76,1.93
60.35,1.89
60.96,1.82
61.57,1.83
62.18,1.86
62.80,1.90
63.43,1.93
64.07,1.96
64.71,1.98
65.35,2.01
66.01,2.03
66.67,2.05
67.33,2.06
68.01,2.08
68.69,2.09
69.37,2.10
70.07,2.12
70.77,2.12
71.48,2.13
72.19,2.14
72.91,2.15
73.64,2.16
74.38,2.18
75.12,2.19
75.87,2.20
76.63,2.27
77.40,2.26
78.17,2.19
78.95,2.17
79.74,2.19
80.54,2.13
81.35,2.08
82.16,2.09
82.98,2.15
83.81,2.16
84.65,2.17
85.50,2.18
86.35,2.20
87.22,2.24
88.09,2.28
88.97,2.15
89.86,2.13
90.76,2.14
91.66,2.15
92.58,2.15
93.51,2.12
94.44,2.04
95.39,2.00
96.34,2.05
97.30,2.07
98.28,2.09
99.26,2.10
100.25,1.99
101.25,1.91
102.27,1.91
103.29,1.91
104.32,1.90
105.37,1.86
106.42,1.76
107.48,1.75
108.56,1.76
109.64,1.67
110.74,1.62
111.85,1.60
112.97,1.61
114.10,1.56
115.24,1.44
116.39,1.50
117.55,1.54
118.73,1.48
119.92,1.37
121.12,1.36
122.33,1.33
123.55,1.24
124.79,1.15
126.03,1.19
127.29,1.19
128.57,1.21
129.85,1.24
131.15,1.18
132.46,1.05
133.79,0.91
135.12,0.87
136.48,0.91
137.84,0.92
139.22,0.91
140.61,0.95
142.02,0.98
143.44,0.79
144.87,0.65
146.32,0.68
147.78,0.72
149.26,0.73
150.75,0.75
152.26,0.83
153.78,0.88
155.32,0.71
156.88,0.62
158.44,0.67
160.03,0.68
161.63,0.64
163.24,0.64
164.88,0.64
166.53,0.65
168.19,0.64
169.87,0.66
171.57,0.56
173.29,0.43
175.02,0.35
176.77,0.33
178.54,0.29
180.32,0.26
182.13,0.24
183.95,0.22
185.79,0.03
187.65,0.03
189.52,0.15
191.42,0.14
193.33,0.05
195.27,-0.09
197.22,-0.15
199.19,-0.14
201.18,-0.15
203.19,-0.21
205.23,-0.30
207.28,-0.42
209.35,-0.45
211.44,-0.43
213.56,-0.52
215.69,-0.74
217.85,-0.94
220.03,-0.92
222.23,-0.88
224.45,-0.94
226.70,-1.16
228.96,-1.32
231.25,-1.30
233.57,-1.22
235.90,-1.27
238.26,-1.34
240.64,-1.26
243.05,-1.27
245.48,-1.39
247.93,-1.42
250.41,-1.36
252.92,-1.28
255.45,-1.40
258.00,-1.46
260.58,-1.46
263.19,-1.46
265.82,-1.46
268.48,-1.47
271.16,-1.46
273.87,-1.46
276.61,-1.50
279.38,-1.56
282.17,-1.64
284.99,-1.67
287.84,-1.66
290.72,-1.66
293.63,-1.83
296.57,-1.83
299.53,-1.67
302.53,-1.66
305.55,-1.79
308.61,-1.80
311.69,-1.87
314.81,-1.96
317.96,-1.91
321.14,-1.86
324.35,-1.86
327.59,-1.93
330.87,-1.94
334.18,-1.99
337.52,-2.02
340.90,-2.15
344.30,-2.21
347.75,-2.06
351.23,-1.94
354.74,-2.16
358.28,-2.33
361.87,-2.27
365.49,-2.20
369.14,-2.17
372.83,-2.15
376.56,-2.19
380.33,-2.22
384.13,-2.27
387.97,-2.27
391.85,-2.25
395.77,-2.33
399.73,-2.44
403.72,-2.35
407.76,-2.18
411.84,-2.27
415.96,-2.55
420.12,-2.58
424.32,-2.47
428.56,-2.34
432.85,-2.31
437.18,-2.57
441.55,-2.71
445.96,-2.62
450.42,-2.55
454.93,-2.54
459.48,-2.58
464.07,-2.60
468.71,-2.63
473.40,-2.62
478.13,-2.51
482.91,-2.35
487.74,-2.33
492.62,-2.42
497.55,-2.45
502.52,-2.44
507.55,-2.42
512.62,-2.39
517.75,-2.14
522.93,-2.05
528.16,-2.12
533.44,-2.16
538.77,-2.27
544.16,-2.27
549.60,-2.06
555.10,-2.00
560.65,-2.03
566.25,-2.05
571.92,-1.94
577.64,-1.83
583.41,-1.78
589.25,-1.77
595.14,-1.76
601.09,-1.83
607.10,-1.94
613.17,-2.05
619.30,-2.19
625.50,-2.34
631.75,-2.45
638.07,-2.63
644.45,-2.83
650.89,-2.93
657.40,-3.00
663.98,-3.03
670.62,-3.08
677.32,-3.05
684.10,-3.00
690.94,-2.90
697.85,-2.83
