frequency,raw
20.00,-10.38
20.20,-10.21
20.40,-10.05
20.61,-9.88
20.81,-9.72
21.02,-9.56
21.23,-9.50
21.44,-9.43
21.66,-9.36
21.87,-9.29
22.09,-9.20
22.31,-9.10
22.54,-8.98
22.76,-8.86
22.99,-8.75
23.22,-8.62
23.45,-8.49
23.69,-8.36
23.92,-8.23
24.16,-8.11
24.40,-7.99
24.65,-7.86
24.89,-7.73
25.14,-7.58
25.39,-7.41
25.65,-7.23
25.91,-7.06
26.16,-6.97
26.43,-6.92
26.69,-6.88
26.96,-6.82
27.23,-6.64
27.50,-6.43
27.77,-6.23
28.05,-6.06
28.33,-6.05
28.62,-6.04
28.90,-6.03
29.19,-5.94
29.48,-5.82
29.78,-5.69
30.08,-5.55
30.38,-5.40
30.68,-5.24
30.99,-5.09
31.30,-4.97
31.61,-4.87
31.93,-4.76
32.24,-4.66
32.57,-4.56
32.89,-4.46
33.22,-4.45
33.55,-4.46
33.89,-4.49
34.23,-4.21
34.57,-3.78
34.92,-3.36
35.27,-3.42
35.62,-3.64
35.97,-3.85
36.33,-3.80
36.70,-3.72
37.06,-3.61
37.43,-3.36
37.81,-3.11
38.19,-2.98
38.57,-2.95
38.95,-2.91
39.34,-2.81
39.74,-2.70
40.14,-2.53
40.54,-2.24
40.94,-1.95
41.35,-1.96
41.76,-2.04
42.18,-2.04
42.60,-1.94
43.03,-1.85
43.46,-1.72
43.90,-1.59
44.33,-1.40
44.78,-1.19
45.23,-1.05
45.68,-0.96
46.13,-0.85
46.60,-0.67
47.06,-0.48
47.53,-0.16
48.01,0.14
48.49,0.11
48.97,0.07
49.46,0.22
49.96,0.37
50.46,0.48
50.96,0.59
51.47,0.72
51.99,0.85
52.51,0.97
53.03,1.10
53.56,1.20
54.10,1.30
54.64,1.43
55.18,1.50
55.74,1.45
56.29,1.56
56.86,1.80
57.42,2.03
58.00,2.26
58.58,2.29
59.16,2.34
59.76,2.41
60.35,2.61
60.96,2.89
61.57,3.04
62.18,3.19
62.80,3.34
63.43,3.37
