frequency,raw
20.00,-15.87
20.20,-15.73
20.40,-15.60
20.61,-15.46
20.81,-15.33
21.02,-15.19
21.23,-15.05
21.44,-14.90
21.66,-14.75
21.87,-14.61
22.09,-14.46
22.31,-14.33
22.54,-14.19
22.76,-14.05
22.99,-13.92
23.22,-13.76
23.45,-13.61
23.69,-13.45
23.92,-13.30
24.16,-13.13
24.40,-12.96
24.65,-12.79
24.89,-12.61
25.14,-12.47
25.39,-12.35
25.65,-12.22
25.91,-12.09
26.16,-12.00
26.43,-11.91
26.69,-11.83
26.96,-11.73
27.23,-11.55
27.50,-11.34
27.77,-11.13
28.05,-10.94
28.33,-10.80
28.62,-10.67
28.90,-10.54
29.19,-10.40
29.48,-10.28
29.78,-10.15
30.08,-10.01
30.38,-9.85
30.68,-9.69
30.99,-9.53
31.30,-9.39
31.61,-9.26
31.93,-9.13
32.24,-8.99
32.57,-8.87
32.89,-8.73
33.22,-8.61
33.55,-8.48
33.89,-8.36
34.23,-8.21
34.57,-8.05
34.92,-7.90
35.27,-7.72
35.62,-7.55
35.97,-7.38
36.33,-7.37
36.70,-7.38
37.06,-7.34
37.43,-7.11
37.81,-6.89
38.19,-6.72
38.57,-6.60
38.95,-6.47
39.34,-6.35
39.74,-6.22
40.14,-6.09
40.54,-5.96
40.94,-5.84
41.35,-5.64
41.76,-5.43
42.18,-5.26
42.60,-5.13
43.03,-5.00
43.46,-4.87
43.90,-4.74
44.33,-4.66
44.78,-4.59
45.23,-4.50
45.68,-4.39
46.13,-4.28
46.60,-4.16
47.06,-4.04
47.53,-3.91
48.01,-3.79
48.49,-3.59
48.97,-3.39
49.46,-3.28
49.96,-3.19
50.46,-3.10
50.96,-3.01
51.47,-2.86
51.99,-2.71
52.51,-2.63
53.03,-2.56
53.56,-2.50
54.10,-2.42
54.64,-2.25
55.18,-2.10
55.74,-2.00
56.29,-1.89
56.86,-1.80
57.42,-1.74
58.00,-1.69
58.58,-1.65
59.16,-1.56
59.76,-1.35
60.35,-1.33
60.96,-1.44
61.57,-1.33
62.18,-1.23
62.80,-1.24
63.43,-1.13
64.07,-0.99
64.71,-0.94
65.35,-0.81
66.01,-0.62
66.67,-0.56
67.33,-0.48
68.01,-0.35
68.69,-0.22
69.37,-0.09
70.07,0.04
70.77,0.05
71.48,0.16
72.19,0.29
72.91,0.36
73.64,0.47
74.38,0.60
75.12,0.70
75.87,0.72
76.63,0.86
77.40,0.95
78.17,0.98
78.95,1.03
79.74,1.15
80.54,1.21
81.35,1.26
82.16,1.34
82.98,1.35
83.81,1.36
84.65,1.40
85.50,1.49
86.35,1.58
87.22,1.61
88.09,1.63
88.97,1.69
89.86,1.72
90.76,1.74
91.66,1.75
92.58,1.70
93.51,1.67
94.44,1.66
95.39,1.66
96.34,1.67
97.30,1.66
98.28,1.65
99.26,1.65
100.25,1.63
101.25,1.61
102.27,1.61
103.29,1.61
104.32,1.60
105.37,1.59
106.42,1.57
107.48,1.53
108.56,1.46
109.64,1.43
110.74,1.41
111.85,1.39
112.97,1.35
114.10,1.28
115.24,1.27
116.39,1.20
117.55,1.16
118.73,1.16
119.92,1.14
121.12,1.13
122.33,1.05
123.55,0.96
124.79,0.90
126.03,0.89
127.29,0.81
128.57,0.72
129.85,0.65
131.15,0.64
132.46,0.62
133.79,0.55
135.12,0.49
136.48,0.42
137.84,0.39
139.22,0.32
140.61,0.28
142.02,0.20
143.44,0.18
144.87,0.14
146.32,0.03
147.78,-0.02
149.26,-0.05
150.75,-0.14
152.26,-0.15
153.78,-0.12
155.32,-0.14
156.88,-0.15
158.44,-0.18
160.03,-0.18
161.63,-0.19
163.24,-0.27
164.88,-0.32
166.53,-0.31
168.19,-0.38
169.87,-0.44
171.57,-0.53
173.29,-0.60
175.02,-0.72
176.77,-0.83
178.54,-0.88
180.32,-0.98
182.13,-1.07
183.95,-1.15
185.79,-1.23
187.65,-1.28
189.52,-1.28
191.42,-1.28
193.33,-1.27
195.27,-1.27
197.22,-1.27
199.19,-1.33
201.18,-1.35
203.19,-1.34
205.23,-1.34
207.28,-1.34
209.35,-1.33
211.44,-1.32
213.56,-1.32
215.69,-1.36
217.85,-1.42
220.03,-1.49
222.23,-1.52
224.45,-1.51
226.70,-1.51
228.96,-1.51
231.25,-1.58
233.57,-1.60
235.90,-1.64
238.26,-1.68
240.64,-1.68
243.05,-1.69
245.48,-1.74
247.93,-1.75
250.41,-1.75
252.92,-1.73
255.45,-1.81
258.00,-1.89
260.58,-1.91
263.19,-1.90
265.82,-1.91
268.48,-1.91
271.16,-1.94
273.87,-2.01
276.61,-2.08
279.38,-2.14
282.17,-2.20
284.99,-2.22
287.84,-2.26
290.72,-2.40
293.63,-2.40
296.57,-2.44
299.53,-2.57
302.53,-2.59
305.55,-2.57
308.61,-2.57
311.69,-2.55
314.81,-2.49
317.96,-2.42
321.14,-2.36
324.35,-2.33
327.59,-2.31
330.87,-2.21
334.18,-2.18
337.52,-2.26
340.90,-2.31
344.30,-2.29
347.75,-2.27
351.23,-2.32
354.74,-2.37
358.28,-2.31
361.87,-2.38
365.49,-2.44
369.14,-2.38
372.83,-2.40
376.56,-2.50
380.33,-2.43
384.13,-2.46
387.97,-2.46
391.85,-2.30
395.77,-2.29
399.73,-2.30
403.72,-2.17
407.76,-2.09
411.84,-2.08
415.96,-2.08
420.12,-2.06
424.32,-2.05
428.56,-2.04
432.85,-2.04
437.18,-2.02
441.55,-2.00
445.96,-1.98
450.42,-1.96
454.93,-1.93
459.48,-1.91
464.07,-1.87
468.71,-1.84
473.40,-1.78
478.13,-1.84
482.91,-1.89
487.74,-1.89
492.62,-1.87
497.55,-1.86
502.52,-1.85
507.55,-1.83
512.62,-1.80
517.75,-1.88
522.93,-1.90
528.16,-1.83
533.44,-1.78
538.77,-1.76
544.16,-1.74
549.60,-1.72
555.10,-1.71
560.65,-1.69
566.25,-1.67
571.92,-1.64
577.64,-1.48
583.41,-1.43
589.25,-1.50
595.14,-1.42
601.09,-1.31
607.10,-1.27
613.17,-1.38
619.30,-1.38
625.50,-1.33
631.75,-1.31
638.07,-1.30
644.45,-1.30
650.89,-1.30
657.40,-1.28
663.98,-1.32
670.62,-1.32
677.32,-1.17
684.10,-1.11
690.94,-1.10
697.85,-1.07
704.83,-1.11
711.87,-1.11
718.99,-0.99
726.18,-0.94
733.44,-0.94
740.78,-0.96
748.19,-0.89
755.67,-0.81
763.23,-0.79
770.86,-0.78
778.57,-0.77
786.35,-0.66
794.22,-0.64
802.16,-0.67
810.18,-0.63
818.28,-0.55
826.46,-0.54
834.73,-0.46
843.08,-0.37
851.51,-0.39
860.02,-0.32
868.62,-0.31
877.31,-0.33
886.08,-0.29
894.94,-0.27
903.89,-0.28
912.93,-0.24
922.06,-0.21
931.28,-0.14
940.59,-0.13
950.00,-0.13
959.50,-0.13
969.09,-0.12
978.78,-0.06
988.57,0.01
998.46,0.07
1008.44,0.16
1018.53,0.22
1028.71,0.25
1039.00,0.29
1049.39,0.41
1059.88,0.48
1070.48,0.50
1081.19,0.48
1092.00,0.51
1102.92,0.56
1113.95,0.60
1125.09,0.64
1136.34,0.78
1147.70,0.85
1159.18,0.90
1170.77,0.90
1182.48,0.95
1194.30,1.03
1206.25,1.11
1218.31,1.22
1230.49,1.30
1242.80,1.37
1255.22,1.48
1267.78,1.54
1280.45,1.62
1293.26,1.71
1306.19,1.86
1319.25,1.98
1332.45,2.08
1345.77,2.17
1359.23,2.29
1372.82,2.47
1386.55,2.69
1400.41,2.78
1414.42,2.94
1428.56,3.11
1442.85,3.18
1457.28,3.27
1471.85,3.39
1486.57,3.56
1501.43,3.73
1516.45,3.90
1531.61,4.10
1546.93,4.16
1562.40,4.12
1578.02,4.22
1593.80,4.32
1609.74,4.42
1625.84,4.62
1642.10,4.73
1658.52,4.80
1675.10,4.86
1691.85,4.95
1708.77,5.12
1725.86,5.19
1743.12,5.31
1760.55,5.51
1778.15,5.84
1795.94,6.09
1813.90,6.21
1832.03,6.26
1850.36,6.36
1868.86,6.58
1887.55,6.87
1906.42,7.18
1925.49,7.48
1944.74,7.58
1964.19,7.77
1983.83,7.92
2003.67,8.01
2023.71,8.15
2043.94,8.41
2064.38,8.67
2085.03,8.92
2105.88,9.07
2126.94,9.21
2148.20,9.43
2169.69,9.68
2191.38,9.64
2213.30,9.51
2235.43,9.12
2257.78,9.00
2280.36,9.40
2303.17,9.69
2326.20,9.95
2349.46,10.22
2372.95,10.47
2396.68,10.32
2420.65,10.20
2444.86,10.19
2469.31,9.97
2494.00,9.85
2518.94,9.92
2544.13,10.35
2569.57,10.33
2595.27,10.34
2621.22,10.14
2647.43,10.40
2673.90,10.73
2700.64,11.46
2727.65,11.63
2754.93,11.46
2782.48,11.37
2810.30,11.09
2838.40,10.29
2866.79,9.68
2895.46,9.45
2924.41,9.83
2953.65,9.82
2983.19,9.73
3013.02,9.62
3043.15,10.17
3073.58,10.62
3104.32,10.79
3135.36,10.18
3166.72,9.72
3198.38,9.12
3230.37,8.67
3262.67,8.46
3295.30,8.31
3328.25,8.50
3361.53,8.79
3395.15,9.00
3429.10,8.95
3463.39,8.72
3498.03,8.52
3533.01,8.78
3568.34,9.07
3604.02,9.64
3640.06,9.72
3676.46,9.42
3713.22,8.90
3750.36,8.61
3787.86,8.16
3825.74,8.20
3864.00,8.51
3902.64,8.70
3941.66,8.82
3981.08,8.62
4020.89,8.60
4061.10,9.21
4101.71,10.00
4142.73,10.41
4184.15,10.60
4226.00,11.00
4268.26,11.78
4310.94,12.19
4354.05,11.94
4397.59,12.05
4441.56,12.44
4485.98,13.16
4530.84,13.92
4576.15,14.56
4621.91,14.96
4668.13,15.27
4714.81,15.12
4761.96,14.91
4809.58,14.91
4857.67,14.68
4906.25,14.52
4955.31,14.20
5004.87,13.91
5054.91,13.94
5105.46,13.81
5156.52,13.52
5208.08,13.33
5260.16,13.13
5312.77,12.94
5365.89,12.75
5419.55,12.63
5473.75,12.37
5528.49,12.05
5583.77,11.77
5639.61,11.57
5696.00,11.48
5752.96,11.49
5810.49,11.52
5868.60,11.51
5927.28,11.58
5986.56,11.58
6046.42,11.30
6106.89,10.52
6167.96,10.19
6229.64,10.26
6291.93,10.43
6354.85,10.52
6418.40,10.42
6482.58,10.38
6547.41,10.49
6612.88,10.42
6679.01,10.19
6745.80,10.23
6813.26,10.38
6881.39,10.48
6950.21,10.89
7019.71,11.42
7089.91,11.60
7160.81,11.82
7232.41,12.14
7304.74,12.32
7377.79,12.39
7451.56,12.19
7526.08,11.93
7601.34,11.57
7677.35,11.12
7754.13,10.70
7831.67,10.28
7909.98,9.63
7989.08,8.72
8068.98,7.70
8149.67,6.93
8231.16,6.47
8313.47,7.02
8396.61,7.80
8480.57,9.08
8565.38,9.77
8651.03,9.83
8737.54,9.24
8824.92,8.12
8913.17,7.25
9002.30,6.86
9092.32,6.72
9183.25,6.89
9275.08,7.19
9367.83,7.42
9461.51,7.49
9556.12,7.52
9651.68,7.46
9748.20,6.83
9845.68,5.47
9944.14,4.66
10043.58,3.58
10144.02,2.44
10245.46,1.85
10347.91,0.92
10451.39,0.11
10555.91,-0.21
10661.46,-0.09
10768.08,0.76
10875.76,1.95
10984.52,1.93
11094.36,1.11
11205.31,0.77
11317.36,0.11
11430.53,0.06
11544.84,0.58
11660.29,1.16
11776.89,1.96
11894.66,2.39
12013.60,1.96
12133.74,1.47
12255.08,1.01
12377.63,0.23
12501.41,-0.70
12626.42,-2.32
12752.68,-4.40
12880.21,-5.70
13009.01,-6.33
13139.10,-6.28
13270.49,-7.36
13403.20,-8.48
13537.23,-8.61
13672.60,-8.71
13809.33,-7.55
13947.42,-7.34
14086.90,-7.23
14227.77,-7.30
14370.04,-8.44
14513.74,-9.34
14658.88,-9.18
14805.47,-8.87
14953.52,-8.46
15103.06,-8.12
15254.09,-8.09
15406.63,-8.42
15560.70,-7.47
15716.30,-6.84
15873.47,-6.13
16032.20,-5.07
16192.52,-5.56
16354.45,-6.56
16517.99,-7.57
16683.17,-7.79
16850.01,-7.81
17018.51,-6.10
17188.69,-4.35
17360.58,-3.61
17534.18,-3.77
17709.53,-4.46
17886.62,-4.89
18065.49,-4.47
18246.14,-3.91
18428.60,-4.89
18612.89,-5.17
18799.02,-4.48
18987.01,-6.99
19176.88,-9.70
19368.65,-11.96
19562.33,-13.22
19757.96,-13.81
19955.54,-14.31
