frequency,raw
20.00,-16.54
20.20,-16.40
20.40,-16.27
20.61,-16.13
20.81,-16.00
21.02,-15.85
21.23,-15.69
21.44,-15.52
21.66,-15.35
21.87,-15.18
22.09,-15.01
22.31,-14.85
22.54,-14.67
22.76,-14.50
22.99,-14.34
23.22,-14.20
23.45,-14.06
23.69,-13.92
23.92,-13.79
24.16,-13.66
24.40,-13.53
24.65,-13.40
24.89,-13.26
25.14,-13.09
25.39,-12.89
25.65,-12.68
25.91,-12.48
26.16,-12.33
26.43,-12.20
26.69,-12.08
26.96,-11.94
27.23,-11.81
27.50,-11.67
27.77,-11.54
28.05,-11.40
28.33,-11.25
28.62,-11.10
28.90,-10.94
29.19,-10.77
29.48,-10.61
29.78,-10.43
30.08,-10.27
30.38,-10.14
30.68,-10.01
30.99,-9.88
31.30,-9.71
31.61,-9.55
31.93,-9.39
32.24,-9.24
32.57,-9.12
32.89,-8.98
33.22,-8.85
33.55,-8.72
33.89,-8.59
34.23,-8.44
34.57,-8.28
34.92,-8.13
35.27,-7.95
35.62,-7.78
35.97,-7.61
36.33,-7.45
36.70,-7.29
37.06,-7.14
37.43,-7.02
37.81,-6.89
38.19,-6.78
38.57,-6.65
38.95,-6.52
39.34,-6.36
39.74,-6.20
40.14,-6.05
40.54,-5.93
40.94,-5.81
41.35,-5.65
41.76,-5.50
42.18,-5.36
42.60,-5.23
43.03,-5.10
43.46,-4.96
43.90,-4.82
44.33,-4.68
44.78,-4.54
45.23,-4.41
45.68,-4.29
46.13,-4.16
46.60,-4.04
47.06,-3.92
47.53,-3.78
48.01,-3.65
48.49,-3.55
48.97,-3.46
49.46,-3.40
49.96,-3.36
50.46,-3.21
50.96,-3.06
51.47,-2.94
51.99,-2.82
52.51,-2.72
53.03,-2.63
53.56,-2.55
54.10,-2.47
54.64,-2.36
55.18,-2.25
55.74,-2.15
56.29,-2.01
56.86,-1.86
57.42,-1.83
58.00,-1.84
58.58,-1.73
59.16,-1.62
59.76,-1.49
