frequency,raw
20.00,-12.42
20.20,-12.28
20.40,-12.15
20.61,-12.01
20.81,-11.88
21.02,-11.74
21.23,-11.62
21.44,-11.49
21.66,-11.36
21.87,-11.23
22.09,-11.11
22.31,-10.98
22.54,-10.84
22.76,-10.70
22.99,-10.57
23.22,-10.45
23.45,-10.35
23.69,-10.24
23.92,-10.14
24.16,-10.00
24.40,-9.84
24.65,-9.69
24.89,-9.52
25.14,-9.40
25.39,-9.31
25.65,-9.22
25.91,-9.13
26.16,-9.04
26.43,-8.94
26.69,-8.84
26.96,-8.74
27.23,-8.60
27.50,-8.46
27.77,-8.32
28.05,-8.19
28.33,-8.06
28.62,-7.93
28.90,-7.80
29.19,-7.71
29.48,-7.64
29.78,-7.56
30.08,-7.47
30.38,-7.34
30.68,-7.21
30.99,-7.08
31.30,-6.94
31.61,-6.81
31.93,-6.68
32.24,-6.57
32.57,-6.48
32.89,-6.38
33.22,-6.28
33.55,-6.16
33.89,-6.05
34.23,-5.91
34.57,-5.78
34.92,-5.64
35.27,-5.52
35.62,-5.43
35.97,-5.33
36.33,-5.20
36.70,-5.07
37.06,-4.94
37.43,-4.82
37.81,-4.70
38.19,-4.63
38.57,-4.58
38.95,-4.53
39.34,-4.41
39.74,-4.28
40.14,-4.14
40.54,-4.01
40.94,-3.87
41.35,-3.78
41.76,-3.70
42.18,-3.61
42.60,-3.48
43.03,-3.36
43.46,-3.27
43.90,-3.19
44.33,-3.08
44.78,-2.97
45.23,-2.89
45.68,-2.84
46.13,-2.77
46.60,-2.65
47.06,-2.55
47.53,-2.46
48.01,-2.38
48.49,-2.32
48.97,-2.25
49.46,-2.14
49.96,-2.04
50.46,-2.02
50.96,-2.00
51.47,-1.89
51.99,-1.77
52.51,-1.74
53.03,-1.72
53.56,-1.66
54.10,-1.60
54.64,-1.56
55.18,-1.51
55.74,-1.47
56.29,-1.44
56.86,-1.44
57.42,-1.35
58.00,-1.24
58.58,-1.16
59.16,-1.09
59.76,-1.04
60.35,-0.95
60.96,-0.82
61.57,-0.80
62.18,-0.76
62.80,-0.68
63.43,-0.59
64.07,-0.49
64.71,-0.41
65.35,-0.31
66.01,-0.23
66.67,-0.14
67.33,-0.07
68.01,0.01
68.69,0.03
69.37,0.12
70.07,0.26
70.77,0.26
71.48,0.35
72.19,0.45
72.91,0.49
73.64,0.50
74.38,0.55
75.12,0.63
75.87,0.73
76.63,0.77
77.40,0.79
78.17,0.81
78.95,0.81
79.74,0.93
80.54,1.02
81.35,1.07
82.16,1.08
82.98,1.09
83.81,1.10
84.65,1.11
85.50,1.12
86.35,1.13
87.22,1.14
88.09,1.16
88.97,1.26
89.86,1.26
90.76,1.27
91.66,1.28
92.58,1.28
93.51,1.29
94.44,1.29
95.39,1.29
96.34,1.30
97.30,1.29
98.28,1.28
99.26,1.28
100.25,1.26
101.25,1.24
102.27,1.24
103.29,1.24
104.32,1.23
105.37,1.22
106.42,1.20
107.48,1.15
108.56,1.07
109.64,1.05
110.74,1.04
111.85,1.02
112.97,1.03
114.10,1.01
115.24,1.00
116.39,0.87
117.55,0.78
118.73,0.77
119.92,0.77
121.12,0.77
122.33,0.74
123.55,0.66
124.79,0.60
126.03,0.62
127.29,0.63
128.57,0.62
129.85,0.50
131.15,0.44
132.46,0.35
133.79,0.33
135.12,0.34
136.48,0.33
137.84,0.32
139.22,0.28
140.61,0.23
142.02,0.17
143.44,0.13
144.87,0.10
146.32,-0.01
147.78,-0.03
149.26,0.01
150.75,0.08
152.26,0.08
153.78,0.03
155.32,-0.05
156.88,-0.08
158.44,0.00
160.03,0.08
161.63,0.13
163.24,0.06
164.88,-0.02
166.53,-0.11
168.19,-0.08
169.87,-0.04
171.57,-0.17
173.29,-0.34
175.02,-0.42
176.77,-0.41
178.54,-0.44
180.32,-0.47
182.13,-0.51
183.95,-0.58
185.79,-0.65
187.65,-0.73
189.52,-0.74
191.42,-0.74
193.33,-0.74
195.27,-0.70
197.22,-0.71
199.19,-0.88
201.18,-0.97
203.19,-0.93
205.23,-0.89
207.28,-0.85
209.35,-0.95
211.44,-1.11
213.56,-1.12
215.69,-1.09
217.85,-1.03
220.03,-1.10
222.23,-1.16
224.45,-1.28
226.70,-1.33
228.96,-1.27
231.25,-1.27
233.57,-1.31
235.90,-1.40
238.26,-1.37
240.64,-1.43
243.05,-1.53
245.48,-1.60
247.93,-1.55
250.41,-1.52
252.92,-1.50
255.45,-1.49
258.00,-1.51
260.58,-1.56
263.19,-1.62
265.82,-1.67
268.48,-1.84
271.16,-1.84
273.87,-1.77
276.61,-1.77
279.38,-1.78
282.17,-1.71
284.99,-1.77
287.84,-1.95
290.72,-1.96
293.63,-1.78
296.57,-1.76
299.53,-1.77
302.53,-1.77
305.55,-1.73
308.61,-1.67
311.69,-1.61
314.81,-1.60
317.96,-1.59
321.14,-1.63
324.35,-1.68
327.59,-1.68
330.87,-1.67
334.18,-1.66
337.52,-1.68
340.90,-1.79
344.30,-1.85
347.75,-1.91
351.23,-1.90
354.74,-1.89
358.28,-1.87
361.87,-1.85
365.49,-1.84
369.14,-1.82
372.83,-1.72
376.56,-1.67
380.33,-1.66
384.13,-1.64
387.97,-1.61
391.85,-1.52
395.77,-1.49
399.73,-1.48
403.72,-1.48
407.76,-1.54
411.84,-1.55
415.96,-1.52
420.12,-1.57
424.32,-1.60
428.56,-1.60
432.85,-1.60
437.18,-1.58
441.55,-1.57
445.96,-1.54
450.42,-1.52
454.93,-1.49
459.48,-1.47
464.07,-1.51
468.71,-1.52
473.40,-1.50
478.13,-1.48
482.91,-1.46
487.74,-1.45
492.62,-1.44
497.55,-1.43
502.52,-1.41
507.55,-1.43
512.62,-1.46
517.75,-1.44
522.93,-1.41
528.16,-1.38
533.44,-1.35
538.77,-1.33
544.16,-1.31
549.60,-1.28
555.10,-1.27
560.65,-1.25
566.25,-1.23
571.92,-1.21
577.64,-1.18
583.41,-1.15
589.25,-1.12
595.14,-1.09
601.09,-1.06
607.10,-1.03
613.17,-1.01
619.30,-0.99
625.50,-0.98
631.75,-0.98
638.07,-0.99
644.45,-1.05
650.89,-1.07
657.40,-1.05
663.98,-0.99
670.62,-0.93
677.32,-0.90
684.10,-0.88
690.94,-0.86
697.85,-0.83
704.83,-0.83
711.87,-0.79
718.99,-0.73
726.18,-0.70
733.44,-0.70
740.78,-0.69
748.19,-0.67
755.67,-0.66
763.23,-0.66
770.86,-0.64
778.57,-0.64
786.35,-0.56
794.22,-0.51
802.16,-0.50
810.18,-0.50
818.28,-0.48
826.46,-0.38
834.73,-0.32
843.08,-0.32
851.51,-0.34
860.02,-0.26
868.62,-0.25
877.31,-0.29
886.08,-0.21
894.94,-0.20
903.89,-0.23
912.93,-0.13
922.06,-0.11
931.28,-0.22
940.59,-0.20
950.00,-0.12
959.50,-0.10
969.09,-0.09
978.78,-0.07
988.57,-0.05
998.46,0.06
1008.44,0.14
1018.53,0.16
1028.71,0.15
1039.00,0.17
1049.39,0.33
1059.88,0.42
1070.48,0.44
1081.19,0.42
1092.00,0.38
1102.92,0.39
1113.95,0.56
1125.09,0.63
1136.34,0.65
1147.70,0.68
1159.18,0.74
1170.77,0.84
1182.48,0.86
1194.30,0.87
1206.25,0.94
1218.31,1.03
1230.49,1.19
1242.80,1.31
1255.22,1.29
1267.78,1.32
1280.45,1.45
1293.26,1.55
1306.19,1.54
1319.25,1.61
1332.45,1.68
1345.77,1.84
1359.23,2.01
1372.82,2.16
1386.55,2.38
1400.41,2.56
1414.42,2.68
1428.56,2.73
1442.85,2.85
1457.28,2.99
1471.85,3.12
1486.57,3.33
1501.43,3.52
1516.45,3.63
1531.61,3.73
1546.93,3.88
1562.40,4.04
1578.02,4.20
1593.80,4.32
1609.74,4.47
1625.84,4.60
1642.10,4.71
1658.52,4.83
1675.10,4.95
1691.85,5.11
1708.77,5.21
1725.86,5.33
1743.12,5.52
1760.55,5.71
1778.15,5.99
1795.94,6.31
1813.90,6.77
1832.03,7.41
1850.36,8.08
1868.86,8.59
1887.55,9.08
1906.42,9.90
1925.49,10.11
1944.74,10.15
1964.19,10.07
1983.83,10.58
2003.67,11.29
2023.71,11.80
2043.94,12.26
2064.38,12.32
2085.03,12.28
2105.88,12.25
2126.94,12.26
2148.20,12.44
2169.69,12.34
2191.38,12.25
2213.30,12.21
2235.43,12.23
2257.78,11.97
2280.36,11.69
2303.17,11.39
2326.20,11.05
2349.46,11.30
2372.95,11.69
2396.68,11.69
2420.65,11.70
2444.86,11.58
2469.31,11.53
2494.00,11.92
2518.94,12.08
2544.13,11.88
2569.57,11.72
2595.27,11.63
2621.22,11.63
2647.43,11.68
2673.90,11.92
2700.64,12.12
2727.65,11.76
2754.93,11.34
2782.48,11.16
2810.30,11.25
2838.40,11.21
2866.79,11.36
2895.46,11.67
2924.41,11.33
2953.65,11.24
2983.19,11.63
3013.02,11.61
3043.15,11.38
3073.58,11.09
3104.32,11.34
3135.36,11.01
3166.72,10.78
3198.38,10.76
3230.37,10.42
3262.67,10.21
3295.30,9.83
3328.25,9.69
3361.53,9.93
3395.15,10.20
3429.10,10.42
3463.39,10.74
3498.03,11.11
3533.01,11.45
3568.34,11.89
3604.02,11.80
3640.06,11.35
3676.46,11.37
3713.22,11.00
3750.36,10.56
3787.86,10.24
3825.74,10.16
3864.00,10.32
3902.64,10.65
3941.66,10.28
3981.08,9.48
4020.89,8.84
4061.10,8.04
4101.71,7.74
4142.73,7.56
4184.15,7.10
4226.00,6.64
4268.26,6.64
4310.94,6.62
4354.05,6.38
4397.59,6.12
4441.56,5.91
4485.98,5.78
4530.84,5.76
4576.15,5.68
4621.91,5.60
4668.13,5.85
4714.81,6.17
4761.96,6.54
4809.58,6.76
4857.67,7.08
4906.25,7.53
4955.31,8.23
5004.87,8.84
5054.91,9.19
5105.46,9.36
5156.52,9.73
5208.08,10.27
5260.16,10.74
5312.77,10.88
5365.89,10.54
5419.55,10.44
5473.75,10.50
5528.49,10.43
5583.77,10.37
5639.61,10.44
5696.00,9.96
5752.96,9.31
5810.49,9.08
5868.60,9.20
5927.28,9.29
5986.56,9.20
6046.42,9.53
6106.89,9.87
6167.96,9.70
6229.64,9.33
6291.93,8.94
6354.85,8.78
6418.40,8.79
6482.58,8.91
6547.41,8.99
6612.88,8.96
6679.01,9.05
6745.80,9.39
6813.26,10.13
6881.39,10.46
6950.21,10.98
7019.71,11.12
7089.91,11.20
7160.81,11.41
7232.41,11.31
7304.74,11.11
7377.79,10.80
7451.56,10.51
7526.08,10.25
7601.34,9.94
7677.35,9.76
7754.13,9.57
7831.67,9.19
7909.98,8.75
7989.08,8.36
8068.98,7.67
8149.67,6.89
8231.16,6.20
8313.47,5.24
8396.61,4.50
8480.57,3.69
8565.38,3.54
8651.03,3.96
8737.54,4.67
8824.92,4.98
8913.17,4.83
9002.30,4.58
9092.32,4.71
9183.25,4.78
9275.08,5.13
9367.83,5.67
9461.51,5.91
9556.12,5.95
9651.68,5.85
9748.20,5.46
9845.68,4.68
9944.14,4.17
10043.58,3.36
10144.02,2.82
10245.46,2.70
10347.91,2.50
10451.39,1.89
10555.91,1.49
10661.46,0.67
10768.08,-0.59
10875.76,-2.09
10984.52,-3.40
11094.36,-3.96
11205.31,-3.84
11317.36,-3.25
11430.53,-2.35
11544.84,-2.54
11660.29,-2.81
11776.89,-3.07
11894.66,-3.11
12013.60,-2.46
12133.74,-1.70
12255.08,-1.41
12377.63,-2.06
12501.41,-3.14
12626.42,-4.69
12752.68,-6.21
12880.21,-6.81
13009.01,-6.87
13139.10,-6.43
13270.49,-6.07
13403.20,-6.74
13537.23,-7.62
13672.60,-7.52
13809.33,-8.35
13947.42,-8.45
