frequency,raw
20.00,-13.78
20.20,-13.64
20.40,-13.51
20.61,-13.37
20.81,-13.24
21.02,-13.10
21.23,-12.98
21.44,-12.86
21.66,-12.73
21.87,-12.60
22.09,-12.48
22.31,-12.35
22.54,-12.21
22.76,-12.07
22.99,-11.94
23.22,-11.80
23.45,-11.67
23.69,-11.54
23.92,-11.41
24.16,-11.27
24.40,-11.12
24.65,-10.98
24.89,-10.82
25.14,-10.69
25.39,-10.56
25.65,-10.43
25.91,-10.31
26.16,-10.18
26.43,-10.06
26.69,-9.93
26.96,-9.80
27.23,-9.71
27.50,-9.63
27.77,-9.55
28.05,-9.46
28.33,-9.32
28.62,-9.19
28.90,-9.06
29.19,-8.92
29.48,-8.80
29.78,-8.67
30.08,-8.54
30.38,-8.41
30.68,-8.28
30.99,-8.15
31.30,-8.01
31.61,-7.88
31.93,-7.75
32.24,-7.64
32.57,-7.56
32.89,-7.46
33.22,-7.36
33.55,-7.25
33.89,-7.15
34.23,-7.03
34.57,-6.92
34.92,-6.81
35.27,-6.66
35.62,-6.52
35.97,-6.38
36.33,-6.26
36.70,-6.13
37.06,-6.01
37.43,-5.91
37.81,-5.81
38.19,-5.72
38.57,-5.63
38.95,-5.54
39.34,-5.47
39.74,-5.40
40.14,-5.33
40.54,-5.25
40.94,-5.18
41.35,-5.05
41.76,-4.92
42.18,-4.81
42.60,-4.69
43.03,-4.60
43.46,-4.52
43.90,-4.45
44.33,-4.35
44.78,-4.24
45.23,-4.15
45.68,-4.08
46.13,-4.00
46.60,-3.90
47.06,-3.82
47.53,-3.76
48.01,-3.70
48.49,-3.59
48.97,-3.48
49.46,-3.40
49.96,-3.34
50.46,-3.28
50.96,-3.23
51.47,-3.20
51.99,-3.18
52.51,-3.03
53.03,-2.87
53.56,-2.78
54.10,-2.71
54.64,-2.71
55.18,-2.67
55.74,-2.54
56.29,-2.45
56.86,-2.42
57.42,-2.29
58.00,-2.12
58.58,-2.20
59.16,-2.20
59.76,-2.01
60.35,-1.97
60.96,-2.05
61.57,-1.85
62.18,-1.68
62.80,-1.71
63.43,-1.66
64.07,-1.56
64.71,-1.48
65.35,-1.42
66.01,-1.40
66.67,-1.25
67.33,-1.21
68.01,-1.28
68.69,-1.14
69.37,-1.05
70.07,-1.01
70.77,-1.01
71.48,-0.96
72.19,-0.88
72.91,-0.82
73.64,-0.77
74.38,-0.74
75.12,-0.73
75.87,-0.71
76.63,-0.56
77.40,-0.51
78.17,-0.56
78.95,-0.55
79.74,-0.53
80.54,-0.52
81.35,-0.50
82.16,-0.49
82.98,-0.48
83.81,-0.47
84.65,-0.41
85.50,-0.35
86.35,-0.29
87.22,-0.23
88.09,-0.26
88.97,-0.44
89.86,-0.37
90.76,-0.31
91.66,-0.29
92.58,-0.29
93.51,-0.28
94.44,-0.28
95.39,-0.28
96.34,-0.27
97.30,-0.28
98.28,-0.27
99.26,-0.21
100.25,-0.21
101.25,-0.37
102.27,-0.43
103.29,-0.43
104.32,-0.44
105.37,-0.53
106.42,-0.68
107.48,-0.64
108.56,-0.60
109.64,-0.61
110.74,-0.63
111.85,-0.62
112.97,-0.51
114.10,-0.61
115.24,-0.79
116.39,-0.94
117.55,-1.02
118.73,-0.94
119.92,-0.90
121.12,-0.82
122.33,-0.90
123.55,-1.11
124.79,-1.26
126.03,-1.17
127.29,-1.17
128.57,-1.18
129.85,-1.19
131.15,-1.17
132.46,-1.23
133.79,-1.45
135.12,-1.51
136.48,-1.46
137.84,-1.45
139.22,-1.46
140.61,-1.46
142.02,-1.53
143.44,-1.56
144.87,-1.63
146.32,-1.66
147.78,-1.66
149.26,-1.65
150.75,-1.63
152.26,-1.66
153.78,-1.67
155.32,-1.70
156.88,-1.69
158.44,-1.65
160.03,-1.62
161.63,-1.62
163.24,-1.65
164.88,-1.71
166.53,-1.74
168.19,-1.75
169.87,-1.77
171.57,-1.79
173.29,-1.87
175.02,-2.06
176.77,-2.08
178.54,-1.91
180.32,-1.97
182.13,-2.12
183.95,-2.19
185.79,-2.36
187.65,-2.43
189.52,-2.35
191.42,-2.31
193.33,-2.31
195.27,-2.30
197.22,-2.29
199.19,-2.29
201.18,-2.28
203.19,-2.27
205.23,-2.27
207.28,-2.27
209.35,-2.26
211.44,-2.26
213.56,-2.25
215.69,-2.25
217.85,-2.47
220.03,-2.44
222.23,-2.37
224.45,-2.22
226.70,-2.21
228.96,-2.44
231.25,-2.43
233.57,-2.43
235.90,-2.43
238.26,-2.43
240.64,-2.42
243.05,-2.42
245.48,-2.41
247.93,-2.44
250.41,-2.62
