frequency,raw
20.00,0.74
20.20,0.82
20.40,0.88
20.61,0.96
20.81,1.02
21.02,1.10
21.23,1.23
21.44,1.37
21.66,1.51
21.87,1.65
22.09,1.77
22.31,1.86
22.54,1.97
22.76,2.07
22.99,2.17
23.22,2.23
23.45,2.29
23.69,2.35
23.92,2.40
24.16,2.52
24.40,2.67
24.65,2.82
24.89,2.99
25.14,3.03
25.39,2.99
25.65,2.96
25.91,2.91
26.16,3.02
26.43,3.21
26.69,3.39
26.96,3.59
27.23,3.62
27.50,3.63
27.77,3.64
28.05,3.63
28.33,3.56
28.62,3.50
28.90,3.43
29.19,3.47
29.48,3.55
29.78,3.64
30.08,3.70
30.38,3.66
30.68,3.63
30.99,3.59
31.30,3.60
31.61,3.60
31.93,3.60
32.24,3.74
32.57,3.90
32.89,4.08
33.22,4.04
33.55,3.91
33.89,3.77
34.23,3.74
34.57,3.74
34.92,3.74
35.27,3.80
35.62,3.87
35.97,3.94
36.33,3.85
36.70,3.74
37.06,3.64
37.43,3.56
37.81,3.48
38.19,3.51
38.57,3.68
38.95,3.85
39.34,3.72
39.74,3.56
40.14,3.44
40.54,3.40
40.94,3.37
41.35,3.42
41.76,3.48
42.18,3.41
42.60,3.20
43.03,2.99
43.46,3.00
43.90,3.00
44.33,2.96
44.78,2.90
45.23,2.85
45.68,2.80
46.13,2.76
46.60,2.75
47.06,2.70
47.53,2.58
48.01,2.44
48.49,2.32
48.97,2.20
49.46,2.03
49.96,1.84
50.46,1.93
50.96,2.03
51.47,2.01
51.99,1.97
52.51,1.54
53.03,1.13
53.56,1.38
54.10,1.53
54.64,1.24
55.18,1.02
55.74,0.96
56.29,0.90
56.86,0.80
57.42,0.72
58.00,0.63
58.58,0.66
59.16,0.63
59.76,0.46
60.35,0.39
60.96,0.41
61.57,0.04
62.18,-0.17
62.80,0.02
63.43,0.14
64.07,0.19
64.71,-0.13
65.35,-0.26
66.01,-0.26
66.67,-0.12
67.33,-0.20
68.01,-0.49
68.69,-0.57
69.37,-0.44
70.07,-0.19
70.77,-0.60
71.48,-0.62
72.19,-0.61
72.91,-0.99
73.64,-0.69
74.38,-0.63
75.12,-0.88
75.87,-0.93
76.63,-0.93
77.40,-0.96
78.17,-0.99
78.95,-0.98
79.74,-0.96
80.54,-0.82
81.35,-0.73
82.16,-0.82
82.98,-1.01
83.81,-1.00
84.65,-0.99
85.50,-0.98
86.35,-0.97
87.22,-0.96
88.09,-0.95
88.97,-0.94
89.86,-0.94
90.76,-0.92
91.66,-0.91
92.58,-0.91
93.51,-0.90
94.44,-0.90
95.39,-0.90
96.34,-0.90
97.30,-0.90
98.28,-0.91
99.26,-0.92
100.25,-0.93
101.25,-0.88
102.27,-0.75
103.29,-0.93
104.32,-1.06
105.37,-1.08
106.42,-1.14
107.48,-1.34
108.56,-1.42
109.64,-1.29
110.74,-1.18
111.85,-1.18
112.97,-1.35
114.10,-1.58
115.24,-1.46
116.39,-1.42
117.55,-1.50
118.73,-1.77
119.92,-1.71
121.12,-1.77
122.33,-1.84
123.55,-1.91
124.79,-1.94
126.03,-2.04
127.29,-2.09
128.57,-2.17
129.85,-2.27
131.15,-2.31
132.46,-2.37
133.79,-2.40
135.12,-2.44
136.48,-2.50
137.84,-2.55
139.22,-2.60
140.61,-2.52
142.02,-2.37
143.44,-2.78
144.87,-3.08
146.32,-2.94
147.78,-2.83
149.26,-2.81
150.75,-2.79
152.26,-2.77
153.78,-2.88
155.32,-2.86
156.88,-2.44
158.44,-2.22
160.03,-2.29
161.63,-2.34
163.24,-2.43
164.88,-2.57
166.53,-2.26
168.19,-2.21
169.87,-2.09
171.57,-1.78
173.29,-2.01
175.02,-2.29
176.77,-2.02
178.54,-2.00
180.32,-2.03
182.13,-2.05
183.95,-2.07
185.79,-2.09
187.65,-2.09
189.52,-2.10
191.42,-1.93
193.33,-1.92
195.27,-2.28
197.22,-2.35
199.19,-2.22
201.18,-2.34
203.19,-2.50
205.23,-2.56
207.28,-2.61
209.35,-2.67
211.44,-2.71
213.56,-2.76
215.69,-2.81
217.85,-2.81
220.03,-2.87
222.23,-2.90
224.45,-2.90
226.70,-2.90
228.96,-2.89
231.25,-3.06
233.57,-3.12
235.90,-2.92
238.26,-2.58
240.64,-2.45
243.05,-2.70
245.48,-2.84
247.93,-2.61
250.41,-2.55
252.92,-2.52
255.45,-2.52
258.00,-2.51
260.58,-2.51
263.19,-2.63
265.82,-2.64
268.48,-2.79
271.16,-2.77
