frequency,raw
20.00,-2.69
20.20,-2.62
20.40,-2.55
20.61,-2.48
20.81,-2.42
21.02,-2.35
21.23,-2.37
21.44,-2.38
21.66,-2.39
21.87,-2.40
22.09,-2.38
22.31,-2.34
22.54,-2.28
22.76,-2.23
22.99,-2.18
23.22,-2.11
23.45,-2.05
23.69,-1.97
23.92,-1.91
24.16,-1.89
24.40,-1.89
24.65,-1.89
24.89,-1.88
25.14,-1.84
25.39,-1.78
25.65,-1.70
25.91,-1.63
26.16,-1.59
26.43,-1.56
26.69,-1.53
26.96,-1.49
27.23,-1.48
27.50,-1.46
27.77,-1.44
28.05,-1.42
28.33,-1.38
28.62,-1.34
28.90,-1.30
29.19,-1.27
29.48,-1.25
29.78,-1.22
30.08,-1.19
30.38,-1.16
30.68,-1.12
30.99,-1.09
31.30,-1.05
31.61,-1.02
31.93,-1.00
32.24,-0.95
32.57,-0.92
32.89,-0.87
33.22,-0.86
33.55,-0.85
33.89,-0.85
34.23,-0.82
34.57,-0.78
34.92,-0.75
35.27,-0.70
35.62,-0.67
35.97,-0.63
36.33,-0.60
36.70,-0.56
37.06,-0.53
37.43,-0.53
37.81,-0.53
38.19,-0.54
38.57,-0.54
38.95,-0.54
39.34,-0.51
39.74,-0.47
40.14,-0.44
40.54,-0.44
40.94,-0.44
41.35,-0.42
41.76,-0.41
42.18,-0.37
42.60,-0.29
43.03,-0.22
43.46,-0.21
43.90,-0.21
44.33,-0.21
44.78,-0.21
45.23,-0.21
45.68,-0.21
46.13,-0.21
46.60,-0.21
47.06,-0.21
47.53,-0.17
48.01,-0.13
48.49,-0.14
48.97,-0.15
49.46,-0.11
49.96,-0.08
50.46,-0.09
50.96,-0.10
51.47,-0.11
51.99,-0.12
52.51,-0.13
53.03,-0.14
53.56,-0.15
54.10,-0.16
54.64,-0.17
55.18,-0.18
55.74,-0.19
56.29,-0.19
56.86,-0.20
57.42,-0.16
58.00,-0.10
58.58,-0.10
59.16,-0.08
59.76,-0.01
60.35,0.02
60.96,0.03
61.57,0.04
62.18,0.06
62.80,0.08
63.43,0.11
64.07,0.14
64.71,0.16
65.35,0.19
66.01,0.21
66.67,0.23
67.33,0.24
68.01,0.26
68.69,0.27
69.37,0.28
70.07,0.31
70.77,0.38
71.48,0.45
72.19,0.50
72.91,0.53
73.64,0.54
74.38,0.56
75.12,0.57
75.87,0.58
76.63,0.60
77.40,0.62
78.17,0.64
78.95,0.65
79.74,0.67
80.54,0.68
81.35,0.70
82.16,0.71
82.98,0.72
83.81,0.73
84.65,0.74
85.50,0.75
86.35,0.76
87.22,0.79
88.09,0.89
88.97,0.90
89.86,0.90
90.76,0.91
91.66,0.92
92.58,0.92
93.51,0.93
94.44,0.93
95.39,0.93
96.34,0.94
97.30,0.93
98.28,0.92
99.26,0.92
100.25,0.90
101.25,0.88
102.27,0.88
103.29,0.88
104.32,0.87
105.37,0.85
106.42,0.84
107.48,0.83
108.56,0.88
109.64,0.90
110.74,0.88
111.85,0.86
112.97,0.86
114.10,0.85
115.24,0.85
116.39,0.84
117.55,0.86
118.73,0.92
119.92,0.91
121.12,0.92
122.33,0.96
123.55,0.99
124.79,0.97
126.03,0.96
127.29,0.95
128.57,0.93
129.85,0.92
131.15,0.92
132.46,0.90
133.79,0.92
135.12,1.00
136.48,0.96
137.84,0.94
139.22,1.01
140.61,1.06
142.02,1.05
143.44,1.05
144.87,1.05
146.32,1.05
147.78,1.06
149.26,1.07
150.75,1.14
152.26,1.27
153.78,1.36
155.32,1.34
156.88,1.33
158.44,1.30
160.03,1.30
161.63,1.29
163.24,1.23
164.88,1.12
166.53,1.03
168.19,0.98
169.87,0.96
171.57,0.86
173.29,0.87
175.02,0.88
176.77,0.92
178.54,0.90
180.32,0.88
182.13,0.91
183.95,0.95
185.79,1.00
187.65,1.01
189.52,1.01
191.42,1.01
193.33,1.01
195.27,1.02
197.22,1.03
199.19,1.03
201.18,1.04
203.19,1.04
205.23,1.03
207.28,1.06
209.35,1.22
211.44,1.28
213.56,1.27
215.69,1.27
217.85,1.27
220.03,1.27
222.23,1.28
224.45,1.28
226.70,1.28
228.96,1.28
231.25,1.29
233.57,1.29
235.90,1.29
238.26,1.30
240.64,1.30
243.05,1.30
245.48,1.32
247.93,1.34
250.41,1.30
252.92,1.22
255.45,1.24
258.00,1.26
260.58,1.28
263.19,1.27
265.82,1.15
268.48,1.19
271.16,1.17
273.87,1.09
276.61,1.08
279.38,1.07
282.17,1.07
284.99,0.99
287.84,0.95
290.72,0.98
293.63,0.90
296.57,0.85
299.53,0.76
302.53,0.61
305.55,0.53
308.61,0.42
311.69,0.40
314.81,0.41
317.96,0.24
321.14,0.06
324.35,-0.06
327.59,-0.31
330.87,-0.46
334.18,-0.37
337.52,-0.31
340.90,-0.44
344.30,-0.60
347.75,-0.85
351.23,-1.00
354.74,-1.03
358.28,-1.09
361.87,-1.29
365.49,-1.43
369.14,-1.63
372.83,-1.89
376.56,-1.98
380.33,-2.19
384.13,-2.42
387.97,-2.62
391.85,-2.86
395.77,-3.23
399.73,-3.54
403.72,-3.70
407.76,-3.78
411.84,-4.14
415.96,-4.57
420.12,-4.87
424.32,-5.06
428.56,-5.45
432.85,-5.89
437.18,-6.24
441.55,-6.45
445.96,-6.57
450.42,-6.78
454.93,-7.05
459.48,-6.98
464.07,-6.53
468.71,-6.50
473.40,-6.59
478.13,-6.66
482.91,-6.90
487.74,-7.32
492.62,-7.64
497.55,-7.78
502.52,-7.85
507.55,-7.97
512.62,-8.05
517.75,-8.15
522.93,-8.20
528.16,-8.18
533.44,-8.15
538.77,-8.13
544.16,-8.11
549.60,-8.08
555.10,-8.07
560.65,-7.92
566.25,-7.53
571.92,-7.29
577.64,-7.03
583.41,-7.07
589.25,-7.16
595.14,-7.37
601.09,-7.17
607.10,-7.09
613.17,-6.72
619.30,-6.41
625.50,-6.31
631.75,-6.10
638.07,-5.88
644.45,-5.65
650.89,-5.28
657.40,-4.95
663.98,-4.77
670.62,-4.62
677.32,-4.27
684.10,-3.91
690.94,-3.61
697.85,-3.15
704.83,-2.95
711.87,-2.75
718.99,-2.67
726.18,-2.56
733.44,-2.34
740.78,-2.18
748.19,-2.02
755.67,-1.82
763.23,-1.70
770.86,-1.62
778.57,-1.49
786.35,-1.34
794.22,-1.21
802.16,-1.13
810.18,-1.02
818.28,-0.89
826.46,-0.78
834.73,-0.70
843.08,-0.64
851.51,-0.53
860.02,-0.52
868.62,-0.51
877.31,-0.39
886.08,-0.38
894.94,-0.40
903.89,-0.41
912.93,-0.30
922.06,-0.24
931.28,-0.25
940.59,-0.18
950.00,-0.16
959.50,-0.16
969.09,-0.13
978.78,-0.05
988.57,-0.01
