frequency,raw
20.00,-5.57
20.20,-5.55
20.40,-5.53
20.61,-5.51
20.81,-5.49
21.02,-5.47
21.23,-5.44
21.44,-5.41
21.66,-5.37
21.87,-5.34
22.09,-5.30
22.31,-5.26
22.54,-5.20
22.76,-5.15
22.99,-5.10
23.22,-5.07
23.45,-5.04
23.69,-5.01
23.92,-4.99
24.16,-4.94
24.40,-4.89
24.65,-4.83
24.89,-4.76
25.14,-4.75
25.39,-4.77
25.65,-4.78
25.91,-4.80
26.16,-4.77
26.43,-4.70
26.69,-4.63
26.96,-4.55
27.23,-4.51
27.50,-4.48
27.77,-4.45
28.05,-4.42
28.33,-4.39
28.62,-4.37
28.90,-4.35
29.19,-4.33
29.48,-4.33
29.78,-4.31
30.08,-4.30
30.38,-4.28
30.68,-4.27
30.99,-4.25
31.30,-4.26
31.61,-4.29
31.93,-4.31
32.24,-4.22
32.57,-4.10
32.89,-3.98
33.22,-3.96
33.55,-3.97
33.89,-4.00
34.23,-4.00
34.57,-4.00
34.92,-4.00
35.27,-3.99
35.62,-3.99
35.97,-3.99
36.33,-3.99
36.70,-3.99
37.06,-4.00
37.43,-4.06
37.81,-4.13
38.19,-4.16
38.57,-4.13
38.95,-4.10
39.34,-4.10
39.74,-4.10
40.14,-4.13
40.54,-4.22
40.94,-4.31
41.35,-4.27
41.76,-4.22
42.18,-4.17
42.60,-4.13
43.03,-4.10
43.46,-4.27
43.90,-4.44
44.33,-4.47
44.78,-4.46
45.23,-4.54
45.68,-4.72
46.13,-4.84
46.60,-4.82
47.06,-4.82
47.53,-4.89
48.01,-4.97
48.49,-5.04
48.97,-5.12
49.46,-5.16
49.96,-5.22
50.46,-5.22
50.96,-5.22
51.47,-5.33
51.99,-5.46
52.51,-5.62
53.03,-5.79
53.56,-5.92
54.10,-6.06
54.64,-6.23
55.18,-6.40
55.74,-6.55
56.29,-6.71
56.86,-6.90
57.42,-7.04
58.00,-7.17
58.58,-7.23
59.16,-7.30
59.76,-7.35
60.35,-7.41
60.96,-7.46
61.57,-7.43
62.18,-7.39
62.80,-7.38
63.43,-7.32
64.07,-7.24
64.71,-7.22
65.35,-7.15
66.01,-7.07
66.67,-6.98
67.33,-6.85
68.01,-6.66
68.69,-6.61
69.37,-6.50
70.07,-6.33
70.77,-6.16
71.48,-6.00
72.19,-5.86
72.91,-5.72
73.64,-5.52
74.38,-5.38
75.12,-5.27
75.87,-5.04
76.63,-4.75
77.40,-4.49
78.17,-4.29
78.95,-4.16
79.74,-3.99
80.54,-3.78
81.35,-3.57
82.16,-3.44
82.98,-3.37
83.81,-3.22
84.65,-3.00
85.50,-2.83
86.35,-2.72
87.22,-2.64
88.09,-2.51
88.97,-2.35
89.86,-2.37
90.76,-2.20
91.66,-2.13
92.58,-2.07
93.51,-2.03
94.44,-2.06
95.39,-2.07
96.34,-1.99
97.30,-1.96
98.28,-2.06
99.26,-2.08
100.25,-2.06
101.25,-2.08
102.27,-2.08
103.29,-2.06
104.32,-2.02
105.37,-1.93
106.42,-1.85
107.48,-1.76
108.56,-1.64
109.64,-1.57
110.74,-1.62
111.85,-1.55
112.97,-1.38
114.10,-1.26
115.24,-1.18
116.39,-1.10
117.55,-1.04
118.73,-0.97
119.92,-0.93
121.12,-0.93
122.33,-0.89
123.55,-0.86
124.79,-0.80
126.03,-0.79
127.29,-0.80
128.57,-0.81
129.85,-0.93
131.15,-0.99
132.46,-0.97
133.79,-0.95
