frequency,raw
20.00,-14.15
20.20,-14.05
20.40,-13.96
20.61,-13.87
20.81,-13.78
21.02,-13.68
21.23,-13.56
21.44,-13.44
21.66,-13.32
21.87,-13.19
22.09,-13.06
22.31,-12.93
22.54,-12.78
22.76,-12.64
22.99,-12.51
23.22,-12.38
23.45,-12.26
23.69,-12.13
23.92,-12.01
24.16,-11.88
24.40,-11.75
24.65,-11.62
24.89,-11.49
25.14,-11.38
25.39,-11.29
25.65,-11.20
25.91,-11.11
26.16,-11.01
26.43,-10.89
26.69,-10.77
26.96,-10.65
27.23,-10.53
27.50,-10.40
27.77,-10.28
28.05,-10.15
28.33,-9.99
28.62,-9.83
28.90,-9.67
29.19,-9.61
29.48,-9.62
29.78,-9.62
30.08,-9.57
30.38,-9.37
30.68,-9.17
30.99,-8.97
31.30,-8.82
31.61,-8.68
31.93,-8.54
32.24,-8.41
32.57,-8.29
32.89,-8.16
33.22,-8.06
33.55,-7.95
33.89,-7.86
34.23,-7.74
34.57,-7.62
34.92,-7.50
35.27,-7.36
35.62,-7.23
35.97,-7.10
36.33,-6.98
36.70,-6.85
37.06,-6.73
37.43,-6.61
37.81,-6.48
38.19,-6.43
38.57,-6.44
38.95,-6.45
39.34,-6.25
39.74,-6.01
40.14,-5.82
40.54,-5.70
40.94,-5.59
41.35,-5.45
41.76,-5.31
42.18,-5.20
42.60,-5.11
43.03,-5.02
43.46,-4.94
43.90,-4.86
44.33,-4.75
44.78,-4.62
45.23,-4.50
45.68,-4.39
46.13,-4.27
46.60,-4.11
47.06,-3.99
47.53,-3.98
48.01,-3.98
48.49,-3.80
48.97,-3.63
49.46,-3.48
49.96,-3.33
50.46,-3.38
50.96,-3.44
51.47,-3.32
51.99,-3.19
52.51,-3.06
53.03,-2.93
53.56,-2.80
54.10,-2.70
54.64,-2.68
55.18,-2.60
55.74,-2.39
56.29,-2.27
56.86,-2.24
57.42,-2.17
58.00,-2.09
58.58,-2.03
59.16,-1.93
59.76,-1.72
60.35,-1.60
60.96,-1.53
61.57,-1.45
62.18,-1.34
62.80,-1.20
63.43,-1.07
64.07,-0.95
64.71,-0.88
65.35,-0.76
66.01,-0.62
66.67,-0.51
67.33,-0.43
68.01,-0.36
68.69,-0.25
69.37,-0.15
70.07,-0.05
70.77,0.10
71.48,0.07
72.19,0.06
72.91,0.35
73.64,0.46
74.38,0.45
75.12,0.40
75.87,0.76
76.63,0.69
77.40,0.72
78.17,0.88
78.95,0.87
79.74,0.92
80.54,0.95
81.35,1.12
82.16,1.39
82.98,1.37
83.81,1.39
84.65,1.44
85.50,1.46
86.35,1.42
87.22,1.44
88.09,1.72
88.97,1.88
89.86,1.70
90.76,1.62
91.66,1.77
92.58,1.93
93.51,2.06
94.44,2.03
95.39,1.87
96.34,1.88
97.30,2.02
98.28,2.05
99.26,2.05
100.25,2.07
101.25,2.13
102.27,2.15
103.29,2.18
104.32,2.19
105.37,2.18
106.42,2.16
107.48,2.15
108.56,2.13
109.64,2.12
110.74,2.10
111.85,2.09
112.97,2.09
114.10,2.07
115.24,2.07
116.39,2.06
117.55,2.05
118.73,2.05
119.92,2.04
121.12,1.88
122.33,1.85
123.55,1.87
124.79,1.90
126.03,1.89
127.29,1.87
128.57,1.90
129.85,1.99
131.15,1.90
132.46,1.77
133.79,1.72
135.12,1.72
136.48,1.80
137.84,1.80
139.22,1.67
140.61,1.50
142.02,1.35
143.44,1.45
144.87,1.48
146.32,1.48
147.78,1.49
149.26,1.53
150.75,1.63
152.26,1.60
153.78,1.52
155.32,1.53
156.88,1.57
158.44,1.44
160.03,1.41
161.63,1.59
163.24,1.63
164.88,1.43
166.53,1.37
168.19,1.39
169.87,1.30
171.57,1.16
173.29,1.18
175.02,1.30
176.77,1.24
178.54,0.91
180.32,0.89
182.13,0.91
183.95,0.80
185.79,0.78
187.65,0.69
189.52,0.67
191.42,0.77
193.33,0.78
195.27,0.65
197.22,0.60
199.19,0.60
201.18,0.61
203.19,0.66
205.23,0.73
207.28,0.65
209.35,0.55
211.44,0.54
213.56,0.54
215.69,0.54
217.85,0.55
220.03,0.54
222.23,0.51
224.45,0.46
226.70,0.39
228.96,0.36
231.25,0.37
233.57,0.37
235.90,0.37
238.26,0.38
240.64,0.32
243.05,0.27
245.48,0.22
247.93,0.22
250.41,0.14
252.92,0.02
255.45,0.13
258.00,0.25
260.58,0.22
263.19,0.10
265.82,-0.09
268.48,-0.12
271.16,0.04
273.87,0.12
276.61,-0.08
279.38,-0.12
282.17,-0.24
284.99,-0.24
287.84,-0.20
290.72,-0.30
293.63,-0.20
296.57,-0.25
299.53,-0.51
302.53,-0.57
305.55,-0.48
308.61,-0.45
311.69,-0.44
314.81,-0.48
317.96,-0.51
321.14,-0.56
324.35,-0.60
327.59,-0.59
330.87,-0.59
334.18,-0.58
337.52,-0.72
340.90,-0.75
344.30,-0.67
347.75,-0.64
351.23,-0.62
354.74,-0.60
358.28,-0.65
361.87,-0.76
365.49,-0.75
369.14,-0.72
372.83,-0.70
376.56,-0.68
380.33,-0.69
384.13,-0.73
387.97,-0.74
391.85,-0.78
395.77,-0.88
399.73,-0.99
403.72,-0.94
407.76,-0.86
411.84,-0.75
415.96,-0.87
420.12,-1.03
424.32,-1.01
428.56,-0.99
432.85,-0.99
437.18,-0.97
441.55,-0.96
445.96,-1.01
450.42,-1.15
454.93,-1.03
459.48,-0.80
464.07,-0.85
468.71,-0.97
473.40,-0.98
478.13,-0.96
482.91,-1.09
487.74,-1.17
492.62,-1.05
497.55,-1.01
502.52,-0.99
507.55,-0.97
512.62,-0.94
517.75,-0.92
522.93,-0.96
528.16,-0.98
533.44,-1.00
538.77,-1.00
544.16,-0.97
549.60,-0.95
555.10,-0.94
560.65,-1.00
566.25,-1.13
571.92,-1.08
577.64,-0.97
583.41,-0.91
589.25,-0.88
595.14,-0.85
601.09,-0.83
607.10,-0.80
613.17,-0.78
619.30,-0.76
625.50,-0.75
631.75,-0.70
638.07,-0.57
644.45,-0.68
650.89,-0.81
657.40,-0.81
663.98,-0.80
670.62,-0.78
677.32,-0.76
684.10,-0.74
690.94,-0.72
697.85,-0.70
704.83,-0.69
711.87,-0.68
718.99,-0.68
726.18,-0.68
733.44,-0.80
740.78,-0.76
748.19,-0.59
755.67,-0.53
763.23,-0.53
770.86,-0.51
778.57,-0.51
786.35,-0.54
794.22,-0.62
802.16,-0.50
810.18,-0.39
818.28,-0.47
826.46,-0.51
834.73,-0.39
843.08,-0.30
851.51,-0.29
860.02,-0.25
868.62,-0.25
877.31,-0.20
886.08,-0.20
894.94,-0.22
903.89,-0.23
912.93,-0.25
922.06,-0.35
931.28,-0.33
940.59,-0.09
950.00,-0.00
959.50,-0.07
969.09,-0.14
978.78,-0.17
988.57,-0.02
998.46,0.07
1008.44,0.10
1018.53,0.15
1028.71,0.19
1039.00,0.22
1049.39,0.27
1059.88,0.32
1070.48,0.36
1081.19,0.40
1092.00,0.45
1102.92,0.49
1113.95,0.54
1125.09,0.55
1136.34,0.46
1147.70,0.51
1159.18,0.62
1170.77,0.71
1182.48,0.79
1194.30,0.82
1206.25,0.86
1218.31,0.80
1230.49,0.79
1242.80,1.00
1255.22,1.21
1267.78,1.07
1280.45,1.04
1293.26,1.24
1306.19,1.40
1319.25,1.43
1332.45,1.53
1345.77,1.62
1359.23,1.66
1372.82,1.71
1386.55,1.99
1400.41,2.28
1414.42,2.15
1428.56,2.13
1442.85,2.38
1457.28,2.54
1471.85,2.67
1486.57,2.95
1501.43,3.13
1516.45,3.12
1531.61,3.10
1546.93,3.14
1562.40,3.43
1578.02,3.53
1593.80,3.60
1609.74,3.76
1625.84,3.85
1642.10,3.97
1658.52,4.22
1675.10,4.46
1691.85,4.51
1708.77,4.56
1725.86,4.65
1743.12,4.97
1760.55,5.08
1778.15,5.33
1795.94,5.57
1813.90,5.77
1832.03,6.19
1850.36,6.46
1868.86,6.47
1887.55,6.52
1906.42,6.94
1925.49,7.26
1944.74,7.33
1964.19,7.42
1983.83,7.74
2003.67,7.80
2023.71,7.82
2043.94,7.95
2064.38,8.23
2085.03,8.50
2105.88,8.70
2126.94,8.88
2148.20,9.07
2169.69,9.25
2191.38,9.57
2213.30,10.00
2235.43,10.26
2257.78,10.39
2280.36,10.59
2303.17,10.83
2326.20,10.96
2349.46,11.09
2372.95,11.28
2396.68,11.46
2420.65,11.53
2444.86,11.73
2469.31,12.01
2494.00,12.14
2518.94,12.12
2544.13,12.09
2569.57,12.05
2595.27,12.00
2621.22,11.96
2647.43,11.89
2673.90,11.77
2700.64,11.68
2727.65,11.68
2754.93,11.66
2782.48,11.52
2810.30,11.39
2838.40,11.40
2866.79,11.30
2895.46,11.14
2924.41,10.99
2953.65,10.87
2983.19,10.76
3013.02,10.81
3043.15,11.02
3073.58,11.14
3104.32,11.11
3135.36,11.05
3166.72,10.86
3198.38,10.74
3230.37,10.72
3262.67,10.58
3295.30,10.46
3328.25,10.49
3361.53,10.49
3395.15,10.32
3429.10,9.16
3463.39,8.17
3498.03,6.70
3533.01,3.90
3568.34,1.60
3604.02,-0.62
3640.06,-3.77
3676.46,-5.99
3713.22,-6.08
3750.36,-4.41
3787.86,-3.41
3825.74,-1.81
3864.00,-1.12
3902.64,-0.48
3941.66,0.30
3981.08,1.39
4020.89,2.01
4061.10,2.50
4101.71,3.43
4142.73,4.57
4184.15,5.50
4226.00,6.90
4268.26,8.10
4310.94,9.22
4354.05,10.11
4397.59,11.18
4441.56,11.99
4485.98,12.60
4530.84,12.88
4576.15,13.20
4621.91,13.63
4668.13,14.09
4714.81,14.88
4761.96,15.91
4809.58,16.33
4857.67,15.77
4906.25,15.33
4955.31,14.71
5004.87,13.77
5054.91,13.17
5105.46,12.47
5156.52,11.86
5208.08,11.42
5260.16,10.94
5312.77,10.70
5365.89,10.20
5419.55,9.77
5473.75,9.44
5528.49,9.05
5583.77,8.45
5639.61,8.00
5696.00,7.60
5752.96,7.18
5810.49,6.77
5868.60,6.38
5927.28,6.13
5986.56,5.93
6046.42,5.69
6106.89,5.49
6167.96,5.28
6229.64,5.18
6291.93,5.16
6354.85,4.97
6418.40,4.70
6482.58,4.37
6547.41,4.00
6612.88,3.67
6679.01,3.40
6745.80,3.25
6813.26,2.98
6881.39,2.69
6950.21,2.60
7019.71,2.75
7089.91,2.86
7160.81,2.83
7232.41,2.67
7304.74,2.72
7377.79,2.83
7451.56,2.88
7526.08,2.80
7601.34,2.73
7677.35,3.05
7754.13,3.16
7831.67,3.45
7909.98,3.54
7989.08,3.47
8068.98,3.34
8149.67,3.25
8231.16,3.26
8313.47,3.31
8396.61,3.25
8480.57,3.48
8565.38,3.75
8651.03,3.65
8737.54,3.65
8824.92,3.50
8913.17,2.90
9002.30,1.77
9092.32,0.61
9183.25,0.36
9275.08,0.32
9367.83,0.72
9461.51,1.04
9556.12,0.40
9651.68,-0.04
9748.20,-0.00
9845.68,-0.02
9944.14,0.53
10043.58,1.28
10144.02,2.22
10245.46,3.16
10347.91,3.87
10451.39,4.18
10555.91,4.36
10661.46,4.22
10768.08,4.00
10875.76,3.22
10984.52,2.76
11094.36,2.16
11205.31,1.12
11317.36,0.51
11430.53,0.04
11544.84,-0.62
11660.29,-1.32
11776.89,-1.48
11894.66,-1.43
12013.60,-2.03
12133.74,-2.88
12255.08,-3.78
12377.63,-4.89
12501.41,-6.36
