frequency,raw
20.00,4.50
20.20,4.54
20.40,4.58
20.61,4.62
20.81,4.65
21.02,4.69
21.23,4.69
21.44,4.71
21.66,4.72
21.87,4.73
22.09,4.74
22.31,4.75
22.54,4.77
22.76,4.78
22.99,4.79
23.22,4.82
23.45,4.85
23.69,4.88
23.92,4.90
24.16,4.91
24.40,4.91
24.65,4.91
24.89,4.92
25.14,4.88
25.39,4.81
25.65,4.75
25.91,4.68
26.16,4.71
26.43,4.81
26.69,4.91
26.96,5.02
27.23,5.04
27.50,5.04
27.77,5.04
28.05,5.03
28.33,4.95
28.62,4.88
28.90,4.81
29.19,4.85
29.48,4.95
29.78,5.05
30.08,5.13
30.38,5.13
30.68,5.13
30.99,5.13
31.30,5.14
31.61,5.14
31.93,5.14
32.24,5.14
32.57,5.12
32.89,5.11
33.22,5.14
33.55,5.20
33.89,5.25
34.23,5.28
34.57,5.28
34.92,5.28
35.27,5.29
35.62,5.29
35.97,5.29
36.33,5.30
36.70,5.30
37.06,5.30
37.43,5.26
37.81,5.21
38.19,5.18
38.57,5.18
38.95,5.18
39.34,5.18
39.74,5.18
40.14,5.18
40.54,5.18
40.94,5.18
41.35,5.26
41.76,5.35
42.18,5.34
42.60,5.22
43.03,5.10
43.46,5.11
43.90,5.11
44.33,5.11
44.78,5.11
45.23,5.11
45.68,5.11
46.13,5.11
46.60,5.12
47.06,5.12
47.53,5.13
48.01,5.12
48.49,5.05
48.97,4.97
49.46,4.96
49.96,4.94
50.46,4.93
50.96,4.92
51.47,4.97
51.99,5.03
52.51,4.90
53.03,4.78
53.56,4.77
54.10,4.76
54.64,4.76
55.18,4.77
55.74,4.79
56.29,4.75
56.86,4.64
57.42,4.53
58.00,4.41
58.58,4.49
59.16,4.52
59.76,4.46
60.35,4.44
60.96,4.45
61.57,4.52
62.18,4.55
62.80,4.42
63.43,4.36
64.07,4.33
64.71,4.37
65.35,4.37
66.01,4.33
66.67,4.35
67.33,4.39
68.01,4.48
68.69,4.35
69.37,4.30
70.07,4.32
70.77,4.32
71.48,4.33
72.19,4.34
72.91,4.35
73.64,4.36
74.38,4.36
75.12,4.34
75.87,4.32
76.63,4.45
77.40,4.54
78.17,4.56
78.95,4.57
79.74,4.63
80.54,4.61
81.35,4.56
82.16,4.53
82.98,4.54
83.81,4.55
84.65,4.56
85.50,4.59
86.35,4.60
87.22,4.54
88.09,4.50
88.97,4.49
89.86,4.39
90.76,4.42
91.66,4.46
92.58,4.41
93.51,4.35
94.44,4.35
95.39,4.36
96.34,4.33
97.30,4.25
98.28,4.23
99.26,4.18
100.25,4.10
101.25,4.02
102.27,3.99
103.29,3.99
104.32,3.98
105.37,3.95
106.42,3.89
107.48,3.81
108.56,3.74
109.64,3.71
110.74,3.63
111.85,3.58
112.97,3.57
114.10,3.55
115.24,3.48
116.39,3.40
117.55,3.34
118.73,3.33
119.92,3.32
121.12,3.31
122.33,3.24
123.55,3.19
124.79,3.11
126.03,2.98
127.29,2.95
128.57,2.92
129.85,2.84
131.15,2.80
132.46,2.72
133.79,2.63
135.12,2.57
136.48,2.50
137.84,2.42
139.22,2.35
140.61,2.28
142.02,2.25
143.44,2.18
144.87,2.09
146.32,2.05
147.78,1.97
149.26,1.90
150.75,1.89
152.26,1.86
153.78,1.85
155.32,1.82
156.88,1.83
158.44,1.87
160.03,1.90
161.63,1.93
163.24,1.91
164.88,1.83
166.53,1.72
168.19,1.58
169.87,1.45
171.57,1.37
173.29,1.28
175.02,1.14
176.77,0.96
178.54,0.82
180.32,0.70
182.13,0.57
183.95,0.42
185.79,0.35
187.65,0.26
189.52,0.20
191.42,0.13
193.33,0.03
195.27,0.00
197.22,0.02
199.19,-0.02
201.18,-0.07
203.19,-0.14
205.23,-0.17
207.28,-0.17
209.35,-0.16
211.44,-0.16
213.56,-0.27
215.69,-0.34
217.85,-0.34
220.03,-0.35
222.23,-0.34
224.45,-0.34
226.70,-0.42
228.96,-0.54
231.25,-0.53
233.57,-0.59
235.90,-0.72
238.26,-0.85
240.64,-0.99
243.05,-1.06
245.48,-1.19
247.93,-1.26
250.41,-1.30
252.92,-1.37
255.45,-1.49
258.00,-1.56
260.58,-1.64
263.19,-1.74
265.82,-1.85
268.48,-1.84
271.16,-1.87
273.87,-2.02
276.61,-2.04
279.38,-2.07
282.17,-2.19
284.99,-2.29
287.84,-2.35
290.72,-2.44
293.63,-2.44
296.57,-2.43
299.53,-2.51
302.53,-2.52
305.55,-2.51
308.61,-2.48
311.69,-2.43
314.81,-2.30
317.96,-2.17
321.14,-2.08
324.35,-2.02
327.59,-1.90
330.87,-1.82
334.18,-1.76
337.52,-1.71
340.90,-1.68
344.30,-1.58
347.75,-1.51
351.23,-1.38
354.74,-1.26
358.28,-1.15
361.87,-1.07
365.49,-0.97
369.14,-0.82
372.83,-0.75
376.56,-0.74
380.33,-0.62
384.13,-0.41
387.97,-0.30
391.85,-0.30
395.77,-0.29
399.73,-0.24
403.72,-0.13
407.76,-0.03
411.84,0.06
415.96,0.13
420.12,0.20
424.32,0.22
428.56,0.22
432.85,0.27
437.18,0.35
441.55,0.38
445.96,0.40
450.42,0.42
454.93,0.45
459.48,0.47
464.07,0.50
468.71,0.61
473.40,0.66
478.13,0.67
482.91,0.68
487.74,0.69
492.62,0.71
497.55,0.72
502.52,0.73
507.55,0.75
512.62,0.78
517.75,0.81
522.93,0.83
528.16,0.86
533.44,0.90
538.77,0.92
544.16,0.94
549.60,0.96
555.10,0.99
560.65,1.01
566.25,0.95
571.92,0.94
577.64,0.97
583.41,1.00
589.25,0.98
595.14,0.97
601.09,0.98
607.10,0.97
613.17,0.87
619.30,0.85
625.50,0.86
631.75,0.86
638.07,0.89
644.45,0.96
650.89,0.98
657.40,0.98
663.98,0.93
670.62,0.93
677.32,0.94
684.10,0.88
690.94,0.88
697.85,0.87
704.83,0.82
711.87,0.74
718.99,0.67
726.18,0.61
733.44,0.50
740.78,0.37
748.19,0.27
755.67,0.15
763.23,0.13
770.86,0.10
778.57,0.08
786.35,0.11
794.22,0.11
802.16,0.13
810.18,0.23
818.28,0.40
826.46,0.48
834.73,0.52
843.08,0.60
851.51,0.60
860.02,0.58
868.62,0.56
877.31,0.54
886.08,0.52
894.94,0.50
903.89,0.48
912.93,0.40
922.06,0.32
931.28,0.26
940.59,0.24
950.00,0.16
959.50,0.14
969.09,0.15
978.78,0.17
988.57,0.13
998.46,0.09
1008.44,0.05
1018.53,0.08
1028.71,0.12
1039.00,0.04
1049.39,0.01
1059.88,0.05
1070.48,-0.00
1081.19,-0.05
1092.00,-0.05
1102.92,-0.09
1113.95,-0.14
1125.09,-0.22
1136.34,-0.23
1147.70,-0.19
1159.18,-0.25
1170.77,-0.36
1182.48,-0.45
1194.30,-0.49
1206.25,-0.52
1218.31,-0.51
1230.49,-0.49
1242.80,-0.47
1255.22,-0.49
1267.78,-0.54
1280.45,-0.55
1293.26,-0.55
1306.19,-0.53
1319.25,-0.48
1332.45,-0.45
1345.77,-0.43
1359.23,-0.46
1372.82,-0.52
1386.55,-0.53
1400.41,-0.47
1414.42,-0.44
1428.56,-0.40
1442.85,-0.35
1457.28,-0.28
1471.85,-0.28
1486.57,-0.26
1501.43,-0.23
1516.45,-0.20
1531.61,-0.17
1546.93,-0.18
1562.40,-0.13
1578.02,-0.06
1593.80,0.00
1609.74,0.06
1625.84,0.05
1642.10,0.08
1658.52,0.14
1675.10,0.20
1691.85,0.28
1708.77,0.36
1725.86,0.44
1743.12,0.47
1760.55,0.55
1778.15,0.67
1795.94,0.76
1813.90,0.84
1832.03,0.92
1850.36,1.03
1868.86,1.12
1887.55,1.16
1906.42,1.25
1925.49,1.31
1944.74,1.34
1964.19,1.43
1983.83,1.57
2003.67,1.62
2023.71,1.64
2043.94,1.82
2064.38,1.96
2085.03,2.13
2105.88,2.30
2126.94,2.44
2148.20,2.58
2169.69,2.73
2191.38,2.90
2213.30,3.09
2235.43,3.23
2257.78,3.41
2280.36,3.64
2303.17,3.89
2326.20,4.07
2349.46,4.24
2372.95,4.42
2396.68,4.67
2420.65,4.86
2444.86,5.03
2469.31,5.17
2494.00,5.32
2518.94,5.44
2544.13,5.59
2569.57,5.74
2595.27,5.94
