frequency,raw
20.00,-0.76
20.20,-0.78
20.40,-0.81
20.61,-0.83
20.81,-0.86
21.02,-0.87
21.23,-0.82
21.44,-0.76
21.66,-0.69
21.87,-0.63
22.09,-0.57
22.31,-0.52
22.54,-0.46
22.76,-0.39
22.99,-0.34
23.22,-0.34
23.45,-0.34
23.69,-0.34
23.92,-0.35
24.16,-0.35
24.40,-0.35
24.65,-0.35
24.89,-0.34
25.14,-0.35
25.39,-0.37
25.65,-0.38
25.91,-0.40
26.16,-0.36
26.43,-0.29
26.69,-0.22
26.96,-0.13
27.23,-0.12
27.50,-0.12
27.77,-0.12
28.05,-0.12
28.33,-0.12
28.62,-0.12
28.90,-0.12
29.19,-0.10
29.48,-0.09
29.78,-0.07
30.08,-0.04
30.38,-0.00
30.68,0.03
30.99,0.07
31.30,0.08
31.61,0.08
31.93,0.08
32.24,0.09
32.57,0.09
32.89,0.10
33.22,0.10
33.55,0.11
33.89,0.11
34.23,0.12
34.57,0.12
34.92,0.12
35.27,0.16
35.62,0.20
35.97,0.24
36.33,0.27
36.70,0.31
37.06,0.34
37.43,0.34
37.81,0.34
38.19,0.33
38.57,0.33
38.95,0.33
39.34,0.33
39.74,0.33
40.14,0.33
40.54,0.33
40.94,0.33
41.35,0.34
41.76,0.34
42.18,0.34
42.60,0.35
43.03,0.35
43.46,0.36
43.90,0.36
44.33,0.36
44.78,0.36
45.23,0.36
45.68,0.36
46.13,0.36
46.60,0.36
47.06,0.35
47.53,0.35
48.01,0.34
48.49,0.33
48.97,0.32
49.46,0.31
49.96,0.29
50.46,0.28
50.96,0.27
51.47,0.26
51.99,0.25
52.51,0.32
53.03,0.38
53.56,0.17
54.10,-0.01
54.64,-0.06
55.18,-0.09
55.74,-0.05
56.29,-0.03
56.86,-0.04
57.42,-0.04
58.00,-0.04
58.58,-0.04
59.16,-0.04
59.76,-0.03
60.35,-0.02
60.96,-0.01
61.57,-0.09
62.18,-0.12
62.80,-0.05
63.43,-0.06
64.07,-0.10
64.71,-0.08
65.35,-0.05
66.01,-0.03
66.67,-0.01
67.33,0.00
68.01,0.02
68.69,-0.03
69.37,-0.07
70.07,-0.11
70.77,-0.13
71.48,-0.13
72.19,-0.15
72.91,-0.27
73.64,-0.28
74.38,-0.15
75.12,0.03
75.87,0.04
76.63,0.06
77.40,0.08
78.17,0.08
78.95,-0.01
79.74,0.24
80.54,0.42
81.35,0.46
82.16,0.36
82.98,0.29
83.81,0.22
84.65,0.46
85.50,0.66
86.35,0.67
87.22,0.64
88.09,0.86
88.97,0.96
89.86,0.96
90.76,1.05
91.66,1.08
92.58,1.08
93.51,1.09
94.44,1.09
95.39,1.09
96.34,1.09
97.30,1.04
98.28,0.94
99.26,0.76
100.25,0.66
101.25,0.77
102.27,0.78
103.29,0.59
104.32,0.53
105.37,0.62
106.42,0.49
107.48,0.30
108.56,0.21
109.64,0.32
110.74,0.24
111.85,0.13
112.97,0.12
114.10,0.11
115.24,0.13
116.39,0.26
117.55,0.33
118.73,0.23
119.92,0.17
121.12,0.17
122.33,0.16
123.55,0.25
124.79,0.38
126.03,0.31
127.29,0.34
128.57,0.46
129.85,0.54
131.15,0.38
132.46,0.43
133.79,0.45
135.12,0.54
136.48,0.50
137.84,0.62
139.22,0.86
140.61,0.96
142.02,0.76
143.44,0.80
144.87,0.90
146.32,0.88
147.78,0.73
149.26,0.62
150.75,0.56
152.26,0.60
153.78,0.62
155.32,0.31
156.88,0.07
158.44,0.02
160.03,-0.15
161.63,-0.21
163.24,-0.38
164.88,-0.84
166.53,-0.76
168.19,-0.91
169.87,-1.08
171.57,-0.67
173.29,-0.45
175.02,-0.34
176.77,-0.27
178.54,-0.25
180.32,-0.04
182.13,-0.06
183.95,-0.07
185.79,-0.14
187.65,-0.32
189.52,-0.19
191.42,-0.33
193.33,-0.45
195.27,-0.18
197.22,-0.15
199.19,-0.50
201.18,-0.58
203.19,-0.56
205.23,-0.72
207.28,-1.00
209.35,-1.03
211.44,-0.80
213.56,-0.84
215.69,-1.07
217.85,-1.03
220.03,-1.30
222.23,-1.39
224.45,-1.30
226.70,-1.38
228.96,-1.53
231.25,-1.64
233.57,-1.91
235.90,-2.17
238.26,-1.93
240.64,-1.74
243.05,-2.05
245.48,-2.44
247.93,-2.39
250.41,-2.38
252.92,-2.47
255.45,-2.62
258.00,-2.92
260.58,-3.13
263.19,-3.27
265.82,-3.22
268.48,-3.31
271.16,-3.27
273.87,-3.13
276.61,-3.30
279.38,-3.54
282.17,-3.59
284.99,-3.65
287.84,-3.74
290.72,-3.92
293.63,-4.05
296.57,-4.15
299.53,-4.16
302.53,-4.08
305.55,-4.16
308.61,-4.36
311.69,-4.39
314.81,-4.47
317.96,-4.62
321.14,-4.67
324.35,-4.62
327.59,-4.57
330.87,-4.72
