frequency,raw
20.00,-0.31
20.20,-0.23
20.40,-0.17
20.61,-0.09
20.81,-0.03
21.02,0.05
21.23,0.14
21.44,0.25
21.66,0.35
21.87,0.45
22.09,0.46
22.31,0.33
22.54,0.21
22.76,0.09
22.99,-0.04
23.22,-0.04
23.45,-0.04
23.69,-0.03
23.92,-0.03
24.16,-0.05
24.40,-0.07
24.65,-0.10
24.89,-0.11
25.14,-0.08
25.39,-0.02
25.65,0.05
25.91,0.12
26.16,0.08
26.43,-0.01
26.69,-0.10
26.96,-0.19
27.23,-0.09
27.50,0.05
27.77,0.19
28.05,0.29
28.33,0.24
28.62,0.19
28.90,0.14
29.19,-0.09
29.48,-0.43
29.78,-0.76
30.08,-0.96
30.38,-0.79
30.68,-0.62
30.99,-0.46
31.30,-0.48
31.61,-0.52
31.93,-0.56
32.24,-0.48
32.57,-0.38
32.89,-0.27
33.22,-0.27
33.55,-0.30
33.89,-0.34
34.23,-0.46
34.57,-0.64
34.92,-0.83
35.27,-0.89
35.62,-0.92
35.97,-0.96
36.33,-0.93
36.70,-0.90
37.06,-0.89
37.43,-0.96
37.81,-1.03
38.19,-1.07
38.57,-1.07
38.95,-1.07
39.34,-1.07
39.74,-1.07
40.14,-1.05
40.54,-0.98
40.94,-0.92
41.35,-0.99
41.76,-1.10
42.18,-1.10
42.60,-0.96
43.03,-0.84
43.46,-1.01
43.90,-1.20
44.33,-1.18
44.78,-1.11
45.23,-1.11
45.68,-1.19
46.13,-1.23
46.60,-1.18
47.06,-1.15
47.53,-1.13
48.01,-1.13
48.49,-1.11
48.97,-1.08
49.46,-1.31
49.96,-1.57
50.46,-1.43
50.96,-1.24
51.47,-1.15
51.99,-1.05
52.51,-1.29
53.03,-1.51
53.56,-1.42
54.10,-1.36
54.64,-1.42
55.18,-1.47
55.74,-1.51
56.29,-1.40
56.86,-1.19
57.42,-1.09
58.00,-1.03
58.58,-1.02
59.16,-0.98
59.76,-0.88
60.35,-0.82
60.96,-0.80
61.57,-0.85
62.18,-0.89
62.80,-0.93
63.43,-0.99
64.07,-1.04
64.71,-0.84
65.35,-0.77
66.01,-0.82
66.67,-0.80
67.33,-0.79
68.01,-0.77
68.69,-0.94
69.37,-0.96
70.07,-0.85
70.77,-0.67
71.48,-0.75
72.19,-0.93
72.91,-0.99
73.64,-1.05
74.38,-1.01
75.12,-0.95
75.87,-1.25
76.63,-1.28
77.40,-1.19
78.17,-1.07
78.95,-1.05
79.74,-1.20
80.54,-1.26
81.35,-1.28
82.16,-1.32
82.98,-1.25
83.81,-1.19
84.65,-1.12
85.50,-0.98
86.35,-0.79
87.22,-0.59
88.09,-0.43
88.97,-0.24
89.86,-0.08
90.76,0.15
91.66,0.47
92.58,0.65
93.51,0.75
94.44,0.87
95.39,1.01
96.34,1.11
97.30,1.26
98.28,1.54
99.26,1.84
100.25,2.15
101.25,2.38
102.27,2.60
103.29,2.79
104.32,2.97
105.37,3.10
106.42,3.24
107.48,3.41
108.56,3.56
109.64,3.70
110.74,3.84
111.85,3.92
112.97,3.91
114.10,3.96
115.24,4.05
116.39,4.06
117.55,4.14
118.73,4.25
119.92,4.30
121.12,4.31
122.33,4.30
123.55,4.28
124.79,4.27
