frequency,raw
20.00,4.08
20.20,4.12
20.40,4.14
20.61,4.18
20.81,4.21
21.02,4.25
21.23,4.37
21.44,4.49
21.66,4.61
21.87,4.74
22.09,4.80
22.31,4.78
22.54,4.78
22.76,4.77
22.99,4.75
23.22,4.81
23.45,4.86
23.69,4.92
23.92,4.97
24.16,5.04
24.40,5.12
24.65,5.19
24.89,5.28
25.14,5.30
25.39,5.29
25.65,5.29
25.91,5.28
26.16,5.30
26.43,5.33
26.69,5.36
26.96,5.40
27.23,5.44
27.50,5.47
27.77,5.50
28.05,5.54
28.33,5.57
28.62,5.60
28.90,5.64
29.19,5.67
29.48,5.70
29.78,5.73
30.08,5.79
30.38,5.93
30.68,6.06
30.99,6.19
31.30,6.21
31.61,6.21
31.93,6.21
32.24,6.19
32.57,6.15
32.89,6.12
33.22,6.16
33.55,6.24
33.89,6.32
34.23,6.34
34.57,6.33
34.92,6.32
35.27,6.36
35.62,6.41
35.97,6.46
36.33,6.46
36.70,6.46
37.06,6.46
37.43,6.43
37.81,6.41
38.19,6.42
38.57,6.48
38.95,6.54
39.34,6.55
39.74,6.55
40.14,6.55
40.54,6.55
40.94,6.55
41.35,6.56
41.76,6.56
42.18,6.56
42.60,6.57
43.03,6.57
43.46,6.58
43.90,6.58
44.33,6.58
44.78,6.58
45.23,6.58
45.68,6.58
46.13,6.58
46.60,6.58
47.06,6.58
47.53,6.67
48.01,6.75
48.49,6.70
48.97,6.64
49.46,6.63
49.96,6.61
50.46,6.52
50.96,6.43
51.47,6.44
51.99,6.47
52.51,6.46
53.03,6.45
53.56,6.44
54.10,6.43
54.64,6.42
55.18,6.41
55.74,6.40
56.29,6.40
56.86,6.39
57.42,6.37
58.00,6.35
58.58,6.26
59.16,6.21
59.76,6.28
60.35,6.31
60.96,6.32
61.57,6.33
62.18,6.35
62.80,6.37
63.43,6.40
64.07,6.43
64.71,6.45
65.35,6.48
66.01,6.50
66.67,6.52
67.33,6.53
68.01,6.55
68.69,6.43
69.37,6.40
70.07,6.44
70.77,6.48
71.48,6.50
72.19,6.51
72.91,6.52
73.64,6.53
74.38,6.55
75.12,6.56
75.87,6.58
76.63,6.76
77.40,6.81
78.17,6.73
78.95,6.74
79.74,6.76
80.54,6.77
81.35,6.76
82.16,6.68
82.98,6.53
83.81,6.69
84.65,6.73
85.50,6.74
86.35,6.75
87.22,6.76
88.09,6.77
88.97,6.79
89.86,6.79
90.76,6.80
91.66,6.74
92.58,6.59
93.51,6.65
94.44,6.84
95.39,6.82
96.34,6.65
97.30,6.62
98.28,6.52
99.26,6.30
100.25,6.34
101.25,6.46
102.27,6.38
103.29,6.30
104.32,6.28
105.37,6.34
106.42,6.33
107.48,6.31
108.56,6.30
109.64,6.29
110.74,6.27
111.85,6.06
112.97,6.03
114.10,6.24
115.24,6.33
116.39,6.32
117.55,6.32
118.73,6.31
119.92,6.30
121.12,6.30
122.33,6.29
123.55,6.27
124.79,6.26
126.03,6.25
127.29,6.23
128.57,6.22
129.85,6.21
131.15,6.20
132.46,6.19
133.79,6.18
135.12,6.15
136.48,5.99
137.84,6.13
139.22,6.03
140.61,5.94
142.02,5.93
143.44,5.70
144.87,5.67
146.32,5.78
147.78,5.84
149.26,5.85
150.75,5.91
152.26,5.98
153.78,6.06
155.32,6.30
156.88,6.55
158.44,6.54
160.03,6.39
161.63,6.52
163.24,6.55
164.88,6.39
166.53,6.23
168.19,5.95
169.87,5.68
171.57,5.74
173.29,5.61
175.02,5.62
176.77,5.88
178.54,5.93
180.32,5.96
182.13,6.14
183.95,6.16
185.79,5.80
187.65,5.86
189.52,6.04
191.42,6.09
193.33,6.26
195.27,6.38
197.22,6.34
199.19,6.39
201.18,6.44
203.19,6.25
205.23,6.13
207.28,6.13
209.35,6.14
211.44,6.15
213.56,6.15
215.69,6.15
217.85,6.34
220.03,6.23
222.23,6.11
224.45,6.19
226.70,6.21
