frequency,raw
20.00,2.40
20.20,2.46
20.40,2.51
20.61,2.57
20.81,2.62
21.02,2.69
21.23,2.81
21.44,2.93
21.66,3.05
21.87,3.18
22.09,3.26
22.31,3.28
22.54,3.32
22.76,3.35
22.99,3.38
23.22,3.45
23.45,3.50
23.69,3.57
23.92,3.63
24.16,3.67
24.40,3.70
24.65,3.73
24.89,3.77
25.14,3.79
25.39,3.81
25.65,3.84
25.91,3.86
26.16,3.95
26.43,4.07
26.69,4.20
26.96,4.33
27.23,4.26
27.50,4.16
27.77,4.05
28.05,3.97
28.33,3.96
28.62,3.96
28.90,3.95
29.19,4.04
29.48,4.16
29.78,4.30
30.08,4.44
30.38,4.61
30.68,4.77
30.99,4.93
31.30,4.87
31.61,4.78
31.93,4.70
32.24,4.73
32.57,4.79
32.89,4.85
33.22,4.97
33.55,5.12
33.89,5.26
34.23,5.20
34.57,5.03
34.92,4.85
35.27,4.90
35.62,4.99
35.97,5.09
36.33,5.24
36.70,5.40
37.06,5.49
37.43,5.28
37.81,5.07
38.19,5.03
38.57,5.20
38.95,5.37
39.34,5.39
39.74,5.40
40.14,5.40
40.54,5.40
40.94,5.40
41.35,5.41
41.76,5.41
42.18,5.41
42.60,5.42
43.03,5.43
43.46,5.52
43.90,5.60
44.33,5.59
44.78,5.56
45.23,5.56
45.68,5.60
46.13,5.57
46.60,5.36
47.06,5.19
47.53,5.36
48.01,5.51
48.49,5.50
48.97,5.49
49.46,5.48
49.96,5.46
50.46,5.45
50.96,5.44
51.47,5.43
51.99,5.42
52.51,5.41
53.03,5.40
53.56,5.39
54.10,5.38
54.64,5.37
55.18,5.36
55.74,5.35
56.29,5.35
56.86,5.34
57.42,5.34
58.00,5.34
58.58,5.34
59.16,5.34
59.76,5.35
60.35,5.36
60.96,5.37
61.57,5.38
62.18,5.40
62.80,5.42
63.43,5.45
64.07,5.48
64.71,5.50
65.35,5.43
66.01,5.28
66.67,5.27
67.33,5.33
68.01,5.50
68.69,5.51
69.37,5.52
70.07,5.54
70.77,5.54
71.48,5.55
72.19,5.63
72.91,5.90
73.64,5.64
74.38,5.50
75.12,5.51
75.87,5.52
76.63,5.52
77.40,5.50
78.17,5.45
78.95,5.38
79.74,5.40
80.54,5.41
81.35,5.42
82.16,5.40
82.98,5.35
83.81,5.28
84.65,5.27
85.50,5.24
86.35,5.19
87.22,5.19
88.09,5.33
88.97,5.38
89.86,5.07
90.76,4.90
91.66,4.84
92.58,4.83
93.51,4.90
94.44,4.82
95.39,4.42
96.34,4.10
97.30,4.26
98.28,4.39
99.26,4.22
100.25,4.22
101.25,4.25
102.27,4.12
103.29,3.76
104.32,3.47
105.37,3.34
106.42,3.24
107.48,3.10
108.56,2.97
109.64,2.82
110.74,2.67
111.85,2.60
112.97,2.78
114.10,2.59
115.24,2.11
116.39,2.29
117.55,2.29
118.73,2.16
