frequency,raw
20.00,0.65
20.20,0.69
20.40,0.72
20.61,0.76
20.81,0.79
21.02,0.83
21.23,0.87
21.44,0.91
21.66,0.95
21.87,1.00
22.09,1.03
22.31,1.05
22.54,1.08
22.76,1.12
22.99,1.14
23.22,1.19
23.45,1.24
23.69,1.30
23.92,1.34
24.16,1.39
24.40,1.44
24.65,1.49
24.89,1.55
25.14,1.57
25.39,1.57
25.65,1.58
25.91,1.58
26.16,1.61
26.43,1.67
26.69,1.72
26.96,1.78
27.23,1.79
27.50,1.80
27.77,1.80
28.05,1.80
28.33,1.83
28.62,1.86
28.90,1.88
29.19,1.91
29.48,1.93
29.78,1.96
30.08,1.99
30.38,2.02
30.68,2.06
30.99,2.09
31.30,2.13
31.61,2.16
31.93,2.19
32.24,2.23
32.57,2.27
32.89,2.31
33.22,2.32
33.55,2.33
33.89,2.33
34.23,2.36
34.57,2.40
34.92,2.43
35.27,2.45
35.62,2.45
35.97,2.45
36.33,2.48
36.70,2.52
37.06,2.55
37.43,2.58
37.81,2.61
38.19,2.62
38.57,2.63
38.95,2.64
39.34,2.64
39.74,2.64
40.14,2.64
40.54,2.64
40.94,2.64
41.35,2.65
41.76,2.65
42.18,2.69
42.60,2.78
43.03,2.86
43.46,2.87
43.90,2.87
44.33,2.87
44.78,2.87
45.23,2.87
45.68,2.87
46.13,2.87
46.60,2.87
47.06,2.86
47.53,2.86
48.01,2.85
48.49,2.84
48.97,2.83
49.46,2.82
49.96,2.80
50.46,2.79
50.96,2.78
51.47,2.77
51.99,2.76
52.51,2.78
53.03,2.80
53.56,2.81
54.10,2.82
54.64,2.81
55.18,2.80
55.74,2.79
56.29,2.79
56.86,2.78
57.42,2.78
58.00,2.78
58.58,2.78
59.16,2.78
59.76,2.79
60.35,2.80
60.96,2.81
61.57,2.82
62.18,2.86
62.80,2.94
63.43,2.99
64.07,3.02
64.71,3.04
65.35,3.07
66.01,3.09
66.67,3.11
67.33,3.12
68.01,3.14
68.69,3.22
69.37,3.26
70.07,3.28
70.77,3.28
71.48,3.29
72.19,3.30
72.91,3.31
73.64,3.32
74.38,3.34
75.12,3.35
75.87,3.36
76.63,3.38
77.40,3.40
78.17,3.42
78.95,3.43
79.74,3.45
80.54,3.46
81.35,3.48
82.16,3.49
82.98,3.50
83.81,3.51
84.65,3.51
85.50,3.47
86.35,3.44
87.22,3.45
88.09,3.46
88.97,3.47
89.86,3.47
90.76,3.49
91.66,3.50
92.58,3.50
93.51,3.49
94.44,3.44
95.39,3.41
96.34,3.41
97.30,3.41
98.28,3.40
99.26,3.39
100.25,3.38
101.25,3.38
102.27,3.43
103.29,3.44
104.32,3.44
105.37,3.43
106.42,3.42
107.48,3.37
108.56,3.30
109.64,3.28
110.74,3.26
111.85,3.24
112.97,3.24
114.10,3.22
115.24,3.22
116.39,3.21
117.55,3.21
118.73,3.20
119.92,3.19
121.12,3.19
122.33,3.13
123.55,3.07
124.79,3.05
126.03,3.04
127.29,3.02
128.57,2.97
129.85,2.89
131.15,2.89
132.46,2.87
133.79,2.87
135.12,2.85
136.48,2.84
137.84,2.79
139.22,2.75
140.61,2.73
142.02,2.72
143.44,2.65
144.87,2.62
146.32,2.62
147.78,2.63
149.26,2.64
150.75,2.66
152.26,2.69
153.78,2.75
155.32,2.83
156.88,2.90
158.44,2.94
160.03,2.97
161.63,3.00
163.24,3.02
164.88,3.01
166.53,2.96
168.19,2.84
169.87,2.73
171.57,2.70
173.29,2.67
175.02,2.61
176.77,2.52
178.54,2.47
180.32,2.45
182.13,2.42
183.95,2.40
