frequency,raw
20.00,7.47
20.20,7.47
20.40,7.47
20.61,7.47
20.81,7.47
21.02,7.47
21.23,7.46
21.44,7.46
21.66,7.46
21.87,7.46
22.09,7.47
22.31,7.48
22.54,7.49
22.76,7.52
22.99,7.53
23.22,7.55
23.45,7.56
23.69,7.59
23.92,7.60
24.16,7.61
24.40,7.62
24.65,7.64
24.89,7.66
25.14,7.66
25.39,7.66
25.65,7.67
25.91,7.67
26.16,7.67
26.43,7.67
26.69,7.67
26.96,7.68
27.23,7.68
27.50,7.68
27.77,7.68
28.05,7.68
28.33,7.68
28.62,7.68
28.90,7.68
29.19,7.68
29.48,7.67
29.78,7.67
30.08,7.67
30.38,7.67
30.68,7.67
30.99,7.67
31.30,7.68
31.61,7.68
31.93,7.68
32.24,7.69
32.57,7.69
32.89,7.70
33.22,7.70
33.55,7.71
33.89,7.71
34.23,7.72
34.57,7.72
34.92,7.72
35.27,7.73
35.62,7.73
35.97,7.73
36.33,7.73
36.70,7.73
37.06,7.73
37.43,7.73
37.81,7.73
38.19,7.71
38.57,7.68
38.95,7.66
39.34,7.66
39.74,7.67
40.14,7.67
40.54,7.67
40.94,7.67
41.35,7.67
41.76,7.66
42.18,7.64
42.60,7.65
43.03,7.64
43.46,7.62
43.90,7.59
44.33,7.59
44.78,7.60
45.23,7.60
45.68,7.59
46.13,7.59
46.60,7.60
47.06,7.60
47.53,7.65
48.01,7.68
48.49,7.62
48.97,7.57
49.46,7.58
49.96,7.58
50.46,7.58
50.96,7.58
51.47,7.54
51.99,7.49
52.51,7.48
53.03,7.47
53.56,7.47
54.10,7.47
54.64,7.44
55.18,7.39
55.74,7.31
56.29,7.28
56.86,7.27
57.42,7.27
58.00,7.26
58.58,7.26
59.16,7.25
59.76,7.23
60.35,7.23
60.96,7.24
61.57,7.16
62.18,7.13
62.80,7.17
63.43,7.21
64.07,7.25
64.71,7.27
65.35,7.32
66.01,7.38
66.67,7.33
67.33,7.26
68.01,7.16
68.69,7.16
69.37,7.18
70.07,7.21
70.77,7.17
71.48,7.12
72.19,7.08
72.91,7.08
73.64,7.14
74.38,7.12
75.12,6.99
75.87,6.93
76.63,6.94
77.40,6.96
78.17,6.96
78.95,6.94
79.74,6.90
80.54,6.79
81.35,6.71
82.16,6.67
82.98,6.67
83.81,6.64
84.65,6.56
85.50,6.55
86.35,6.55
87.22,6.48
88.09,6.47
88.97,6.46
89.86,6.32
90.76,6.24
91.66,6.15
92.58,6.14
93.51,6.10
94.44,5.96
95.39,5.88
96.34,5.87
97.30,5.80
98.28,5.78
99.26,5.78
100.25,5.71
101.25,5.53
102.27,5.45
103.29,5.41
104.32,5.34
105.37,5.26
106.42,5.15
107.48,5.01
108.56,4.98
109.64,4.95
110.74,4.85
111.85,4.72
112.97,4.58
114.10,4.46
115.24,4.29
116.39,4.05
117.55,3.90
118.73,3.79
119.92,3.55
121.12,3.47
122.33,3.42
123.55,3.34
124.79,3.16
126.03,3.07
127.29,3.16
128.57,3.20
129.85,3.25
131.15,3.30
132.46,3.48
133.79,3.65
135.12,3.78
136.48,3.91
137.84,4.17
139.22,4.33
140.61,4.46
142.02,4.57
143.44,4.73
144.87,5.06
146.32,5.54
147.78,5.94
149.26,6.30
150.75,6.65
152.26,6.90
153.78,7.08
155.32,7.11
156.88,6.95
158.44,6.77
160.03,6.51
161.63,6.10
163.24,5.77
164.88,5.38
166.53,4.90
168.19,4.27
169.87,3.76
171.57,3.45
173.29,3.44
175.02,3.55
176.77,3.68
178.54,3.78
180.32,4.12
182.13,4.49
183.95,4.93
185.79,5.38
187.65,5.68
189.52,5.90
191.42,6.04
193.33,6.14
195.27,6.20
197.22,6.20
199.19,6.06
201.18,5.94
203.19,5.88
205.23,5.98
207.28,6.01
209.35,6.09
211.44,6.32
213.56,6.48
215.69,6.57
217.85,6.77
220.03,6.70
222.23,6.64
224.45,6.59
226.70,6.56
228.96,6.45
231.25,6.47
233.57,6.50
235.90,6.32
238.26,6.33
240.64,6.50
243.05,6.58
245.48,6.54
247.93,6.50
250.41,6.46
252.92,6.47
255.45,6.40
258.00,6.46
260.58,6.54
263.19,6.43
265.82,6.23
268.48,6.05
271.16,6.16
273.87,6.26
276.61,6.03
279.38,6.01
282.17,6.10
284.99,5.95
287.84,5.62
290.72,5.59
293.63,5.58
296.57,5.46
299.53,5.27
302.53,5.33
305.55,5.41
308.61,5.51
311.69,5.49
