frequency,raw
20.00,-20.87
20.20,-20.72
20.40,-20.57
20.61,-20.42
20.81,-20.28
21.02,-20.13
21.23,-20.03
21.44,-19.91
21.66,-19.80
21.87,-19.68
22.09,-19.55
22.31,-19.39
22.54,-19.23
22.76,-19.06
22.99,-18.91
23.22,-18.77
23.45,-18.63
23.69,-18.49
23.92,-18.35
24.16,-18.20
24.40,-18.03
24.65,-17.87
24.89,-17.69
25.14,-17.57
25.39,-17.47
25.65,-17.37
25.91,-17.27
26.16,-17.14
26.43,-17.00
26.69,-16.87
26.96,-16.72
27.23,-16.56
27.50,-16.40
27.77,-16.23
28.05,-16.06
28.33,-15.92
28.62,-15.77
28.90,-15.62
29.19,-15.46
29.48,-15.31
29.78,-15.15
30.08,-15.00
30.38,-14.89
30.68,-14.78
30.99,-14.67
31.30,-14.49
31.61,-14.32
31.93,-14.14
32.24,-14.00
32.57,-13.90
32.89,-13.77
33.22,-13.62
33.55,-13.45
33.89,-13.29
34.23,-13.12
34.57,-12.97
34.92,-12.81
35.27,-12.64
35.62,-12.49
35.97,-12.32
36.33,-12.19
36.70,-12.06
37.06,-11.92
37.43,-11.77
37.81,-11.62
38.19,-11.48
38.57,-11.34
38.95,-11.19
39.34,-11.04
39.74,-10.89
40.14,-10.74
40.54,-10.60
40.94,-10.45
41.35,-10.29
41.76,-10.12
42.18,-9.96
42.60,-9.79
43.03,-9.64
43.46,-9.49
43.90,-9.35
44.33,-9.22
44.78,-9.10
45.23,-8.97
45.68,-8.82
46.13,-8.68
46.60,-8.55
47.06,-8.43
47.53,-8.29
48.01,-8.18
48.49,-8.04
48.97,-7.90
49.46,-7.74
49.96,-7.59
50.46,-7.46
50.96,-7.32
51.47,-7.18
51.99,-7.03
52.51,-6.90
53.03,-6.77
53.56,-6.65
54.10,-6.53
54.64,-6.39
55.18,-6.25
55.74,-6.15
56.29,-6.00
56.86,-5.85
57.42,-5.69
58.00,-5.54
58.58,-5.37
59.16,-5.21
59.76,-5.08
60.35,-4.94
60.96,-4.80
61.57,-4.66
62.18,-4.51
62.80,-4.36
63.43,-4.21
64.07,-4.06
64.71,-3.90
65.35,-3.75
66.01,-3.63
66.67,-3.49
67.33,-3.37
68.01,-3.24
68.69,-3.09
69.37,-2.94
70.07,-2.80
70.77,-2.71
71.48,-2.60
72.19,-2.49
72.91,-2.40
73.64,-2.28
74.38,-2.16
75.12,-2.07
75.87,-1.95
76.63,-1.83
77.40,-1.72
78.17,-1.64
78.95,-1.56
79.74,-1.50
80.54,-1.43
81.35,-1.32
82.16,-1.20
82.98,-1.13
83.81,-1.03
84.65,-0.92
85.50,-0.83
86.35,-0.75
87.22,-0.67
88.09,-0.58
88.97,-0.52
89.86,-0.48
90.76,-0.37
91.66,-0.32
92.58,-0.31
93.51,-0.23
94.44,-0.16
95.39,-0.15
96.34,-0.13
97.30,-0.09
98.28,-0.02
99.26,0.03
100.25,0.01
101.25,0.01
102.27,0.07
103.29,0.08
104.32,0.08
105.37,0.06
106.42,0.05
107.48,0.03
108.56,0.02
109.64,0.02
110.74,-0.00
111.85,-0.03
112.97,-0.03
114.10,-0.04
115.24,-0.05
116.39,-0.06
117.55,-0.06
118.73,-0.07
119.92,-0.08
121.12,-0.12
122.33,-0.18
123.55,-0.24
124.79,-0.28
126.03,-0.28
127.29,-0.29
128.57,-0.32
129.85,-0.41
131.15,-0.43
132.46,-0.49
133.79,-0.55
135.12,-0.58
136.48,-0.58
137.84,-0.61
139.22,-0.65
140.61,-0.68
142.02,-0.73
143.44,-0.74
144.87,-0.79
146.32,-0.88
147.78,-0.94
149.26,-0.95
150.75,-0.92
152.26,-0.90
153.78,-0.89
155.32,-0.97
156.88,-0.99
158.44,-0.94
160.03,-0.91
161.63,-0.94
163.24,-0.98
164.88,-1.03
166.53,-1.07
168.19,-1.15
169.87,-1.20
171.57,-1.28
173.29,-1.37
175.02,-1.49
176.77,-1.55
178.54,-1.58
180.32,-1.69
182.13,-1.78
183.95,-1.86
185.79,-1.89
187.65,-1.90
189.52,-1.96
191.42,-2.01
193.33,-2.07
195.27,-2.12
197.22,-2.14
199.19,-2.19
201.18,-2.23
203.19,-2.32
205.23,-2.39
207.28,-2.40
209.35,-2.45
211.44,-2.52
213.56,-2.62
215.69,-2.64
217.85,-2.56
220.03,-2.61
222.23,-2.67
224.45,-2.79
226.70,-2.80
228.96,-2.75
231.25,-2.89
233.57,-2.96
235.90,-3.02
238.26,-3.03
