frequency,raw
20.00,-0.19
20.20,-0.12
20.40,-0.06
20.61,0.01
20.81,0.07
21.02,0.13
21.23,0.16
21.44,0.19
21.66,0.22
21.87,0.25
22.09,0.34
22.31,0.50
22.54,0.66
22.76,0.83
22.99,0.99
23.22,1.09
23.45,1.17
23.69,1.26
23.92,1.34
24.16,1.39
24.40,1.42
24.65,1.45
24.89,1.49
25.14,1.59
25.39,1.75
25.65,1.91
25.91,2.07
26.16,2.13
26.43,2.13
26.69,2.13
26.96,2.14
27.23,2.31
27.50,2.51
27.77,2.71
28.05,2.88
28.33,2.96
28.62,3.03
28.90,3.10
29.19,3.21
29.48,3.31
29.78,3.43
30.08,3.53
30.38,3.58
30.68,3.62
30.99,3.67
31.30,3.78
31.61,3.89
31.93,3.99
32.24,4.04
32.57,4.06
32.89,4.08
33.22,4.17
33.55,4.30
33.89,4.41
34.23,4.55
34.57,4.68
34.92,4.82
35.27,4.97
35.62,5.11
35.97,5.25
36.33,5.28
36.70,5.31
37.06,5.34
37.43,5.43
37.81,5.52
38.19,5.56
38.57,5.58
38.95,5.61
39.34,5.71
39.74,5.83
40.14,5.93
40.54,5.98
40.94,6.03
41.35,6.17
41.76,6.31
42.18,6.42
42.60,6.51
43.03,6.59
43.46,6.68
43.90,6.76
44.33,6.86
44.78,6.96
45.23,7.01
45.68,7.00
46.13,7.04
46.60,7.20
47.06,7.33
47.53,7.32
48.01,7.31
48.49,7.41
48.97,7.50
49.46,7.62
49.96,7.73
50.46,7.72
50.96,7.69
51.47,7.76
51.99,7.84
52.51,7.91
53.03,7.98
53.56,8.07
54.10,8.14
54.64,8.14
55.18,8.15
55.74,8.19
56.29,8.25
56.86,8.30
57.42,8.36
58.00,8.42
58.58,8.50
59.16,8.57
59.76,8.62
60.35,8.64
60.96,8.65
61.57,8.77
62.18,8.88
62.80,8.90
63.43,8.97
64.07,9.06
64.71,9.08
65.35,9.15
66.01,9.23
66.67,9.32
67.33,9.36
68.01,9.38
68.69,9.39
69.37,9.44
70.07,9.52
70.77,9.52
71.48,9.57
72.19,9.63
72.91,9.65
73.64,9.66
74.38,9.72
75.12,9.79
75.87,9.80
76.63,9.82
77.40,9.84
78.17,9.86
78.95,9.87
79.74,9.89
80.54,9.91
81.35,9.97
82.16,10.03
82.98,10.04
83.81,10.05
84.65,10.06
85.50,10.07
86.35,10.08
87.22,10.09
88.09,10.10
88.97,10.11
89.86,10.12
