frequency,raw
20.00,-3.40
20.20,-3.33
20.40,-3.26
20.61,-3.19
20.81,-3.13
21.02,-3.05
21.23,-2.99
21.44,-2.91
21.66,-2.84
21.87,-2.76
22.09,-2.70
22.31,-2.64
22.54,-2.58
22.76,-2.52
22.99,-2.46
23.22,-2.39
23.45,-2.33
23.69,-2.26
23.92,-2.20
24.16,-2.13
24.40,-2.05
24.65,-1.97
24.89,-1.88
25.14,-1.81
25.39,-1.74
25.65,-1.66
25.91,-1.59
26.16,-1.52
26.43,-1.47
26.69,-1.41
26.96,-1.35
27.23,-1.30
27.50,-1.25
27.77,-1.20
28.05,-1.15
28.33,-1.08
28.62,-1.02
28.90,-0.95
29.19,-0.89
29.48,-0.84
29.78,-0.78
30.08,-0.72
30.38,-0.66
30.68,-0.60
30.99,-0.53
31.30,-0.47
31.61,-0.42
31.93,-0.36
32.24,-0.28
32.57,-0.21
32.89,-0.12
33.22,-0.08
33.55,-0.05
33.89,-0.02
34.23,0.05
34.57,0.12
34.92,0.19
35.27,0.25
35.62,0.28
35.97,0.32
36.33,0.39
36.70,0.46
37.06,0.53
37.43,0.57
37.81,0.62
38.19,0.64
38.57,0.67
38.95,0.70
39.34,0.76
39.74,0.83
40.14,0.88
40.54,0.89
40.94,0.89
41.35,0.95
41.76,1.02
42.18,1.06
42.60,1.09
43.03,1.12
43.46,1.20
43.90,1.28
44.33,1.31
44.78,1.33
45.23,1.34
45.68,1.33
46.13,1.35
46.60,1.46
47.06,1.55
47.53,1.53
48.01,1.50
48.49,1.55
48.97,1.60
49.46,1.65
49.96,1.68
50.46,1.66
50.96,1.63
51.47,1.68
51.99,1.73
52.51,1.72
53.03,1.71
53.56,1.75
54.10,1.78
54.64,1.78
55.18,1.79
55.74,1.83
56.29,1.89
56.86,1.94
57.42,1.95
58.00,1.95
58.58,2.00
59.16,2.04
59.76,2.07
60.35,2.08
60.96,2.08
61.57,2.09
62.18,2.11
62.80,2.13
63.43,2.16
64.07,2.19
64.71,2.21
65.35,2.24
66.01,2.27
66.67,2.26
67.33,2.23
68.01,2.21
68.69,2.15
69.37,2.13
70.07,2.15
70.77,2.15
71.48,2.21
72.19,2.28
72.91,2.27
73.64,2.31
74.38,2.41
75.12,2.54
75.87,2.63
76.63,2.72
77.40,2.77
