frequency,raw
20.00,10.38
20.20,10.40
20.40,10.41
20.61,10.43
20.81,10.44
21.02,10.46
21.23,10.47
21.44,10.49
21.66,10.52
21.87,10.54
22.09,10.55
22.31,10.55
22.54,10.56
22.76,10.57
22.99,10.57
23.22,10.60
23.45,10.62
23.69,10.65
23.92,10.67
24.16,10.68
24.40,10.68
24.65,10.68
24.89,10.69
25.14,10.69
25.39,10.69
25.65,10.70
25.91,10.70
26.16,10.70
26.43,10.70
26.69,10.70
26.96,10.71
27.23,10.71
27.50,10.71
27.77,10.71
28.05,10.71
28.33,10.71
28.62,10.71
28.90,10.71
29.19,10.71
29.48,10.70
29.78,10.70
30.08,10.70
30.38,10.70
30.68,10.70
30.99,10.70
31.30,10.71
31.61,10.71
31.93,10.71
32.24,10.72
32.57,10.72
32.89,10.73
33.22,10.69
33.55,10.65
33.89,10.60
34.23,10.58
34.57,10.57
34.92,10.56
35.27,10.57
35.62,10.57
35.97,10.57
36.33,10.54
36.70,10.51
37.06,10.47
37.43,10.44
37.81,10.40
38.19,10.37
38.57,10.37
38.95,10.37
39.34,10.34
39.74,10.30
40.14,10.26
40.54,10.22
40.94,10.18
41.35,10.16
41.76,10.14
42.18,10.10
42.60,10.05
43.03,10.00
43.46,9.97
43.90,9.94
44.33,9.89
44.78,9.84
45.23,9.80
45.68,9.75
46.13,9.70
46.60,9.62
47.06,9.53
47.53,9.47
48.01,9.40
48.49,9.35
48.97,9.30
49.46,9.17
49.96,9.03
50.46,8.90
50.96,8.78
51.47,8.75
51.99,8.73
52.51,8.63
53.03,8.52
53.56,8.41
54.10,8.31
54.64,8.24
55.18,8.18
55.74,8.12
56.29,8.04
56.86,7.92
57.42,7.81
58.00,7.71
58.58,7.64
59.16,7.57
59.76,7.50
60.35,7.36
60.96,7.17
61.57,7.07
62.18,6.99
62.80,6.92
63.43,6.80
64.07,6.66
64.71,6.54
65.35,6.38
66.01,6.19
66.67,6.06
67.33,5.96
68.01,5.91
68.69,5.86
69.37,5.80
70.07,5.73
70.77,5.57
71.48,5.44
72.19,5.30
72.91,5.12
73.64,4.98
74.38,4.84
75.12,4.67
75.87,4.47
76.63,4.27
77.40,4.01
78.17,3.70
78.95,3.39
79.74,3.17
80.54,2.93
81.35,2.67
82.16,2.35
82.98,2.05
83.81,1.64
84.65,1.34
85.50,1.14
86.35,0.93
87.22,0.61
88.09,0.24
88.97,-0.07
89.86,-0.29
