frequency,raw
20.00,-13.60
20.20,-13.52
20.40,-13.45
20.61,-13.37
20.81,-13.29
21.02,-13.21
21.23,-13.15
21.44,-13.08
21.66,-13.00
21.87,-12.93
22.09,-12.86
22.31,-12.79
22.54,-12.70
22.76,-12.62
22.99,-12.54
23.22,-12.47
23.45,-12.41
23.69,-12.34
23.92,-12.28
24.16,-12.20
24.40,-12.10
24.65,-12.01
24.89,-11.90
25.14,-11.84
25.39,-11.79
25.65,-11.74
25.91,-11.70
26.16,-11.64
26.43,-11.59
26.69,-11.53
26.96,-11.47
27.23,-11.40
27.50,-11.33
27.77,-11.26
28.05,-11.18
28.33,-11.10
28.62,-11.01
28.90,-10.93
29.19,-10.85
29.48,-10.78
29.78,-10.70
30.08,-10.62
30.38,-10.56
30.68,-10.50
30.99,-10.44
31.30,-10.37
31.61,-10.31
31.93,-10.24
32.24,-10.17
32.57,-10.10
32.89,-10.02
33.22,-9.98
33.55,-9.95
33.89,-9.92
34.23,-9.84
34.57,-9.76
34.92,-9.68
35.27,-9.60
35.62,-9.54
35.97,-9.48
36.33,-9.42
36.70,-9.35
37.06,-9.28
37.43,-9.20
37.81,-9.12
38.19,-9.09
38.57,-9.10
38.95,-9.10
39.34,-9.03
39.74,-8.94
40.14,-8.87
40.54,-8.80
40.94,-8.74
41.35,-8.63
41.76,-8.52
42.18,-8.42
42.60,-8.32
43.03,-8.23
43.46,-8.25
43.90,-8.27
44.33,-8.21
44.78,-8.11
45.23,-8.07
45.68,-8.09
46.13,-8.06
46.60,-7.94
47.06,-7.84
47.53,-7.80
48.01,-7.78
48.49,-7.69
48.97,-7.61
49.46,-7.56
49.96,-7.53
50.46,-7.49
50.96,-7.45
51.47,-7.41
51.99,-7.36
52.51,-7.34
53.03,-7.33
53.56,-7.27
54.10,-7.21
54.64,-7.15
55.18,-7.10
55.74,-7.06
56.29,-6.98
56.86,-6.90
57.42,-6.93
58.00,-7.00
58.58,-6.86
59.16,-6.74
59.76,-6.67
60.35,-6.57
60.96,-6.46
61.57,-6.51
62.18,-6.51
62.80,-6.39
63.43,-6.26
64.07,-6.15
64.71,-6.21
65.35,-6.10
66.01,-5.87
66.67,-5.88
67.33,-5.89
68.01,-5.88
68.69,-5.87
69.37,-5.79
70.07,-5.67
70.77,-5.72
71.48,-5.76
72.19,-5.77
72.91,-5.68
73.64,-5.62
74.38,-5.56
75.12,-5.51
75.87,-5.47
76.63,-5.37
77.40,-5.27
78.17,-5.18
78.95,-5.14
79.74,-5.01
80.54,-4.95
81.35,-4.90
82.16,-4.83
82.98,-4.85
83.81,-4.71
84.65,-4.60
85.50,-4.56
86.35,-4.57
87.22,-4.56
88.09,-4.55
88.97,-4.54
89.86,-4.54
90.76,-4.57
91.66,-4.63
92.58,-4.63
93.51,-4.72
94.44,-4.86
95.39,-4.89
96.34,-4.90
97.30,-4.94
98.28,-5.00
99.26,-5.07
100.25,-5.22
101.25,-5.33
102.27,-5.36
103.29,-5.33
104.32,-5.30
105.37,-5.27
106.42,-5.20
107.48,-5.13
108.56,-5.07
109.64,-4.95
110.74,-4.89
111.85,-4.82
112.97,-4.77
114.10,-4.74
115.24,-4.68
116.39,-4.63
117.55,-4.59
118.73,-4.52
119.92,-4.50
121.12,-4.51
122.33,-4.45
123.55,-4.44
124.79,-4.49
126.03,-4.45
127.29,-4.33
128.57,-4.29
129.85,-4.28
131.15,-4.21
132.46,-4.16
133.79,-4.12
135.12,-4.04
136.48,-3.99
