frequency,raw
20.00,-4.58
20.20,-4.50
20.40,-4.43
20.61,-4.35
20.81,-4.27
21.02,-4.20
21.23,-4.16
21.44,-4.12
21.66,-4.07
21.87,-4.03
22.09,-3.98
22.31,-3.92
22.54,-3.85
22.76,-3.78
22.99,-3.72
23.22,-3.64
23.45,-3.57
23.69,-3.49
23.92,-3.42
24.16,-3.38
24.40,-3.34
24.65,-3.30
24.89,-3.26
25.14,-3.20
25.39,-3.13
25.65,-3.05
25.91,-2.99
26.16,-2.93
26.43,-2.87
26.69,-2.82
26.96,-2.76
27.23,-2.76
27.50,-2.78
27.77,-2.80
28.05,-2.80
28.33,-2.75
28.62,-2.70
28.90,-2.65
29.19,-2.58
29.48,-2.50
29.78,-2.42
30.08,-2.37
30.38,-2.40
30.68,-2.44
30.99,-2.47
31.30,-2.37
31.61,-2.27
31.93,-2.17
32.24,-2.16
32.57,-2.19
32.89,-2.20
33.22,-2.19
33.55,-2.14
33.89,-2.11
34.23,-2.07
34.57,-2.03
34.92,-2.00
35.27,-1.98
35.62,-1.98
35.97,-1.98
36.33,-1.98
36.70,-1.98
37.06,-1.97
37.43,-1.91
37.81,-1.86
38.19,-1.85
38.57,-1.88
38.95,-1.91
39.34,-1.87
39.74,-1.82
40.14,-1.79
40.54,-1.79
40.94,-1.79
41.35,-1.78
41.76,-1.78
42.18,-1.78
42.60,-1.77
43.03,-1.77
43.46,-1.76
43.90,-1.76
44.33,-1.76
44.78,-1.76
45.23,-1.76
45.68,-1.76
46.13,-1.76
46.60,-1.76
47.06,-1.77
47.53,-1.77
48.01,-1.78
48.49,-1.79
48.97,-1.80
49.46,-1.81
49.96,-1.83
50.46,-1.84
50.96,-1.85
51.47,-1.86
51.99,-1.87
52.51,-1.88
53.03,-1.89
53.56,-1.90
54.10,-1.91
54.64,-1.92
55.18,-1.96
55.74,-2.06
56.29,-2.08
56.86,-2.06
57.42,-2.05
58.00,-2.05
58.58,-2.05
59.16,-2.03
59.76,-1.96
60.35,-2.00
60.96,-2.11
61.57,-2.11
62.18,-2.09
62.80,-2.07
63.43,-2.04
64.07,-2.01
64.71,-1.99
65.35,-1.96
66.01,-1.94
66.67,-1.92
67.33,-1.91
68.01,-1.89
68.69,-1.99
69.37,-2.02
70.07,-1.98
70.77,-1.91
71.48,-1.89
72.19,-1.93
72.91,-2.01
73.64,-2.01
74.38,-1.99
75.12,-1.98
75.87,-1.97
76.63,-1.99
77.40,-2.05
78.17,-2.09
78.95,-2.00
79.74,-1.91
80.54,-1.94
81.35,-2.02
82.16,-2.13
82.98,-2.23
83.81,-2.06
84.65,-2.08
85.50,-2.24
86.35,-2.33
87.22,-2.25
88.09,-2.31
88.97,-2.55
89.86,-2.50
90.76,-2.48
91.66,-2.52
92.58,-2.59
93.51,-2.67
94.44,-2.78
95.39,-2.81
96.34,-2.74
97.30,-2.73
98.28,-2.74
99.26,-2.74
100.25,-2.76
101.25,-2.78
102.27,-2.78
103.29,-2.79
104.32,-2.87
105.37,-3.03
106.42,-2.98
107.48,-2.89
108.56,-2.91
109.64,-3.13
110.74,-3.14
111.85,-3.08
112.97,-3.08
114.10,-3.28
115.24,-3.43
116.39,-3.48
117.55,-3.54
118.73,-3.59
119.92,-3.67
121.12,-3.77
122.33,-3.84
123.55,-3.88
124.79,-3.89
126.03,-3.90
127.29,-3.92
128.57,-3.93
129.85,-3.98
131.15,-3.99
132.46,-3.79
133.79,-3.71
135.12,-3.79
136.48,-3.79
137.84,-3.78
139.22,-3.69
140.61,-3.65
142.02,-3.58
143.44,-3.55
144.87,-3.65
146.32,-3.62
147.78,-3.53
149.26,-3.50
150.75,-3.48
152.26,-3.45
153.78,-3.31
155.32,-3.22
156.88,-3.22
158.44,-3.19
160.03,-3.16
161.63,-3.17
163.24,-3.23
164.88,-3.33
166.53,-3.44
168.19,-3.52
169.87,-3.59
171.57,-3.79
173.29,-3.86
175.02,-3.89
176.77,-3.92
178.54,-3.96
180.32,-3.99
182.13,-4.03
183.95,-4.18
185.79,-4.18
187.65,-4.05
189.52,-4.15
191.42,-4.31
193.33,-4.37
195.27,-4.26
197.22,-4.17
199.19,-4.15
201.18,-4.16
203.19,-4.20
205.23,-4.22
207.28,-4.17
209.35,-4.05
211.44,-4.05
213.56,-4.09
215.69,-4.10
217.85,-4.16
220.03,-4.17
222.23,-3.93
224.45,-3.81
226.70,-3.88
228.96,-3.89
231.25,-3.88
233.57,-3.86
235.90,-3.78
238.26,-3.82
240.64,-3.94
243.05,-4.05
245.48,-4.13
247.93,-4.07
250.41,-4.04
252.92,-4.01
255.45,-3.99
258.00,-3.93
260.58,-3.98
263.19,-4.06
265.82,-4.08
268.48,-4.09
271.16,-4.08
273.87,-4.08
276.61,-4.09
279.38,-4.10
282.17,-4.09
284.99,-4.10
287.84,-4.09
290.72,-4.09
293.63,-4.04
296.57,-4.00
299.53,-4.13
302.53,-4.16
305.55,-4.15
308.61,-4.14
311.69,-4.11
314.81,-4.07
317.96,-4.13
321.14,-4.19
324.35,-4.19
327.59,-4.15
330.87,-4.20
334.18,-4.25
337.52,-4.27
340.90,-4.25
344.30,-4.25
347.75,-4.31
351.23,-4.31
354.74,-4.32
358.28,-4.36
361.87,-4.37
365.49,-4.35
369.14,-4.33
372.83,-4.27
376.56,-4.28
380.33,-4.27
384.13,-4.25
387.97,-4.22
391.85,-4.14
395.77,-4.08
399.73,-4.05
403.72,-4.00
407.76,-3.92
411.84,-3.80
415.96,-3.67
420.12,-3.65
424.32,-3.71
428.56,-3.58
432.85,-3.44
437.18,-3.35
441.55,-3.26
445.96,-3.20
450.42,-3.29
454.93,-3.32
459.48,-3.13
464.07,-2.84
468.71,-2.72
