frequency,raw
20.00,2.44
20.20,2.51
20.40,2.56
20.61,2.63
20.81,2.69
21.02,2.76
21.23,2.89
21.44,3.03
21.66,3.17
21.87,3.31
22.09,3.43
22.31,3.51
22.54,3.61
22.76,3.71
22.99,3.80
23.22,3.90
23.45,3.99
23.69,4.09
23.92,4.18
24.16,4.29
24.40,4.40
24.65,4.51
24.89,4.63
25.14,4.73
25.39,4.80
25.65,4.89
25.91,4.97
26.16,5.05
26.43,5.12
26.69,5.19
26.96,5.28
27.23,5.35
27.50,5.42
27.77,5.48
28.05,5.56
28.33,5.65
28.62,5.75
28.90,5.85
29.19,5.94
29.48,6.03
29.78,6.13
30.08,6.22
30.38,6.29
30.68,6.37
30.99,6.45
31.30,6.52
31.61,6.58
31.93,6.65
32.24,6.73
32.57,6.81
32.89,6.89
33.22,6.97
33.55,7.06
33.89,7.14
34.23,7.25
34.57,7.35
34.92,7.45
35.27,7.53
35.62,7.59
35.97,7.66
36.33,7.72
36.70,7.79
37.06,7.86
37.43,7.93
37.81,8.00
38.19,8.07
38.57,8.14
38.95,8.21
39.34,8.25
39.74,8.29
40.14,8.33
40.54,8.37
40.94,8.41
41.35,8.50
41.76,8.59
42.18,8.67
42.60,8.75
43.03,8.81
43.46,8.87
43.90,8.92
44.33,8.99
44.78,9.08
45.23,9.12
45.68,9.13
46.13,9.16
46.60,9.24
47.06,9.31
47.53,9.33
48.01,9.34
48.49,9.42
48.97,9.50
49.46,9.52
49.96,9.53
50.46,9.55
50.96,9.57
51.47,9.62
51.99,9.67
52.51,9.72
53.03,9.76
53.56,9.78
54.10,9.80
54.64,9.82
55.18,9.82
55.74,9.81
56.29,9.85
56.86,9.93
57.42,9.97
58.00,9.99
58.58,10.01
59.16,10.04
59.76,10.09
60.35,10.11
60.96,10.12
61.57,10.13
62.18,10.15
62.80,10.17
63.43,10.24
64.07,10.32
64.71,10.34
65.35,10.37
66.01,10.39
66.67,10.40
67.33,10.38
68.01,10.35
68.69,10.36
69.37,10.37
70.07,10.39
70.77,10.39
71.48,10.35
72.19,10.30
72.91,10.27
73.64,10.23
74.38,10.20
75.12,10.17
75.87,10.18
76.63,10.17
77.40,10.16
78.17,10.13
78.95,10.08
79.74,10.02
80.54,9.99
81.35,9.94
82.16,9.82
82.98,9.75
83.81,9.75
84.65,9.67
85.50,9.58
86.35,9.48
87.22,9.39
88.09,9.42
88.97,9.42
89.86,9.29
90.76,9.22
91.66,9.12
92.58,9.01
93.51,8.98
94.44,8.96
95.39,8.91
96.34,8.85
97.30,8.77
98.28,8.69
99.26,8.58
100.25,8.50
101.25,8.41
102.27,8.45
103.29,8.45
104.32,8.44
105.37,8.43
106.42,8.45
107.48,8.49
108.56,8.57
109.64,8.62
110.74,8.70
111.85,8.69
112.97,8.74
114.10,8.84
115.24,8.89
116.39,8.99
117.55,9.07
118.73,9.06
119.92,9.01
121.12,8.95
122.33,8.94
123.55,8.92
124.79,8.84
126.03,8.75
127.29,8.67
128.57,8.57
129.85,8.41
131.15,8.25
132.46,7.93
133.79,7.66
135.12,7.43
136.48,7.30
137.84,7.25
139.22,7.06
140.61,6.78
142.02,6.48
143.44,6.52
144.87,6.53
146.32,6.35
147.78,6.22
149.26,6.17
150.75,6.12
152.26,6.28
153.78,6.46
155.32,6.40
156.88,6.32
158.44,6.07
160.03,5.75
161.63,5.39
163.24,5.08
164.88,4.73
166.53,4.37
168.19,4.04
169.87,3.74
171.57,3.60
173.29,3.56
175.02,3.62
176.77,3.78
178.54,3.95
180.32,4.17
182.13,4.39
183.95,4.57
185.79,4.46
187.65,4.46
189.52,4.51
191.42,4.39
193.33,4.27
195.27,4.15
197.22,4.01
199.19,3.89
201.18,3.75
203.19,3.61
205.23,3.51
207.28,3.43
209.35,3.32
211.44,3.22
213.56,3.16
215.69,3.01
217.85,2.87
220.03,2.73
222.23,2.58
224.45,2.43
226.70,2.29
228.96,2.15
231.25,1.98
233.57,1.81
235.90,1.68
238.26,1.57
240.64,1.48
243.05,1.36
245.48,1.28
247.93,1.16
250.41,1.07
252.92,1.02
255.45,1.00
258.00,0.91
260.58,0.82
263.19,0.70
265.82,0.64
268.48,0.57
271.16,0.52
273.87,0.47
276.61,0.47
279.38,0.39
282.17,0.31
284.99,0.27
287.84,0.27
290.72,0.27
293.63,0.17
296.57,0.10
299.53,0.10
302.53,0.11
305.55,0.12
308.61,0.13
311.69,0.07
314.81,0.02
317.96,-0.02
321.14,-0.02
324.35,-0.02
327.59,-0.01
330.87,-0.01
334.18,-0.00
337.52,0.01
340.90,0.02
344.30,0.03
347.75,0.10
351.23,0.16
354.74,0.17
358.28,0.19
361.87,0.21
365.49,0.22
369.14,0.24
372.83,0.27
376.56,0.29
380.33,0.30
384.13,0.32
387.97,0.42
391.85,0.48
395.77,0.48
399.73,0.48
403.72,0.48
407.76,0.50
411.84,0.62
415.96,0.72
420.12,0.72
424.32,0.74
428.56,0.75
432.85,0.75
437.18,0.87
441.55,0.92
445.96,0.92
450.42,0.92
454.93,0.91
459.48,0.94
464.07,1.09
468.71,1.13
473.40,1.18
478.13,1.29
482.91,1.42
487.74,1.54
492.62,1.55
497.55,1.52
502.52,1.52
507.55,1.64
512.62,1.74
517.75,1.71
522.93,1.64
528.16,1.55
533.44,1.70
538.77,1.90
544.16,1.89
549.60,1.66
555.10,1.47
560.65,1.54
566.25,1.81
571.92,2.00
577.64,1.92
583.41,1.75
589.25,1.69
595.14,1.73
601.09,1.89
607.10,2.18
613.17,2.29
619.30,2.34
625.50,2.44
631.75,2.58
638.07,2.70
644.45,2.69
650.89,2.68
657.40,2.81
663.98,2.86
670.62,2.90
677.32,2.93
684.10,2.89
690.94,2.85
697.85,2.88
704.83,2.86
711.87,2.80
718.99,2.72
726.18,2.63
733.44,2.61
740.78,2.53
748.19,2.40
755.67,2.29
763.23,2.18
770.86,2.10
778.57,1.95
786.35,1.75
794.22,1.66
802.16,1.65
810.18,1.71
818.28,1.84
826.46,1.90
834.73,1.83
843.08,1.82
851.51,1.86
860.02,1.93
868.62,1.98
877.31,1.88
886.08,1.79
894.94,1.69
903.89,1.55
912.93,1.44
922.06,1.27
931.28,1.13
940.59,0.94
950.00,0.79
959.50,0.65
969.09,0.60
978.78,0.45
988.57,0.25
998.46,0.10
1008.44,0.03
1018.53,-0.03
1028.71,-0.12
1039.00,-0.28
1049.39,-0.34
1059.88,-0.39
1070.48,-0.53
1081.19,-0.76
1092.00,-0.91
1102.92,-1.04
1113.95,-1.17
1125.09,-1.34
1136.34,-1.55
1147.70,-1.76
1159.18,-1.88
1170.77,-2.01
1182.48,-2.22
1194.30,-2.35
1206.25,-2.47
1218.31,-2.63
1230.49,-2.66
1242.80,-2.70
1255.22,-2.79
1267.78,-2.94
1280.45,-3.01
1293.26,-3.04
1306.19,-3.05
1319.25,-3.08
1332.45,-3.09
1345.77,-3.03
1359.23,-3.03
1372.82,-2.99
1386.55,-2.93
1400.41,-2.86
1414.42,-2.76
1428.56,-2.63
1442.85,-2.53
1457.28,-2.39
1471.85,-2.23
1486.57,-2.10
1501.43,-1.98
1516.45,-1.79
1531.61,-1.58
1546.93,-1.35
1562.40,-1.18
1578.02,-1.01
1593.80,-0.89
1609.74,-0.77
1625.84,-0.62
1642.10,-0.45
1658.52,-0.35
1675.10,0.10
1691.85,0.44
1708.77,0.78
1725.86,0.94
1743.12,0.93
1760.55,0.99
1778.15,1.14
1795.94,1.31
1813.90,1.49
1832.03,1.65
1850.36,1.73
1868.86,1.79
1887.55,2.04
1906.42,2.09
1925.49,2.15
1944.74,2.31
1964.19,2.31
1983.83,2.28
2003.67,2.20
2023.71,2.19
2043.94,2.14
2064.38,2.04
2085.03,1.86
2105.88,1.78
2126.94,1.70
2148.20,1.61
2169.69,1.46
2191.38,1.43
2213.30,1.48
2235.43,1.53
2257.78,1.53
2280.36,1.44
2303.17,1.42
2326.20,1.44
2349.46,1.62
2372.95,1.82
2396.68,1.90
2420.65,1.88
2444.86,1.97
2469.31,2.23
2494.00,2.44
2518.94,2.59
2544.13,2.90
2569.57,3.30
2595.27,3.60
2621.22,3.92
2647.43,4.35
2673.90,4.79
2700.64,5.14
2727.65,5.59
2754.93,6.05
2782.48,6.42
2810.30,6.84
2838.40,7.30
2866.79,7.72
2895.46,8.03
2924.41,8.34
2953.65,8.70
2983.19,9.04
3013.02,9.27
3043.15,9.51
3073.58,9.83
3104.32,10.07
3135.36,10.22
3166.72,10.49
3198.38,10.78
3230.37,10.98
3262.67,11.14
3295.30,11.29
3328.25,11.35
3361.53,11.35
3395.15,11.42
3429.10,11.60
3463.39,11.87
3498.03,12.09
3533.01,12.24
3568.34,12.40
3604.02,12.60
3640.06,12.77
3676.46,12.95
3713.22,13.08
3750.36,13.28
3787.86,13.54
3825.74,13.82
3864.00,14.04
3902.64,14.22
3941.66,14.37
3981.08,14.50
4020.89,14.59
4061.10,14.62
4101.71,14.49
4142.73,14.32
4184.15,14.09
4226.00,13.85
4268.26,13.59
4310.94,13.25
4354.05,12.99
4397.59,12.81
4441.56,12.63
4485.98,12.38
4530.84,12.09
4576.15,11.88
4621.91,11.64
4668.13,11.26
4714.81,10.94
4761.96,10.73
4809.58,10.48
4857.67,10.17
4906.25,10.16
4955.31,10.28
5004.87,10.40
5054.91,10.79
5105.46,11.55
5156.52,12.37
5208.08,13.49
5260.16,14.05
5312.77,14.35
5365.89,14.74
5419.55,14.82
5473.75,14.27
5528.49,13.81
5583.77,13.33
5639.61,12.67
5696.00,11.87
5752.96,11.18
5810.49,10.76
5868.60,10.38
5927.28,10.16
5986.56,9.89
6046.42,9.49
6106.89,8.63
6167.96,7.92
6229.64,7.33
6291.93,6.86
6354.85,6.07
6418.40,5.21
6482.58,4.46
6547.41,3.64
6612.88,3.27
6679.01,2.93
6745.80,2.88
6813.26,3.00
6881.39,2.18
6950.21,1.68
7019.71,1.77
7089.91,2.07
7160.81,2.67
7232.41,3.54
7304.74,4.09
7377.79,4.55
7451.56,5.01
7526.08,5.26
7601.34,5.43
7677.35,5.79
7754.13,6.02
7831.67,5.87
7909.98,5.51
7989.08,5.21
8068.98,4.95
8149.67,4.66
8231.16,4.71
8313.47,4.70
8396.61,4.50
8480.57,4.09
8565.38,3.69
8651.03,3.52
8737.54,3.07
8824.92,2.50
8913.17,2.02
9002.30,1.41
9092.32,0.25
9183.25,-0.69
9275.08,-1.30
9367.83,-1.88
9461.51,-2.43
9556.12,-3.13
9651.68,-3.40
9748.20,-3.52
9845.68,-3.84
9944.14,-4.41
10043.58,-4.50
10144.02,-4.13
10245.46,-3.54
10347.91,-2.95
10451.39,-2.50
10555.91,-2.12
10661.46,-1.59
10768.08,-1.11
10875.76,-1.10
10984.52,-1.11
11094.36,-1.15
11205.31,-1.15
11317.36,-1.43
11430.53,-1.97
11544.84,-2.22
11660.29,-2.49
11776.89,-2.46
11894.66,-2.09
12013.60,-1.85
12133.74,-1.81
12255.08,-2.45
12377.63,-2.67
12501.41,-3.21
12626.42,-3.57
12752.68,-3.59
12880.21,-3.85
13009.01,-4.33
13139.10,-4.64
13270.49,-5.60
13403.20,-7.94
13537.23,-11.10
13672.60,-13.63
13809.33,-14.75
13947.42,-15.19
14086.90,-14.57
14227.77,-13.75
14370.04,-12.99
14513.74,-11.77
14658.88,-11.81
14805.47,-14.10
14953.52,-15.71
15103.06,-17.68
15254.09,-19.14
15406.63,-20.48
15560.70,-20.47
15716.30,-19.48
15873.47,-18.68
16032.20,-18.84
16192.52,-18.75
16354.45,-17.81
16517.99,-17.41
16683.17,-16.31
16850.01,-15.75
17018.51,-14.33
17188.69,-11.69
17360.58,-10.83
17534.18,-10.33
17709.53,-10.17
17886.62,-11.13
18065.49,-12.96
18246.14,-14.74
18428.60,-16.43
18612.89,-17.62
18799.02,-18.99
18987.01,-19.84
19176.88,-20.77
19368.65,-21.92
19562.33,-22.57
19757.96,-23.09
19955.54,-24.76
