frequency,raw
20.00,7.94
20.20,8.02
20.40,8.08
20.61,8.16
20.81,8.22
21.02,8.28
21.23,8.17
21.44,8.06
21.66,7.96
21.87,7.85
22.09,7.81
22.31,7.85
22.54,7.90
22.76,7.96
22.99,8.00
23.22,8.04
23.45,8.08
23.69,8.12
23.92,8.16
24.16,8.20
24.40,8.24
24.65,8.29
24.89,8.34
25.14,8.40
25.39,8.48
25.65,8.57
25.91,8.64
26.16,8.61
26.43,8.52
26.69,8.43
26.96,8.35
27.23,8.44
27.50,8.56
27.77,8.68
28.05,8.76
28.33,8.67
28.62,8.58
28.90,8.49
29.19,8.54
29.48,8.65
29.78,8.78
30.08,8.87
30.38,8.87
30.68,8.87
30.99,8.87
31.30,8.88
31.61,8.88
31.93,8.88
32.24,8.89
32.57,8.89
32.89,8.90
33.22,8.90
33.55,8.91
33.89,8.91
34.23,8.92
34.57,8.92
34.92,8.92
35.27,8.96
35.62,8.99
35.97,9.03
36.33,9.03
36.70,9.03
37.06,9.02
37.43,8.96
37.81,8.89
38.19,8.86
38.57,8.89
38.95,8.92
39.34,8.72
39.74,8.48
40.14,8.30
40.54,8.23
40.94,8.15
41.35,8.21
41.76,8.29
42.18,8.30
42.60,8.23
43.03,8.16
43.46,8.23
43.90,8.30
44.33,8.39
44.78,8.50
45.23,8.55
45.68,8.55
46.13,8.54
46.60,8.49
47.06,8.43
47.53,8.39
48.01,8.33
48.49,8.29
48.97,8.24
49.46,8.21
49.96,8.16
50.46,7.96
50.96,7.75
51.47,7.74
51.99,7.76
52.51,7.78
53.03,7.79
53.56,7.67
54.10,7.61
54.64,7.82
55.18,7.96
55.74,7.97
56.29,8.10
56.86,8.32
57.42,8.26
58.00,8.09
58.58,8.02
59.16,8.10
59.76,8.56
60.35,8.71
60.96,8.65
61.57,8.64
62.18,8.73
62.80,9.04
63.43,9.03
64.07,8.89
64.71,9.06
65.35,9.36
66.01,9.75
66.67,9.58
67.33,9.48
68.01,9.48
68.69,9.92
69.37,10.01
70.07,9.84
70.77,9.96
71.48,9.98
72.19,9.95
72.91,9.96
73.64,10.19
74.38,10.25
75.12,10.14
75.87,10.29
76.63,10.30
77.40,10.42
78.17,10.66
78.95,10.91
79.74,10.84
80.54,10.78
81.35,10.77
82.16,10.78
82.98,10.79
83.81,10.65
84.65,10.71
85.50,10.84
86.35,10.93
87.22,10.94
88.09,10.97
88.97,11.13
89.86,11.05
90.76,10.81
91.66,10.91
92.58,10.99
93.51,11.00
94.44,11.00
95.39,11.00
96.34,11.00
97.30,11.00
98.28,10.99
99.26,11.01
100.25,11.08
101.25,11.01
102.27,10.79
103.29,10.86
104.32,10.91
105.37,10.92
106.42,10.91
107.48,10.93
108.56,10.97
109.64,10.91
110.74,10.77
111.85,10.77
112.97,10.81
114.10,10.67
115.24,10.60
116.39,10.52
117.55,10.44
118.73,10.39
119.92,10.38
121.12,10.37
122.33,10.40
123.55,10.34
124.79,10.25
126.03,10.26
127.29,10.09
128.57,9.98
129.85,10.00
131.15,10.00
132.46,9.80
133.79,9.79
135.12,9.88
136.48,9.75
137.84,9.72
139.22,9.84
140.61,9.89
142.02,9.84
143.44,9.82
144.87,9.77
146.32,9.52
147.78,9.43
149.26,9.31
150.75,9.23
152.26,9.09
153.78,9.05
155.32,9.07
156.88,9.25
158.44,9.44
160.03,9.24
161.63,8.82
163.24,8.77
164.88,8.88
166.53,9.10
168.19,9.29
169.87,9.39
171.57,9.34
173.29,9.25
175.02,9.09
176.77,8.98
178.54,8.88
180.32,8.81
182.13,8.73
183.95,8.69
185.79,8.55
187.65,8.38
189.52,8.31
191.42,8.16
193.33,8.08
195.27,8.07
197.22,7.99
199.19,7.87
201.18,7.81
203.19,7.74
205.23,7.68
207.28,7.62
209.35,7.52
211.44,7.43
213.56,7.41
215.69,7.35
217.85,7.25
220.03,7.15
222.23,7.10
224.45,6.98
226.70,6.86
228.96,6.72
231.25,6.62
233.57,6.49
235.90,6.39
238.26,6.34
240.64,6.27
243.05,6.14
245.48,6.01
247.93,5.86
250.41,5.73
252.92,5.59
255.45,5.50
258.00,5.36
260.58,5.20
263.19,5.05
265.82,4.91
268.48,4.69
271.16,4.49
273.87,4.41
276.61,4.39
279.38,4.28
282.17,4.18
284.99,4.05
287.84,3.92
290.72,3.81
293.63,3.69
296.57,3.55
299.53,3.44
302.53,3.32
305.55,3.19
308.61,3.07
311.69,2.96
314.81,2.84
317.96,2.72
321.14,2.61
324.35,2.51
327.59,2.47
330.87,2.35
334.18,2.25
337.52,2.14
340.90,2.00
344.30,1.92
347.75,1.86
351.23,1.81
354.74,1.77
358.28,1.68
361.87,1.63
365.49,1.63
369.14,1.58
372.83,1.54
376.56,1.50
380.33,1.41
384.13,1.35
387.97,1.34
391.85,1.27
395.77,1.14
399.73,1.01
403.72,0.92
407.76,0.88
411.84,0.83
415.96,0.75
420.12,0.69
424.32,0.58
428.56,0.44
432.85,0.34
437.18,0.24
441.55,0.15
445.96,0.12
450.42,0.02
454.93,-0.06
459.48,-0.11
464.07,-0.20
468.71,-0.34
473.40,-0.48
478.13,-0.52
482.91,-0.60
487.74,-0.72
492.62,-0.86
497.55,-1.03
502.52,-1.17
507.55,-1.30
512.62,-1.41
517.75,-1.54
522.93,-1.62
528.16,-1.72
533.44,-1.76
538.77,-1.78
544.16,-1.76
549.60,-1.70
555.10,-1.68
