frequency,raw
20.00,-20.76
20.20,-20.60
20.40,-20.45
20.61,-20.29
20.81,-20.14
21.02,-19.98
21.23,-19.88
21.44,-19.76
21.66,-19.65
21.87,-19.54
22.09,-19.39
22.31,-19.18
22.54,-18.97
22.76,-18.76
22.99,-18.56
23.22,-18.43
23.45,-18.31
23.69,-18.18
23.92,-18.06
24.16,-17.89
24.40,-17.70
24.65,-17.51
24.89,-17.31
25.14,-17.13
25.39,-16.95
25.65,-16.77
25.91,-16.59
26.16,-16.45
26.43,-16.33
26.69,-16.20
26.96,-16.07
27.23,-15.97
27.50,-15.87
27.77,-15.77
28.05,-15.64
28.33,-15.37
28.62,-15.11
28.90,-14.84
29.19,-14.67
29.48,-14.56
29.78,-14.43
30.08,-14.31
30.38,-14.18
30.68,-14.05
30.99,-13.92
31.30,-13.78
31.61,-13.65
31.93,-13.52
32.24,-13.33
32.57,-13.14
32.89,-12.93
33.22,-12.79
33.55,-12.65
33.89,-12.53
34.23,-12.39
34.57,-12.26
34.92,-12.12
35.27,-11.93
35.62,-11.74
35.97,-11.54
36.33,-11.42
36.70,-11.30
37.06,-11.18
37.43,-11.05
37.81,-10.92
38.19,-10.83
38.57,-10.74
38.95,-10.66
39.34,-10.47
39.74,-10.26
40.14,-10.07
40.54,-9.91
40.94,-9.75
41.35,-9.61
41.76,-9.48
42.18,-9.35
42.60,-9.22
43.03,-9.09
43.46,-8.96
43.90,-8.83
44.33,-8.70
44.78,-8.57
45.23,-8.45
45.68,-8.33
46.13,-8.20
46.60,-8.08
47.06,-7.97
47.53,-7.83
48.01,-7.70
48.49,-7.71
48.97,-7.71
49.46,-7.50
49.96,-7.28
50.46,-7.16
50.96,-7.05
51.47,-6.93
51.99,-6.80
52.51,-6.73
53.03,-6.66
53.56,-6.58
54.10,-6.48
54.64,-6.33
55.18,-6.21
55.74,-6.16
56.29,-6.13
56.86,-6.13
57.42,-6.00
58.00,-5.82
58.58,-5.66
59.16,-5.52
59.76,-5.44
60.35,-5.34
60.96,-5.24
61.57,-5.17
62.18,-5.09
62.80,-4.95
63.43,-4.75
64.07,-4.54
64.71,-4.53
65.35,-4.44
66.01,-4.31
66.67,-4.30
67.33,-4.22
68.01,-4.04
68.69,-3.94
69.37,-3.90
70.07,-3.88
70.77,-3.64
71.48,-3.58
72.19,-3.54
72.91,-3.32
73.64,-3.27
74.38,-3.29
75.12,-3.32
75.87,-3.19
76.63,-3.09
77.40,-3.00
78.17,-2.92
78.95,-2.97
79.74,-2.91
80.54,-2.81
81.35,-2.71
82.16,-2.63
82.98,-2.54
83.81,-2.52
84.65,-2.51
85.50,-2.52
86.35,-2.54
87.22,-2.51
88.09,-2.37
88.97,-2.36
89.86,-2.36
90.76,-2.35
91.66,-2.34
92.58,-2.34
93.51,-2.33
94.44,-2.32
95.39,-2.30
96.34,-2.32
97.30,-2.40
98.28,-2.36
99.26,-2.30
100.25,-2.35
101.25,-2.38
102.27,-2.39
103.29,-2.41
104.32,-2.41
105.37,-2.35
106.42,-2.32
107.48,-2.32
108.56,-2.28
109.64,-2.26
110.74,-2.20
111.85,-2.19
112.97,-2.19
114.10,-2.12
115.24,-2.08
116.39,-2.04
117.55,-2.03
118.73,-2.05
119.92,-1.98
121.12,-1.82
122.33,-1.85
123.55,-1.87
124.79,-1.88
126.03,-1.91
127.29,-1.83
128.57,-1.74
129.85,-1.71
131.15,-1.74
132.46,-1.75
133.79,-1.77
135.12,-1.78
136.48,-1.72
137.84,-1.69
139.22,-1.70
140.61,-1.70
142.02,-1.70
143.44,-1.70
144.87,-1.76
146.32,-1.80
147.78,-1.80
149.26,-1.79
150.75,-1.77
152.26,-1.80
153.78,-1.81
155.32,-1.84
156.88,-1.87
158.44,-1.92
160.03,-2.01
161.63,-2.09
163.24,-2.21
164.88,-2.35
166.53,-2.49
168.19,-2.60
169.87,-2.76
171.57,-2.82
173.29,-2.86
175.02,-2.88
176.77,-2.92
178.54,-3.04
180.32,-3.08
182.13,-3.14
183.95,-3.23
185.79,-3.25
187.65,-3.25
189.52,-3.26
191.42,-3.31
193.33,-3.36
195.27,-3.42
197.22,-3.45
199.19,-3.51
201.18,-3.52
203.19,-3.55
205.23,-3.60
207.28,-3.68
209.35,-3.71
211.44,-3.70
213.56,-3.70
215.69,-3.70
217.85,-3.77
220.03,-3.79
222.23,-3.79
224.45,-3.86
226.70,-3.91
228.96,-3.99
231.25,-4.06
233.57,-4.10
235.90,-4.13
238.26,-4.18
240.64,-4.25
243.05,-4.16
245.48,-4.11
247.93,-4.13
250.41,-4.08
252.92,-3.94
255.45,-3.87
258.00,-3.85
260.58,-3.85
263.19,-3.87
265.82,-3.88
268.48,-3.89
271.16,-3.88
273.87,-3.95
276.61,-4.04
279.38,-3.93
282.17,-3.82
284.99,-3.88
287.84,-3.89
290.72,-3.74
293.63,-3.75
296.57,-3.71
299.53,-3.66
302.53,-3.53
305.55,-3.46
308.61,-3.37
311.69,-3.17
314.81,-3.11
317.96,-3.03
321.14,-2.87
324.35,-2.79
327.59,-2.74
330.87,-2.57
334.18,-2.47
337.52,-2.40
340.90,-2.32
344.30,-2.23
347.75,-2.15
351.23,-2.10
354.74,-2.02
358.28,-1.89
361.87,-1.82
365.49,-1.72
369.14,-1.63
372.83,-1.59
376.56,-1.55
380.33,-1.46
384.13,-1.44
387.97,-1.42
391.85,-1.40
395.77,-1.32
399.73,-1.28
403.72,-1.27
407.76,-1.24
411.84,-1.17
415.96,-1.14
420.12,-1.08
424.32,-1.02
428.56,-1.00
432.85,-0.93
437.18,-0.86
441.55,-0.93
445.96,-0.97
450.42,-0.92
454.93,-0.89
459.48,-0.87
464.07,-0.83
468.71,-0.82
473.40,-0.80
478.13,-0.77
482.91,-0.76
487.74,-0.75
492.62,-0.73
497.55,-0.72
502.52,-0.71
507.55,-0.69
512.62,-0.66
517.75,-0.63
522.93,-0.61
528.16,-0.58
533.44,-0.63
538.77,-0.67
544.16,-0.61
549.60,-0.58
555.10,-0.57
560.65,-0.55
566.25,-0.53
571.92,-0.50
577.64,-0.62
583.41,-0.62
589.25,-0.52
595.14,-0.43
601.09,-0.61
607.10,-0.67
613.17,-0.62
619.30,-0.59
625.50,-0.58
631.75,-0.58
638.07,-0.52
644.45,-0.64
650.89,-0.80
657.40,-0.81
663.98,-0.81
670.62,-0.65
677.32,-0.62
684.10,-0.63
690.94,-0.50
697.85,-0.44
