frequency,raw
20.00,-0.49
20.20,-0.34
20.40,-0.21
20.61,-0.06
20.81,0.08
21.02,0.22
21.23,0.29
21.44,0.37
21.66,0.45
21.87,0.52
22.09,0.60
22.31,0.66
22.54,0.74
22.76,0.81
22.99,0.88
23.22,0.98
23.45,1.08
23.69,1.18
23.92,1.28
24.16,1.36
24.40,1.44
24.65,1.53
24.89,1.62
25.14,1.70
25.39,1.78
25.65,1.87
25.91,1.95
26.16,2.01
26.43,2.06
26.69,2.11
26.96,2.17
27.23,2.23
27.50,2.29
27.77,2.35
28.05,2.41
28.33,2.45
28.62,2.49
28.90,2.53
29.19,2.60
29.48,2.68
29.78,2.76
30.08,2.84
30.38,2.87
30.68,2.90
30.99,2.93
31.30,2.99
31.61,3.04
31.93,3.09
32.24,3.12
32.57,3.13
32.89,3.16
33.22,3.20
33.55,3.26
33.89,3.31
34.23,3.34
34.57,3.34
34.92,3.34
35.27,3.36
35.62,3.37
35.97,3.38
36.33,3.44
36.70,3.50
37.06,3.55
37.43,3.55
37.81,3.55
38.19,3.53
38.57,3.52
38.95,3.50
39.34,3.55
39.74,3.60
40.14,3.64
40.54,3.64
40.94,3.64
41.35,3.65
41.76,3.65
42.18,3.65
42.60,3.66
43.03,3.66
43.46,3.67
43.90,3.67
44.33,3.67
44.78,3.67
45.23,3.67
45.68,3.67
46.13,3.67
46.60,3.67
47.06,3.66
47.53,3.66
48.01,3.65
48.49,3.65
48.97,3.65
49.46,3.58
49.96,3.51
50.46,3.49
50.96,3.48
51.47,3.47
51.99,3.46
52.51,3.44
53.03,3.42
53.56,3.34
54.10,3.27
54.64,3.23
55.18,3.19
55.74,3.15
56.29,3.13
56.86,3.09
57.42,3.08
58.00,3.08
58.58,3.02
59.16,2.96
59.76,2.91
60.35,2.86
60.96,2.81
61.57,2.72
62.18,2.64
62.80,2.60
63.43,2.56
64.07,2.52
64.71,2.42
65.35,2.34
66.01,2.26
66.67,2.23
67.33,2.18
68.01,2.12
68.69,2.00
69.37,1.88
70.07,1.78
70.77,1.67
71.48,1.61
72.19,1.56
72.91,1.51
73.64,1.45
74.38,1.43
75.12,1.44
75.87,1.45
76.63,1.47
77.40,1.48
78.17,1.46
78.95,1.38
79.74,1.32
80.54,1.21
81.35,1.06
82.16,0.87
82.98,0.69
83.81,0.51
84.65,0.30
85.50,0.07
86.35,-0.14
87.22,-0.37
88.09,-0.68
88.97,-0.88
89.86,-1.07
90.76,-1.29
91.66,-1.54
92.58,-1.73
93.51,-1.86
94.44,-1.97
95.39,-2.11
96.34,-2.26
97.30,-2.44
98.28,-2.59
99.26,-2.74
100.25,-2.89
101.25,-3.04
102.27,-3.18
103.29,-3.18
104.32,-3.19
105.37,-3.22
106.42,-3.26
107.48,-3.30
108.56,-3.28
109.64,-3.37
110.74,-3.39
111.85,-3.40
112.97,-3.32
114.10,-3.19
115.24,-3.35
116.39,-3.31
117.55,-3.13
118.73,-3.08
119.92,-3.00
121.12,-2.81
122.33,-2.83
123.55,-2.90
124.79,-2.79
126.03,-2.73
127.29,-2.69
128.57,-2.56
129.85,-2.56
131.15,-2.61
132.46,-2.37
133.79,-2.18
135.12,-2.26
136.48,-2.09
137.84,-2.03
139.22,-2.14
140.61,-2.14
142.02,-2.08
143.44,-2.32
144.87,-2.56
146.32,-2.69
147.78,-2.76
149.26,-3.05
150.75,-3.29
152.26,-3.45
153.78,-3.80
155.32,-4.25
156.88,-4.60
158.44,-4.95
160.03,-5.43
161.63,-6.03
163.24,-6.60
164.88,-7.06
166.53,-7.32
168.19,-7.34
169.87,-7.14
171.57,-6.82
173.29,-6.44
175.02,-6.04
176.77,-5.51
178.54,-5.19
180.32,-4.93
182.13,-4.64
183.95,-4.35
185.79,-4.13
187.65,-3.93
189.52,-3.70
191.42,-3.47
193.33,-3.25
195.27,-3.09
197.22,-2.91
199.19,-2.84
201.18,-2.86
203.19,-2.76
205.23,-2.60
207.28,-2.43
209.35,-2.26
211.44,-2.05
213.56,-1.83
215.69,-1.71
217.85,-1.64
220.03,-1.40
222.23,-1.34
224.45,-1.45
226.70,-1.45
228.96,-1.11
231.25,-1.12
233.57,-1.16
235.90,-1.25
238.26,-1.03
240.64,-0.87
243.05,-0.91
245.48,-0.98
247.93,-1.02
250.41,-0.93
252.92,-0.79
255.45,-0.79
258.00,-0.78
260.58,-0.77
263.19,-0.76
265.82,-0.77
268.48,-0.77
271.16,-0.76
273.87,-0.75
276.61,-0.70
279.38,-0.80
282.17,-0.86
284.99,-0.88
287.84,-0.87
290.72,-0.87
293.63,-0.86
296.57,-0.86
299.53,-0.81
302.53,-0.82
305.55,-0.91
308.61,-0.92
311.69,-0.91
314.81,-0.90
317.96,-0.87
321.14,-0.87
324.35,-0.97
327.59,-0.90
330.87,-0.87
334.18,-0.85
337.52,-0.85
340.90,-0.84
344.30,-0.83
347.75,-0.82
351.23,-0.80
354.74,-0.78
358.28,-0.76
361.87,-0.79
365.49,-0.82
369.14,-0.81
372.83,-0.78
376.56,-0.77
380.33,-0.75
384.13,-0.73
387.97,-0.72
391.85,-0.69
395.77,-0.68
399.73,-0.69
403.72,-0.74
407.76,-0.75
411.84,-0.74
415.96,-0.73
420.12,-0.72
424.32,-0.71
428.56,-0.70
432.85,-0.70
437.18,-0.68
441.55,-0.66
445.96,-0.64
450.42,-0.64
454.93,-0.68
459.48,-0.67
464.07,-0.58
468.71,-0.53
473.40,-0.49
478.13,-0.47
482.91,-0.46
487.74,-0.45
492.62,-0.43
497.55,-0.42
502.52,-0.41
507.55,-0.39
512.62,-0.36
517.75,-0.33
522.93,-0.31
528.16,-0.28
533.44,-0.24
538.77,-0.22
544.16,-0.20
549.60,-0.17
555.10,-0.17
560.65,-0.15
566.25,-0.13
571.92,-0.16
577.64,-0.17
583.41,-0.14
589.25,-0.11
595.14,-0.08
601.09,-0.05
607.10,-0.02
613.17,-0.08
619.30,-0.09
625.50,-0.08
631.75,-0.07
638.07,-0.06
644.45,-0.06
650.89,-0.06
657.40,-0.04
663.98,-0.03
670.62,-0.01
677.32,0.01
684.10,0.03
690.94,0.04
697.85,0.07
704.83,0.08
711.87,0.09
718.99,0.09
726.18,0.10
733.44,0.11
740.78,0.12
748.19,0.13
755.67,0.14
763.23,0.15
770.86,0.16
778.57,0.17
786.35,0.18
794.22,0.19
802.16,0.20
810.18,0.21
818.28,0.21
826.46,0.25
834.73,0.29
843.08,0.29
851.51,0.26
860.02,0.25
868.62,0.17
877.31,0.10
886.08,0.08
894.94,0.07
903.89,0.01
912.93,-0.10
922.06,-0.24
931.28,-0.28
940.59,-0.25
950.00,-0.21
959.50,-0.20
969.09,-0.11
978.78,-0.07
988.57,0.03
998.46,0.08
1008.44,0.12
1018.53,0.31
1028.71,0.39
1039.00,0.43
1049.39,0.47
1059.88,0.52
1070.48,0.56
1081.19,0.60
1092.00,0.65
1102.92,0.67
1113.95,0.65
1125.09,0.68
1136.34,0.69
1147.70,0.69
1159.18,0.74
1170.77,0.80
1182.48,0.73
1194.30,0.73
1206.25,0.71
1218.31,0.72
1230.49,0.73
1242.80,0.80
1255.22,0.89
1267.78,0.90
1280.45,0.90
1293.26,0.95
1306.19,0.97
1319.25,0.98
1332.45,1.02
1345.77,1.12
1359.23,1.17
1372.82,1.21
1386.55,1.25
1400.41,1.31
1414.42,1.38
1428.56,1.42
1442.85,1.42
1457.28,1.49
1471.85,1.54
1486.57,1.63
1501.43,1.73
1516.45,1.74
1531.61,1.81
1546.93,1.89
1562.40,1.95
1578.02,2.10
1593.80,2.18
1609.74,2.24
1625.84,2.30
1642.10,2.35
1658.52,2.42
1675.10,2.40
1691.85,2.36
1708.77,2.34
1725.86,2.33
1743.12,2.42
1760.55,2.53
1778.15,2.65
1795.94,2.77
1813.90,2.91
1832.03,3.06
1850.36,3.21
1868.86,3.45
1887.55,3.63
1906.42,3.75
1925.49,3.81
1944.74,3.95
1964.19,4.08
1983.83,4.27
2003.67,4.47
2023.71,4.61
2043.94,4.73
2064.38,4.84
2085.03,4.94
2105.88,5.11
2126.94,5.31
2148.20,5.47
2169.69,5.61
2191.38,5.79
2213.30,5.97
2235.43,6.17
2257.78,6.39
2280.36,6.59
2303.17,6.71
2326.20,6.88
2349.46,7.09
2372.95,7.22
2396.68,7.39
2420.65,7.62
2444.86,7.73
2469.31,7.84
2494.00,7.97
2518.94,8.10
2544.13,8.18
2569.57,8.21
2595.27,8.25
2621.22,8.26
2647.43,8.30
2673.90,8.45
2700.64,8.57
2727.65,8.68
2754.93,8.78
2782.48,8.84
2810.30,8.90
2838.40,8.91
2866.79,8.80
2895.46,8.52
2924.41,8.38
2953.65,8.10
2983.19,7.81
3013.02,7.59
3043.15,7.49
3073.58,7.43
3104.32,7.16
3135.36,7.04
3166.72,7.09
3198.38,7.13
3230.37,7.14
3262.67,7.13
3295.30,7.14
3328.25,7.20
3361.53,7.20
3395.15,7.02
3429.10,6.77
3463.39,6.83
3498.03,7.00
3533.01,7.20
3568.34,7.31
3604.02,7.54
3640.06,7.69
3676.46,7.59
3713.22,7.60
3750.36,7.83
3787.86,7.82
3825.74,7.79
3864.00,7.89
3902.64,7.92
3941.66,8.10
3981.08,8.15
4020.89,7.95
4061.10,7.82
4101.71,7.75
4142.73,7.68
4184.15,7.58
4226.00,7.49
4268.26,7.19
4310.94,6.99
4354.05,6.95
4397.59,7.09
4441.56,6.80
4485.98,6.44
4530.84,6.03
4576.15,5.57
4621.91,5.14
4668.13,4.69
4714.81,3.86
4761.96,3.43
4809.58,3.09
4857.67,2.64
4906.25,2.48
4955.31,2.68
5004.87,2.94
5054.91,3.22
5105.46,2.96
5156.52,2.97
5208.08,3.56
5260.16,4.33
5312.77,4.66
5365.89,4.52
5419.55,4.01
5473.75,3.47
5528.49,2.89
5583.77,2.14
5639.61,1.49
5696.00,1.02
5752.96,0.80
5810.49,0.33
5868.60,0.00
5927.28,0.55
5986.56,0.91
6046.42,0.50
6106.89,-0.93
6167.96,-1.61
6229.64,-1.27
6291.93,-1.29
6354.85,-1.95
6418.40,-2.18
6482.58,-2.25
6547.41,-1.93
6612.88,-1.86
6679.01,-1.84
6745.80,-1.42
6813.26,-1.30
6881.39,-1.20
6950.21,-0.68
7019.71,-0.28
7089.91,0.07
7160.81,0.51
7232.41,0.90
7304.74,1.38
7377.79,1.66
7451.56,2.00
7526.08,2.57
7601.34,3.12
7677.35,3.50
7754.13,3.99
7831.67,4.53
7909.98,4.91
7989.08,5.33
8068.98,6.10
8149.67,6.56
8231.16,7.29
8313.47,8.06
8396.61,8.59
8480.57,8.28
8565.38,6.84
8651.03,5.20
8737.54,3.30
8824.92,1.73
8913.17,0.79
9002.30,0.31
9092.32,0.40
9183.25,0.35
9275.08,0.00
9367.83,-0.55
9461.51,-0.78
9556.12,-0.74
9651.68,-1.79
9748.20,-2.75
9845.68,-1.84
9944.14,-0.75
10043.58,0.44
10144.02,1.32
10245.46,1.64
10347.91,1.85
10451.39,2.15
