frequency,raw
20.00,-33.83
20.20,-33.67
20.40,-33.53
20.61,-33.37
20.81,-33.22
21.02,-33.06
21.23,-32.87
21.44,-32.67
21.66,-32.47
21.87,-32.28
22.09,-32.13
22.31,-32.05
22.54,-31.96
22.76,-31.87
22.99,-31.79
23.22,-31.65
23.45,-31.52
23.69,-31.37
23.92,-31.23
24.16,-31.04
24.40,-30.82
24.65,-30.60
24.89,-30.36
25.14,-30.15
25.39,-29.94
25.65,-29.72
25.91,-29.52
26.16,-29.41
26.43,-29.38
26.69,-29.34
26.96,-29.29
27.23,-29.13
27.50,-28.95
27.77,-28.77
28.05,-28.57
28.33,-28.31
28.62,-28.04
28.90,-27.78
29.19,-27.57
29.48,-27.40
29.78,-27.22
30.08,-27.06
30.38,-26.96
30.68,-26.85
30.99,-26.74
31.30,-26.56
31.61,-26.37
31.93,-26.19
32.24,-26.02
32.57,-25.85
32.89,-25.68
33.22,-25.52
33.55,-25.35
33.89,-25.18
34.23,-24.97
34.57,-24.76
34.92,-24.54
35.27,-24.38
35.62,-24.25
35.97,-24.12
36.33,-23.93
36.70,-23.75
37.06,-23.54
37.43,-23.27
37.81,-23.00
38.19,-22.84
38.57,-22.78
38.95,-22.73
39.34,-22.48
39.74,-22.22
40.14,-22.00
40.54,-21.87
40.94,-21.75
41.35,-21.61
41.76,-21.48
42.18,-21.29
42.60,-20.99
43.03,-20.72
43.46,-20.63
43.90,-20.54
44.33,-20.39
44.78,-20.22
45.23,-20.03
45.68,-19.84
46.13,-19.65
46.60,-19.47
47.06,-19.28
47.53,-18.96
48.01,-18.66
48.49,-18.64
48.97,-18.62
49.46,-18.44
49.96,-18.27
50.46,-18.10
50.96,-17.93
51.47,-17.77
51.99,-17.60
52.51,-17.44
53.03,-17.27
53.56,-16.93
54.10,-16.64
54.64,-16.60
55.18,-16.47
55.74,-16.19
56.29,-16.00
56.86,-15.91
57.42,-15.83
58.00,-15.76
58.58,-15.55
59.16,-15.29
59.76,-14.94
60.35,-14.74
60.96,-14.66
61.57,-14.50
62.18,-14.28
62.80,-13.95
63.43,-13.75
64.07,-13.59
64.71,-13.18
65.35,-12.99
66.01,-12.99
66.67,-12.80
67.33,-12.55
68.01,-12.23
68.69,-12.14
69.37,-12.10
70.07,-12.08
70.77,-11.93
71.48,-11.58
72.19,-11.21
72.91,-11.02
73.64,-10.84
74.38,-10.62
75.12,-10.42
75.87,-10.42
76.63,-10.11
77.40,-9.75
78.17,-9.46
78.95,-9.51
79.74,-9.19
80.54,-8.85
81.35,-8.62
82.16,-8.53
82.98,-8.27
83.81,-7.75
84.65,-7.41
85.50,-7.26
86.35,-7.09
87.22,-6.79
88.09,-6.53
88.97,-6.40
89.86,-6.19
90.76,-5.92
91.66,-5.61
92.58,-5.39
93.51,-5.18
94.44,-4.92
95.39,-4.64
96.34,-4.38
97.30,-4.16
98.28,-3.96
99.26,-3.89
100.25,-3.76
101.25,-3.46
102.27,-3.18
103.29,-3.08
104.32,-2.92
105.37,-2.65
106.42,-2.50
107.48,-2.27
108.56,-2.14
109.64,-2.13
110.74,-2.10
111.85,-1.89
112.97,-1.61
114.10,-1.41
115.24,-1.29
116.39,-1.26
117.55,-1.27
118.73,-1.02
119.92,-0.74
121.12,-0.85
122.33,-0.84
123.55,-0.78
124.79,-0.69
126.03,-0.59
127.29,-0.47
128.57,-0.35
129.85,-0.28
131.15,-0.28
132.46,-0.17
133.79,-0.10
135.12,-0.05
136.48,-0.01
137.84,0.11
139.22,0.25
140.61,0.32
142.02,0.18
143.44,0.28
144.87,0.31
146.32,0.29
147.78,0.38
149.26,0.36
150.75,0.37
152.26,0.46
153.78,0.53
155.32,0.57
156.88,0.62
158.44,0.53
160.03,0.48
161.63,0.44
163.24,0.43
164.88,0.44
166.53,0.50
168.19,0.54
169.87,0.57
171.57,0.59
173.29,0.58
175.02,0.55
176.77,0.52
178.54,0.40
180.32,0.35
182.13,0.33
183.95,0.31
185.79,0.21
187.65,0.16
189.52,0.10
191.42,0.09
193.33,0.10
195.27,0.05
197.22,0.02
199.19,-0.02
201.18,-0.06
203.19,-0.13
205.23,-0.18
207.28,-0.23
209.35,-0.24
211.44,-0.24
213.56,-0.28
215.69,-0.33
217.85,-0.38
220.03,-0.47
222.23,-0.55
224.45,-0.60
226.70,-0.67
228.96,-0.70
231.25,-0.78
233.57,-0.91
235.90,-1.01
238.26,-1.06
240.64,-1.12
243.05,-1.17
245.48,-1.22
247.93,-1.22
250.41,-1.29
252.92,-1.31
255.45,-1.44
258.00,-1.51
260.58,-1.58
263.19,-1.58
265.82,-1.55
268.48,-1.63
271.16,-1.65
273.87,-1.65
276.61,-1.81
279.38,-1.90
282.17,-1.93
284.99,-2.00
287.84,-1.98
290.72,-1.95
293.63,-2.09
296.57,-2.09
299.53,-1.96
302.53,-2.02
305.55,-2.19
308.61,-2.19
311.69,-2.30
314.81,-2.40
317.96,-2.38
321.14,-2.35
324.35,-2.41
327.59,-2.45
330.87,-2.49
334.18,-2.50
337.52,-2.55
340.90,-2.59
344.30,-2.65
347.75,-2.60
351.23,-2.54
354.74,-2.79
358.28,-2.88
361.87,-2.80
365.49,-2.75
369.14,-2.66
372.83,-2.68
376.56,-2.90
380.33,-2.94
384.13,-2.87
387.97,-2.83
391.85,-2.81
395.77,-2.80
399.73,-2.79
403.72,-2.83
407.76,-2.93
411.84,-2.93
415.96,-2.86
420.12,-2.83
424.32,-2.82
428.56,-2.81
432.85,-2.81
437.18,-2.79
441.55,-2.77
445.96,-2.71
450.42,-2.62
454.93,-2.70
459.48,-2.76
464.07,-2.74
468.71,-2.73
473.40,-2.70
478.13,-2.68
482.91,-2.61
487.74,-2.58
492.62,-2.68
497.55,-2.73
502.52,-2.71
507.55,-2.67
512.62,-2.60
517.75,-2.63
522.93,-2.68
528.16,-2.68
533.44,-2.64
538.77,-2.65
544.16,-2.58
549.60,-2.35
555.10,-2.29
560.65,-2.04
566.25,-1.82
571.92,-1.73
577.64,-1.61
583.41,-1.49
589.25,-1.30
595.14,-1.26
601.09,-1.20
607.10,-0.74
613.17,-0.49
619.30,-0.24
625.50,0.20
631.75,0.46
638.07,0.65
644.45,0.93
650.89,0.99
657.40,0.47
663.98,0.22
670.62,0.27
677.32,0.03
684.10,-0.17
690.94,-0.26
697.85,-0.35
704.83,-0.85
711.87,-1.09
718.99,-1.24
726.18,-1.45
733.44,-1.74
740.78,-1.94
748.19,-1.88
755.67,-1.45
763.23,-1.53
770.86,-2.09
778.57,-2.10
786.35,-2.01
794.22,-1.69
802.16,-1.51
810.18,-1.60
818.28,-1.24
826.46,-1.17
834.73,-1.28
843.08,-1.30
851.51,-1.30
860.02,-1.32
868.62,-1.18
877.31,-0.88
886.08,-0.54
894.94,-0.68
903.89,-0.89
912.93,-0.90
922.06,-0.78
931.28,-0.78
940.59,-0.82
950.00,-0.75
959.50,-0.43
969.09,-0.09
978.78,-0.11
988.57,-0.08
998.46,0.05
1008.44,0.25
1018.53,0.43
1028.71,0.56
1039.00,0.65
1049.39,0.74
1059.88,0.80
1070.48,0.85
1081.19,0.89
1092.00,0.93
1102.92,1.06
1113.95,1.24
1125.09,1.13
1136.34,1.02
1147.70,0.91
1159.18,1.00
1170.77,0.91
1182.48,0.64
1194.30,0.71
1206.25,0.76
1218.31,0.33
1230.49,0.31
1242.80,0.48
1255.22,0.50
1267.78,0.52
1280.45,0.29
1293.26,0.14
1306.19,0.26
1319.25,0.31
1332.45,0.38
1345.77,0.58
1359.23,0.88
1372.82,0.94
1386.55,0.89
1400.41,0.75
1414.42,0.79
1428.56,1.09
1442.85,1.35
1457.28,1.22
1471.85,1.36
1486.57,1.44
1501.43,1.24
1516.45,1.27
1531.61,1.12
1546.93,0.78
1562.40,0.65
1578.02,0.65
1593.80,0.62
1609.74,0.56
1625.84,0.60
1642.10,0.58
1658.52,0.55
1675.10,0.51
1691.85,0.55
1708.77,0.68
1725.86,0.60
1743.12,0.38
1760.55,0.39
1778.15,0.88
1795.94,1.16
1813.90,1.32
1832.03,1.86
1850.36,2.46
1868.86,2.53
1887.55,2.29
1906.42,2.61
1925.49,3.05
1944.74,3.14
1964.19,3.02
1983.83,3.15
2003.67,3.77
2023.71,4.07
2043.94,4.04
2064.38,3.71
2085.03,3.75
2105.88,4.01
2126.94,4.07
2148.20,4.11
2169.69,4.39
2191.38,4.71
2213.30,5.01
2235.43,4.82
2257.78,4.70
2280.36,5.01
2303.17,5.23
2326.20,5.42
2349.46,5.98
2372.95,6.39
2396.68,6.39
2420.65,6.50
2444.86,6.95
2469.31,7.29
2494.00,7.52
2518.94,7.52
2544.13,7.81
2569.57,8.18
2595.27,8.35
2621.22,8.55
2647.43,8.73
2673.90,8.86
2700.64,8.96
2727.65,8.51
2754.93,8.10
2782.48,8.20
2810.30,8.21
2838.40,8.47
2866.79,9.31
2895.46,9.94
2924.41,9.68
2953.65,9.45
2983.19,9.72
3013.02,10.48
3043.15,10.15
3073.58,9.24
3104.32,9.10
3135.36,9.29
3166.72,9.14
3198.38,8.97
3230.37,9.04
3262.67,9.30
3295.30,9.37
3328.25,9.40
3361.53,9.39
3395.15,9.19
3429.10,9.13
3463.39,9.14
3498.03,9.24
3533.01,9.06
3568.34,8.87
3604.02,9.01
3640.06,9.08
3676.46,8.95
3713.22,8.76
3750.36,8.49
3787.86,8.24
3825.74,8.10
3864.00,7.95
3902.64,7.77
3941.66,7.45
3981.08,6.96
4020.89,6.72
4061.10,6.40
4101.71,5.80
4142.73,5.11
4184.15,4.79
4226.00,4.65
4268.26,5.34
4310.94,5.80
4354.05,5.91
4397.59,5.75
4441.56,5.27
4485.98,5.07
4530.84,4.87
4576.15,4.47
4621.91,3.99
4668.13,3.47
4714.81,3.05
4761.96,2.39
4809.58,2.04
4857.67,2.11
4906.25,2.27
4955.31,2.26
5004.87,2.35
5054.91,2.37
5105.46,2.75
5156.52,3.39
5208.08,3.43
5260.16,3.11
5312.77,3.12
5365.89,3.30
5419.55,3.03
5473.75,3.08
5528.49,3.09
5583.77,3.01
5639.61,2.82
5696.00,2.56
5752.96,2.02
5810.49,0.96
5868.60,-0.08
5927.28,-0.67
5986.56,-1.20
6046.42,-1.74
6106.89,-3.53
6167.96,-4.94
6229.64,-5.51
6291.93,-7.99
6354.85,-9.37
6418.40,-9.88
6482.58,-9.78
6547.41,-10.49
6612.88,-10.94
6679.01,-10.30
6745.80,-7.04
6813.26,-5.72
6881.39,-6.45
6950.21,-7.43
7019.71,-7.49
7089.91,-7.91
7160.81,-8.56
7232.41,-9.21
7304.74,-9.32
7377.79,-9.25
7451.56,-9.14
7526.08,-9.31
7601.34,-8.83
7677.35,-7.57
7754.13,-6.97
7831.67,-6.20
7909.98,-5.54
7989.08,-5.30
8068.98,-5.23
8149.67,-4.86
8231.16,-4.18
8313.47,-3.24
8396.61,-2.89
8480.57,-1.89
8565.38,-1.45
8651.03,-1.60
8737.54,-1.62
8824.92,-1.78
8913.17,-1.86
9002.30,-2.40
9092.32,-3.16
9183.25,-3.95
9275.08,-4.51
9367.83,-4.23
9461.51,-4.23
9556.12,-5.25
9651.68,-6.72
9748.20,-7.43
9845.68,-7.99
9944.14,-8.39
10043.58,-7.75
10144.02,-6.35
10245.46,-5.69
10347.91,-4.92
10451.39,-3.62
10555.91,-2.25
10661.46,-0.49
10768.08,0.99
10875.76,2.67
10984.52,3.66
11094.36,3.49
11205.31,2.92
11317.36,2.26
11430.53,1.86
11544.84,1.38
11660.29,0.87
11776.89,-0.02
11894.66,-0.30
12013.60,-0.21
12133.74,-0.68
12255.08,-1.06
12377.63,-1.82
12501.41,-2.41
12626.42,-3.59
12752.68,-4.76
12880.21,-5.86
13009.01,-6.46
13139.10,-6.44
13270.49,-5.93
13403.20,-5.78
13537.23,-5.89
13672.60,-7.92
13809.33,-9.65
13947.42,-9.37
14086.90,-8.66
14227.77,-8.24
14370.04,-7.59
14513.74,-6.87
14658.88,-6.42
14805.47,-6.47
14953.52,-6.64
15103.06,-6.52
15254.09,-7.71
15406.63,-8.48
15560.70,-9.64
15716.30,-9.87
15873.47,-9.10
16032.20,-8.52
16192.52,-8.76
16354.45,-9.49
16517.99,-9.88
16683.17,-10.01
16850.01,-9.62
17018.51,-9.13
17188.69,-8.34
17360.58,-7.99
17534.18,-7.08
17709.53,-6.89
17886.62,-7.19
18065.49,-8.65
18246.14,-10.87
18428.60,-11.81
18612.89,-14.17
18799.02,-14.62
18987.01,-16.11
19176.88,-13.84
19368.65,-10.80
19562.33,-10.85
19757.96,-19.05
19955.54,-22.46
