frequency,raw
20.00,-29.79
20.20,-29.65
20.40,-29.52
20.61,-29.38
20.81,-29.25
21.02,-29.11
21.23,-28.99
21.44,-28.87
21.66,-28.74
21.87,-28.61
22.09,-28.49
22.31,-28.36
22.54,-28.22
22.76,-28.08
22.99,-27.96
23.22,-27.82
23.45,-27.69
23.69,-27.55
23.92,-27.42
24.16,-27.28
24.40,-27.13
24.65,-26.98
24.89,-26.82
25.14,-26.70
25.39,-26.59
25.65,-26.47
25.91,-26.36
26.16,-26.23
26.43,-26.09
26.69,-25.95
26.96,-25.80
27.23,-25.67
27.50,-25.53
27.77,-25.40
28.05,-25.26
28.33,-25.13
28.62,-24.99
28.90,-24.86
29.19,-24.72
29.48,-24.60
29.78,-24.47
30.08,-24.33
30.38,-24.17
30.68,-24.01
30.99,-23.85
31.30,-23.71
31.61,-23.58
31.93,-23.45
32.24,-23.29
32.57,-23.13
32.89,-22.96
33.22,-22.82
33.55,-22.69
33.89,-22.56
34.23,-22.41
34.57,-22.26
34.92,-22.12
35.27,-21.96
35.62,-21.82
35.97,-21.67
36.33,-21.52
36.70,-21.36
37.06,-21.20
37.43,-21.04
37.81,-20.87
38.19,-20.74
38.57,-20.62
38.95,-20.49
39.34,-20.37
39.74,-20.24
40.14,-20.09
40.54,-19.92
40.94,-19.74
41.35,-19.54
41.76,-19.35
42.18,-19.19
42.60,-19.05
43.03,-18.93
43.46,-18.79
43.90,-18.66
44.33,-18.53
44.78,-18.40
45.23,-18.23
45.68,-18.02
46.13,-17.83
46.60,-17.71
47.06,-17.60
47.53,-17.46
48.01,-17.33
48.49,-17.22
48.97,-17.11
49.46,-16.95
49.96,-16.80
50.46,-16.60
50.96,-16.39
51.47,-16.25
51.99,-16.12
52.51,-16.00
53.03,-15.88
53.56,-15.72
54.10,-15.57
54.64,-15.44
55.18,-15.30
55.74,-15.13
56.29,-14.96
56.86,-14.79
57.42,-14.64
58.00,-14.51
58.58,-14.34
59.16,-14.17
59.76,-14.01
60.35,-13.84
60.96,-13.67
61.57,-13.53
62.18,-13.37
62.80,-13.19
63.43,-12.98
64.07,-12.75
64.71,-12.58
65.35,-12.41
66.01,-12.27
66.67,-12.12
67.33,-11.95
68.01,-11.74
68.69,-11.50
69.37,-11.30
70.07,-11.13
70.77,-11.01
71.48,-10.85
72.19,-10.68
72.91,-10.48
73.64,-10.28
74.38,-10.07
75.12,-9.90
75.87,-9.75
76.63,-9.58
77.40,-9.39
78.17,-9.19
78.95,-9.05
79.74,-8.92
80.54,-8.79
81.35,-8.61
82.16,-8.41
82.98,-8.24
83.81,-8.00
84.65,-7.80
85.50,-7.66
86.35,-7.54
87.22,-7.39
88.09,-7.18
88.97,-7.02
89.86,-6.89
90.76,-6.73
91.66,-6.61
92.58,-6.48
93.51,-6.30
94.44,-6.11
95.39,-5.92
96.34,-5.74
97.30,-5.61
98.28,-5.52
99.26,-5.38
100.25,-5.21
101.25,-5.07
102.27,-4.90
103.29,-4.76
104.32,-4.63
105.37,-4.48
106.42,-4.32
107.48,-4.18
108.56,-4.04
109.64,-3.87
110.74,-3.74
111.85,-3.66
112.97,-3.53
114.10,-3.39
115.24,-3.19
116.39,-3.08
117.55,-2.97
118.73,-2.85
119.92,-2.67
121.12,-2.51
122.33,-2.39
123.55,-2.28
124.79,-2.20
126.03,-2.13
127.29,-2.04
128.57,-1.93
129.85,-1.80
131.15,-1.73
132.46,-1.62
133.79,-1.52
135.12,-1.49
136.48,-1.40
137.84,-1.34
139.22,-1.29
140.61,-1.26
142.02,-1.21
143.44,-1.12
144.87,-1.07
146.32,-1.09
147.78,-1.09
149.26,-0.93
150.75,-0.82
152.26,-0.80
153.78,-0.76
155.32,-0.73
156.88,-0.69
158.44,-0.65
160.03,-0.62
161.63,-0.59
163.24,-0.56
164.88,-0.54
166.53,-0.61
168.19,-0.58
169.87,-0.56
171.57,-0.59
173.29,-0.62
175.02,-0.65
176.77,-0.68
178.54,-0.72
180.32,-0.84
182.13,-0.90
183.95,-0.89
185.79,-0.88
187.65,-0.90
189.52,-1.00
191.42,-1.09
193.33,-1.13
195.27,-1.12
197.22,-1.09
199.19,-1.13
201.18,-1.17
203.19,-1.24
205.23,-1.28
207.28,-1.28
209.35,-1.27
211.44,-1.29
213.56,-1.39
215.69,-1.40
217.85,-1.31
220.03,-1.37
222.23,-1.43
224.45,-1.45
226.70,-1.42
228.96,-1.42
231.25,-1.51
233.57,-1.57
235.90,-1.68
238.26,-1.67
240.64,-1.61
243.05,-1.60
245.48,-1.67
247.93,-1.70
250.41,-1.69
252.92,-1.67
255.45,-1.66
258.00,-1.65
260.58,-1.68
263.19,-1.73
265.82,-1.75
268.48,-1.75
271.16,-1.78
273.87,-1.91
276.61,-1.95
279.38,-1.96
282.17,-1.96
284.99,-1.96
287.84,-1.95
290.72,-1.95
293.63,-2.03
296.57,-2.08
299.53,-2.13
302.53,-2.13
305.55,-2.11
308.61,-2.10
311.69,-2.09
314.81,-2.08
317.96,-2.07
321.14,-2.11
324.35,-2.16
327.59,-2.24
330.87,-2.25
334.18,-2.24
337.52,-2.23
340.90,-2.22
344.30,-2.23
347.75,-2.28
351.23,-2.28
354.74,-2.27
358.28,-2.24
361.87,-2.23
365.49,-2.21
369.14,-2.27
372.83,-2.27
376.56,-2.25
380.33,-2.23
384.13,-2.18
387.97,-2.19
391.85,-2.18
395.77,-2.17
399.73,-2.16
403.72,-2.15
407.76,-2.13
411.84,-2.12
415.96,-2.12
420.12,-2.11
424.32,-2.09
428.56,-2.08
432.85,-2.08
437.18,-2.10
441.55,-2.06
445.96,-1.99
450.42,-1.99
454.93,-1.97
459.48,-1.95
464.07,-1.96
468.71,-2.04
473.40,-2.00
478.13,-1.96
482.91,-1.94
487.74,-1.97
492.62,-1.96
497.55,-1.73
502.52,-1.64
507.55,-1.65
512.62,-1.69
517.75,-1.63
522.93,-1.51
528.16,-1.48
533.44,-1.44
538.77,-1.33
544.16,-1.28
549.60,-1.24
555.10,-1.13
560.65,-1.09
566.25,-1.09
571.92,-1.04
577.64,-1.04
583.41,-1.07
589.25,-1.05
595.14,-0.97
601.09,-0.90
607.10,-1.01
613.17,-1.10
619.30,-1.22
625.50,-1.19
631.75,-1.07
638.07,-1.23
644.45,-1.27
650.89,-1.06
657.40,-0.99
663.98,-1.17
670.62,-1.19
677.32,-1.19
684.10,-1.28
690.94,-1.21
697.85,-0.82
704.83,-0.89
711.87,-1.04
718.99,-0.98
726.18,-0.86
733.44,-0.69
740.78,-0.74
748.19,-0.75
755.67,-0.65
763.23,-0.69
770.86,-0.64
778.57,-0.53
786.35,-0.50
794.22,-0.51
802.16,-0.53
810.18,-0.49
818.28,-0.39
826.46,-0.33
834.73,-0.29
843.08,-0.18
851.51,-0.14
860.02,0.00
868.62,0.10
877.31,0.02
886.08,0.01
894.94,0.01
903.89,-0.18
912.93,-0.03
922.06,-0.03
931.28,-0.08
940.59,-0.00
950.00,-0.14
959.50,-0.17
969.09,-0.08
978.78,-0.10
988.57,-0.06
998.46,0.06
1008.44,0.13
1018.53,0.13
1028.71,0.08
1039.00,-0.01
1049.39,-0.00
1059.88,-0.03
1070.48,-0.08
1081.19,-0.08
1092.00,0.02
1102.92,0.10
1113.95,0.17
1125.09,0.29
1136.34,0.40
1147.70,0.50
1159.18,0.56
1170.77,0.62
1182.48,0.75
1194.30,0.88
1206.25,0.97
1218.31,1.11
1230.49,1.29
1242.80,1.42
1255.22,1.55
1267.78,1.68
1280.45,1.81
1293.26,1.96
1306.19,2.16
1319.25,2.28
1332.45,2.43
1345.77,2.59
1359.23,2.75
1372.82,2.92
1386.55,3.07
1400.41,3.23
1414.42,3.39
1428.56,3.61
1442.85,3.82
1457.28,4.06
1471.85,4.28
1486.57,4.47
1501.43,4.62
1516.45,4.67
1531.61,4.67
1546.93,4.73
1562.40,4.83
1578.02,5.06
1593.80,5.20
1609.74,5.35
1625.84,5.44
1642.10,5.50
1658.52,5.58
1675.10,5.68
1691.85,5.79
1708.77,5.84
1725.86,5.83
1743.12,5.80
1760.55,5.77
1778.15,5.68
1795.94,5.55
1813.90,5.49
1832.03,5.42
1850.36,5.30
1868.86,5.20
1887.55,5.06
1906.42,4.76
1925.49,4.57
1944.74,4.39
1964.19,4.20
1983.83,3.91
2003.67,3.73
2023.71,3.66
2043.94,3.47
2064.38,3.38
2085.03,3.32
2105.88,3.10
2126.94,3.06
2148.20,3.14
2169.69,3.27
2191.38,3.47
2213.30,3.72
2235.43,3.88
2257.78,3.87
2280.36,3.89
2303.17,3.90
2326.20,3.85
2349.46,3.85
2372.95,3.82
2396.68,3.71
2420.65,3.59
2444.86,3.60
2469.31,3.49
2494.00,3.45
2518.94,3.47
2544.13,3.56
2569.57,3.42
2595.27,3.36
2621.22,3.24
2647.43,3.18
2673.90,3.22
2700.64,3.34
2727.65,3.56
2754.93,3.75
2782.48,3.96
2810.30,4.17
2838.40,4.23
2866.79,4.18
2895.46,4.20
2924.41,3.96
2953.65,3.83
2983.19,3.82
3013.02,3.89
3043.15,4.02
3073.58,4.03
3104.32,3.99
3135.36,4.01
3166.72,4.14
3198.38,4.04
3230.37,3.89
3262.67,3.98
3295.30,4.08
3328.25,4.11
3361.53,4.37
3395.15,4.54
3429.10,4.69
3463.39,4.84
3498.03,4.89
3533.01,4.98
3568.34,5.16
3604.02,5.27
3640.06,5.36
3676.46,5.45
3713.22,5.36
3750.36,5.25
3787.86,5.21
3825.74,5.16
3864.00,5.12
3902.64,5.12
3941.66,5.10
3981.08,5.07
4020.89,5.01
4061.10,5.03
4101.71,4.96
4142.73,4.71
4184.15,4.37
4226.00,3.93
4268.26,3.61
4310.94,3.58
4354.05,3.61
4397.59,3.88
4441.56,4.29
4485.98,4.43
4530.84,4.34
4576.15,4.35
4621.91,4.55
4668.13,4.43
4714.81,4.53
4761.96,4.58
4809.58,5.00
4857.67,5.12
4906.25,5.36
4955.31,5.81
5004.87,6.04
5054.91,6.23
5105.46,6.24
5156.52,6.37
5208.08,6.75
5260.16,7.08
5312.77,7.08
5365.89,6.48
5419.55,6.22
5473.75,6.24
5528.49,6.36
5583.77,6.31
5639.61,6.31
5696.00,6.39
5752.96,6.45
5810.49,6.52
5868.60,6.69
5927.28,6.73
5986.56,6.69
6046.42,6.63
6106.89,6.40
6167.96,5.94
6229.64,5.60
6291.93,5.29
6354.85,4.95
6418.40,4.78
6482.58,4.77
6547.41,4.44
6612.88,3.83
6679.01,3.03
6745.80,2.55
6813.26,2.19
6881.39,1.91
6950.21,1.59
7019.71,1.34
7089.91,1.07
7160.81,0.79
7232.41,0.39
7304.74,0.07
7377.79,-0.59
7451.56,-0.93
7526.08,-1.15
7601.34,-1.59
7677.35,-2.09
7754.13,-2.10
7831.67,-1.88
7909.98,-1.63
7989.08,-2.05
8068.98,-3.62
8149.67,-4.24
8231.16,-3.61
8313.47,-3.18
8396.61,-3.05
8480.57,-2.94
8565.38,-3.18
8651.03,-3.67
8737.54,-4.02
8824.92,-4.38
8913.17,-4.79
9002.30,-4.83
9092.32,-4.54
9183.25,-4.52
9275.08,-4.78
9367.83,-5.41
9461.51,-5.91
9556.12,-5.98
9651.68,-5.84
9748.20,-5.76
9845.68,-6.08
9944.14,-6.01
10043.58,-4.96
10144.02,-3.64
10245.46,-2.58
10347.91,-2.27
10451.39,-2.77
10555.91,-3.01
10661.46,-4.31
10768.08,-6.01
10875.76,-6.86
10984.52,-7.39
11094.36,-6.14
11205.31,-5.38
11317.36,-5.60
11430.53,-6.44
11544.84,-7.16
11660.29,-7.52
11776.89,-7.93
11894.66,-8.67
12013.60,-9.24
12133.74,-9.58
12255.08,-9.98
12377.63,-10.61
12501.41,-10.90
12626.42,-10.99
12752.68,-10.11
12880.21,-9.05
13009.01,-8.09
13139.10,-7.57
13270.49,-6.82
13403.20,-6.37
13537.23,-6.01
13672.60,-6.32
13809.33,-7.14
13947.42,-7.69
14086.90,-7.20
14227.77,-6.65
14370.04,-6.23
14513.74,-5.90
14658.88,-5.65
14805.47,-5.66
14953.52,-6.27
15103.06,-7.75
15254.09,-8.97
15406.63,-10.16
15560.70,-10.70
15716.30,-10.93
15873.47,-11.03
16032.20,-10.91
16192.52,-10.81
16354.45,-9.59
16517.99,-8.09
16683.17,-7.71
16850.01,-7.69
17018.51,-8.32
17188.69,-8.21
17360.58,-7.79
17534.18,-7.13
17709.53,-7.07
17886.62,-7.71
18065.49,-8.39
18246.14,-9.05
18428.60,-10.09
18612.89,-11.16
18799.02,-13.04
18987.01,-15.09
19176.88,-16.10
19368.65,-16.54
19562.33,-16.16
19757.96,-14.56
19955.54,-14.88
