frequency,raw
20.00,-8.07
20.20,-7.95
20.40,-7.84
20.61,-7.72
20.81,-7.61
21.02,-7.49
21.23,-7.37
21.44,-7.25
21.66,-7.12
21.87,-6.99
22.09,-6.87
22.31,-6.74
22.54,-6.60
22.76,-6.46
22.99,-6.33
23.22,-6.19
23.45,-6.07
23.69,-5.94
23.92,-5.82
24.16,-5.71
24.40,-5.60
24.65,-5.50
24.89,-5.38
25.14,-5.26
25.39,-5.12
25.65,-4.98
25.91,-4.84
26.16,-4.74
26.43,-4.66
26.69,-4.57
26.96,-4.48
27.23,-4.36
27.50,-4.22
27.77,-4.08
28.05,-3.96
28.33,-3.88
28.62,-3.80
28.90,-3.73
29.19,-3.62
29.48,-3.50
29.78,-3.37
30.08,-3.25
30.38,-3.17
30.68,-3.09
30.99,-3.00
31.30,-2.88
31.61,-2.77
31.93,-2.66
32.24,-2.57
32.57,-2.51
32.89,-2.44
33.22,-2.37
33.55,-2.28
33.89,-2.21
34.23,-2.12
34.57,-2.04
34.92,-1.96
35.27,-1.85
35.62,-1.74
35.97,-1.64
36.33,-1.58
36.70,-1.52
37.06,-1.47
37.43,-1.40
37.81,-1.33
38.19,-1.30
38.57,-1.28
38.95,-1.25
39.34,-1.19
39.74,-1.12
40.14,-1.05
40.54,-0.97
40.94,-0.89
41.35,-0.80
41.76,-0.72
42.18,-0.65
42.60,-0.59
43.03,-0.54
43.46,-0.47
43.90,-0.42
44.33,-0.36
44.78,-0.29
45.23,-0.22
45.68,-0.17
46.13,-0.12
46.60,-0.08
47.06,-0.05
47.53,-0.06
48.01,-0.07
48.49,0.02
48.97,0.10
49.46,0.10
49.96,0.08
50.46,0.07
50.96,0.06
51.47,0.14
51.99,0.24
52.51,0.23
53.03,0.22
53.56,0.27
54.10,0.32
54.64,0.36
55.18,0.39
55.74,0.38
56.29,0.38
56.86,0.37
57.42,0.37
58.00,0.37
58.58,0.49
59.16,0.57
59.76,0.58
60.35,0.59
60.96,0.60
61.57,0.61
62.18,0.63
62.80,0.65
63.43,0.64
64.07,0.61
64.71,0.63
65.35,0.62
66.01,0.57
66.67,0.52
67.33,0.48
68.01,0.46
68.69,0.41
69.37,0.37
70.07,0.36
70.77,0.36
71.48,0.30
72.19,0.24
72.91,0.25
73.64,0.27
74.38,0.32
75.12,0.38
75.87,0.43
76.63,0.46
77.40,0.48
78.17,0.50
78.95,0.51
79.74,0.43
80.54,0.42
81.35,0.46
82.16,0.48
82.98,0.52
83.81,0.49
84.65,0.43
85.50,0.42
86.35,0.40
87.22,0.31
88.09,0.23
88.97,0.27
89.86,0.18
90.76,0.09
91.66,0.05
92.58,-0.00
93.51,-0.01
94.44,-0.02
95.39,-0.06
96.34,-0.11
97.30,-0.11
98.28,-0.12
99.26,-0.12
100.25,-0.10
101.25,-0.06
102.27,-0.05
103.29,-0.01
104.32,0.03
105.37,0.07
106.42,0.10
107.48,0.12
108.56,0.16
109.64,0.16
110.74,0.14
111.85,0.12
112.97,0.12
114.10,0.11
115.24,0.10
116.39,0.11
117.55,0.15
118.73,0.26
119.92,0.27
121.12,0.27
122.33,0.26
123.55,0.25
124.79,0.23
126.03,0.22
127.29,0.21
128.57,0.19
129.85,0.12
131.15,0.07
132.46,0.06
133.79,0.05
135.12,0.04
136.48,0.03
137.84,0.02
139.22,0.01
140.61,0.01
142.02,0.01
143.44,0.01
144.87,0.01
146.32,0.01
147.78,0.01
149.26,0.02
150.75,0.04
152.26,0.05
153.78,0.02
155.32,0.04
156.88,0.11
158.44,0.11
160.03,-0.02
161.63,-0.02
163.24,-0.00
164.88,-0.05
166.53,-0.10
168.19,-0.09
169.87,-0.08
171.57,-0.15
173.29,-0.29
175.02,-0.35
176.77,-0.40
178.54,-0.49
180.32,-0.65
182.13,-0.79
183.95,-0.87
185.79,-1.03
187.65,-1.13
189.52,-1.27
191.42,-1.37
193.33,-1.47
195.27,-1.59
197.22,-1.66
199.19,-1.73
201.18,-1.79
203.19,-1.81
205.23,-1.76
207.28,-1.67
209.35,-1.56
211.44,-1.49
213.56,-1.40
215.69,-1.30
217.85,-1.28
220.03,-1.21
222.23,-1.15
224.45,-1.09
226.70,-1.06
228.96,-0.96
231.25,-0.95
233.57,-0.96
235.90,-0.96
238.26,-0.95
240.64,-0.95
243.05,-0.95
245.48,-0.94
247.93,-0.92
250.41,-0.91
252.92,-0.89
255.45,-0.88
258.00,-0.88
260.58,-1.00
263.19,-1.07
265.82,-1.07
268.48,-1.07
271.16,-1.06
273.87,-1.07
276.61,-1.07
279.38,-1.08
282.17,-1.08
284.99,-1.08
287.84,-1.07
290.72,-1.05
293.63,-1.17
296.57,-1.27
299.53,-1.26
302.53,-1.24
305.55,-1.23
308.61,-1.28
311.69,-1.32
314.81,-1.38
317.96,-1.39
321.14,-1.38
324.35,-1.38
327.59,-1.37
330.87,-1.35
334.18,-1.34
337.52,-1.41
340.90,-1.43
344.30,-1.43
347.75,-1.42
351.23,-1.41
354.74,-1.47
358.28,-1.46
361.87,-1.49
365.49,-1.52
369.14,-1.52
372.83,-1.43
376.56,-1.37
380.33,-1.35
384.13,-1.34
387.97,-1.32
391.85,-1.30
395.77,-1.33
399.73,-1.37
403.72,-1.37
407.76,-1.35
411.84,-1.35
415.96,-1.34
420.12,-1.32
424.32,-1.31
428.56,-1.36
432.85,-1.39
437.18,-1.38
441.55,-1.37
445.96,-1.34
450.42,-1.32
