frequency,raw
20.00,-6.38
20.20,-6.25
20.40,-6.12
20.61,-5.99
20.81,-5.86
21.02,-5.73
21.23,-5.61
21.44,-5.49
21.66,-5.36
21.87,-5.23
22.09,-5.10
22.31,-4.97
22.54,-4.83
22.76,-4.69
22.99,-4.56
23.22,-4.48
23.45,-4.43
23.69,-4.36
23.92,-4.30
24.16,-4.15
24.40,-3.96
24.65,-3.76
24.89,-3.56
25.14,-3.42
25.39,-3.33
25.65,-3.22
25.91,-3.13
26.16,-3.01
26.43,-2.88
26.69,-2.76
26.96,-2.62
27.23,-2.49
27.50,-2.35
27.77,-2.21
28.05,-2.08
28.33,-1.97
28.62,-1.85
28.90,-1.74
29.19,-1.64
29.48,-1.56
29.78,-1.48
30.08,-1.38
30.38,-1.28
30.68,-1.18
30.99,-1.08
31.30,-0.96
31.61,-0.84
31.93,-0.72
32.24,-0.60
32.57,-0.49
32.89,-0.37
33.22,-0.26
33.55,-0.14
33.89,-0.03
34.23,0.08
34.57,0.18
34.92,0.28
35.27,0.42
35.62,0.56
35.97,0.70
36.33,0.77
36.70,0.83
37.06,0.89
37.43,0.98
37.81,1.06
38.19,1.15
38.57,1.26
38.95,1.38
39.34,1.48
39.74,1.58
40.14,1.66
40.54,1.71
40.94,1.76
41.35,1.92
41.76,2.09
42.18,2.19
42.60,2.22
43.03,2.25
43.46,2.42
43.90,2.57
44.33,2.63
44.78,2.65
45.23,2.68
45.68,2.72
46.13,2.77
46.60,2.85
47.06,2.92
47.53,3.07
48.01,3.21
48.49,3.26
48.97,3.31
49.46,3.32
49.96,3.32
50.46,3.38
50.96,3.45
51.47,3.49
51.99,3.53
52.51,3.60
53.03,3.66
53.56,3.72
54.10,3.78
54.64,3.84
55.18,3.90
55.74,3.94
56.29,4.00
56.86,4.05
57.42,4.10
58.00,4.16
58.58,4.21
59.16,4.27
59.76,4.34
60.35,4.37
60.96,4.39
61.57,4.46
62.18,4.54
62.80,4.62
63.43,4.67
64.07,4.70
64.71,4.72
65.35,4.79
66.01,4.87
66.67,4.96
67.33,5.00
68.01,5.03
68.69,5.03
69.37,5.08
70.07,5.16
70.77,5.16
71.48,5.17
72.19,5.18
72.91,5.19
73.64,5.20
74.38,5.21
75.12,5.21
75.87,5.24
76.63,5.26
77.40,5.28
78.17,5.30
78.95,5.31
79.74,5.33
80.54,5.34
81.35,5.39
82.16,5.47
82.98,5.48
83.81,5.49
84.65,5.55
85.50,5.60
86.35,5.63
87.22,5.66
88.09,5.76
88.97,5.86
89.86,5.86
90.76,5.87
91.66,6.01
92.58,6.08
93.51,6.10
94.44,6.14
95.39,6.20
96.34,6.26
97.30,6.30
98.28,6.29
99.26,6.31
100.25,6.35
101.25,6.38
102.27,6.46
103.29,6.51
104.32,6.53
105.37,6.52
106.42,6.54
107.48,6.59
108.56,6.64
109.64,6.67
110.74,6.65
111.85,6.63
112.97,6.63
114.10,6.62
115.24,6.62
116.39,6.68
117.55,6.73
118.73,6.79
119.92,6.78
121.12,6.78
122.33,6.77
123.55,6.79
124.79,6.83
126.03,6.83
127.29,6.88
128.57,6.90
129.85,6.89
131.15,6.88
132.46,6.87
133.79,6.86
135.12,6.85
136.48,6.84
137.84,6.83
139.22,6.83
140.61,6.83
142.02,6.82
143.44,6.82
144.87,6.82
146.32,6.82
147.78,6.83
149.26,6.97
150.75,7.06
152.26,7.09
153.78,7.13
155.32,7.16
156.88,7.20
158.44,7.24
160.03,7.27
161.63,7.15
163.24,7.05
164.88,6.97
166.53,6.92
168.19,6.92
169.87,6.92
171.57,7.00
173.29,7.05
175.02,7.05
176.77,7.17
178.54,7.17
180.32,7.15
182.13,7.18
183.95,7.23
185.79,7.28
187.65,7.28
189.52,7.28
191.42,7.28
193.33,7.31
195.27,7.36
197.22,7.40
199.19,7.40
201.18,7.44
203.19,7.50
205.23,7.58
207.28,7.62
209.35,7.63
211.44,7.71
213.56,7.74
215.69,7.74
217.85,7.78
220.03,7.82
222.23,7.85
224.45,7.85
226.70,7.85
228.96,7.91
231.25,7.95
233.57,7.96
235.90,7.96
238.26,7.97
240.64,7.98
243.05,7.98
245.48,8.02
247.93,8.11
250.41,8.12
252.92,8.13
255.45,8.22
258.00,8.24
260.58,8.27
263.19,8.34
265.82,8.36
268.48,8.36
271.16,8.36
273.87,8.36
276.61,8.36
279.38,8.35
282.17,8.37
284.99,8.42
287.84,8.46
290.72,8.46
293.63,8.47
296.57,8.47
299.53,8.39
302.53,8.38
305.55,8.36
308.61,8.31
311.69,8.32
314.81,8.32
317.96,8.34
321.14,8.34
324.35,8.27
327.59,8.22
330.87,8.17
334.18,8.09
337.52,8.08
340.90,8.02
344.30,7.99
347.75,8.00
351.23,7.98
354.74,7.89
358.28,7.77
361.87,7.70
365.49,7.66
369.14,7.70
372.83,7.67
376.56,7.57
380.33,7.55
384.13,7.47
387.97,7.24
391.85,7.13
395.77,7.03
399.73,6.95
403.72,6.88
407.76,6.78
411.84,6.54
415.96,6.27
420.12,6.10
424.32,5.98
428.56,5.77
432.85,5.55
437.18,5.30
441.55,5.07
445.96,4.94
450.42,4.75
454.93,4.46
459.48,4.25
464.07,4.01
468.71,3.74
473.40,3.63
478.13,3.46
482.91,3.16
487.74,2.88
492.62,2.64
497.55,2.33
502.52,2.03
507.55,1.89
512.62,1.81
517.75,1.63
522.93,1.36
528.16,1.16
533.44,0.92
538.77,0.65
544.16,0.45
549.60,0.23
555.10,-0.07
560.65,-0.27
566.25,-0.47
571.92,-0.76
577.64,-1.04
583.41,-1.25
589.25,-1.49
595.14,-1.68
601.09,-1.81
607.10,-1.96
613.17,-2.30
619.30,-2.52
625.50,-2.71
631.75,-2.86
638.07,-2.99
644.45,-3.13
650.89,-3.36
657.40,-3.48
663.98,-3.61
670.62,-3.80
677.32,-3.92
684.10,-4.06
690.94,-4.21
697.85,-4.33
704.83,-4.45
711.87,-4.70
718.99,-4.67
726.18,-4.55
733.44,-4.64
740.78,-4.82
748.19,-4.75
755.67,-4.63
763.23,-4.68
770.86,-4.63
778.57,-4.38
786.35,-4.27
794.22,-4.26
802.16,-4.16
810.18,-4.01
818.28,-3.87
826.46,-3.76
834.73,-3.63
843.08,-3.46
851.51,-3.29
860.02,-3.00
868.62,-2.79
877.31,-2.69
886.08,-2.56
894.94,-2.34
903.89,-2.18
912.93,-1.97
922.06,-1.79
931.28,-1.61
940.59,-1.38
950.00,-1.19
959.50,-0.98
969.09,-0.72
978.78,-0.51
988.57,-0.26
998.46,0.03
1008.44,0.36
1018.53,0.62
1028.71,0.79
1039.00,1.04
1049.39,1.32
1059.88,1.58
1070.48,1.81
1081.19,1.84
1092.00,1.92
1102.92,2.10
1113.95,1.98
1125.09,1.82
1136.34,1.81
1147.70,2.01
1159.18,1.85
1170.77,1.79
1182.48,2.22
1194.30,2.79
1206.25,2.81
1218.31,2.61
1230.49,2.66
1242.80,2.48
1255.22,2.49
1267.78,3.00
1280.45,3.27
1293.26,3.53
1306.19,4.04
1319.25,4.49
1332.45,4.61
1345.77,4.39
1359.23,3.90
1372.82,3.64
1386.55,3.71
1400.41,3.57
1414.42,3.75
1428.56,4.07
1442.85,4.22
1457.28,4.40
1471.85,4.38
1486.57,4.40
1501.43,4.75
1516.45,5.17
1531.61,5.48
1546.93,5.65
1562.40,5.85
1578.02,5.85
1593.80,5.63
1609.74,5.36
1625.84,5.13
1642.10,4.88
1658.52,4.54
1675.10,4.29
1691.85,4.10
1708.77,3.83
1725.86,3.49
1743.12,3.31
1760.55,3.15
1778.15,2.94
1795.94,2.79
1813.90,2.72
1832.03,2.68
1850.36,2.63
1868.86,2.60
1887.55,2.61
1906.42,2.66
1925.49,2.67
1944.74,2.68
1964.19,2.75
1983.83,2.85
2003.67,2.96
2023.71,3.07
2043.94,3.21
2064.38,3.40
2085.03,3.67
2105.88,3.92
2126.94,4.21
2148.20,4.40
2169.69,4.67
2191.38,5.11
2213.30,5.46
2235.43,5.78
2257.78,6.11
2280.36,6.43
2303.17,6.73
2326.20,6.92
2349.46,7.10
2372.95,7.36
2396.68,7.63
2420.65,7.79
2444.86,7.85
2469.31,8.19
2494.00,8.75
2518.94,9.04
2544.13,9.01
2569.57,9.10
2595.27,9.23
2621.22,9.64
2647.43,9.74
2673.90,9.40
2700.64,9.70
2727.65,10.04
2754.93,9.95
2782.48,10.05
2810.30,10.27
2838.40,10.29
2866.79,10.10
2895.46,9.85
2924.41,9.70
2953.65,9.68
2983.19,9.48
3013.02,9.25
3043.15,8.96
3073.58,8.71
3104.32,8.40
3135.36,8.17
3166.72,8.09
3198.38,7.88
3230.37,7.53
3262.67,7.08
3295.30,6.79
3328.25,6.74
3361.53,6.53
3395.15,6.19
3429.10,5.83
3463.39,5.94
3498.03,5.98
3533.01,5.96
3568.34,6.56
3604.02,6.50
3640.06,6.10
3676.46,6.06
3713.22,6.28
3750.36,6.22
3787.86,6.12
3825.74,5.94
3864.00,5.79
3902.64,5.52
3941.66,5.28
3981.08,4.92
4020.89,4.78
4061.10,4.71
