frequency,raw
20.00,8.57
20.20,8.60
20.40,8.63
20.61,8.66
20.81,8.68
21.02,8.72
21.23,8.76
21.44,8.81
21.66,8.87
21.87,8.92
22.09,8.97
22.31,9.01
22.54,9.06
22.76,9.12
22.99,9.16
23.22,9.17
23.45,9.17
23.69,9.18
23.92,9.18
24.16,9.21
24.40,9.26
24.65,9.30
24.89,9.36
25.14,9.42
25.39,9.48
25.65,9.56
25.91,9.63
26.16,9.63
26.43,9.61
26.69,9.59
26.96,9.57
27.23,9.64
27.50,9.72
27.77,9.80
28.05,9.86
28.33,9.83
28.62,9.81
28.90,9.79
29.19,9.83
29.48,9.91
29.78,9.99
30.08,10.05
30.38,10.03
30.68,10.02
30.99,10.01
31.30,10.01
31.61,10.00
31.93,9.98
32.24,10.06
32.57,10.15
32.89,10.25
33.22,10.27
33.55,10.27
33.89,10.25
34.23,10.25
34.57,10.24
34.92,10.23
35.27,10.31
35.62,10.41
35.97,10.50
36.33,10.50
36.70,10.48
37.06,10.47
37.43,10.47
37.81,10.47
38.19,10.46
38.57,10.46
38.95,10.46
39.34,10.45
39.74,10.44
40.14,10.47
40.54,10.58
40.94,10.68
41.35,10.70
41.76,10.68
42.18,10.67
42.60,10.68
43.03,10.68
43.46,10.69
43.90,10.69
44.33,10.69
44.78,10.69
45.23,10.69
45.68,10.69
46.13,10.69
46.60,10.69
47.06,10.68
47.53,10.68
48.01,10.67
48.49,10.64
48.97,10.61
49.46,10.73
49.96,10.84
50.46,10.83
50.96,10.80
51.47,10.79
51.99,10.78
52.51,10.77
53.03,10.76
53.56,10.75
54.10,10.74
54.64,10.73
55.18,10.72
55.74,10.71
56.29,10.71
56.86,10.70
57.42,10.68
58.00,10.66
58.58,10.74
59.16,10.80
59.76,10.81
60.35,10.82
60.96,10.83
61.57,10.84
62.18,10.86
62.80,10.88
63.43,10.91
64.07,10.94
64.71,10.96
65.35,10.98
66.01,10.99
66.67,11.09
67.33,11.14
68.01,11.16
68.69,11.17
69.37,11.18
70.07,11.20
70.77,11.20
71.48,11.21
72.19,11.22
72.91,11.23
73.64,11.24
74.38,11.26
75.12,11.26
75.87,11.18
76.63,11.19
77.40,11.22
78.17,11.24
78.95,11.25
79.74,11.27
80.54,11.28
81.35,11.30
82.16,11.31
82.98,11.32
83.81,11.33
84.65,11.34
85.50,11.35
86.35,11.36
87.22,11.37
88.09,11.38
88.97,11.39
89.86,11.40
90.76,11.41
91.66,11.42
92.58,11.45
93.51,11.53
94.44,11.56
95.39,11.54
96.34,11.54
97.30,11.55
98.28,11.60
99.26,11.66
100.25,11.61
101.25,11.58
102.27,11.60
103.29,11.69
104.32,11.74
105.37,11.69
106.42,11.64
107.48,11.62
108.56,11.61
109.64,11.57
110.74,11.51
111.85,11.57
112.97,11.66
114.10,11.65
115.24,11.67
116.39,11.77
117.55,11.81
118.73,11.75
119.92,11.70
121.12,11.79
122.33,11.73
123.55,11.73
124.79,11.73
126.03,11.58
127.29,11.55
128.57,11.53
129.85,11.52
131.15,11.51
132.46,11.50
133.79,11.49
135.12,11.48
136.48,11.47
137.84,11.46
139.22,11.46
140.61,11.46
142.02,11.49
143.44,11.50
144.87,11.41
146.32,11.37
147.78,11.36
149.26,11.37
150.75,11.41
152.26,11.41
153.78,11.38
155.32,11.31
156.88,11.31
158.44,11.38
160.03,11.33
161.63,11.29
163.24,11.23
164.88,11.13
166.53,11.05
168.19,10.99
169.87,10.94
171.57,10.91
173.29,10.94
175.02,10.97
176.77,10.94
178.54,10.90
180.32,10.87
182.13,10.85
183.95,10.83
185.79,10.79
187.65,10.71
189.52,10.70
191.42,10.63
193.33,10.54
195.27,10.51
197.22,10.51
199.19,10.46
201.18,10.43
203.19,10.38
205.23,10.31
207.28,10.26
209.35,10.20
211.44,10.14
213.56,10.08
215.69,10.05
217.85,10.06
220.03,9.98
222.23,9.89
224.45,9.79
226.70,9.76
228.96,9.72
231.25,9.68
233.57,9.61
235.90,9.49
238.26,9.43
240.64,9.39
243.05,9.34
245.48,9.23
247.93,9.21
250.41,9.19
252.92,9.13
255.45,9.00
258.00,8.95
260.58,8.97
263.19,8.86
265.82,8.74
268.48,8.62
271.16,8.57
273.87,8.55
276.61,8.55
279.38,8.40
282.17,8.35
284.99,8.24
287.84,8.06
290.72,8.06
293.63,7.98
296.57,7.93
299.53,7.83
302.53,7.66
305.55,7.65
308.61,7.71
311.69,7.58
314.81,7.43
317.96,7.33
321.14,7.39
324.35,7.54
327.59,7.49
330.87,7.39
334.18,7.29
337.52,7.25
340.90,7.05
344.30,7.00
347.75,7.15
351.23,7.21
354.74,7.09
358.28,7.01
361.87,6.97
365.49,6.95
369.14,6.92
372.83,6.83
376.56,6.86
380.33,6.70
384.13,6.55
387.97,6.60
391.85,6.54
395.77,6.42
399.73,6.25
403.72,6.21
407.76,6.33
411.84,6.17
415.96,6.08
420.12,6.12
424.32,5.98
428.56,5.89
432.85,5.87
437.18,5.82
441.55,5.75
445.96,5.68
450.42,5.48
454.93,5.45
459.48,5.44
464.07,5.40
468.71,5.37
473.40,5.31
478.13,5.22
482.91,5.14
487.74,5.02
492.62,4.85
497.55,4.67
502.52,4.54
507.55,4.50
512.62,4.49
517.75,4.40
522.93,4.25
528.16,4.09
533.44,3.99
538.77,3.89
544.16,3.77
549.60,3.67
555.10,3.54
560.65,3.36
566.25,3.19
571.92,3.02
577.64,2.86
583.41,2.71
589.25,2.57
595.14,2.38
601.09,2.21
607.10,2.09
613.17,1.89
619.30,1.71
625.50,1.52
631.75,1.33
638.07,1.14
644.45,0.96
650.89,0.72
657.40,0.50
663.98,0.31
670.62,0.10
677.32,-0.08
684.10,-0.22
690.94,-0.40
697.85,-0.67
704.83,-0.88
711.87,-1.02
718.99,-1.18
726.18,-1.34
733.44,-1.47
740.78,-1.64
748.19,-1.83
755.67,-2.00
763.23,-2.15
770.86,-2.25
778.57,-2.31
