frequency,raw
20.00,2.24
20.20,2.31
20.40,2.36
20.61,2.43
20.81,2.48
21.02,2.55
21.23,2.68
21.44,2.81
21.66,2.95
21.87,3.08
22.09,3.20
22.31,3.31
22.54,3.42
22.76,3.54
22.99,3.65
23.22,3.73
23.45,3.81
23.69,3.90
23.92,3.98
24.16,4.05
24.40,4.13
24.65,4.22
24.89,4.31
25.14,4.40
25.39,4.50
25.65,4.62
25.91,4.72
26.16,4.84
26.43,4.96
26.69,5.08
26.96,5.21
27.23,5.29
27.50,5.37
27.77,5.45
28.05,5.53
28.33,5.63
28.62,5.74
28.90,5.84
29.19,5.91
29.48,5.95
29.78,5.99
30.08,6.05
30.38,6.12
30.68,6.19
30.99,6.26
31.30,6.33
31.61,6.39
31.93,6.45
32.24,6.55
32.57,6.65
32.89,6.76
33.22,6.83
33.55,6.91
33.89,6.98
34.23,7.05
34.57,7.11
34.92,7.18
35.27,7.27
35.62,7.36
35.97,7.44
36.33,7.50
36.70,7.56
37.06,7.61
37.43,7.64
37.81,7.66
38.19,7.70
38.57,7.77
38.95,7.84
39.34,7.85
39.74,7.86
40.14,7.89
40.54,7.99
40.94,8.10
41.35,8.10
41.76,8.08
42.18,8.12
42.60,8.24
43.03,8.35
43.46,8.33
43.90,8.30
44.33,8.34
44.78,8.40
45.23,8.46
45.68,8.53
46.13,8.55
46.60,8.46
47.06,8.38
47.53,8.37
48.01,8.35
48.49,8.40
48.97,8.45
49.46,8.38
49.96,8.31
50.46,8.36
50.96,8.43
51.47,8.41
51.99,8.38
52.51,8.41
53.03,8.43
53.56,8.47
54.10,8.49
54.64,8.43
55.18,8.37
55.74,8.35
56.29,8.31
56.86,8.25
57.42,8.14
58.00,8.01
58.58,7.81
59.16,7.62
59.76,7.44
60.35,7.20
60.96,6.91
61.57,6.65
62.18,6.38
62.80,6.07
63.43,5.83
64.07,5.63
64.71,5.46
65.35,5.34
66.01,5.25
66.67,5.26
67.33,5.29
68.01,5.38
68.69,5.39
69.37,5.43
70.07,5.51
70.77,5.65
71.48,5.81
72.19,5.97
72.91,6.17
73.64,6.32
74.38,6.52
75.12,6.74
75.87,6.98
76.63,7.10
77.40,7.20
78.17,7.32
78.95,7.42
79.74,7.52
80.54,7.65
81.35,7.82
82.16,7.94
82.98,7.95
83.81,7.96
84.65,8.07
85.50,8.16
86.35,8.19
87.22,8.21
88.09,8.22
88.97,8.18
89.86,8.14
90.76,8.14
91.66,8.08
92.58,7.95
93.51,7.83
94.44,7.71
95.39,7.57
96.34,7.39
97.30,7.26
98.28,7.23
99.26,7.14
100.25,7.00
101.25,6.88
