frequency,raw
20.00,-1.89
20.20,-1.86
20.40,-1.84
20.61,-1.82
20.81,-1.80
21.02,-1.78
21.23,-1.76
21.44,-1.74
21.66,-1.72
21.87,-1.71
22.09,-1.69
22.31,-1.68
22.54,-1.67
22.76,-1.66
22.99,-1.65
23.22,-1.64
23.45,-1.63
23.69,-1.62
23.92,-1.62
24.16,-1.61
24.40,-1.61
24.65,-1.60
24.89,-1.60
25.14,-1.59
25.39,-1.58
25.65,-1.58
25.91,-1.57
26.16,-1.57
26.43,-1.57
26.69,-1.56
26.96,-1.56
27.23,-1.55
27.50,-1.55
27.77,-1.55
28.05,-1.54
28.33,-1.54
28.62,-1.54
28.90,-1.53
29.19,-1.53
29.48,-1.53
29.78,-1.53
30.08,-1.53
30.38,-1.52
30.68,-1.52
30.99,-1.52
31.30,-1.52
31.61,-1.51
31.93,-1.51
32.24,-1.51
32.57,-1.50
32.89,-1.50
33.22,-1.50
33.55,-1.49
33.89,-1.49
34.23,-1.49
34.57,-1.48
34.92,-1.48
35.27,-1.48
35.62,-1.47
35.97,-1.47
36.33,-1.47
36.70,-1.47
37.06,-1.47
37.43,-1.46
37.81,-1.46
38.19,-1.46
38.57,-1.45
38.95,-1.45
39.34,-1.44
39.74,-1.44
40.14,-1.43
40.54,-1.43
40.94,-1.43
41.35,-1.43
41.76,-1.43
42.18,-1.43
42.60,-1.43
43.03,-1.44
43.46,-1.44
43.90,-1.44
44.33,-1.44
44.78,-1.44
45.23,-1.44
45.68,-1.44
46.13,-1.44
46.60,-1.44
47.06,-1.44
47.53,-1.43
48.01,-1.43
48.49,-1.43
48.97,-1.43
49.46,-1.43
49.96,-1.43
50.46,-1.43
50.96,-1.43
51.47,-1.44
51.99,-1.44
52.51,-1.44
53.03,-1.44
53.56,-1.44
54.10,-1.45
54.64,-1.45
55.18,-1.45
55.74,-1.46
56.29,-1.47
56.86,-1.47
57.42,-1.47
58.00,-1.49
58.58,-1.48
59.16,-1.48
59.76,-1.48
60.35,-1.47
60.96,-1.46
61.57,-1.45
62.18,-1.43
62.80,-1.42
63.43,-1.40
64.07,-1.38
64.71,-1.35
65.35,-1.33
66.01,-1.31
66.67,-1.29
67.33,-1.27
68.01,-1.24
68.69,-1.22
69.37,-1.20
70.07,-1.19
70.77,-1.17
71.48,-1.16
72.19,-1.15
72.91,-1.14
73.64,-1.14
74.38,-1.15
75.12,-1.15
75.87,-1.17
76.63,-1.18
77.40,-1.18
78.17,-1.19
78.95,-1.19
79.74,-1.19
80.54,-1.20
81.35,-1.20
82.16,-1.20
82.98,-1.20
83.81,-1.20
84.65,-1.21
85.50,-1.21
86.35,-1.21
87.22,-1.21
88.09,-1.21
88.97,-1.21
89.86,-1.21
90.76,-1.21
91.66,-1.21
92.58,-1.21
93.51,-1.21
94.44,-1.21
95.39,-1.21
96.34,-1.21
97.30,-1.22
98.28,-1.22
99.26,-1.22
100.25,-1.22
101.25,-1.22
102.27,-1.22
103.29,-1.22
104.32,-1.23
105.37,-1.23
106.42,-1.23
107.48,-1.24
108.56,-1.24
