frequency,raw
20.00,3.55
20.20,3.63
20.40,3.70
20.61,3.77
20.81,3.84
21.02,3.91
21.23,3.99
21.44,4.06
21.66,4.13
21.87,4.19
22.09,4.26
22.31,4.32
22.54,4.38
22.76,4.45
22.99,4.51
23.22,4.57
23.45,4.63
23.69,4.69
23.92,4.74
24.16,4.80
24.40,4.85
24.65,4.91
24.89,4.96
25.14,5.02
25.39,5.08
25.65,5.13
25.91,5.19
26.16,5.24
26.43,5.29
26.69,5.35
26.96,5.40
27.23,5.46
27.50,5.51
27.77,5.55
28.05,5.61
28.33,5.66
28.62,5.71
28.90,5.76
29.19,5.81
29.48,5.85
29.78,5.90
30.08,5.94
30.38,6.00
30.68,6.04
30.99,6.09
31.30,6.13
31.61,6.17
31.93,6.21
32.24,6.24
32.57,6.29
32.89,6.32
33.22,6.35
33.55,6.40
33.89,6.44
34.23,6.47
34.57,6.52
34.92,6.55
35.27,6.59
35.62,6.63
35.97,6.67
36.33,6.70
36.70,6.73
37.06,6.77
37.43,6.81
37.81,6.85
38.19,6.89
38.57,6.93
38.95,6.96
39.34,6.99
39.74,7.01
40.14,7.04
40.54,7.06
40.94,7.09
41.35,7.11
41.76,7.14
42.18,7.16
42.60,7.19
43.03,7.20
43.46,7.22
43.90,7.24
44.33,7.27
44.78,7.30
45.23,7.32
45.68,7.35
46.13,7.38
46.60,7.39
47.06,7.41
47.53,7.44
48.01,7.46
48.49,7.48
48.97,7.50
49.46,7.52
49.96,7.54
50.46,7.55
50.96,7.57
51.47,7.57
51.99,7.58
52.51,7.59
53.03,7.60
53.56,7.62
54.10,7.62
54.64,7.63
55.18,7.64
55.74,7.65
56.29,7.64
56.86,7.65
57.42,7.65
58.00,7.64
58.58,7.63
59.16,7.63
59.76,7.61
60.35,7.61
60.96,7.61
61.57,7.61
62.18,7.61
62.80,7.61
63.43,7.61
64.07,7.61
64.71,7.61
65.35,7.61
66.01,7.61
66.67,7.61
67.33,7.61
68.01,7.61
68.69,7.61
69.37,7.61
70.07,7.61
70.77,7.61
71.48,7.60
72.19,7.60
72.91,7.60
73.64,7.60
74.38,7.59
75.12,7.59
75.87,7.58
76.63,7.58
77.40,7.58
78.17,7.58
78.95,7.59
79.74,7.59
80.54,7.57
81.35,7.57
82.16,7.56
82.98,7.54
83.81,7.52
84.65,7.48
85.50,7.46
86.35,7.43
87.22,7.40
88.09,7.37
88.97,7.34
89.86,7.31
90.76,7.29
91.66,7.26
92.58,7.24
93.51,7.23
94.44,7.23
95.39,7.22
96.34,7.21
97.30,7.20
98.28,7.18
99.26,7.16
100.25,7.14
101.25,7.10
102.27,7.08
103.29,7.06
104.32,7.03
105.37,6.99
106.42,6.96
107.48,6.92
108.56,6.89
109.64,6.87
110.74,6.87
111.85,6.86
112.97,6.85
114.10,6.84
115.24,6.83
116.39,6.81
117.55,6.77
118.73,6.74
119.92,6.70
121.12,6.66
122.33,6.63
123.55,6.61
124.79,6.57
126.03,6.55
127.29,6.52
128.57,6.50
129.85,6.46
131.15,6.44
132.46,6.42
133.79,6.39
135.12,6.36
136.48,6.34
137.84,6.30
139.22,6.27
140.61,6.24
142.02,6.19
143.44,6.18
144.87,6.15
146.32,6.13
147.78,6.11
149.26,6.12
150.75,6.12
152.26,6.13
153.78,6.14
155.32,6.14
156.88,6.14
158.44,6.13
160.03,6.12
161.63,6.10
163.24,6.08
164.88,6.04
166.53,6.02
168.19,5.99
169.87,5.94
171.57,5.92
173.29,5.89
175.02,5.85
176.77,5.80
178.54,5.77
180.32,5.73
182.13,5.71
183.95,5.67
185.79,5.64
187.65,5.61
189.52,5.57
191.42,5.52
193.33,5.48
195.27,5.42
197.22,5.37
199.19,5.31
201.18,5.24
203.19,5.19
205.23,5.14
207.28,5.09
209.35,5.05
211.44,4.98
213.56,4.92
215.69,4.85
217.85,4.79
220.03,4.76
222.23,4.73
224.45,4.67
226.70,4.60
228.96,4.51
231.25,4.46
233.57,4.41
235.90,4.36
238.26,4.32
240.64,4.26
243.05,4.21
245.48,4.14
247.93,4.08
250.41,4.05
252.92,3.99
255.45,3.93
258.00,3.88
260.58,3.81
263.19,3.76
265.82,3.71
268.48,3.67
271.16,3.62
273.87,3.53
276.61,3.46
279.38,3.40
282.17,3.34
284.99,3.30
287.84,3.24
290.72,3.19
293.63,3.13
296.57,3.08
299.53,3.02
302.53,2.98
305.55,2.93
308.61,2.86
311.69,2.80
314.81,2.74
317.96,2.69
321.14,2.63
324.35,2.58
327.59,2.51
330.87,2.44
334.18,2.37
337.52,2.31
340.90,2.25
344.30,2.20
347.75,2.15
351.23,2.09
354.74,2.03
358.28,1.96
361.87,1.91
365.49,1.84
369.14,1.78
372.83,1.73
376.56,1.65
380.33,1.59
384.13,1.53
387.97,1.48
391.85,1.40
395.77,1.35
399.73,1.28
403.72,1.22
407.76,1.16
411.84,1.10
415.96,1.03
420.12,0.97
424.32,0.91
428.56,0.85
432.85,0.79
437.18,0.72
441.55,0.67
445.96,0.61
450.42,0.54
454.93,0.49
459.48,0.42
464.07,0.35
468.71,0.30
473.40,0.24
478.13,0.18
482.91,0.14
487.74,0.09
492.62,0.03
497.55,-0.03
502.52,-0.07
507.55,-0.11
512.62,-0.16
517.75,-0.23
522.93,-0.28
528.16,-0.33
533.44,-0.37
538.77,-0.43
544.16,-0.49
549.60,-0.55
555.10,-0.62
560.65,-0.68
566.25,-0.74
571.92,-0.79
577.64,-0.84
583.41,-0.89
589.25,-0.94
595.14,-1.01
601.09,-1.06
607.10,-1.10
613.17,-1.15
619.30,-1.19
625.50,-1.24
631.75,-1.28
638.07,-1.34
644.45,-1.38
650.89,-1.42
657.40,-1.47
663.98,-1.52
670.62,-1.57
677.32,-1.62
684.10,-1.66
690.94,-1.71
697.85,-1.76
704.83,-1.82
711.87,-1.87
718.99,-1.92
726.18,-1.95
733.44,-1.98
