frequency,raw
20.00,5.21
20.20,5.24
20.40,5.26
20.61,5.28
20.81,5.30
21.02,5.32
21.23,5.34
21.44,5.36
21.66,5.38
21.87,5.39
22.09,5.41
22.31,5.42
22.54,5.43
22.76,5.44
22.99,5.45
23.22,5.46
23.45,5.47
23.69,5.48
23.92,5.48
24.16,5.49
24.40,5.49
24.65,5.50
24.89,5.50
25.14,5.52
25.39,5.54
25.65,5.54
25.91,5.54
26.16,5.53
26.43,5.51
26.69,5.50
26.96,5.47
27.23,5.45
27.50,5.42
27.77,5.39
28.05,5.37
28.33,5.34
28.62,5.31
28.90,5.29
29.19,5.27
29.48,5.25
29.78,5.23
30.08,5.22
30.38,5.23
30.68,5.24
30.99,5.25
31.30,5.27
31.61,5.29
31.93,5.28
32.24,5.27
32.57,5.27
32.89,5.25
33.22,5.22
33.55,5.21
33.89,5.18
34.23,5.15
34.57,5.13
34.92,5.10
35.27,5.07
35.62,5.06
35.97,5.04
36.33,5.02
36.70,4.99
37.06,4.97
37.43,4.95
37.81,4.93
38.19,4.91
38.57,4.90
38.95,4.88
39.34,4.86
39.74,4.84
40.14,4.82
40.54,4.80
40.94,4.78
41.35,4.75
41.76,4.72
42.18,4.69
42.60,4.65
43.03,4.61
43.46,4.59
43.90,4.56
44.33,4.54
44.78,4.52
45.23,4.50
45.68,4.48
46.13,4.45
46.60,4.42
47.06,4.38
47.53,4.36
48.01,4.32
48.49,4.29
48.97,4.27
49.46,4.25
49.96,4.23
50.46,4.21
50.96,4.17
51.47,4.12
51.99,4.07
52.51,4.02
53.03,3.97
53.56,3.93
54.10,3.89
54.64,3.86
55.18,3.84
55.74,3.81
56.29,3.76
56.86,3.72
57.42,3.68
58.00,3.63
58.58,3.60
59.16,3.56
59.76,3.52
60.35,3.49
60.96,3.45
61.57,3.41
62.18,3.36
62.80,3.32
63.43,3.27
64.07,3.24
64.71,3.20
65.35,3.16
66.01,3.12
66.67,3.09
67.33,3.05
68.01,3.01
68.69,2.97
69.37,2.94
70.07,2.90
70.77,2.86
71.48,2.81
72.19,2.77
72.91,2.74
73.64,2.70
74.38,2.65
75.12,2.60
75.87,2.54
76.63,2.49
77.40,2.45
78.17,2.40
78.95,2.36
79.74,2.31
80.54,2.24
81.35,2.18
82.16,2.11
82.98,2.06
83.81,2.02
84.65,1.96
85.50,1.91
86.35,1.86
87.22,1.79
88.09,1.74
88.97,1.69
89.86,1.64
90.76,1.59
91.66,1.54
92.58,1.49
93.51,1.43
94.44,1.38
95.39,1.34
96.34,1.30
97.30,1.24
98.28,1.18
99.26,1.12
100.25,1.07
