frequency,raw
20.00,0.53
20.20,0.56
20.40,0.59
20.61,0.62
20.81,0.64
21.02,0.67
21.23,0.71
21.44,0.74
21.66,0.78
21.87,0.80
22.09,0.84
22.31,0.87
22.54,0.91
22.76,0.95
22.99,0.99
23.22,1.03
23.45,1.07
23.69,1.11
23.92,1.12
24.16,1.14
24.40,1.15
24.65,1.17
24.89,1.19
25.14,1.21
25.39,1.23
25.65,1.24
25.91,1.28
26.16,1.31
26.43,1.34
26.69,1.38
26.96,1.41
27.23,1.45
27.50,1.48
27.77,1.50
28.05,1.53
28.33,1.54
28.62,1.55
28.90,1.57
29.19,1.58
29.48,1.59
29.78,1.60
30.08,1.62
30.38,1.66
30.68,1.69
30.99,1.72
31.30,1.75
31.61,1.79
31.93,1.82
32.24,1.85
32.57,1.88
32.89,1.91
33.22,1.92
33.55,1.95
33.89,1.96
34.23,1.96
34.57,1.96
34.92,1.95
35.27,1.94
35.62,1.95
35.97,1.94
36.33,1.93
36.70,1.93
37.06,1.94
37.43,1.96
37.81,1.98
38.19,2.00
38.57,2.04
38.95,2.06
39.34,2.10
39.74,2.14
40.14,2.18
40.54,2.21
40.94,2.24
41.35,2.26
41.76,2.29
42.18,2.31
42.60,2.33
43.03,2.33
43.46,2.33
43.90,2.33
44.33,2.32
44.78,2.31
45.23,2.31
45.68,2.31
46.13,2.31
46.60,2.31
47.06,2.31
47.53,2.32
48.01,2.32
48.49,2.32
48.97,2.32
49.46,2.32
49.96,2.32
50.46,2.32
50.96,2.32
51.47,2.31
51.99,2.31
52.51,2.31
53.03,2.31
53.56,2.31
54.10,2.30
54.64,2.30
55.18,2.30
55.74,2.30
56.29,2.29
56.86,2.29
57.42,2.29
58.00,2.28
58.58,2.28
59.16,2.28
59.76,2.27
60.35,2.27
60.96,2.27
61.57,2.27
62.18,2.27
62.80,2.27
63.43,2.27
64.07,2.27
64.71,2.27
65.35,2.27
66.01,2.27
66.67,2.27
67.33,2.27
68.01,2.27
68.69,2.27
69.37,2.27
70.07,2.27
70.77,2.27
71.48,2.26
72.19,2.26
72.91,2.26
73.64,2.26
74.38,2.25
75.12,2.25
75.87,2.24
76.63,2.24
77.40,2.24
78.17,2.23
78.95,2.23
79.74,2.23
80.54,2.22
81.35,2.22
82.16,2.22
82.98,2.22
83.81,2.22
84.65,2.21
85.50,2.21
86.35,2.21
87.22,2.21
88.09,2.21
88.97,2.21
89.86,2.21
90.76,2.21
91.66,2.21
92.58,2.21
93.51,2.21
94.44,2.21
95.39,2.21
96.34,2.21
97.30,2.20
98.28,2.20
99.26,2.20
100.25,2.20
101.25,2.20
102.27,2.20
103.29,2.20
104.32,2.19
105.37,2.19
106.42,2.19
107.48,2.18
