frequency,raw
20.00,-2.51
20.20,-2.48
20.40,-2.46
20.61,-2.44
20.81,-2.42
21.02,-2.40
21.23,-2.38
21.44,-2.36
21.66,-2.34
21.87,-2.33
22.09,-2.31
22.31,-2.30
22.54,-2.29
22.76,-2.29
22.99,-2.29
23.22,-2.29
23.45,-2.28
23.69,-2.26
23.92,-2.25
24.16,-2.22
24.40,-2.20
24.65,-2.17
24.89,-2.14
25.14,-2.10
25.39,-2.06
25.65,-2.03
25.91,-1.98
26.16,-1.95
26.43,-1.93
26.69,-1.89
26.96,-1.87
27.23,-1.84
27.50,-1.83
27.77,-1.82
28.05,-1.82
28.33,-1.82
28.62,-1.83
28.90,-1.83
29.19,-1.83
29.48,-1.83
29.78,-1.83
30.08,-1.83
30.38,-1.82
30.68,-1.82
30.99,-1.82
31.30,-1.82
31.61,-1.81
31.93,-1.81
32.24,-1.81
32.57,-1.80
32.89,-1.80
33.22,-1.80
33.55,-1.79
33.89,-1.79
34.23,-1.79
34.57,-1.78
34.92,-1.78
35.27,-1.78
35.62,-1.77
35.97,-1.77
36.33,-1.77
36.70,-1.77
37.06,-1.77
37.43,-1.76
37.81,-1.76
38.19,-1.76
38.57,-1.75
38.95,-1.75
39.34,-1.74
39.74,-1.74
40.14,-1.73
40.54,-1.73
40.94,-1.73
41.35,-1.73
41.76,-1.73
42.18,-1.73
42.60,-1.73
43.03,-1.74
43.46,-1.74
43.90,-1.74
44.33,-1.74
44.78,-1.74
45.23,-1.74
45.68,-1.74
46.13,-1.74
46.60,-1.74
47.06,-1.74
47.53,-1.73
48.01,-1.73
48.49,-1.73
48.97,-1.73
49.46,-1.73
49.96,-1.73
50.46,-1.73
50.96,-1.73
51.47,-1.74
51.99,-1.74
52.51,-1.74
53.03,-1.74
53.56,-1.74
54.10,-1.75
54.64,-1.75
55.18,-1.75
55.74,-1.75
56.29,-1.76
56.86,-1.76
57.42,-1.76
58.00,-1.77
58.58,-1.77
59.16,-1.77
59.76,-1.78
60.35,-1.78
60.96,-1.78
61.57,-1.79
62.18,-1.80
62.80,-1.80
63.43,-1.80
64.07,-1.79
64.71,-1.78
65.35,-1.76
66.01,-1.74
66.67,-1.71
67.33,-1.68
68.01,-1.65
68.69,-1.62
69.37,-1.59
70.07,-1.56
70.77,-1.53
71.48,-1.51
72.19,-1.49
72.91,-1.47
73.64,-1.45
74.38,-1.45
75.12,-1.45
75.87,-1.46
76.63,-1.47
77.40,-1.48
78.17,-1.49
78.95,-1.49
79.74,-1.49
80.54,-1.50
81.35,-1.50
82.16,-1.50
82.98,-1.50
83.81,-1.50
84.65,-1.51
85.50,-1.51
86.35,-1.51
87.22,-1.51
88.09,-1.51
88.97,-1.51
89.86,-1.51
90.76,-1.51
91.66,-1.51
92.58,-1.51
93.51,-1.51
94.44,-1.51
95.39,-1.51
96.34,-1.51
97.30,-1.52
98.28,-1.52
99.26,-1.53
100.25,-1.53
101.25,-1.54
102.27,-1.54
103.29,-1.55
104.32,-1.55
105.37,-1.54
106.42,-1.53
107.48,-1.52
108.56,-1.50
109.64,-1.47
110.74,-1.44
111.85,-1.41
112.97,-1.39
114.10,-1.36
115.24,-1.33
116.39,-1.30
117.55,-1.28
118.73,-1.26
119.92,-1.24
121.12,-1.23
122.33,-1.24
123.55,-1.24
124.79,-1.27
126.03,-1.27
127.29,-1.28
128.57,-1.27
129.85,-1.26
131.15,-1.24
132.46,-1.22
133.79,-1.19
135.12,-1.16
136.48,-1.13
137.84,-1.10
139.22,-1.07
140.61,-1.04
142.02,-1.02
143.44,-1.00
144.87,-0.97
146.32,-0.97
147.78,-0.96
149.26,-0.95
150.75,-0.96
152.26,-0.97
153.78,-0.98
155.32,-1.00
156.88,-1.00
158.44,-1.00
160.03,-1.00
161.63,-1.00
163.24,-1.01
164.88,-1.01
166.53,-1.02
168.19,-1.03
169.87,-1.04
171.57,-1.04
173.29,-1.02
175.02,-1.01
176.77,-1.00
178.54,-0.97
180.32,-0.95
182.13,-0.92
183.95,-0.89
185.79,-0.85
187.65,-0.82
189.52,-0.79
191.42,-0.76
193.33,-0.74
195.27,-0.72
197.22,-0.70
199.19,-0.69
201.18,-0.69
203.19,-0.69
205.23,-0.71
207.28,-0.71
209.35,-0.72
211.44,-0.73
213.56,-0.73
215.69,-0.73
217.85,-0.73
220.03,-0.74
222.23,-0.74
224.45,-0.74
226.70,-0.74
228.96,-0.75
231.25,-0.75
233.57,-0.75
235.90,-0.76
238.26,-0.76
240.64,-0.77
243.05,-0.78
245.48,-0.78
247.93,-0.77
250.41,-0.78
252.92,-0.79
255.45,-0.81
258.00,-0.83
260.58,-0.86
263.19,-0.88
265.82,-0.91
268.48,-0.95
271.16,-0.98
273.87,-1.01
276.61,-1.06
279.38,-1.09
282.17,-1.12
284.99,-1.15
287.84,-1.17
290.72,-1.18
293.63,-1.19
296.57,-1.19
299.53,-1.20
302.53,-1.19
305.55,-1.20
308.61,-1.22
311.69,-1.23
314.81,-1.27
317.96,-1.30
321.14,-1.34
324.35,-1.36
327.59,-1.38
330.87,-1.42
334.18,-1.45
337.52,-1.49
340.90,-1.53
344.30,-1.57
347.75,-1.61
351.23,-1.65
354.74,-1.69
358.28,-1.72
361.87,-1.75
365.49,-1.76
369.14,-1.78
372.83,-1.80
376.56,-1.85
380.33,-1.89
384.13,-1.93
387.97,-1.97
391.85,-2.01
395.77,-2.05
399.73,-2.09
403.72,-2.10
407.76,-2.13
411.84,-2.15
415.96,-2.19
420.12,-2.22
424.32,-2.26
428.56,-2.31
432.85,-2.35
437.18,-2.38
441.55,-2.42
445.96,-2.45
450.42,-2.47
454.93,-2.49
459.48,-2.52
464.07,-2.55
468.71,-2.57
473.40,-2.60
478.13,-2.63
482.91,-2.64
487.74,-2.65
492.62,-2.66
497.55,-2.66
502.52,-2.65
507.55,-2.65
512.62,-2.64
517.75,-2.65
522.93,-2.65
528.16,-2.65
533.44,-2.65
538.77,-2.66
544.16,-2.66
549.60,-2.66
555.10,-2.66
560.65,-2.66
566.25,-2.66
571.92,-2.67
577.64,-2.67
583.41,-2.67
589.25,-2.67
595.14,-2.68
601.09,-2.68
607.10,-2.68
613.17,-2.69
619.30,-2.69
625.50,-2.69
631.75,-2.69
638.07,-2.70
644.45,-2.70
650.89,-2.70
657.40,-2.70
663.98,-2.71
670.62,-2.71
677.32,-2.71
684.10,-2.71
690.94,-2.72
697.85,-2.72
704.83,-2.74
711.87,-2.75
718.99,-2.74
726.18,-2.74
733.44,-2.72
740.78,-2.70
748.19,-2.68
755.67,-2.65
763.23,-2.63
770.86,-2.60
778.57,-2.57
786.35,-2.54
794.22,-2.50
802.16,-2.47
810.18,-2.44
818.28,-2.42
826.46,-2.39
834.73,-2.38
843.08,-2.36
851.51,-2.34
860.02,-2.34
868.62,-2.34
877.31,-2.34
886.08,-2.32
894.94,-2.30
903.89,-2.28
912.93,-2.26
922.06,-2.23
931.28,-2.20
940.59,-2.17
950.00,-2.13
959.50,-2.10
969.09,-2.07
978.78,-2.04
988.57,-1.99
998.46,-1.94
1008.44,-1.88
1018.53,-1.81
1028.71,-1.73
1039.00,-1.64
1049.39,-1.54
1059.88,-1.45
1070.48,-1.35
1081.19,-1.24
1092.00,-1.13
1102.92,-1.01
1113.95,-0.89
1125.09,-0.78
1136.34,-0.66
1147.70,-0.55
1159.18,-0.44
1170.77,-0.34
1182.48,-0.25
1194.30,-0.17
1206.25,-0.10
1218.31,-0.03
