frequency,raw
20.00,13.29
20.20,13.32
20.40,13.34
20.61,13.36
20.81,13.38
21.02,13.40
21.23,13.42
21.44,13.44
21.66,13.46
21.87,13.47
22.09,13.49
22.31,13.50
22.54,13.51
22.76,13.52
22.99,13.53
23.22,13.54
23.45,13.55
23.69,13.56
23.92,13.56
24.16,13.57
24.40,13.57
24.65,13.58
24.89,13.58
25.14,13.59
25.39,13.60
25.65,13.61
25.91,13.63
26.16,13.63
26.43,13.63
26.69,13.63
26.96,13.62
27.23,13.61
27.50,13.59
27.77,13.56
28.05,13.55
28.33,13.53
28.62,13.50
28.90,13.48
29.19,13.44
29.48,13.39
29.78,13.34
30.08,13.30
30.38,13.26
30.68,13.21
30.99,13.17
31.30,13.14
31.61,13.12
31.93,13.10
32.24,13.09
32.57,13.09
32.89,13.07
33.22,13.05
33.55,13.04
33.89,13.02
34.23,13.00
34.57,12.99
34.92,12.98
35.27,12.95
35.62,12.94
35.97,12.90
36.33,12.87
36.70,12.84
37.06,12.81
37.43,12.80
37.81,12.77
38.19,12.75
38.57,12.75
38.95,12.75
39.34,12.76
39.74,12.77
40.14,12.79
40.54,12.78
40.94,12.77
41.35,12.75
41.76,12.73
42.18,12.70
42.60,12.67
43.03,12.63
43.46,12.60
43.90,12.57
44.33,12.55
44.78,12.53
45.23,12.51
45.68,12.48
46.13,12.45
46.60,12.43
47.06,12.40
47.53,12.39
48.01,12.38
48.49,12.36
48.97,12.34
49.46,12.30
49.96,12.26
50.46,12.21
50.96,12.16
51.47,12.11
51.99,12.06
52.51,12.02
53.03,11.96
53.56,11.91
54.10,11.85
54.64,11.82
55.18,11.78
55.74,11.74
56.29,11.68
56.86,11.62
57.42,11.57
58.00,11.52
58.58,11.48
59.16,11.43
59.76,11.37
60.35,11.31
60.96,11.25
61.57,11.19
62.18,11.14
62.80,11.09
63.43,11.05
64.07,11.00
64.71,10.94
65.35,10.88
66.01,10.84
66.67,10.79
67.33,10.75
68.01,10.70
68.69,10.65
69.37,10.59
70.07,10.55
70.77,10.50
71.48,10.44
72.19,10.39
72.91,10.33
73.64,10.26
74.38,10.19
75.12,10.14
75.87,10.07
76.63,10.02
77.40,9.97
78.17,9.90
78.95,9.84
79.74,9.78
80.54,9.73
81.35,9.69
82.16,9.65
82.98,9.60
83.81,9.54
84.65,9.47
85.50,9.43
86.35,9.39
87.22,9.36
88.09,9.32
88.97,9.27
89.86,9.23
90.76,9.19
91.66,9.15
92.58,9.12
93.51,9.07
94.44,9.02
95.39,8.96
96.34,8.92
97.30,8.86
98.28,8.80
99.26,8.75
100.25,8.69
101.25,8.63
102.27,8.56
103.29,8.49
104.32,8.41
105.37,8.34
106.42,8.26
107.48,8.18
108.56,8.11
109.64,8.03
110.74,7.95
111.85,7.87
112.97,7.79
114.10,7.71
115.24,7.63
116.39,7.56
117.55,7.47
118.73,7.40
119.92,7.33
121.12,7.27
122.33,7.19
123.55,7.13
124.79,7.06
126.03,6.99
127.29,6.92
128.57,6.86
129.85,6.79
131.15,6.72
132.46,6.64
133.79,6.58
135.12,6.53
136.48,6.47
137.84,6.40
139.22,6.33
140.61,6.26
142.02,6.19
143.44,6.13
144.87,6.08
146.32,6.01
147.78,5.97
149.26,5.92
150.75,5.87
152.26,5.81
153.78,5.77
155.32,5.72
156.88,5.69
158.44,5.65
160.03,5.60
161.63,5.55
163.24,5.49
164.88,5.46
166.53,5.42
168.19,5.37
169.87,5.31
171.57,5.26
173.29,5.20
175.02,5.14
176.77,5.07
178.54,5.01
180.32,4.95
182.13,4.88
183.95,4.80
185.79,4.72
187.65,4.64
189.52,4.57
191.42,4.50
193.33,4.42
195.27,4.34
197.22,4.27
199.19,4.19
201.18,4.11
203.19,4.04
205.23,3.96
207.28,3.90
209.35,3.84
211.44,3.77
213.56,3.70
215.69,3.63
217.85,3.57
220.03,3.51
222.23,3.45
224.45,3.37
226.70,3.30
228.96,3.22
231.25,3.16
233.57,3.11
235.90,3.04
238.26,2.97
240.64,2.91
243.05,2.85
245.48,2.79
247.93,2.72
250.41,2.65
252.92,2.59
255.45,2.52
258.00,2.46
260.58,2.39
263.19,2.32
265.82,2.25
268.48,2.18
271.16,2.11
273.87,2.02
276.61,1.93
279.38,1.85
282.17,1.77
284.99,1.70
287.84,1.63
290.72,1.55
293.63,1.49
296.57,1.42
299.53,1.36
302.53,1.30
305.55,1.23
308.61,1.16
311.69,1.10
314.81,1.04
317.96,0.99
321.14,0.93
324.35,0.88
327.59,0.83
330.87,0.77
334.18,0.71
337.52,0.66
340.90,0.60
344.30,0.56
347.75,0.51
351.23,0.46
354.74,0.39
358.28,0.34
361.87,0.30
365.49,0.25
369.14,0.20
372.83,0.15
376.56,0.07
380.33,0.01
384.13,-0.04
387.97,-0.08
391.85,-0.14
395.77,-0.19
399.73,-0.25
403.72,-0.31
407.76,-0.37
411.84,-0.41
415.96,-0.47
420.12,-0.51
424.32,-0.57
428.56,-0.64
432.85,-0.69
437.18,-0.74
