frequency,raw
20.00,13.57
20.20,13.61
20.40,13.63
20.61,13.65
20.81,13.67
21.02,13.69
21.23,13.70
21.44,13.72
21.66,13.73
21.87,13.72
22.09,13.73
22.31,13.72
22.54,13.70
22.76,13.68
22.99,13.66
23.22,13.64
23.45,13.62
23.69,13.60
23.92,13.57
24.16,13.56
24.40,13.53
24.65,13.53
24.89,13.52
25.14,13.52
25.39,13.53
25.65,13.54
25.91,13.56
26.16,13.56
26.43,13.56
26.69,13.57
26.96,13.58
27.23,13.60
27.50,13.60
27.77,13.61
28.05,13.61
28.33,13.60
28.62,13.59
28.90,13.58
29.19,13.56
29.48,13.53
29.78,13.50
30.08,13.47
30.38,13.45
30.68,13.42
30.99,13.39
31.30,13.36
31.61,13.36
31.93,13.34
32.24,13.32
32.57,13.31
32.89,13.29
33.22,13.27
33.55,13.27
33.89,13.25
34.23,13.23
34.57,13.21
34.92,13.18
35.27,13.15
35.62,13.12
35.97,13.09
36.33,13.07
36.70,13.04
37.06,13.02
37.43,13.02
37.81,13.02
38.19,13.02
38.57,13.04
38.95,13.04
39.34,13.05
39.74,13.04
40.14,13.04
40.54,13.01
40.94,12.99
41.35,12.96
41.76,12.94
42.18,12.92
42.60,12.89
43.03,12.84
43.46,12.80
43.90,12.76
44.33,12.71
44.78,12.68
45.23,12.64
45.68,12.61
46.13,12.57
46.60,12.53
47.06,12.49
47.53,12.46
48.01,12.41
48.49,12.37
48.97,12.33
49.46,12.28
49.96,12.23
50.46,12.19
50.96,12.14
51.47,12.09
51.99,12.05
52.51,12.01
53.03,11.97
53.56,11.93
54.10,11.88
54.64,11.85
55.18,11.81
55.74,11.78
56.29,11.72
56.86,11.68
57.42,11.64
58.00,11.60
58.58,11.56
59.16,11.53
59.76,11.49
60.35,11.45
60.96,11.41
61.57,11.38
62.18,11.34
62.80,11.30
63.43,11.25
64.07,11.20
64.71,11.16
65.35,11.13
66.01,11.09
66.67,11.04
67.33,10.98
68.01,10.91
68.69,10.86
69.37,10.80
70.07,10.75
70.77,10.70
71.48,10.63
72.19,10.58
72.91,10.52
73.64,10.46
74.38,10.39
75.12,10.33
75.87,10.26
76.63,10.21
77.40,10.15
78.17,10.08
78.95,10.01
79.74,9.95
80.54,9.88
81.35,9.83
82.16,9.77
82.98,9.71
83.81,9.64
84.65,9.57
85.50,9.52
86.35,9.47
87.22,9.41
88.09,9.36
88.97,9.31
89.86,9.25
90.76,9.20
91.66,9.14
92.58,9.09
93.51,9.04
94.44,8.99
95.39,8.95
96.34,8.89
97.30,8.84
98.28,8.79
99.26,8.74
100.25,8.68
101.25,8.63
102.27,8.58
103.29,8.52
104.32,8.45
105.37,8.38
106.42,8.32
107.48,8.26
108.56,8.21
109.64,8.13
110.74,8.06
111.85,7.99
112.97,7.91
114.10,7.86
115.24,7.80
116.39,7.73
117.55,7.65
118.73,7.59
119.92,7.54
121.12,7.49
122.33,7.41
123.55,7.35
124.79,7.28
126.03,7.22
127.29,7.15
128.57,7.09
129.85,7.02
131.15,6.95
132.46,6.88
133.79,6.82
135.12,6.74
136.48,6.66
137.84,6.59
139.22,6.52
140.61,6.45
142.02,6.37
143.44,6.28
144.87,6.20
146.32,6.12
147.78,6.06
149.26,6.00
150.75,5.94
152.26,5.88
153.78,5.83
155.32,5.77
156.88,5.73
158.44,5.68
160.03,5.64
161.63,5.60
163.24,5.54
164.88,5.49
166.53,5.44
168.19,5.40
169.87,5.35
171.57,5.31
173.29,5.25
175.02,5.19
176.77,5.12
178.54,5.07
180.32,5.01
182.13,4.96
183.95,4.91
185.79,4.86
187.65,4.80
189.52,4.73
191.42,4.68
193.33,4.62
195.27,4.55
197.22,4.47
199.19,4.40
201.18,4.31
203.19,4.23
205.23,4.14
207.28,4.06
209.35,3.99
211.44,3.90
213.56,3.81
215.69,3.72
217.85,3.65
220.03,3.57
222.23,3.49
224.45,3.40
226.70,3.32
228.96,3.24
231.25,3.17
233.57,3.09
235.90,3.01
238.26,2.94
240.64,2.85
243.05,2.77
245.48,2.70
247.93,2.64
250.41,2.56
252.92,2.48
255.45,2.42
258.00,2.37
260.58,2.30
263.19,2.23
265.82,2.17
268.48,2.11
271.16,2.06
273.87,1.99
276.61,1.91
279.38,1.84
282.17,1.77
284.99,1.71
287.84,1.66
290.72,1.59
293.63,1.53
296.57,1.47
299.53,1.41
302.53,1.36
305.55,1.30
308.61,1.23
311.69,1.17
314.81,1.10
317.96,1.05
321.14,0.99
324.35,0.93
327.59,0.88
330.87,0.81
334.18,0.74
337.52,0.68
340.90,0.62
344.30,0.56
347.75,0.51
351.23,0.45
354.74,0.39
358.28,0.34
361.87,0.28
365.49,0.23
369.14,0.18
372.83,0.13
376.56,0.07
380.33,0.01
384.13,-0.05
387.97,-0.10
391.85,-0.16
395.77,-0.21
399.73,-0.27
403.72,-0.32
407.76,-0.39
411.84,-0.44
415.96,-0.50
420.12,-0.55
424.32,-0.61
428.56,-0.68
432.85,-0.74
437.18,-0.79
441.55,-0.85
445.96,-0.91
450.42,-0.97
454.93,-1.03
459.48,-1.09
464.07,-1.15
468.71,-1.20
473.40,-1.24
478.13,-1.29
482.91,-1.33
487.74,-1.38
492.62,-1.42
497.55,-1.47
502.52,-1.51
507.55,-1.55
512.62,-1.58
517.75,-1.62
522.93,-1.64
528.16,-1.67
533.44,-1.69
538.77,-1.74
544.16,-1.78
549.60,-1.82
555.10,-1.87
560.65,-1.91
566.25,-1.95
571.92,-2.00
577.64,-2.02
583.41,-2.05
589.25,-2.06
595.14,-2.09
601.09,-2.11
607.10,-2.13
613.17,-2.17
619.30,-2.20
625.50,-2.23
631.75,-2.25
638.07,-2.28
644.45,-2.31
650.89,-2.33
657.40,-2.36
663.98,-2.40
670.62,-2.43
677.32,-2.46
684.10,-2.49
690.94,-2.51
697.85,-2.53
704.83,-2.55
711.87,-2.56
718.99,-2.56
726.18,-2.55
733.44,-2.54
740.78,-2.53
748.19,-2.53
755.67,-2.53
763.23,-2.54
770.86,-2.54
778.57,-2.54
786.35,-2.54
794.22,-2.53
802.16,-2.53
810.18,-2.53
818.28,-2.53
826.46,-2.52
834.73,-2.52
843.08,-2.51
851.51,-2.50
860.02,-2.49
868.62,-2.48
