frequency,raw
20.00,-7.75
20.20,-7.67
20.40,-7.59
20.61,-7.52
20.81,-7.44
21.02,-7.37
21.23,-7.30
21.44,-7.23
21.66,-7.16
21.87,-7.10
22.09,-7.03
22.31,-6.97
22.54,-6.90
22.76,-6.84
22.99,-6.79
23.22,-6.74
23.45,-6.69
23.69,-6.64
23.92,-6.61
24.16,-6.57
24.40,-6.53
24.65,-6.49
24.89,-6.46
25.14,-6.41
25.39,-6.36
25.65,-6.32
25.91,-6.27
26.16,-6.25
26.43,-6.22
26.69,-6.20
26.96,-6.18
27.23,-6.15
27.50,-6.13
27.77,-6.10
28.05,-6.06
28.33,-6.03
28.62,-6.01
28.90,-5.98
29.19,-5.97
29.48,-5.95
29.78,-5.92
30.08,-5.88
30.38,-5.82
30.68,-5.77
30.99,-5.72
31.30,-5.67
31.61,-5.60
31.93,-5.56
32.24,-5.52
32.57,-5.48
32.89,-5.46
33.22,-5.44
33.55,-5.41
33.89,-5.38
34.23,-5.34
34.57,-5.30
34.92,-5.26
35.27,-5.23
35.62,-5.20
35.97,-5.18
36.33,-5.17
36.70,-5.14
37.06,-5.12
37.43,-5.08
37.81,-5.04
38.19,-5.01
38.57,-4.96
38.95,-4.93
39.34,-4.88
39.74,-4.86
40.14,-4.83
40.54,-4.81
40.94,-4.79
41.35,-4.77
41.76,-4.74
42.18,-4.71
42.60,-4.67
43.03,-4.65
43.46,-4.61
43.90,-4.58
44.33,-4.55
44.78,-4.53
45.23,-4.52
45.68,-4.50
46.13,-4.47
46.60,-4.44
47.06,-4.40
47.53,-4.34
48.01,-4.30
48.49,-4.26
48.97,-4.22
49.46,-4.19
49.96,-4.16
50.46,-4.14
50.96,-4.11
51.47,-4.10
51.99,-4.07
52.51,-4.05
53.03,-4.04
53.56,-4.03
54.10,-4.03
54.64,-4.02
55.18,-4.01
55.74,-4.00
56.29,-3.99
56.86,-3.97
57.42,-3.94
58.00,-3.92
58.58,-3.89
59.16,-3.86
59.76,-3.84
60.35,-3.81
60.96,-3.79
61.57,-3.78
62.18,-3.76
62.80,-3.74
63.43,-3.72
64.07,-3.70
64.71,-3.68
65.35,-3.67
66.01,-3.65
66.67,-3.62
67.33,-3.59
68.01,-3.56
68.69,-3.53
69.37,-3.50
70.07,-3.47
70.77,-3.44
71.48,-3.43
72.19,-3.42
72.91,-3.42
73.64,-3.42
74.38,-3.42
75.12,-3.42
75.87,-3.43
76.63,-3.41
77.40,-3.39
78.17,-3.38
78.95,-3.35
79.74,-3.32
80.54,-3.29
81.35,-3.26
82.16,-3.23
82.98,-3.20
83.81,-3.18
84.65,-3.17
85.50,-3.16
86.35,-3.15
87.22,-3.14
88.09,-3.13
88.97,-3.12
89.86,-3.11
90.76,-3.09
91.66,-3.07
92.58,-3.04
93.51,-3.01
94.44,-2.98
95.39,-2.94
96.34,-2.91
97.30,-2.90
98.28,-2.87
99.26,-2.85
100.25,-2.83
101.25,-2.81
102.27,-2.81
103.29,-2.80
104.32,-2.82
105.37,-2.83
106.42,-2.84
107.48,-2.85
108.56,-2.85
109.64,-2.85
110.74,-2.85
111.85,-2.85
112.97,-2.86
114.10,-2.86
115.24,-2.86
116.39,-2.86
117.55,-2.87
118.73,-2.87
119.92,-2.87
121.12,-2.87
122.33,-2.88
123.55,-2.88
124.79,-2.89
126.03,-2.89
127.29,-2.90
128.57,-2.90
129.85,-2.90
131.15,-2.90
132.46,-2.91
133.79,-2.91
135.12,-2.91
136.48,-2.91
137.84,-2.92
139.22,-2.93
140.61,-2.93
142.02,-2.94
143.44,-2.93
144.87,-2.91
146.32,-2.91
147.78,-2.88
149.26,-2.86
150.75,-2.84
152.26,-2.81
153.78,-2.77
155.32,-2.75
156.88,-2.72
158.44,-2.69
160.03,-2.67
161.63,-2.64
163.24,-2.63
164.88,-2.62
166.53,-2.61
168.19,-2.61
169.87,-2.63
171.57,-2.65
173.29,-2.66
175.02,-2.67
176.77,-2.67
178.54,-2.66
180.32,-2.64
182.13,-2.62
183.95,-2.60
185.79,-2.57
187.65,-2.54
189.52,-2.51
191.42,-2.48
193.33,-2.45
195.27,-2.42
197.22,-2.39
199.19,-2.36
201.18,-2.35
203.19,-2.33
205.23,-2.33
207.28,-2.33
209.35,-2.33
211.44,-2.34
213.56,-2.35
215.69,-2.36
217.85,-2.36
220.03,-2.37
222.23,-2.37
224.45,-2.37
226.70,-2.37
228.96,-2.38
231.25,-2.38
233.57,-2.39
235.90,-2.40
238.26,-2.41
240.64,-2.42
243.05,-2.43
245.48,-2.42
247.93,-2.41
250.41,-2.39
252.92,-2.38
255.45,-2.36
258.00,-2.33
260.58,-2.31
263.19,-2.28
265.82,-2.25
268.48,-2.23
271.16,-2.20
273.87,-2.17
276.61,-2.16
279.38,-2.15
282.17,-2.15
284.99,-2.14
287.84,-2.14
290.72,-2.15
293.63,-2.16
296.57,-2.16
299.53,-2.17
302.53,-2.17
305.55,-2.17
308.61,-2.18
311.69,-2.18
314.81,-2.19
317.96,-2.19
321.14,-2.20
324.35,-2.20
327.59,-2.20
330.87,-2.21
334.18,-2.22
337.52,-2.22
340.90,-2.23
344.30,-2.23
347.75,-2.23
351.23,-2.23
354.74,-2.24
358.28,-2.24
361.87,-2.24
365.49,-2.24
369.14,-2.24
372.83,-2.24
376.56,-2.25
380.33,-2.25
384.13,-2.25
387.97,-2.25
391.85,-2.26
395.77,-2.26
399.73,-2.27
403.72,-2.27
407.76,-2.28
411.84,-2.28
415.96,-2.29
420.12,-2.29
424.32,-2.29
428.56,-2.30
432.85,-2.30
437.18,-2.30
441.55,-2.30
445.96,-2.30
450.42,-2.30
454.93,-2.30
459.48,-2.30
464.07,-2.30
468.71,-2.30
473.40,-2.30
478.13,-2.30
482.91,-2.29
487.74,-2.29
492.62,-2.30
497.55,-2.33
502.52,-2.34
507.55,-2.37
512.62,-2.39
517.75,-2.43
522.93,-2.46
528.16,-2.49
533.44,-2.53
538.77,-2.57
544.16,-2.60
549.60,-2.62
555.10,-2.65
560.65,-2.67
566.25,-2.68
