frequency,raw
20.00,-6.59
20.20,-6.56
20.40,-6.54
20.61,-6.52
20.81,-6.50
21.02,-6.48
21.23,-6.46
21.44,-6.44
21.66,-6.42
21.87,-6.41
22.09,-6.39
22.31,-6.38
22.54,-6.37
22.76,-6.36
22.99,-6.35
23.22,-6.34
23.45,-6.33
23.69,-6.32
23.92,-6.32
24.16,-6.31
24.40,-6.31
24.65,-6.30
24.89,-6.30
25.14,-6.29
25.39,-6.28
25.65,-6.28
25.91,-6.27
26.16,-6.27
26.43,-6.27
26.69,-6.26
26.96,-6.26
27.23,-6.25
27.50,-6.25
27.77,-6.25
28.05,-6.24
28.33,-6.24
28.62,-6.24
28.90,-6.23
29.19,-6.23
29.48,-6.23
29.78,-6.23
30.08,-6.23
30.38,-6.22
30.68,-6.22
30.99,-6.22
31.30,-6.22
31.61,-6.21
31.93,-6.21
32.24,-6.21
32.57,-6.20
32.89,-6.20
33.22,-6.20
33.55,-6.19
33.89,-6.19
34.23,-6.19
34.57,-6.18
34.92,-6.18
35.27,-6.18
35.62,-6.17
35.97,-6.17
36.33,-6.17
36.70,-6.17
37.06,-6.17
37.43,-6.16
37.81,-6.16
38.19,-6.16
38.57,-6.15
38.95,-6.15
39.34,-6.14
39.74,-6.14
40.14,-6.13
40.54,-6.13
40.94,-6.13
41.35,-6.13
41.76,-6.13
42.18,-6.13
42.60,-6.13
43.03,-6.14
43.46,-6.14
43.90,-6.14
44.33,-6.14
44.78,-6.14
45.23,-6.14
45.68,-6.14
46.13,-6.14
46.60,-6.14
47.06,-6.14
47.53,-6.13
48.01,-6.13
48.49,-6.13
48.97,-6.13
49.46,-6.13
49.96,-6.13
50.46,-6.13
50.96,-6.13
51.47,-6.14
51.99,-6.14
52.51,-6.14
53.03,-6.14
53.56,-6.14
54.10,-6.15
54.64,-6.15
55.18,-6.15
55.74,-6.15
56.29,-6.16
56.86,-6.16
57.42,-6.16
58.00,-6.17
58.58,-6.17
59.16,-6.17
59.76,-6.18
60.35,-6.18
60.96,-6.18
61.57,-6.18
62.18,-6.18
62.80,-6.18
63.43,-6.18
64.07,-6.18
64.71,-6.18
65.35,-6.18
66.01,-6.18
66.67,-6.18
67.33,-6.18
68.01,-6.18
68.69,-6.18
69.37,-6.18
70.07,-6.18
70.77,-6.18
71.48,-6.19
72.19,-6.19
72.91,-6.19
73.64,-6.19
74.38,-6.20
75.12,-6.20
75.87,-6.21
76.63,-6.21
77.40,-6.21
78.17,-6.22
78.95,-6.22
79.74,-6.22
80.54,-6.23
81.35,-6.23
82.16,-6.23
82.98,-6.23
83.81,-6.23
84.65,-6.24
85.50,-6.24
86.35,-6.24
87.22,-6.24
88.09,-6.24
88.97,-6.24
89.86,-6.24
90.76,-6.24
91.66,-6.24
92.58,-6.24
93.51,-6.24
94.44,-6.24
95.39,-6.24
96.34,-6.24
97.30,-6.25
98.28,-6.25
99.26,-6.25
100.25,-6.25
101.25,-6.25
102.27,-6.25
103.29,-6.25
104.32,-6.26
105.37,-6.26
106.42,-6.26
107.48,-6.27
108.56,-6.27
109.64,-6.27
110.74,-6.27
111.85,-6.27
112.97,-6.28
114.10,-6.28
115.24,-6.28
116.39,-6.28
117.55,-6.29
118.73,-6.29
119.92,-6.29
121.12,-6.29
122.33,-6.30
123.55,-6.30
124.79,-6.31
126.03,-6.31
127.29,-6.32
128.57,-6.32
129.85,-6.32
131.15,-6.32
132.46,-6.33
133.79,-6.33
135.12,-6.33
136.48,-6.33
137.84,-6.33
139.22,-6.33
140.61,-6.33
142.02,-6.34
143.44,-6.34
144.87,-6.34
146.32,-6.35
147.78,-6.35
149.26,-6.35
150.75,-6.36
152.26,-6.36
153.78,-6.36
155.32,-6.37
156.88,-6.37
158.44,-6.37
160.03,-6.37
161.63,-6.37
163.24,-6.38
164.88,-6.38
166.53,-6.38
168.19,-6.38
169.87,-6.39
171.57,-6.39
173.29,-6.39
175.02,-6.39
176.77,-6.40
178.54,-6.40
180.32,-6.40
182.13,-6.40
183.95,-6.40
185.79,-6.40
187.65,-6.40
189.52,-6.40
191.42,-6.40
193.33,-6.40
195.27,-6.40
197.22,-6.40
199.19,-6.40
201.18,-6.41
203.19,-6.41
205.23,-6.42
207.28,-6.42
209.35,-6.42
211.44,-6.43
213.56,-6.43
215.69,-6.43
217.85,-6.43
220.03,-6.44
222.23,-6.44
224.45,-6.44
226.70,-6.44
228.96,-6.45
231.25,-6.45
233.57,-6.45
235.90,-6.46
238.26,-6.46
240.64,-6.47
243.05,-6.48
245.48,-6.49
247.93,-6.49
250.41,-6.50
252.92,-6.51
255.45,-6.52
258.00,-6.52
260.58,-6.53
263.19,-6.53
265.82,-6.53
268.48,-6.54
271.16,-6.54
273.87,-6.54
276.61,-6.55
279.38,-6.55
282.17,-6.56
284.99,-6.57
287.84,-6.58
290.72,-6.58
293.63,-6.59
296.57,-6.58
299.53,-6.58
302.53,-6.56
305.55,-6.54
308.61,-6.53
311.69,-6.50
314.81,-6.48
317.96,-6.45
321.14,-6.42
324.35,-6.39
327.59,-6.36
330.87,-6.35
334.18,-6.33
337.52,-6.31
340.90,-6.30
344.30,-6.29
347.75,-6.28
351.23,-6.28
354.74,-6.30
358.28,-6.31
361.87,-6.32
365.49,-6.32
369.14,-6.32
372.83,-6.32
376.56,-6.33
380.33,-6.33
384.13,-6.34
387.97,-6.35
391.85,-6.36
395.77,-6.35
399.73,-6.35
403.72,-6.34
407.76,-6.32
411.84,-6.30
415.96,-6.28
420.12,-6.25
424.32,-6.22
428.56,-6.20
432.85,-6.17
437.18,-6.14
441.55,-6.11
445.96,-6.08
450.42,-6.06
454.93,-6.05
459.48,-6.04
464.07,-6.05
468.71,-6.05
473.40,-6.06
478.13,-6.07
482.91,-6.06
487.74,-6.05
492.62,-6.02
497.55,-6.01
502.52,-5.98
507.55,-5.95
512.62,-5.92
517.75,-5.90
522.93,-5.87
528.16,-5.85
533.44,-5.83
538.77,-5.82
544.16,-5.79
549.60,-5.76
555.10,-5.73
560.65,-5.70
566.25,-5.68
571.92,-5.67
577.64,-5.65
583.41,-5.62
589.25,-5.59
595.14,-5.58
601.09,-5.56
607.10,-5.54
613.17,-5.52
619.30,-5.49
625.50,-5.46
631.75,-5.44
638.07,-5.42
644.45,-5.40
650.89,-5.39
657.40,-5.38
663.98,-5.36
670.62,-5.33
677.32,-5.29
684.10,-5.24
690.94,-5.20
697.85,-5.16
704.83,-5.13
711.87,-5.09
718.99,-5.04
726.18,-5.00
733.44,-4.96
740.78,-4.92
748.19,-4.88
755.67,-4.83
763.23,-4.79
770.86,-4.72
778.57,-4.65
786.35,-4.58
794.22,-4.51
802.16,-4.45
810.18,-4.39
818.28,-4.32
826.46,-4.23
834.73,-4.14
843.08,-4.04
851.51,-3.95
860.02,-3.85
868.62,-3.75
877.31,-3.65
886.08,-3.54
894.94,-3.42
903.89,-3.32
912.93,-3.20
922.06,-3.08
931.28,-2.96
940.59,-2.85
950.00,-2.71
959.50,-2.57
969.09,-2.42
978.78,-2.29
988.57,-2.13
998.46,-1.96
1008.44,-1.79
1018.53,-1.61
1028.71,-1.42
1039.00,-1.22
1049.39,-1.01
1059.88,-0.80
1070.48,-0.58
1081.19,-0.36
1092.00,-0.12
1102.92,0.14
1113.95,0.41
1125.09,0.69
1136.34,0.98
1147.70,1.27
1159.18,1.55
1170.77,1.84
1182.48,2.13
1194.30,2.41
1206.25,2.69
1218.31,2.98
1230.49,3.29
1242.80,3.57
1255.22,3.84
1267.78,4.10
1280.45,4.36
1293.26,4.61
1306.19,4.84
1319.25,5.07
1332.45,5.29
1345.77,5.51
1359.23,5.73
1372.82,5.94
1386.55,6.15
1400.41,6.35
1414.42,6.54
1428.56,6.71
1442.85,6.88
1457.28,7.05
1471.85,7.20
1486.57,7.35
1501.43,7.51
1516.45,7.65
1531.61,7.79
1546.93,7.92
1562.40,8.05
1578.02,8.20
1593.80,8.32
1609.74,8.43
1625.84,8.54
1642.10,8.67
1658.52,8.78
1675.10,8.86
1691.85,8.95
1708.77,9.02
1725.86,9.06
1743.12,9.10
1760.55,9.12
1778.15,9.14
1795.94,9.12
1813.90,9.08
1832.03,9.03
1850.36,8.97
1868.86,8.88
1887.55,8.76
1906.42,8.62
1925.49,8.46
1944.74,8.28
1964.19,8.08
1983.83,7.86
2003.67,7.63
2023.71,7.39
2043.94,7.13
2064.38,6.84
2085.03,6.54
2105.88,6.24
2126.94,5.92
2148.20,5.59
2169.69,5.29
2191.38,4.98
2213.30,4.69
2235.43,4.40
2257.78,4.13
2280.36,3.86
2303.17,3.61
2326.20,3.35
2349.46,3.10
2372.95,2.85
2396.68,2.63
2420.65,2.41
2444.86,2.21
2469.31,2.01
2494.00,1.82
2518.94,1.65
2544.13,1.48
2569.57,1.32
2595.27,1.16
2621.22,1.01
2647.43,0.87
2673.90,0.72
2700.64,0.59
2727.65,0.45
2754.93,0.32
2782.48,0.19
2810.30,0.04
2838.40,-0.10
2866.79,-0.26
2895.46,-0.44
2924.41,-0.63
2953.65,-0.83
2983.19,-1.03
3013.02,-1.26
3043.15,-1.50
3073.58,-1.75
3104.32,-1.99
3135.36,-2.26
3166.72,-2.55
3198.38,-2.84
3230.37,-3.18
3262.67,-3.52
3295.30,-3.88
3328.25,-4.26
3361.53,-4.62
3395.15,-4.98
3429.10,-5.33
3463.39,-5.65
3498.03,-5.95
3533.01,-6.21
3568.34,-6.45
3604.02,-6.66
3640.06,-6.82
3676.46,-6.96
