frequency,raw
20.00,-4.14
20.20,-3.99
20.40,-3.86
20.61,-3.72
20.81,-3.59
21.02,-3.47
21.23,-3.34
21.44,-3.22
21.66,-3.11
21.87,-3.00
22.09,-2.89
22.31,-2.79
22.54,-2.72
22.76,-2.64
22.99,-2.55
23.22,-2.46
23.45,-2.38
23.69,-2.29
23.92,-2.21
24.16,-2.12
24.40,-2.05
24.65,-1.97
24.89,-1.88
25.14,-1.80
25.39,-1.71
25.65,-1.64
25.91,-1.55
26.16,-1.46
26.43,-1.39
26.69,-1.30
26.96,-1.21
27.23,-1.12
27.50,-1.04
27.77,-0.97
28.05,-0.89
28.33,-0.81
28.62,-0.73
28.90,-0.64
29.19,-0.58
29.48,-0.51
29.78,-0.43
30.08,-0.36
30.38,-0.29
30.68,-0.23
30.99,-0.16
31.30,-0.09
31.61,-0.01
31.93,0.06
32.24,0.13
32.57,0.22
32.89,0.29
33.22,0.37
33.55,0.45
33.89,0.51
34.23,0.58
34.57,0.66
34.92,0.73
35.27,0.79
35.62,0.87
35.97,0.94
36.33,1.00
36.70,1.07
37.06,1.14
37.43,1.21
37.81,1.27
38.19,1.34
38.57,1.42
38.95,1.49
39.34,1.55
39.74,1.62
40.14,1.70
40.54,1.78
40.94,1.84
41.35,1.90
41.76,1.95
42.18,2.00
42.60,2.07
43.03,2.12
43.46,2.17
43.90,2.22
44.33,2.27
44.78,2.33
45.23,2.39
45.68,2.45
46.13,2.49
46.60,2.55
47.06,2.61
47.53,2.68
48.01,2.75
48.49,2.80
48.97,2.86
49.46,2.92
49.96,2.98
50.46,3.04
50.96,3.10
51.47,3.15
51.99,3.21
52.51,3.26
53.03,3.32
53.56,3.36
54.10,3.40
54.64,3.44
55.18,3.49
55.74,3.54
56.29,3.57
56.86,3.61
57.42,3.65
58.00,3.70
58.58,3.76
59.16,3.82
59.76,3.86
60.35,3.90
60.96,3.94
61.57,3.99
62.18,4.04
62.80,4.10
63.43,4.16
64.07,4.22
64.71,4.27
65.35,4.30
66.01,4.33
66.67,4.37
67.33,4.42
68.01,4.46
68.69,4.50
69.37,4.54
70.07,4.58
70.77,4.62
71.48,4.64
72.19,4.67
72.91,4.71
73.64,4.74
74.38,4.77
75.12,4.80
75.87,4.84
76.63,4.88
77.40,4.93
78.17,4.95
78.95,4.99
79.74,5.02
80.54,5.03
81.35,5.07
82.16,5.10
82.98,5.14
83.81,5.19
84.65,5.22
85.50,5.26
86.35,5.30
87.22,5.33
88.09,5.35
88.97,5.37
89.86,5.38
90.76,5.40
91.66,5.42
92.58,5.44
93.51,5.47
94.44,5.49
95.39,5.52
96.34,5.54
97.30,5.55
98.28,5.57
99.26,5.60
100.25,5.63
101.25,5.66
102.27,5.69
103.29,5.72
104.32,5.74
105.37,5.76
106.42,5.77
107.48,5.77
108.56,5.77
109.64,5.76
110.74,5.75
111.85,5.75
112.97,5.75
114.10,5.76
115.24,5.78
116.39,5.81
117.55,5.83
118.73,5.86
119.92,5.89
121.12,5.92
122.33,5.94
123.55,5.97
124.79,5.99
126.03,6.01
127.29,6.03
128.57,6.04
129.85,6.05
131.15,6.06
132.46,6.05
133.79,6.04
135.12,6.03
136.48,6.02
137.84,6.02
139.22,6.02
140.61,6.02
142.02,6.01
143.44,6.01
144.87,6.01
146.32,6.00
147.78,6.00
149.26,6.00
150.75,6.00
152.26,6.00
153.78,6.01
155.32,6.01
156.88,6.01
158.44,6.00
160.03,5.98
161.63,5.96
163.24,5.93
164.88,5.91
166.53,5.88
168.19,5.85
169.87,5.80
171.57,5.77
173.29,5.74
175.02,5.71
176.77,5.68
178.54,5.65
180.32,5.63
182.13,5.62
183.95,5.61
185.79,5.61
187.65,5.61
189.52,5.62
191.42,5.63
193.33,5.63
195.27,5.63
197.22,5.63
199.19,5.63
201.18,5.62
203.19,5.62
205.23,5.61
207.28,5.61
209.35,5.61
211.44,5.60
213.56,5.60
215.69,5.60
217.85,5.61
220.03,5.60
222.23,5.61
224.45,5.61
226.70,5.61
228.96,5.59
231.25,5.57
233.57,5.55
235.90,5.52
238.26,5.49
240.64,5.45
243.05,5.41
245.48,5.37
247.93,5.34
250.41,5.31
252.92,5.28
255.45,5.25
258.00,5.23
260.58,5.20
263.19,5.17
265.82,5.15
268.48,5.11
271.16,5.09
273.87,5.07
276.61,5.04
279.38,5.02
282.17,4.99
284.99,4.96
287.84,4.93
290.72,4.90
293.63,4.86
296.57,4.82
299.53,4.77
302.53,4.73
305.55,4.70
308.61,4.67
311.69,4.66
314.81,4.63
317.96,4.60
321.14,4.55
324.35,4.50
327.59,4.46
330.87,4.41
334.18,4.37
337.52,4.33
340.90,4.29
344.30,4.25
347.75,4.21
351.23,4.17
354.74,4.12
358.28,4.08
361.87,4.03
365.49,3.98
369.14,3.93
372.83,3.88
376.56,3.82
380.33,3.79
384.13,3.75
387.97,3.71
391.85,3.65
395.77,3.59
399.73,3.53
403.72,3.48
407.76,3.43
411.84,3.39
415.96,3.33
420.12,3.28
424.32,3.22
428.56,3.17
432.85,3.12
437.18,3.06
441.55,3.01
445.96,2.95
450.42,2.89
454.93,2.84
459.48,2.78
464.07,2.72
468.71,2.66
473.40,2.60
478.13,2.53
482.91,2.48
487.74,2.41
492.62,2.35
497.55,2.28
502.52,2.23
507.55,2.18
512.62,2.12
517.75,2.05
522.93,1.99
528.16,1.94
533.44,1.89
538.77,1.81
544.16,1.74
549.60,1.67
555.10,1.61
560.65,1.56
566.25,1.50
571.92,1.42
577.64,1.34
583.41,1.28
589.25,1.22
595.14,1.16
601.09,1.09
607.10,1.02
613.17,0.94
619.30,0.88
625.50,0.82
631.75,0.75
638.07,0.67
644.45,0.60
650.89,0.55
657.40,0.49
663.98,0.42
670.62,0.34
677.32,0.28
684.10,0.22
690.94,0.16
697.85,0.09
704.83,0.00
711.87,-0.06
718.99,-0.13
726.18,-0.19
733.44,-0.26
740.78,-0.34
748.19,-0.41
755.67,-0.47
763.23,-0.55
770.86,-0.62
778.57,-0.68
786.35,-0.75
794.22,-0.80
802.16,-0.87
810.18,-0.93
818.28,-1.01
826.46,-1.06
834.73,-1.12
843.08,-1.18
851.51,-1.24
860.02,-1.30
868.62,-1.36
877.31,-1.42
886.08,-1.47
894.94,-1.53
903.89,-1.57
912.93,-1.62
922.06,-1.66
931.28,-1.69
940.59,-1.73
950.00,-1.76
959.50,-1.81
969.09,-1.82
978.78,-1.86
988.57,-1.89
998.46,-1.93
1008.44,-1.95
1018.53,-1.97
1028.71,-1.99
1039.00,-2.00
1049.39,-2.01
1059.88,-2.02
1070.48,-2.04
1081.19,-2.06
1092.00,-2.06
1102.92,-2.06
1113.95,-2.05
1125.09,-2.05
1136.34,-2.06
1147.70,-2.05
1159.18,-2.03
1170.77,-2.02
1182.48,-2.02
1194.30,-2.02
1206.25,-2.02
1218.31,-2.02
1230.49,-2.00
1242.80,-1.99
1255.22,-1.95
1267.78,-1.93
1280.45,-1.91
1293.26,-1.88
1306.19,-1.88
1319.25,-1.86
1332.45,-1.85
1345.77,-1.84
1359.23,-1.83
1372.82,-1.83
1386.55,-1.82
1400.41,-1.81
1414.42,-1.80
1428.56,-1.78
1442.85,-1.77
1457.28,-1.77
1471.85,-1.76
1486.57,-1.76
1501.43,-1.74
1516.45,-1.73
1531.61,-1.71
1546.93,-1.70
1562.40,-1.70
1578.02,-1.69
1593.80,-1.70
1609.74,-1.72
1625.84,-1.74
1642.10,-1.75
1658.52,-1.77
1675.10,-1.80
1691.85,-1.83
1708.77,-1.85
1725.86,-1.86
1743.12,-1.86
1760.55,-1.86
1778.15,-1.83
1795.94,-1.82
1813.90,-1.80
1832.03,-1.76
1850.36,-1.71
1868.86,-1.67
1887.55,-1.62
1906.42,-1.57
1925.49,-1.51
1944.74,-1.45
1964.19,-1.38
1983.83,-1.31
2003.67,-1.23
2023.71,-1.13
2043.94,-1.05
2064.38,-0.95
2085.03,-0.86
2105.88,-0.74
2126.94,-0.63
2148.20,-0.51
2169.69,-0.39
2191.38,-0.24
2213.30,-0.09
2235.43,0.05
2257.78,0.19
2280.36,0.35
2303.17,0.50
2326.20,0.65
2349.46,0.81
2372.95,0.99
2396.68,1.17
2420.65,1.35
2444.86,1.55
2469.31,1.77
2494.00,1.99
2518.94,2.21
2544.13,2.42
2569.57,2.64
2595.27,2.86
2621.22,3.08
2647.43,3.30
2673.90,3.53
2700.64,3.76
2727.65,3.98
2754.93,4.18
2782.48,4.39
2810.30,4.59
2838.40,4.78
2866.79,4.97
2895.46,5.17
2924.41,5.36
2953.65,5.55
2983.19,5.74
3013.02,5.93
3043.15,6.12
