frequency,raw
20.00,1.92
20.20,2.02
20.40,2.11
20.61,2.20
20.81,2.29
21.02,2.38
21.23,2.46
21.44,2.54
21.66,2.63
21.87,2.70
22.09,2.78
22.31,2.84
22.54,2.90
22.76,2.96
22.99,3.02
23.22,3.09
23.45,3.16
23.69,3.22
23.92,3.27
24.16,3.32
24.40,3.37
24.65,3.44
24.89,3.50
25.14,3.56
25.39,3.61
25.65,3.65
25.91,3.70
26.16,3.75
26.43,3.81
26.69,3.88
26.96,3.93
27.23,3.98
27.50,4.01
27.77,4.05
28.05,4.11
28.33,4.16
28.62,4.21
28.90,4.27
29.19,4.31
29.48,4.36
29.78,4.40
30.08,4.45
30.38,4.50
30.68,4.53
30.99,4.55
31.30,4.57
31.61,4.60
31.93,4.63
32.24,4.67
32.57,4.71
32.89,4.75
33.22,4.78
33.55,4.81
33.89,4.83
34.23,4.85
34.57,4.88
34.92,4.90
35.27,4.93
35.62,4.98
35.97,5.01
36.33,5.05
36.70,5.09
37.06,5.12
37.43,5.15
37.81,5.18
38.19,5.20
38.57,5.24
38.95,5.27
39.34,5.31
39.74,5.33
40.14,5.36
40.54,5.38
40.94,5.40
41.35,5.41
41.76,5.41
42.18,5.40
42.60,5.39
43.03,5.38
43.46,5.38
43.90,5.38
44.33,5.38
44.78,5.38
45.23,5.38
45.68,5.38
46.13,5.38
46.60,5.38
47.06,5.38
47.53,5.39
48.01,5.39
48.49,5.39
48.97,5.39
49.46,5.40
49.96,5.41
50.46,5.41
50.96,5.40
51.47,5.37
51.99,5.35
52.51,5.33
53.03,5.30
53.56,5.28
54.10,5.24
54.64,5.22
55.18,5.20
55.74,5.16
56.29,5.12
56.86,5.08
57.42,5.04
58.00,4.99
58.58,4.96
59.16,4.93
59.76,4.88
60.35,4.85
60.96,4.82
61.57,4.79
62.18,4.75
62.80,4.70
63.43,4.64
64.07,4.58
64.71,4.52
65.35,4.47
66.01,4.41
66.67,4.36
67.33,4.30
68.01,4.25
68.69,4.19
69.37,4.12
70.07,4.06
70.77,3.99
71.48,3.91
72.19,3.87
72.91,3.81
73.64,3.75
74.38,3.67
75.12,3.60
75.87,3.54
76.63,3.48
77.40,3.41
78.17,3.33
78.95,3.26
79.74,3.20
80.54,3.14
81.35,3.07
82.16,3.00
82.98,2.94
83.81,2.88
84.65,2.81
85.50,2.74
86.35,2.68
87.22,2.61
88.09,2.53
88.97,2.46
89.86,2.39
90.76,2.31
91.66,2.24
92.58,2.16
93.51,2.08
94.44,2.00
95.39,1.93
96.34,1.85
97.30,1.76
98.28,1.69
99.26,1.62
100.25,1.54
101.25,1.46
102.27,1.40
103.29,1.34
104.32,1.28
105.37,1.23
106.42,1.19
107.48,1.15
108.56,1.11
109.64,1.07
110.74,1.04
111.85,1.01
112.97,0.97
114.10,0.94
115.24,0.90
116.39,0.87
117.55,0.84
118.73,0.82
119.92,0.79
121.12,0.76
122.33,0.73
123.55,0.70
124.79,0.67
126.03,0.66
127.29,0.64
128.57,0.63
129.85,0.64
131.15,0.64
132.46,0.64
133.79,0.64
135.12,0.64
136.48,0.64
137.84,0.63
139.22,0.63
140.61,0.62
142.02,0.61
143.44,0.62
144.87,0.64
146.32,0.65
147.78,0.67
149.26,0.70
150.75,0.72
152.26,0.75
153.78,0.78
155.32,0.80
156.88,0.82
158.44,0.84
160.03,0.86
161.63,0.89
163.24,0.91
164.88,0.94
166.53,0.96
168.19,0.99
169.87,1.00
171.57,1.02
173.29,1.03
175.02,1.05
176.77,1.07
178.54,1.10
180.32,1.14
182.13,1.18
183.95,1.22
185.79,1.27
187.65,1.31
189.52,1.34
191.42,1.38
193.33,1.40
195.27,1.41
197.22,1.43
199.19,1.45
201.18,1.47
203.19,1.51
205.23,1.53
207.28,1.57
209.35,1.60
211.44,1.62
213.56,1.65
215.69,1.67
217.85,1.70
220.03,1.71
