frequency,raw
20.00,7.91
20.20,7.99
20.40,8.06
20.61,8.13
20.81,8.20
21.02,8.27
21.23,8.35
21.44,8.42
21.66,8.49
21.87,8.55
22.09,8.62
22.31,8.68
22.54,8.74
22.76,8.81
22.99,8.87
23.22,8.93
23.45,8.99
23.69,9.05
23.92,9.10
24.16,9.16
24.40,9.22
24.65,9.28
24.89,9.33
25.14,9.39
25.39,9.45
25.65,9.49
25.91,9.55
26.16,9.60
26.43,9.65
26.69,9.71
26.96,9.76
27.23,9.82
27.50,9.87
27.77,9.91
28.05,9.97
28.33,10.01
28.62,10.06
28.90,10.11
29.19,10.16
29.48,10.20
29.78,10.25
30.08,10.29
30.38,10.33
30.68,10.37
30.99,10.40
31.30,10.44
31.61,10.48
31.93,10.52
32.24,10.56
32.57,10.60
32.89,10.64
33.22,10.67
33.55,10.71
33.89,10.74
34.23,10.77
34.57,10.81
34.92,10.83
35.27,10.86
35.62,10.91
35.97,10.94
36.33,10.97
36.70,11.00
37.06,11.03
37.43,11.07
37.81,11.09
38.19,11.12
38.57,11.16
38.95,11.19
39.34,11.22
39.74,11.25
40.14,11.29
40.54,11.31
40.94,11.33
41.35,11.35
41.76,11.38
42.18,11.40
42.60,11.42
43.03,11.43
43.46,11.44
43.90,11.45
44.33,11.46
44.78,11.47
45.23,11.49
45.68,11.50
46.13,11.51
46.60,11.53
47.06,11.54
47.53,11.56
48.01,11.57
48.49,11.58
48.97,11.60
49.46,11.62
49.96,11.64
50.46,11.65
50.96,11.67
51.47,11.67
51.99,11.69
52.51,11.70
53.03,11.71
53.56,11.73
54.10,11.73
54.64,11.75
55.18,11.77
55.74,11.78
56.29,11.79
56.86,11.81
57.42,11.83
58.00,11.83
58.58,11.85
59.16,11.86
59.76,11.87
60.35,11.87
60.96,11.88
61.57,11.88
62.18,11.88
62.80,11.88
63.43,11.87
64.07,11.86
64.71,11.86
65.35,11.86
66.01,11.86
66.67,11.86
67.33,11.86
68.01,11.86
68.69,11.86
69.37,11.86
70.07,11.86
70.77,11.86
71.48,11.85
72.19,11.85
72.91,11.85
73.64,11.85
74.38,11.84
75.12,11.84
75.87,11.83
76.63,11.83
77.40,11.83
78.17,11.82
78.95,11.82
79.74,11.82
80.54,11.81
81.35,11.81
82.16,11.81
82.98,11.81
83.81,11.81
84.65,11.80
85.50,11.80
86.35,11.80
87.22,11.80
88.09,11.80
88.97,11.80
89.86,11.80
90.76,11.80
91.66,11.80
92.58,11.80
93.51,11.80
94.44,11.80
95.39,11.80
96.34,11.80
97.30,11.79
98.28,11.79
99.26,11.79
100.25,11.79
101.25,11.79
102.27,11.79
103.29,11.79
104.32,11.78
105.37,11.78
106.42,11.78
107.48,11.77
108.56,11.77
109.64,11.77
110.74,11.77
111.85,11.77
112.97,11.76
114.10,11.76
115.24,11.76
116.39,11.76
117.55,11.75
118.73,11.75
119.92,11.77
121.12,11.77
122.33,11.75
123.55,11.74
124.79,11.71
126.03,11.69
127.29,11.66
128.57,11.63
129.85,11.59
131.15,11.55
132.46,11.52
133.79,11.48
135.12,11.44
136.48,11.42
137.84,11.39
139.22,11.38
140.61,11.36
142.02,11.35
143.44,11.35
144.87,11.36
146.32,11.36
147.78,11.36
149.26,11.36
150.75,11.35
152.26,11.35
153.78,11.35
155.32,11.34
156.88,11.35
158.44,11.35
160.03,11.36
161.63,11.36
163.24,11.35
164.88,11.33
166.53,11.31
168.19,11.30
169.87,11.25
171.57,11.23
173.29,11.19
175.02,11.15
176.77,11.11
178.54,11.08
180.32,11.05
182.13,11.03
183.95,10.99
185.79,10.98
187.65,10.97
189.52,10.97
191.42,10.98
193.33,11.00
195.27,11.01
197.22,11.00
199.19,10.99
201.18,10.96
203.19,10.94
205.23,10.90
207.28,10.86
209.35,10.83
211.44,10.78
213.56,10.75
215.69,10.71
217.85,10.68
220.03,10.66
222.23,10.65
224.45,10.63
226.70,10.62
228.96,10.59
231.25,10.58
233.57,10.57
235.90,10.54
238.26,10.51
240.64,10.47
243.05,10.43
245.48,10.39
247.93,10.35
250.41,10.32
252.92,10.28
255.45,10.25
258.00,10.22
260.58,10.18
263.19,10.15
265.82,10.11
268.48,10.09
271.16,10.08
273.87,10.04
276.61,10.00
279.38,9.96
282.17,9.91
284.99,9.87
287.84,9.80
290.72,9.76
293.63,9.73
296.57,9.70
299.53,9.66
302.53,9.63
305.55,9.59
308.61,9.53
311.69,9.48
314.81,9.43
317.96,9.39
321.14,9.34
324.35,9.29
327.59,9.25
330.87,9.20
334.18,9.15
337.52,9.10
340.90,9.04
344.30,8.99
347.75,8.94
351.23,8.89
354.74,8.85
358.28,8.81
361.87,8.75
365.49,8.68
369.14,8.62
372.83,8.57
376.56,8.49
380.33,8.44
384.13,8.38
387.97,8.32
391.85,8.25
395.77,8.18
399.73,8.10
403.72,8.03
407.76,7.97
411.84,7.90
415.96,7.82
420.12,7.74
424.32,7.67
428.56,7.61
432.85,7.55
437.18,7.46
441.55,7.39
445.96,7.33
450.42,7.24
454.93,7.18
459.48,7.10
464.07,7.02
468.71,6.94
473.40,6.85
478.13,6.77
482.91,6.69
487.74,6.60
492.62,6.53
497.55,6.44
502.52,6.35
507.55,6.26
512.62,6.16
517.75,6.05
522.93,5.95
528.16,5.84
533.44,5.75
538.77,5.64
544.16,5.54
549.60,5.44
555.10,5.34
560.65,5.24
566.25,5.14
571.92,5.01
577.64,4.91
583.41,4.82
589.25,4.71
595.14,4.60
601.09,4.50
607.10,4.39
613.17,4.29
619.30,4.19
625.50,4.07
631.75,3.94
638.07,3.82
644.45,3.70
650.89,3.57
657.40,3.46
663.98,3.30
670.62,3.18
677.32,3.07
684.10,2.95
690.94,2.82
697.85,2.69
704.83,2.56
711.87,2.43
718.99,2.32
726.18,2.20
733.44,2.08
740.78,1.95
748.19,1.83
755.67,1.69
763.23,1.54
770.86,1.41
778.57,1.26
786.35,1.12
794.22,1.00
802.16,0.85
810.18,0.71
818.28,0.58
826.46,0.45
834.73,0.32
843.08,0.18
851.51,0.05
860.02,-0.07
868.62,-0.20
877.31,-0.34
886.08,-0.46
894.94,-0.58
903.89,-0.70
912.93,-0.84
922.06,-0.97
931.28,-1.10
940.59,-1.22
950.00,-1.33
959.50,-1.46
969.09,-1.59
978.78,-1.71
988.57,-1.81
998.46,-1.92
1008.44,-2.02
1018.53,-2.14
1028.71,-2.24
1039.00,-2.34
1049.39,-2.42
1059.88,-2.52
1070.48,-2.60
1081.19,-2.69
1092.00,-2.78
1102.92,-2.85
1113.95,-2.93
1125.09,-3.00
1136.34,-3.08
1147.70,-3.16
1159.18,-3.24
1170.77,-3.33
1182.48,-3.40
1194.30,-3.48
1206.25,-3.56
1218.31,-3.64
1230.49,-3.72
1242.80,-3.79
1255.22,-3.87
1267.78,-3.97
1280.45,-4.07
1293.26,-4.16
1306.19,-4.27
1319.25,-4.38
1332.45,-4.50
1345.77,-4.60
1359.23,-4.72
1372.82,-4.85
1386.55,-4.96
1400.41,-5.06
1414.42,-5.17
1428.56,-5.29
1442.85,-5.42
1457.28,-5.53
1471.85,-5.66
1486.57,-5.77
1501.43,-5.87
1516.45,-5.99
1531.61,-6.11
1546.93,-6.23
1562.40,-6.35
1578.02,-6.46
1593.80,-6.59
1609.74,-6.71
1625.84,-6.83
1642.10,-6.95
1658.52,-7.09
1675.10,-7.21
1691.85,-7.33
1708.77,-7.46
1725.86,-7.58
1743.12,-7.70
1760.55,-7.82
1778.15,-7.92
1795.94,-8.04
1813.90,-8.14
1832.03,-8.23
1850.36,-8.33
1868.86,-8.43
1887.55,-8.50
1906.42,-8.56
1925.49,-8.61
1944.74,-8.63
1964.19,-8.65
1983.83,-8.65
2003.67,-8.64
2023.71,-8.60
2043.94,-8.56
2064.38,-8.50
2085.03,-8.42
2105.88,-8.30
2126.94,-8.17
2148.20,-8.04
2169.69,-7.89
2191.38,-7.72
2213.30,-7.55
2235.43,-7.38
2257.78,-7.22
2280.36,-7.05
2303.17,-6.87
2326.20,-6.69
2349.46,-6.49
2372.95,-6.30
2396.68,-6.12
2420.65,-5.94
2444.86,-5.75
2469.31,-5.57
2494.00,-5.38
2518.94,-5.19
2544.13,-4.99
2569.57,-4.80
2595.27,-4.63
2621.22,-4.44
2647.43,-4.22
2673.90,-4.03
2700.64,-3.82
2727.65,-3.63
2754.93,-3.44
2782.48,-3.23
2810.30,-3.03
2838.40,-2.82
2866.79,-2.62
2895.46,-2.45
2924.41,-2.27
2953.65,-2.09
2983.19,-1.92
3013.02,-1.75
3043.15,-1.59
3073.58,-1.46
3104.32,-1.35
3135.36,-1.24
3166.72,-1.13
3198.38,-1.01
3230.37,-0.90
3262.67,-0.80
3295.30,-0.71
3328.25,-0.62
3361.53,-0.53
3395.15,-0.43
3429.10,-0.35
3463.39,-0.26
3498.03,-0.20
3533.01,-0.11
3568.34,-0.03
3604.02,0.06
3640.06,0.15
3676.46,0.23
3713.22,0.30
3750.36,0.39
3787.86,0.47
3825.74,0.55
3864.00,0.64
3902.64,0.71
3941.66,0.80
3981.08,0.88
4020.89,0.97
4061.10,1.06
4101.71,1.16
4142.73,1.27
4184.15,1.38
4226.00,1.49
4268.26,1.61
4310.94,1.76
4354.05,1.91
4397.59,2.06
4441.56,2.24
4485.98,2.44
4530.84,2.64
4576.15,2.84
4621.91,3.04
4668.13,3.25
4714.81,3.47
4761.96,3.70
4809.58,3.94
4857.67,4.17
4906.25,4.42
4955.31,4.68
5004.87,4.95
5054.91,5.25
5105.46,5.56
5156.52,5.88
5208.08,6.22
5260.16,6.58
5312.77,6.94
5365.89,7.31
5419.55,7.70
5473.75,8.08
5528.49,8.42
5583.77,8.76
5639.61,9.07
5696.00,9.35
5752.96,9.63
5810.49,9.89
5868.60,10.12
5927.28,10.32
5986.56,10.51
6046.42,10.70
6106.89,10.86
6167.96,11.03
6229.64,11.16
6291.93,11.28
6354.85,11.37
6418.40,11.44
6482.58,11.48
6547.41,11.47
6612.88,11.43
6679.01,11.32
6745.80,11.16
6813.26,10.93
6881.39,10.66
6950.21,10.33
7019.71,9.97
7089.91,9.59
7160.81,9.19
7232.41,8.75
7304.74,8.31
7377.79,7.88
7451.56,7.45
7526.08,7.04
7601.34,6.63
7677.35,6.22
7754.13,5.79
7831.67,5.32
7909.98,4.84
7989.08,4.34
8068.98,3.80
8149.67,3.21
8231.16,2.59
8313.47,1.90
8396.61,1.18
8480.57,0.42
8565.38,-0.36
8651.03,-1.15
8737.54,-1.95
8824.92,-2.70
8913.17,-3.40
9002.30,-4.03
9092.32,-4.56
9183.25,-5.00
9275.08,-5.33
9367.83,-5.55
9461.51,-5.72
9556.12,-5.82
9651.68,-5.85
