frequency,raw
20.00,-1.74
20.20,-1.63
20.40,-1.54
20.61,-1.44
20.81,-1.34
21.02,-1.24
21.23,-1.14
21.44,-1.04
21.66,-0.94
21.87,-0.86
22.09,-0.76
22.31,-0.67
22.54,-0.59
22.76,-0.50
22.99,-0.41
23.22,-0.33
23.45,-0.24
23.69,-0.15
23.92,-0.07
24.16,0.01
24.40,0.09
24.65,0.17
24.89,0.25
25.14,0.33
25.39,0.42
25.65,0.50
25.91,0.58
26.16,0.66
26.43,0.73
26.69,0.81
26.96,0.89
27.23,0.97
27.50,1.04
27.77,1.11
28.05,1.19
28.33,1.26
28.62,1.33
28.90,1.41
29.19,1.47
29.48,1.54
29.78,1.61
30.08,1.67
30.38,1.73
30.68,1.79
30.99,1.84
31.30,1.89
31.61,1.96
31.93,2.02
32.24,2.07
32.57,2.13
32.89,2.18
33.22,2.23
33.55,2.29
33.89,2.34
34.23,2.39
34.57,2.46
34.92,2.51
35.27,2.56
35.62,2.62
35.97,2.67
36.33,2.71
36.70,2.75
37.06,2.80
37.43,2.85
37.81,2.89
38.19,2.93
38.57,2.99
38.95,3.03
39.34,3.09
39.74,3.13
40.14,3.19
40.54,3.23
40.94,3.27
41.35,3.31
41.76,3.34
42.18,3.38
42.60,3.42
43.03,3.45
43.46,3.49
43.90,3.53
44.33,3.57
44.78,3.60
45.23,3.64
45.68,3.67
46.13,3.71
46.60,3.74
47.06,3.77
47.53,3.81
48.01,3.84
48.49,3.87
48.97,3.90
49.46,3.93
49.96,3.97
50.46,4.00
50.96,4.04
51.47,4.06
51.99,4.09
52.51,4.12
53.03,4.14
53.56,4.18
54.10,4.21
54.64,4.24
55.18,4.27
55.74,4.30
56.29,4.31
56.86,4.33
57.42,4.35
58.00,4.36
58.58,4.38
59.16,4.40
59.76,4.41
60.35,4.43
60.96,4.45
61.57,4.47
62.18,4.49
62.80,4.51
63.43,4.54
64.07,4.56
64.71,4.59
65.35,4.61
66.01,4.64
66.67,4.65
67.33,4.67
68.01,4.68
68.69,4.70
69.37,4.73
70.07,4.75
70.77,4.77
71.48,4.78
72.19,4.79
72.91,4.81
73.64,4.82
74.38,4.82
75.12,4.82
75.87,4.81
76.63,4.80
77.40,4.80
78.17,4.78
78.95,4.78
79.74,4.78
80.54,4.77
