frequency,raw
20.00,6.73
20.20,6.76
20.40,6.78
20.61,6.80
20.81,6.82
21.02,6.84
21.23,6.86
21.44,6.88
21.66,6.90
21.87,6.91
22.09,6.93
22.31,6.94
22.54,6.95
22.76,6.96
22.99,6.97
23.22,6.98
23.45,6.99
23.69,7.00
23.92,7.00
24.16,7.01
24.40,7.01
24.65,7.02
24.89,7.02
25.14,7.03
25.39,7.04
25.65,7.04
25.91,7.05
26.16,7.05
26.43,7.05
26.69,7.06
26.96,7.06
27.23,7.07
27.50,7.07
27.77,7.07
28.05,7.08
28.33,7.08
28.62,7.08
28.90,7.09
29.19,7.09
29.48,7.09
29.78,7.09
30.08,7.09
30.38,7.10
30.68,7.10
30.99,7.10
31.30,7.10
31.61,7.11
31.93,7.11
32.24,7.11
32.57,7.12
32.89,7.12
33.22,7.12
33.55,7.13
33.89,7.13
34.23,7.13
34.57,7.14
34.92,7.14
35.27,7.14
35.62,7.15
35.97,7.15
36.33,7.15
36.70,7.15
37.06,7.15
37.43,7.16
37.81,7.16
38.19,7.16
38.57,7.17
38.95,7.17
39.34,7.18
39.74,7.18
40.14,7.19
40.54,7.19
40.94,7.19
41.35,7.19
41.76,7.19
42.18,7.19
42.60,7.19
43.03,7.18
43.46,7.18
43.90,7.18
44.33,7.18
44.78,7.18
45.23,7.18
45.68,7.18
46.13,7.18
46.60,7.18
47.06,7.18
47.53,7.19
48.01,7.19
48.49,7.19
48.97,7.19
49.46,7.19
49.96,7.19
50.46,7.19
50.96,7.20
51.47,7.19
51.99,7.20
52.51,7.20
53.03,7.20
53.56,7.18
54.10,7.16
54.64,7.13
55.18,7.11
55.74,7.08
56.29,7.04
56.86,7.01
57.42,6.98
58.00,6.94
58.58,6.91
59.16,6.88
59.76,6.84
60.35,6.82
60.96,6.81
61.57,6.80
62.18,6.79
62.80,6.79
63.43,6.80
64.07,6.81
64.71,6.81
65.35,6.81
66.01,6.81
66.67,6.81
67.33,6.81
68.01,6.81
68.69,6.81
69.37,6.81
70.07,6.81
70.77,6.81
71.48,6.80
72.19,6.80
72.91,6.81
73.64,6.81
74.38,6.81
75.12,6.81
75.87,6.80
76.63,6.80
77.40,6.78
78.17,6.76
78.95,6.73
79.74,6.71
80.54,6.67
81.35,6.64
82.16,6.61
82.98,6.58
83.81,6.55
84.65,6.51
85.50,6.48
86.35,6.46
87.22,6.44
88.09,6.42
88.97,6.41
89.86,6.41
90.76,6.42
91.66,6.44
92.58,6.45
93.51,6.45
94.44,6.44
95.39,6.43
96.34,6.41
97.30,6.38
98.28,6.35
99.26,6.32
100.25,6.29
101.25,6.26
102.27,6.23
103.29,6.20
104.32,6.17
105.37,6.15
106.42,6.13
107.48,6.10
108.56,6.08
109.64,6.06
110.74,6.04
111.85,6.02
112.97,6.00
114.10,5.98
115.24,5.95
116.39,5.92
117.55,5.88
118.73,5.85
119.92,5.82
121.12,5.79
122.33,5.75
123.55,5.74
124.79,5.72
126.03,5.71
127.29,5.70
128.57,5.70
129.85,5.70
131.15,5.69
132.46,5.67
133.79,5.64
135.12,5.62
136.48,5.59
137.84,5.56
139.22,5.52
140.61,5.50
142.02,5.46
143.44,5.44
144.87,5.42
146.32,5.39
147.78,5.36
149.26,5.34
150.75,5.30
152.26,5.28
153.78,5.26
155.32,5.23
156.88,5.21
158.44,5.18
160.03,5.15
161.63,5.12
163.24,5.08
164.88,5.05
166.53,5.03
168.19,5.01
169.87,4.98
171.57,4.97
173.29,4.96
175.02,4.96
176.77,4.96
178.54,4.96
180.32,4.97
182.13,4.97
183.95,4.97
185.79,4.97
187.65,4.97
189.52,4.97
191.42,4.97
193.33,4.97
195.27,4.97
197.22,4.97
199.19,4.97
201.18,4.96
203.19,4.96
205.23,4.95
207.28,4.95
209.35,4.95
211.44,4.95
213.56,4.96
215.69,4.97
217.85,4.97
220.03,4.95
222.23,4.94
224.45,4.92
226.70,4.89
228.96,4.86
231.25,4.83
233.57,4.80
235.90,4.76
238.26,4.74
240.64,4.71
243.05,4.67
245.48,4.63
247.93,4.60
250.41,4.55
252.92,4.51
255.45,4.47
258.00,4.45
260.58,4.41
263.19,4.39
265.82,4.36
268.48,4.31
271.16,4.26
273.87,4.22
276.61,4.17
279.38,4.12
282.17,4.05
284.99,3.99
287.84,3.94
290.72,3.89
293.63,3.84
296.57,3.81
299.53,3.76
302.53,3.71
305.55,3.66
308.61,3.60
311.69,3.55
314.81,3.51
317.96,3.47
321.14,3.42
324.35,3.37
327.59,3.31
330.87,3.24
334.18,3.19
337.52,3.15
340.90,3.10
344.30,3.05
347.75,2.99
351.23,2.93
354.74,2.86
358.28,2.82
361.87,2.78
365.49,2.74
369.14,2.69
372.83,2.64
376.56,2.58
380.33,2.52
384.13,2.47
387.97,2.44
391.85,2.39
395.77,2.34
399.73,2.28
403.72,2.23
407.76,2.17
411.84,2.12
415.96,2.08
420.12,2.04
424.32,2.01
428.56,1.95
432.85,1.90
437.18,1.86
441.55,1.82
445.96,1.79
450.42,1.75
454.93,1.69
459.48,1.64
464.07,1.58
468.71,1.52
473.40,1.47
478.13,1.42
482.91,1.38
487.74,1.33
492.62,1.27
497.55,1.20
502.52,1.15
507.55,1.11
512.62,1.06
517.75,1.01
522.93,0.95
528.16,0.90
533.44,0.85
538.77,0.79
544.16,0.74
549.60,0.69
555.10,0.63
560.65,0.57
566.25,0.52
571.92,0.45
577.64,0.39
583.41,0.33
589.25,0.28
595.14,0.21
601.09,0.15
607.10,0.10
613.17,0.04
619.30,-0.02
625.50,-0.07
631.75,-0.13
638.07,-0.19
644.45,-0.24
650.89,-0.29
657.40,-0.34
663.98,-0.40
670.62,-0.46
677.32,-0.52
684.10,-0.57
690.94,-0.62
697.85,-0.66
704.83,-0.73
711.87,-0.79
718.99,-0.85
726.18,-0.90
733.44,-0.95
740.78,-0.99
748.19,-1.04
755.67,-1.09
763.23,-1.16
770.86,-1.20
778.57,-1.25
786.35,-1.30
794.22,-1.34
802.16,-1.39
810.18,-1.46
818.28,-1.51
826.46,-1.55
834.73,-1.60
843.08,-1.64
851.51,-1.69
860.02,-1.74
868.62,-1.79
877.31,-1.84
886.08,-1.88
894.94,-1.90
903.89,-1.90
912.93,-1.92
922.06,-1.94
931.28,-1.95
940.59,-1.96
950.00,-1.96
959.50,-1.96
969.09,-1.96
978.78,-1.96
988.57,-1.95
998.46,-1.94
1008.44,-1.91
1018.53,-1.86
1028.71,-1.82
1039.00,-1.77
1049.39,-1.73
1059.88,-1.69
1070.48,-1.65
1081.19,-1.62
1092.00,-1.56
1102.92,-1.50
1113.95,-1.43
1125.09,-1.36
1136.34,-1.30
1147.70,-1.24
1159.18,-1.18
1170.77,-1.13
1182.48,-1.07
1194.30,-1.02
1206.25,-0.95
1218.31,-0.88
1230.49,-0.78
1242.80,-0.68
1255.22,-0.57
1267.78,-0.46
1280.45,-0.36
1293.26,-0.26
1306.19,-0.18
1319.25,-0.10
1332.45,-0.03
1345.77,0.05
1359.23,0.13
1372.82,0.21
1386.55,0.30
1400.41,0.36
1414.42,0.42
1428.56,0.48
1442.85,0.54
1457.28,0.60
1471.85,0.65
1486.57,0.71
1501.43,0.78
1516.45,0.84
1531.61,0.92
1546.93,1.00
1562.40,1.07
1578.02,1.15
1593.80,1.22
1609.74,1.30
1625.84,1.36
1642.10,1.43
1658.52,1.51
1675.10,1.60
1691.85,1.68
1708.77,1.76
1725.86,1.85
1743.12,1.92
1760.55,2.00
1778.15,2.10
1795.94,2.17
1813.90,2.25
1832.03,2.32
1850.36,2.39
1868.86,2.47
1887.55,2.56
1906.42,2.63
1925.49,2.70
1944.74,2.77
1964.19,2.84
1983.83,2.91
2003.67,2.96
2023.71,3.02
2043.94,3.07
2064.38,3.11
2085.03,3.15
2105.88,3.18
2126.94,3.22
2148.20,3.24
2169.69,3.28
2191.38,3.31
2213.30,3.33
2235.43,3.34
2257.78,3.35
2280.36,3.35
2303.17,3.35
2326.20,3.33
2349.46,3.34
2372.95,3.34
2396.68,3.33
2420.65,3.31
2444.86,3.29
2469.31,3.26
2494.00,3.23
2518.94,3.20
2544.13,3.18
2569.57,3.16
2595.27,3.12
2621.22,3.10
2647.43,3.09
2673.90,3.07
2700.64,3.07
2727.65,3.05
2754.93,3.04
2782.48,3.03
2810.30,3.00
2838.40,2.99
2866.79,2.98
2895.46,2.98
2924.41,2.99
2953.65,2.99
2983.19,2.97
3013.02,2.95
3043.15,2.94
3073.58,2.92
3104.32,2.92
3135.36,2.92
3166.72,2.93
3198.38,2.95
3230.37,2.96
3262.67,2.98
3295.30,3.00
3328.25,3.03
3361.53,3.07
3395.15,3.11
3429.10,3.14
3463.39,3.18
3498.03,3.21
3533.01,3.26
3568.34,3.29
3604.02,3.32
3640.06,3.34
3676.46,3.35
3713.22,3.34
3750.36,3.34
3787.86,3.31
3825.74,3.27
3864.00,3.23
3902.64,3.18
3941.66,3.14
3981.08,3.09
4020.89,3.05
4061.10,3.00
4101.71,2.95
